aajo	سخيف	hospitality
ncnc	ncnc	ncnc
nebraska	نبراسكا	nebraska
nefimu	نفيم	nefimu
neptune	نبتون	neptune
nevis	نيفيس	nevis
ngbero	المخطط لها	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	هناك	there
nibere	مبكرا	earlier
nigbakan	بعض الأحيان	at one time
nigbà	ثم	when
nijẹr	نايك	niger
nilè	هنا	remaining
nisinyi	الآن	at present
nitoriidieyi	و لهذا	because of this
nitoripe	لان	because
nitosi	مجاور	nearby
niwaju	امام	in front of
niyato	تميز	unlike
niye	كافية	in number
niyi	ها هو	these
nkan	شيء	things
nkàn	سرطان	something
nnaji	اخو الام	nnaji
nobel	نوبل	nobel
nombamewa	ضرب	decimal
nombáméjì	أول إثنين	two-number
novo	نوفو	novo
nri	طعام	nri
nse	التصميم	acting
nso	قريب	saying
nsolaboraro	الأمان	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	نقطة	indicates
nu	نظيف	in
nukleotidi	النوكليوتيد	nucleotides
nukleotidipupo	النوكليوتيد	cell
numeri	خدر	numbers
nwa	طفل	drill
nàìjíríà	في نيجيريا	nigeria
náwo	مصروف	spend money
náà	جدا	that
nì	الجبل	is
nìnú	آسف	in
nìyí	هذه هي	this is
ní	يملك	on
níbè	هناك	there
níbè	هناك	there
nífẹ̀ẹ́	يحب	love
nígbàtí	متى	when
nílè	أدناه	on the ground
nílùú	في المدينة	in the town
nílẹ̀	على الأرض	in the land
nínlá	عظيم	large
nínu	فرصة	in
níní	امتلاك	having
nípà	على الأقل	by
nítorípé	لان	because
nítumò	المعنى	meaningful
nítòsí	مجاور	nearby
nítòótó	بالضبط	truly
nítòótọ́	في الواقع	in truth, truthfully
níwájú	امام	in front
níyanjú	بشكل ايجابي	solved
nǹkan	شيء	things
nso	قريبا	say
oba	أوباما	king
obairanderan	ولد عم	hereditary
obere	صغير	started
obínibí	مجاملة	inborn
ododo	نزاهه	righteousness
ofin	القانون	law
ogbè	منطقة	a divinity
ogun	الحرب	war
ogunlogo	يحشد	hundreds
ojo	يبدو مثل	day
ojojumo	اليومي	daily
ojoru	الدفء	wednesday
ojukokoro	الطمع	covetousness
ojuoorun	غروب الشمس	atmosphere
ojuse	المسئولية	responsibility
ojùkòsì	ترسب	ojukosi
ojùkòtúu	ترسب	ojukotuu
ojúlùmọ̀	المعارف	acquaintance
ojútáyé	اللزوجة	public
ojúìwé	الصفحة	page
okeere	ما وراء البحار	distant
okhotsk	أوخوتسك	okhotsk
oko	حقل	farm
okunkun	الظلام	darkness
okunrin	الرجل	male person
olodiajodojuko	بعضهم البعض	facing wall
olohun	أصحابها	god
olojukanna	فورا	same surface
olokunkun	سماعات الرأس	popular
ololugbe	الخاسر	occupants
olopon	متغطرس	a local game
olora	سمين	fertile
oloselukan	مرحبا	one political
oloye	العبقري	chief
oluda	المنشئ	creator
oludase	منتج	separatist
olukoitan	مدرب	the writer
olukowe	مؤلف	writer
olumojuto	جشع	overseer
oluparapo	مزيج	joint
olusoju	حارس	ambassador
oluwakiri	استكشاف	explorer
olympus	أوليمبوس	olympus
olódùmarè	عز وجل	almighty god
olóyè	مسطرة	chief
olóṣèlú	سياسي	politics
olùbátan	هذا الاتصال	relative
olùdarí	قائد	director
olùkópa	مساهم	participant
olùkó	مدرب	teacher
olùkọ́	مدرس	teacher
omi	ماء	water
omiadalu	فيضان	mixture
onialjebra	onialjebra	of algebra
onibugbe	المستأجر	population
onigbeja	بناء	allied
onigbowo	كفيل	sponsor
onigunfenfe	مبني للمجهول	large angle
onilanaibagbepo	واق ذكري	constitutional
onilile	أصحاب المنازل	solid
oninawo	مستعير	financial
onipin	معقول	even
onisayensi	فني	scientific
onisowo	تاجر	trader
oniyewumeji	الثنائية	two-chamber
oniyijulo	ممتاز	highest honour
onje	حمية	food
onka	آلة حاسبة	counter
onígbàgbó	كبار السن	believer
oníkólóbó	مسيء	onikolobo (place)
onílẹ̀	أسفل	land owners; citizens (omo onile)
oníná	نار	electronic
onítumò	مترجم	meaning
onítèbọmi	عمد	baptist
onítòhùn	محاسب	that person
oníwòsàn	المعالج	doctor
oníyanjù	مفعم بالحيوية	persevere
ooni	تمساح	ooni (king)
ootọ́	صحيح	truth
opec	أوبك	opec
opposite	ضد	odi
ori	رئيس	top
oriire	تهانينا	success
oriki	شرقي	name of endearment
orileede	الأمة	country
orileedeajoba	الإمبريالية	monarchic country
orilejoba	حكومة	seat of government, kingdom
orileominira	الدفء	republic
orinìyìn	أغنية	songs of praise
orisirisi	تشكيلة	various
orisun	مصدر	source
orisa	أصول	god
oritameta	في المنتصف	crossway
orudnun	سنوي	mispelled...should orundun, century
oruko	اسم	name
oríilè	الوطني	land
oríilẹ̀	مقالة - سلعة	land
oríkì	الشعر	family name
orílèèdè	الأمة	country
orílẹ̀	الأمة	continent
orílẹ́	مساء	nation
orísiirísi	مختلف	various
orísìí	تشكيلة	type
orísìírísi	أنواع مختلفة	various
orúko	الميدان	name
oscar	أوسكار	oscar
oseluarailu	مدني	political unit
otherwise	غير ذلك	ibaje
otutu	كثير	coldness
oun	هو	it
owojagidijagan	الإرهابيين	upheaval
oúnjẹ	طعام	food
odún	السنة	year
ojó	انها تمطر	day
okùnrín	ضحك	man
olórun	الله	god
olósìn	متدين	rearing
odun	سنوي	year
olorun	الله	god
omonìyàn	الكائنات البشرية	human beings
opolo	كثير	brain
ose	أسبوع	week
oyé	العالم	harmattan
ofò	صباح الخير	nothingness
opolo	كثير	brain
paa	يطفىء	back
paapaa	خصوصا	especially
padá	جراب	go back
palauan	بالاوان	palauan
panaˈma	panaˈma	panama
panyanan	الفضاء	spanish
papa	بابا	specifically
parapọ̀	مزيج	join
paripari	النهاية	finally
pele	ساحر	hello
penh	بنه	penh
penisula	القضيب	peninsula
periferi	بيريفيري	periphery
petu	بيتو	resolve
pelu	لؤلؤة	with
phillipines	الفلبين	phillipines
pinsi	ينخفض	divided
pinsoto	بينوتو	separated
pinu	تحدد	decide
pipo	كثير	plenty
pipolongo	الإعلانات	publicise
piposi	كثير	multiplication
platos	الهضاب	plato's
plánẹ́tì	السباكة	planet
po	ص	share
pojulo	الاعلى	larger
polandi	تلميع	poland
polaroid	بولارويد	polaroid
population	تعداد السكان	ero
portonovo	بورتونوفو	porto novo
portuguese	البرتغالية	portuguese
press	صحافة	press
produced	أنتجت	yo
protokolu	بروتوكول	protocol
proton	بروتون	kemika alaropo
providence	العناية	providence
príncipe	príncipe	principe
pupa	أحمر	red
px|kùránì	بكسل |	koran or quran; the px  does not belong
pàmò	على وجه التحديد	pamo (town)
pàràkòyí	فورا	parakoyi
pààlà	حد	signalised
pàápàá	خصوصا	especially
pásíà	القبو	persia
pátáporongodo	إطلاقا	entire
pè	اتصل	that
pèhìndà	المني	turned back
pèlu	مع	with
pèlúpèlú	كذلك	in addition
pèsè	قدمت	provide
pé	ذلك	that
péré	فقط	only
péé	ذلك	that
pípa	ذبح	order
pípèsè	تقديم	providing
pípẹ́	طويل	long
pòwe	الأمثال	to say a proverb or wise saying
pò	يطوى	join
púpo	كثير جدا	much
púpò	بدلا	a lot
quran	القرآن	quran
ra	يشترى	self
race	سباق	ere
rajya	أمل	rajya
ramadan	رمضان	ramadan
rank	مرتبة	ipo
reggae	الريغي	reggae
repeats	يكرر	tunso
repetejulo	الأكثر حساسية	most of all
rere	جيد	success
research	ابحاث	agbeyewo
richard	ريتشارد	richard
right|thumb|px|aworan	الصورة اليمنى | الإبهام | بكسل |	picture
rinle	حديثا	emphasise
riresile	مسجل	humbled, lowered
riro	خيال	thought as
rn	rn	rn
rna	رنا	rna
rnarna	رنارنا	rna-rna
rnas	رنا	rnas
ro	يفكر	thought
robinson	روبنسون	robinson
roboto	السطوح	round
rogbodiyan	أعمال شغب	riot
rokirika	التصفح	publicise
roko	تجمهر	farm work
roma	روما	roma
rome	كروم	rome
ronald	رونالد	ronald
rorùn	سهل	easy
rossii	روسي	rossii
rural	قروي	igberiko
ryan	ريان	ryan
ráhàn	ظهر	complain
ránmú	قلق	grumble
république	ريبليك	republic
ré	ج	his/her
rìn	على المشي	should be orin, song or music
ròyìn	ذكرت	give account
rẹ	لها	it
saarc	إزالة	saarc
saaree	متفوق	after death
saarland	على الارض	saarland
safari	سفاري	safari
saffana	ياقوت أزرق	savannah
safiwe	مقارنة	describe
safta	اصطفوا	safta
saheli	السهولة أو الراحة	sahel
sakyamuni	التالي	sakyamuni
sakyas	الساقية	sakyas
salem	سالم	salem
salàyé	الحياة	explained
sambia	شباب	zambia
samioro	متاح	signal
santa	سانتا	santa
say	قل	so
sb	sb	sb
schwarz	شوارتز	schwarz
sea	البحر	odo
seat	مقعد	itedo
segbese	ربما	take steps
seidamo	واضح	identify
semolara	الربو	accustom
semudaju	بالتاكيد	assure
senegal	السنغال	senegal
sense	إحساس	sensi
seville	اشبيلية	seville
sewadi	بحث	investigate
sharon	شارون	sharon
sibesibe	بعد	further more
sihamoni	بناء	sihamoni
sile	خلف	previously
silè	قطرات	on the ground
sinai	خطيئة	sinai
sinsin	دين	unshakably
sioux	سيوكس	sioux
sise	طبخ	works
sisodagba	التقدم في العمر	came of age
sisopo	ربط	joined
sisupapoerekusu	البصق	neighbouring islands
sisupo	تتضاعف	concentrated
slovo	سلوفو	slovo
so	حب	turned
sohun	نعم	something
solomon	سليمان	solomon
soon	هكذا	lai'pe
sopin	النهاية	ended
so	وبالتالي	tells
spectacular	مذهل	damanran
stella	ستيلا	stella
structures	الهياكل	igbekale
suez	السويس	suez
sugbo	لكن لا	but
sugbọ́n	معقول	but, however
sun	شمس	sleep
suny	مشمس	suny
swahili	السواحيلية	swahili
symmetry	تناظر	ogbooga
sàbúrí	فوق الكل	saburi
sàmì	علامة	signalize
sàn	الافضل	flow
sàngó	عصابة	sango (god of thunder)
sàì	حسنا	un
sápadè	هذا اليوم	run to
sáàpàdé	رعاية	saapade
sáààrin	ما بين أثنين	between
são	الجديد	sao
sèle	سرقة	down
ségun	يبكي	conquered
sénégal	المني	senegal
séyìn	عودة	back
séyìn	عودة	at the back of
sìbẹ̀	بعد	there
sìni	جمبري	likewise
síbèsíbè	ومع ذلك	further more
síbú	على الأرض	ocean
sílẹ̀	خذل	drop
síse	عمل	doing
síso	ما يزال	spoken
síso	ما يزال	saying
síta	في الخارج	outing
síwon	معهم	to them
síwájú	فصاعدا	comes before
síí	هنا	on it
sòrò	غسيل الدماغ	talk
sójà	جندي	soldier
sóko	نبات	to the farm
sùgbón	على العكس تماما	but
sọ	قل	lose
si	من المؤكد	to
síse	بناء	performing
sùgbón	على العكس تماما	but
se	إنهم يفعلون	do
sepò	أخيرا	cooperation
sisé	اكتشف - حل	work
sááju	خذ دقيقة	before
sísa	s. yaa	to be
sísè	ترجمة	step
tabi	أو	or
tabili	الطاولة	table
tabora	تجنب	tabora
taino	دينو	taino
tainos	تاينوس	tainos
takuntakun	القيود	valiant
talaka	فقير	poor
talika	الفقر	the poor
tara	تسع	wholly
tata	منقي	wildly
taínos	التاينوس	tainos
technology	تقنية	tekinoloji
tedo	التعارف	stay
teksas	تكساس	texas
tele	متابعة	before
temptation	بحث	idanwo
terutomo	تيروتومو	everybody
tfrac	tfrac	tfrac
the	ال	does no directly translate
they	هم	won
those	أولئك	awon
thumb|left|upright|nelson	إبهام | اليسار | مستقيم | نيلسون	apa osi naro
tira	توتر	quranic verse
tirana	تيرانا	tirana
tirè	له	own
titu	أطلق النار	cold (if it's a person's name, it is tutu)
tiwọn	لهم	theirs
to	إلى	it
toje	نادر	that is
tokasi	أشار	pointing to
tokyo	طوكيو	tokyo
tolerejulo	التسامح	most profitable
tolórítelémù	محرقة	all manners of people
tomé	طماطم	tome
tooto	هل حقا	true
tori	توري	because
torun	امرأة سمراء	heavenly
toseluaralu	سياسية	political
tounsejanu	مأساوي	control
traduite	traduite	traduite
translated	ترجم	tunmo
tumosi	يعني	means
tuntun	جديد	new
tàsí	بدون	or
tàwon	معهم	theirs
táawà	للانحناء	we
tèlé	متابعة	before
tètè	بسرعة	quickly
tèlé	فورا	follow
tèsíwájú	لتحرز تقدم	progress
té	ر	follow
télè	بواسطة	before
té	t	shamed
títi	مغلق	till
títèlé	للمتابعة	following
títío	حتى	until
tíátà	تذاكر	theater
tíórì	الإطارات	that is seen
tò	جلس	enough
tóbi	كبير	big
tódárajùlọ	الأفضل	most beautiful
tókù	راحة	others
tówùú	أي كمية	whatever
tó	طوس	taught
tóka	استشهد	pointed
tú	اسكب	untie
túmò	وظيفة محترمة	means
túnse	إعادة ترتيب	restructured
tẹ̀ǹbẹ̀	ثم	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	التآمر	bitterness
ucb	ucb	ucb
umueri	الأطفال	umueri
unifasiti	جامعة	university
unla	نعم	great
urasílì	اليوراسيل	uracil
uribe	الهالة	uribe
usps	usps	usps
utah	يوتا	utah
utc	التوقيت العالمي	utc
uzbek	الطريقة	uzbek
venezuela	فنزويلا	venezuela
vermont	فيرمونت	vermont
victor	المنتصر	victor
videos	أشرطة فيديو	fidio
vihara	vihara	vihara
villa	فيلا	villa
viruses	الفيروسات	awon eran
visit	يزور	ibewo
vz	vz	vz
waa	أنه	ours
waju	وجه	future
wari	رائحة	once existing
westminster	وستمنستر	westminster
wisconsin	ويسكونسن	wisconsin
witkin	فيتكين	witkin
wiwari	اكتشاف	discovered
województwo	cheworddztwo	wojewodztwo
wole	تسجيل الدخول	into
woo	وو	look
wo	هنا	enter
wo	هنا	look
won	معهم	they
wura	ذهب	gold
wyoming	وايومنغ	wyoming
wàásù	الوعظ	preach
wì	يغسل	that
wípè	وضوح	that
wòfún	لمحة	convenient
wònyí	هؤلاء هم	these
wón	معهم	they
wúnrèn	اكتشف - حل	small amount
wọn	معهم	they
wọ̀nyí	هؤلاء	these
xd	وجه ضاحك	xd
xiv	الرابع عشر	xiv
yafran	هذا جيد	yafran
yakubu	يعقوب	yakubu
yan	تحديد	choose
yanjú	حل	solve
yanturu	وفرة	abundant
yaoundé	ياوندي	yaounde
yewo	تحسين	examine
ye	بلى	suitable
ye	بلى	should
yindinyindin	لا تتوقف ابدا	brightly
yio	يجب	will
yiowu	ستكون	any
yipada	التف حوله	change
yiyafunnilo	التعرية	borrow
yoo	إرادة	will
yori	يؤدى	result
york	يورك	york
yorúbà	زبادي	yoruba
yo	يو	remove
yànan	دهشة	scattered
yàtò	اقامة	other than
yára	عجلوا	quickly
yèwò	نظرة	examine
yée	دعهم	eplained to
yì	اذهب	this
yìí	هذه	this
yí	التف حوله	this
yíyípadà	يتغيرون	changed
yíì	سوف تفعلها	this
yíò	ستكون	it will
yẹ̀ẹ́	أنت تعرف	check
yọ	إزالة	bring out
zanzibar centralsouth	زنجبار المركزية المركزية	zanzibar centralsouth
zdna	زدنا	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	زي	zy
 bce	بعيدا	bce
àbe	البابون	under
àbámẹ́ta	الخميس	saturday
àbáyo	اقتراح	breakthrough
àbìkú	خلود	'born to die' child
àbọ̀	نصف	result
àdámò	خصوصية	earmark
àdátá	المقابل	adata
àdáátán	حصرية	adaatan
àdóolóró	نفط	bomb
àgbàjọ	الرجل العجوز	assembly
àgbàrá	فيضان	power
àgbáríjọ	منظمة	combination
àgbékà	نبذة مختصرة	suitable
àgbéyèwò	مراجعة	examination
àgbìgbò	حي	a type of bird
àgbùdo	حديقة منزل	corn
àgọ́	خيمة	ago
àifète	غرض	unable to keep quiet
àjo	السفر	board
àjákọ	بعيدا، بمعزل، على حد	ajako
àjọṣepọ̀	اجتماعي	union
àkosílè	التجريد	written
àkosílè	أطروحة	written account
àkàrà	كيك	bean pudding
àká	رفوف	store
àkójopò	مجموعة	collection
àkókó	الوقت	previous
àlàkalè	الأهداف	breakdown, explanation of actions
àlàyé	معلومات	explanation
àlàáfíà	سلام	peace
àlááfià	القياس	wellbeing
àlè	ابن حرام	mistress, concubine, (side booty)
àlèpò	في الاعلى	joined together
àlébù	عيب	ills
àmérìkà	خارق للعادة	america
àmì	إشارة	sign
àmúlò	عملي	synonyms
àmúsorò	علم النفس	resources
ànfàní	فرصة	opportunity
àpapọ̀	ككل	federal
àpeere	مثال	example
àrígbámú	مزعج	assistant
àrùn	مرض	disease
àrẹ	رئيس	president
àse	وليمة	authority
àsàjemátèe	فجر	cunning
àsèyìn	ما بعد الكارثة	at the end
àsìkò	زمن	time
àsótélè	تمديد	prophecy
àsọdọ̀kan	وحدة	unitary
àsekúdórógbó	لحاء الشجر	do or die
àsà	مخصص	habit, culture, norm
àtijo	عفا عليها الزمن	olden days
àtìpó	الأجنبي	sojourn
àtòrìnká	الدوار	urinating while walking
àtúnse	تعديل	modification
àtúnse	تعديل	renovate, fix
àtẹnudẹ́nu	عن طريق الفم	oral
àwon	نظريات	they
àwón	المال	the
àwón	مال	the
àwùjo	المجتمع	community
ààtò	طقوس	suitability
ààyè	على قيد الحياة	space
àárín	في المنتصف	middle
àáyá	المني	seconds
àìkó	نقص	unlearned
àìní	تريد	lack
àìròtélè	غير متوقع	unthought of
àìsí	غياب	lack
án	ر	it
áwon	الزنا	those
èbà	البعوض	cassava flour food
èbúté	ميناء	shore
èdá	خلق	creature
èdè	لغة	language
èdè	لغة	language
èfòn	توتر	efon
èhìn	التالي	outskirt
èka	فرع شجرة	branch
èkejì	الأخرى	second
èlò	أواني	tool
ènìkan	شيئا ما	someone
èràn	مرض	virus
èrò	أفكار	thoughts
èsó	مسجد	modesty
èsúrú	النمل	yam (indigenous to west africa)
ète	غرض	plan
èyì	كرامة	this
èka	تأثير	branch
èro	أفكار	machine
èrí	دليل	witness
èsìn	دين	religion
èwù	قميص	clothe
èpón	كثير	modifier
ìbarà	حمى	ibara (town)
ìbánisòrò	الاتصال	dialogue
ìbáraeni	عربه قطار	to themselves
ìbílè	حق الولادة	local
ìbílè	حق الولادة	local
ìdàgbà	مرحلة البلوغ	grow
ìdàpapọ̀	الدمج	union
ìdàrúdàpò	فوضى	misunderstanding
ìdá	الهجر	division
ìdìmú	إزعاج	branch, part
ìdíisin	سبب	idi-isin
ìdíwòn	سببك	criteria
ìdó	العقرب	ido (a person's name)
ìfara	تعذيب	self
ìfojúìtànìgbesiayé	تاريخ الحياة	biography
ìfáàrà	كاهن	introduction
ìgbonnìbí jé	إنها كارثة	igbonnibi
ìgbà	زمن	when
ìgbàgbé	ينسى	forgetfulness
ìgbá	أجنحة	time
ìgbáraga	قوة	pride
ìgbéraga	فخر	pride
ìgbésí	الحياة	life
ìgbò	الرامات &quot;الذاكرة العشوائية في الهواتف والحواسيب	igbo people
ìhun	حديد	things
ìjo	ارقص	church
ìjo	الكنيسة	church
ìjoba	حكومة	government
ìjora	اكرهه	resemblance
ìjìnlè	الغموض	comprehensive
ìjìnlè	الغموض	mysterious
ìjò	زعيم	consent
ìjọba	حكومة	government
ìkejì	الأخرى	second
ìkànna	نفس الشيء	ikanna (town)
ìkèrèkú	ازدحام، اكتظاظ، احتقان	ikereku
ìkéde	إعلان	advert
ìkìjà	تحدي	ikija
ìkìlò	إساءة	warning
ìkínin	السادس	greetings
ìkẹrin	الرابع	fourth
ìkọpa	مشاركة	ikopa
ìlera	الصحة	health
ìlo	مكالمة	use
ìlà	الخطوط العريضة	border
ìlànàn	وهم	procedure
ìlàorùn	كدمات	east
ìlàìnàró	الظلم	vertical
ìlè	الرشوة	land
ìlé	الصفحة الرئيسية	land
ìmò	ثعبان	knowledge
ìmò	برق	knowledge
ìmóbìdo	حق الولادة	imobido
ìmú	أنف	knowledge
ìmúnilérú	الانتهاكات	slavery
ìmúsára	لتعزيز	contagious
ìnagije	فوز	alias
ìnáwó	المصروفات	expenditure
ìpolongo	إعلان	advertisement
ìpìlẹ̀núkléù	التشفير	base
ìpìnlè	البداية	foundation
ìpínrò	الفقرات	economize
ìrànlọ́wọ́	مساعدة	help
ìrànàna	مساعدة	path-clearing
ìràwọ̀	النجوم	s
ìrí	تجربة	sight
ìròkò	فكر	iroko
ìròyìn	أخبار	news
ìròyìnwiki	أخبار	wikinews
ìròrùn	وهم	peaceful
ìró	صوت	sound
ìrúbo	انهيار	sacrifice
ìsawo	عرافة	divinity-practice
ìse	عمل	behaviour
ìsinsìnyí	الآن	modern
ìsirò	عملية حسابية	adding
ìsomó	لينضم	attachment
ìsàlè	غروب الشمس	down town
ìsèlè	إنتاج	happening
ìsìn	دين	worship
ìsòrò	تأمل	speech
ìsòrí	التقسيم	chapter
ìsú	سماكة	lump
ìsọ	محلات	stall
ìse	عمل	work
ìsègbèfábo	اجتهاد	female support
ìsèdá	خلق	creation
ìsèjoba	حكومة	government
ìsílé	الصفحة الرئيسية	house opening
ìsòro	صعوبة	problem
ìse	عمل	action
ìta	في الخارج	outside
ìtaeko	ورشة عمل	outskirts of eko
ìtan	التاريخ	story
ìtokò	وعاء	story
ìtàn	التاريخ	history
ìtànkálé	الفيضانات	spread
ìtèsíwájú	تقدم	progress
ìtójú	رعاية	treatment
ìtóju	الالتباس	treatment
ìtójú	تعابير الوجه	treatment
ìtóka	للضرب	dictionary
ìtúmò	ترجمة	meaning
ìtúpalè	ترجمة	exposition
ìwe	مقارنة	book
ìwo	قرون	horn
ìwàásù	الوعظ	sermon
ìwéré	كتيب	iwere (town)
ìwò	شاملة	set
ìwòran	رؤية	viewing
ìwúlò	مفيد	usefulness
ìya	معاناة	mother
ìyapa	انفصال	divorce
ìyàwó	العروس	wife
ìyípadà	تحويلات	transformation
ìṣèlú	سياسة	politics
ìṣẹ́kù	الباقي	broken
ìṣọ̣̀tẹ̣̀	التهاب رئوي	rebellion
òde	في الخارج	society
òdeojú	مجهول الهوية	surface
òdo	شباب	zero
òdìkejì	الأخرى	opposite
òféàrán	صورة	a town name
ògbójú	مختص	brave
ògiri	حائط	wall
ògo	مجد	glory
ògun	الدواء	medicine
ògúndìpẹ̀	البودرة	ogundipe
òjo	يبدو مثل	ojo
òjísé	الطبيب	servant
òkèògbún	ألف	oke-ogbun
òkòòkan	واحدا تلو الآخر	each
òkú	الجثث	corpse
òkúta	حجر	stone
òle	ربه منزل	lazy
òmiràn	مشعوذ	other
òmùàrán	صورة	omu-aran (town)
òní	اليوم	today
òotó	حقيقة	true
òpópóònà	الطريق	highway
òranyàn	إلزامي	a must
òrìsà	الأصنام	god
òrí	الفصل	top
òrò	الدماغ	word
òsán	وقت الظهيرة	afternoon
òsèlú	سياسي	politics
òsèré	رياضي	player
òwù	قماش	owu
òṣèlú	سياسة	politician
òjògbón	طقس ممطر	learned person
òkan	واحد	heart
òkòòkan	واحدا تلو الآخر	each
òpòlopò	كثير	many
òré	لعبه	friend
òfò	التالي	sorrowful
òpòlopo	كثير	lot of
òré	لعبه	friend
òrò	أفكار	word
òsà	ذهبية	lagoon
òwó	مال	hand
òrò	أفكار	word
òròàjòmó	الصباح	part of speech
ó	عليه	that
óníse	إنه مصمم	stricken
ósírísì	اللعاب	diverse
ósékú	انه ميت	die suddenly
ó	نعم	word
ôdún	عام	year
únṣẹlẹ̀	هزة أرضية	formed
şe	فعل	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ækælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	مرض	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	افتتاح	work
ṣàkóbá	مضر	incriminate
ẹdo	نكتة	edo
ẹlẹ́bùn	هدية	award winner
ẹlẹ́sìn	متدين	religionist
ẹnìkan	شخص واحد	someone
ẹsẹ	أقدام	verse
ẹtì	الكبد	friday
ẹ̀kaawon	التقديمات	branch of
ẹ̀kabrítánì	اخو الام	part of britain
ẹ̀kajuly	مايو	chapter july
ẹ̀kaoṣù	شائك	month
ẹ̀kasístẹ̀mù	شخصي	sistemu=system
ẹ̀kẹ́ta	الثالث	third, the third
ẹ̀kọ́	التعليم	teachings
ẹ̀ni	منظمة الصحة العالمية	person
ẹ̀rọ	الات	machine
ẹ̀wẹ̀	من ناحية أخرى	leaf
ọbàkàn	نصف أخ	step-sister
ọdún	عام	year
ọlọ́mọ	الأطفال	members
ọlọ́run	اله	god
ọmú	أنت تمتص	breast
ọmọ	طفل	c
ọn	عليه	him
ọpọ́lọpọ́	تين	many
ọ̀dọ́	شباب	youth
ọ̀gbìn	نبات	seedlings
ọ̀nà	الطريق	ways
ọ̀pòlòpò	عمل	various
ọ̀rọ̀	حديث	word
ọ̀sẹ	أسبوع	week
