$	dollarni tashkil etadi	(dollar sign)
constitués	biriktirilgan	formed
constructeurs	quruvchilar	makers
construction	qurilish	building
constructions	inshootlar	buildings
construire	qurmoq	build
construit	qurilgan	built
construite	qurilgan	built
construites	qurilgan	built
construits	qurilgan	built
consul	konsul	consul
consulat	konsullik	consulate
consultation	maslahat	consultation
consulter	maslahatlashmoq	consult
consécutifs	ketma-ket	consequential
consécutive	ketma-ket	following
consécutives	ketma-ket	consecutive
conséquence	natija	consequence
conséquences	oqibatlari	consequences
conséquent	shuning uchun	result
contact	aloqa	contact
contacts	aloqalar	contacts
contamination	ifloslanish	contamination
conte	ertak	tale
contemporain	zamondosh	modern
contemporaine	zamondosh	contemporary
contemporaines	zamondosh	contemporary
contemporains	zamondoshlari	modern
contenant	o&#39;z ichiga oladi	containing
contenir	o&#39;z ichiga oladi	contain
contenu	tarkibi	content
contenus	tarkibi	contained
contes	ertaklar	tales
contestation	tortishuv	dissent
contesté	bahslashdi	contested
contestée	bahslashdi	controversed
contexte	kontekstda	context
contiennent	o&#39;z ichiga oladi	incorporate
contient	o&#39;z ichiga oladi	contains
continent	qit&#39;a	continent
continental	qit&#39;a	continental
continentale	qit&#39;a	continental
continents	qit&#39;alar	continents
continu	davom etdi	continuous
continua	davom etdi	continued
continue	davom eting	continues
continuent	davom eting	continue
continuer	davom et	continue
continuité	doimiylik	continuity
continué	davom eting	continued
contraction	qisqarish	contraction
contradiction	qarama-qarshilik	contradiction
contradictoires	qarama-qarshi	contradictory
contraint	cheklangan	forced
contrainte	cheklash	constraint
contraintes	cheklovlar	constraints
contraire	qarama-qarshi	contrary
contrairement	aksincha	contrarily
contraste	qarama-qarshi	contrast
contrat	shartnoma	contract
contrats	shartnomalar	contracts
contre	qarshi	against
contrepartie	ko&#39;rib chiqish	counterpart
contrer	qarshi	counteract
contribue	hissa qo&#39;shadi	contributes
contribuent	hissa qo&#39;shmoq	contribute
contribuer	hissa qo&#39;shmoq	to contribute
contribution	hissa	contribution
contributions	hissa	contribution
contribué	hissa qo&#39;shdi	contributed
controverse	munozarali	argument
controverses	qarama-qarshiliklar	controversies
controversé	munozarali	discussed
controversée	munozarali	controversed
contrôle	boshqaruv	control
contrôler	boshqaruv	control
contrôles	boshqaruvlari	controls
contrôleur	boshqaruvchi	controller
contrôlé	boshqaruv	controlled
convainc	ishontiradi	convince
convaincre	ishontirmoq	convince
convaincu	ishonch hosil qildi	convinced
convention	konventsiya	ruling
conventions	anjumanlar	conventions
conversation	suhbat	discussion
conversion	aylantirish	conversion
conviction	ishonch	belief
convient	mos	it is suitable
conçoit	dizaynlar	designs
conçu	mo&#39;ljallangan	written
conçue	mo&#39;ljallangan	conceived
conçus	mo&#39;ljallangan	designed
cook	pishirmoq	cook
cookie	cookie fayllari	cookie scripts
cooper	kooperatsiya	cooper
coopération	hamkorlik	cooperation
coordination	muvofiqlashtirish	coordination
coordonnées	bog&#39;lanish uchun ma&#39;lumot	coordinate
copie	nusxa ko&#39;chirish	copy
copies	nusxalari	copies
coppola	kopola	coppola
coprolalie	koprolaliya	coprolalia
copyright	mualliflik huquqi	copyright
coran	qur’on	koran
corbusier	korbusier	le corbusier
corde	arqon	rope
cordes	arqonlar	strings
cordillère	kordilera	mountain range
corneille	qarg&#39;a	corneille
corporation	korporatsiya	corporation
corps	tanasi	body
corpus	korpus	corpus
correctement	to&#39;g&#39;ri	correctly
correspond	gugurtlar	fits(1st) is equivalent (for 2nd sentence)
correspondance	yozishmalar	correspondence
correspondant	mos keladi	corresponding
correspondent	gugurt	correspond
correspondre	gugurt	within
corriger	to‘g‘ri	correct
corruption	buzilish	corruption
corse	korsika	corsican
cortex	korteks	cortex
cortinaire	kortikal	cortinaire
corée	koreya	korea
cos	cos	cos
costa	kosta	costa
costume	kostyum	costume
costumes	kostyumlar	costumes
coton	paxta	cotton
cou	bo&#39;yin	neck
couche	qatlam	layer
coucher	uyqu	put to bed
couches	qatlamlar	strata
couleur	rangi	color
couleurs	ranglar	colors
couloir	yo&#39;lak	corridor
country	mamlakat	country
coup	urish	blow
coupable	aybdor	guilty
coupe	maydalangan	cup
couper	kesmoq	cut
coupes	kesilgan	cups
couple	juftlik	couple
couples	juftliklar	couples
coupole	gumbaz	cupola/dome
coups	zarbalar	coups
coupure	tanaffus	cut
coupé	maydalangan	cut
cour	sud	court
courage	jasorat	courage
couramment	ravon	fluently
courant	joriy	current
courante	joriy	current
courantes	umumiy	common
courants	oqimlari	current
courbe	egri chiziq	curve
couronne	toj	crowne
courrier	pochta	mail
cours	sinflar	during
course	irqi	race
courses	irqlar	runs
court	qisqa	short
courte	qisqa	short
courtes	qisqa	short
courtmétrage	qisqa film	short film
courts	qisqa	short
cousin	amakivachcha	cousin
coutume	odat	customary
coutumes	bojxona	custom
couvent	monastir	covent
couvert	qoplangan	covered
couverte	qoplangan	covered
couverts	qoplangan	cutlery
couverture	adyol	cover
couvrant	qoplama	covering
couvre	panellari	cover
couvrent	qopqoq	cover
couvrir	qopqoq	cover
coécrit	birgalikda yozgan	co-written
coût	qiymati	cost
coûteux	qimmat	costly
coûts	xarajatlar	costs
craig	kreyg	craig
craignant	qo&#39;rqinchli	fearing
craint	qo&#39;rquvlar	fear
crainte	qo&#39;rquv	fear
cratère	krater	crater
cricket	kriket	cricket
crime	jinoyat	crime
crimes	jinoyatlar	crimes
criminalité	jinoyat	criminality/crime
criminel	jinoyatchi	criminal
criminels	jinoyatchilar	criminals
crise	inqiroz	crisis
crises	soqchilik	crises
cristiano	krishtianu	cristiano
critics	tanqidchilar	critics
critique	tanqidiy	criticizes
critiques	sharhlar	critics
critiqué	tanqidiy	criticized
critiquée	tanqidiy	criticized
critère	mezon	criteria
critères	mezonlar	criterions
croate	xorvat	croatian
croatie	xorvatiya	croatia
croient	ishonish	believe
croire	ishonish	believe
croisement	krossover	crossing
croissance	o&#39;sishi	growth
croissant	kruvasan	growing
croissante	o&#39;sib borayotgan	growing
croisés	salibchilar	crusaders
croit	ishonadi	believes
croix	kesib o&#39;tish	cross
cross	kesib o&#39;tish	cross
croyait	ishondi	thought
croyance	e&#39;tiqod	belief
croyances	e&#39;tiqodlar	belief
croyant	mo&#39;min	believer(for victor hugo) believing (for napoloeon)
croître	o&#39;sadi	grow
croûte	qobiq	crust
cru	xom	grown
crâne	bosh suyagi	cranium
créant	yaratish	creating
créateur	yaratuvchi	founder
créateurs	ijodkorlar	creators
création	yaratish	creation
créations	asarlar	creations
créativité	ijodkorlik	creativity
créature	jonzot	creature
créatures	maxluqot	creatures
crédit	kredit	credit
crée	yaratmoq	creates
créent	yaratmoq	create
créer	yaratmoq	create
créole	kreol	creole
créé	yaratilgan	created
créée	yaratilgan	creates
créées	yaratilgan	created
créés	yaratilgan	create
cuba	kuba	cuba
cubain	kuba	cuban
cubaine	kub	cuban
cubains	kublar	cuban
cuir	charmdan	leather
cuisine	pishirilgan	cuisine
cuivre	mis	copper
cullen	kallen	cullen
culminant	avj nuqtasi	peak
culmine	avjiga chiqmoqda	culminates
culpabilité	aybdorlik	culpability
culte	sig&#39;inish	worship
cultes	kultlar	cults
cultivées	yetishtirilgan	grown
culture	madaniyat	culture
culturel	madaniy	cultural
culturelle	madaniy	cultural
culturelles	madaniy	cultural
culturels	madaniy	cultural
cultures	madaniyatlar	cultures
cunnilingus	kanililing	cunnilingus
cup	kubok	tasse
cure	ruhoniy	cure
curie	kuriya	curie
curieux	qiziquvchan	curious
cycle	tsikl	cycle
cycles	tsikllar	cycles
cyclisme	velosipedda	cyclism
cycliste	velosipedchi	cyclist
cyclones	tsiklonlar	hurricane
cyprès	sarimsoq	cypress tree
cyrus	kir	cyrus
câble	kabel	cable
câbles	kabellar	cables
cède	bermoq	gives
cécile	kesil	cecile
céder	yo&#39;l bering	ceder
céleste	samoviy	heavenly
célèbre	mashhur	famous
célèbres	mashhur	famous
célébration	nishonlash	celebration
célébrations	tantanalar	celebrations
célébrer	nishonlamoq	to celebrate
célébrité	taniqli	celebrity
célébrités	mashhurlar	celebrities
célébré	mashhur	celebrated
célébrée	nishonlandi	celebrated
céramique	keramika	ceramic
céréales	donli mahsulotlar	cereals
cérébral	miya	cerebral
cérébrale	miya	cerebral
cérémonie	marosimi	ceremony
cérémonies	marosimlar	ceremonies
césar	qaysar	cesar
cétait	bu bo&#39;lgandi	this was
côte	sohil	coast
côtes	qovurg&#39;alar	shores
côtière	qirg&#39;oq bo&#39;yida	costal
côtières	qirg&#39;oq bo&#39;yida	coastal
côté	tomoni	side
côtés	tomonlar	side
cœur	yurak	heart
da	da	da
dabi	dabi	dabi
dabord	birinchi	firstly
daccord	xop	agreement
daccueil	xush kelibsiz	home
daccès	kirish	of access
daccéder	kirish uchun	access
dachat	sotib olish	purchase
dachille	dacha	dachille
dacier	po&#39;lat	steel
dacteur	aktyor	actor
dacteurs	aktyorlar	participants
daction	harakat	action
dactions	harakatlar	of action
dactivité	faoliyat	of activity
dactivités	faoliyati	activities
dadministration	ma&#39;muriyati	of administration
dadn	dadn	dna
daffaires	biznes	business
dafrique	afrika	of africa
daft	daft	daft
daide	yordam	aid
daider	yordamlashmoq	daider
dailleurs	bundan tashqari	dailleurs
dair	havo	dair
dakar	dakar	dakar
dalbert	dalbert	albert
dalbums	dalbums	albums
dalcool	alkogol	of alcohol
dalexandre	dalexandre	of alexandre
dalexandrie	dalexandriya	of alexandrie
dalfred	dalfred	alfred
dalger	dalger	from algiers
dalgérie	jazoirdan	of algeria
dallemagne	nemis	of germany
daller	boring	to pave
dalsace	dalsace	alsace
daluminium	alyuminiy	of aluminium
dalzheimer	dalzgeymer	alzheimer
dalí	dali	dali
dam	to&#39;g&#39;on	(part of a name here)
dame	xonim	queen
dames	xonimlar	ladies
damitié	do&#39;stlik	of friendship
damour	sevgi haqida	of love
daméliorer	yaxshilash	to improve
daménagement	ko&#39;kalamzorlashtirish	development
damérique	amerika	america
dan	dan	dan
danalyse	tahlil	of analysis
danciens	qari	ancient
danemark	daniya	denmark
danger	xavf	danger
dangereux	xavfli	dangerous
dangers	xavflar	dangers
dangleterre	angliyadan	dangleterre
daniel	daniel	daniel
danimation	animatsiya	animation
danimaux	hayvonlar	wildlife
danne	danne	of anne (woman's name)
danny	danniya	danny
dannée	yil	danneel
dannées	yillar	dancer
danois	daniya	danish
dans	ichida	in
danse	raqsga tushish	dance
danses	raqslar	dances
danube	tuna	danube
daoût	avgust	august
dappel	qo&#39;ng&#39;iroq	appeal
dapplication	dastur	application
daprès	ga ko&#39;ra	according to
daragon	daragon	daragon
darc	darc	d'arc
darchitecture	arxitektura	darchitecture
dargent	kumush	money
daristote	daristotel	from aristotle
darius	darius	darius
dark	qorong&#39;i	dark
darmes	qurollar	weapons
darrêt	to&#39;xta	arrest
darrêter	to&#39;xtatish uchun	to stop
dart	dart	of art
darticles	maqolalar	articles
dartistes	rassomlar	artists
darts	dartlar	of arts
darwin	darvin	darwin
dasie	dasia	asia
dasperger	sepmoq	asperger's
dassurer	ishontirish	to ensure
datant	tanishuv	dating
date	sana bilan	date
datent	sana	date
dates	xurmo	dates
dathènes	afina	of athena
dattaque	hujum	of attack
datteindre	erishish	datteindre
dau	dau	of
daudience	tomoshabinlar	audience
daugmenter	oshirish	increase
dauguste	daugust	auguste
daujourdhui	bugun	todays
dauphin	delfin	dolphin
dauschwitz	dauschwitz	of auschwitz
daustralie	avstraliya	australian
dautant	ayniqsa	as
dauteur	muallif	author
dauteurs	mualliflar	author's
dautre	yana	other
dautres	boshqalar	other
dautriche	avstriyadan	dautriche
davantage	ko&#39;proq	further
dave	shabnam	dave
david	david	(name)
davis	davis	davis
davoir	ega	to have
davril	aprel	april
days	kunlar	days
dazur	dazur	dazur
dc	dc	dc
de	ning	of
dean	dekan	dean
deastwood	dasht daraxti	eastwood
death	o&#39;lim	death
deau	suv	of water
debout	turgan	standing
dedgar	dedgar	of edgar
deezer	dezer	deezer
def	def	deaf
deffectuer	ijro etmoq	do
degré	daraja	degree
degrés	daraja	degrees
dehors	tashqarida	outside
delacroix	delakroix	delacroix
della	della	della
delle	u	of her
delta	delta	delta
delvis	delvis	of elvis
delà	ning	beyond
demain	ertaga	tomorrow
demanda	deb so&#39;radi	asked
demandant	so&#39;rab	asking
demande	talab	application
demandent	so&#39;rash	ask for
demander	talab	ask
demandes	so&#39;rovlar	requests
demandé	talab	required
demeure	qoladi	remains
demeurent	qoladi	remain
demi	yarmi	half
demifinale	yarim final	looked
demifinales	yarim final	semi-final
demploi	bandlik	employment
den	uyasi	to
denfance	bolalik	childhood
denfants	bolalar	of kids
denis	denis	dennis
dennis	dennis	dennis
denregistrement	yozib olish	recording
denregistrer	yozib olmoq	record
dense	zich	dense
denseignement	ta&#39;lim berish	teaching
densemble	umuman	establishing shot
densité	zichligi	density
dentraînement	o&#39;qitish	of training (terrain d'entrainement=training ground)
dentre	dan	of (as = three millions of them had...)
dentreprise	korporativ	company
dentreprises	kompaniyalari	diets
dentrer	kirmoq	to enter
dentrée	kirish	dentrée
dents	tishlar	teeth
denviron	haqida	of approx
depp	cho&#39;kindi	depp
depuis	beri	since
der	der	der
dernier	eng yangi	last
derniers	oxirgi	latter
dernière	oxirgi	last
dernières	eng yangi	last
derrière	orqasida	behind
des	ning	of
descartes	xaritalar	descartes
descend	pastga tushish	down
descendance	avlodlari	lineage
descendant	tushayotgan	descendant
descendants	avlodlari	outgoing
descente	kelib chiqishi	coming down
description	tavsifi	description
design	dizayn	design
despagne	ispaniya	of spain
desprit	ruhi	of spirit
despèces	naqd pul	species
desquels	shundan	of which
dessin	chizish	design
dessinateur	dizayner	drawer
dessine	chizish	emerges
dessiner	chizish	draw
dessins	chizmalar	drawings
dessiné	chizilgan	drawn
dessinée	chizilgan	drawn
dessinées	kulgili kitoblar	drawn
dessous	quyida	underneath
dessus	yuqorida	on
destaing	buzadigan	(name)
destin	taqdir	destiny
destination	maqsad	destination
destiné	mo&#39;ljallangan	intended
destinée	taqdir	destiny
destinées	mo&#39;ljallangan	destinies
destinés	mo&#39;ljallangan	dedicated
destruction	yo&#39;q qilish	destruction
destructions	yo&#39;q qilish	destructions
dette	qarz	debt
dettes	qarzlar	debts
deurope	evropa	europe
deux	ulardan	two
deuxième	ikkinchi	second
devaient	edi	had to be
devait	majbur bo `ldim	had to
devant	ni oldida	in front of
devenant	bo&#39;lish	becoming
devenir	bolmoq	become
devenu	bo&#39;lmoq	become
devenue	bo&#39;lmoq	become
devenues	bo&#39;lmoq	become
devenus	bo&#39;lmoq	become
deviendra	bo&#39;ladi	will become
devienne	bo&#39;lmoq	becomes
deviennent	bo&#39;lmoq	become
devient	bo&#39;ladi	become
devinrent	bo&#39;ldi	got
devint	bo&#39;ldi	became
devise	shiori	motto
devises	valyutalar	currency
devoir	burch	duty
devoirs	uy ishi	homeworks
devra	kerak bo&#39;ladi	will have to
devraient	kerak	ought to be
devrait	kerak	should
devront	kerak bo&#39;ladi	will have to
dexemplaires	nusxalari	dexemptaires
dexemple	misol	of example
dexpliquer	tushuntirish	to explain
dexploitation	ishlamoqda	operating
dexposition	chalinish xavfi	catalogues d'exposition = exhibition catalogs
dexpression	ifoda	dexpresiion
dexter	dexter	dexter
dextermination	dexterminatsiya	extermination
dextrême	dekstremiya	extreme
dhabitants	aholisi	people
dharmonie	garmoniya	two words -> of harmony
dhenri	dhenri	dhenri
dhistoire	tarixi	of history
dhitchcock	zambil	hitchcock
dhitler	ditler	of hitler
dhiver	qish	winter
dhomme	kishi	man
dhommes	erkaklar	of men
dhomère	homer	of homer
dhonneur	sharaf	dhonneur
dhorreur	dahshat	horror
dhydrogène	vodorod	of hydrogen
dhéraclès	qichitqi	heracles
di	di	of
diable	shayton	wretched
diagnostic	diagnostik	diagnosis
dialecte	lahjasi	dialect
dialectes	lahjalari	dialects
dialectique	dialektika	dialectic
dialogue	dialog	dialogue
dialogues	dialoglar	dialogues
diamant	olmos	diamond
diams	diams	diam's
diamètre	diametri	diameter
diana	diana	diana
diane	diane	diana
diaspora	diasporasi	diaspora
dici	shu yerdan	till
dictateur	diktator	dictator
dictature	diktatura	dictatorship
dictionnaire	lug&#39;at	dictionary
didentifier	aniqlash	to identify
diderot	diderot	diderot
didier	didier	didier
didées	fikrlar	of ideas
die	o&#39;lmoq	die
diego	diego	diego
dieu	xudo	god
dieudonné	xudo	dieudonné
dieux	xudolar	god
difficile	qiyin	difficult
difficilement	zo&#39;rg&#39;a	with difficulty
difficiles	qiyin	difficult
difficulté	qiyinchilik	difficulty
difficultés	qiyinchiliklar	difficulty
diffuse	tarqoq	airs
diffuser	eshittirish	play
diffusion	diffuziya	diffusion
diffusions	ko&#39;rsatuvlar	broadcasts
diffusé	eshittirish	broadcast
diffusée	eshittirish	broadcast
diffusées	eshittirish	aired
diffusés	eshittirish	broadcast
diffère	farq qiladi	differs
diffèrent	boshqacha	differ
différemment	boshqacha	differently
différence	farq	difference
différences	farqlar	differences
différent	boshqacha	different
différente	boshqacha	different
différentes	boshqacha	different
différents	boshqacha	different
digestif	oshqozon	digestive
digital	raqamli	digital
dimagerie	tasvirlar	imagery
dimages	rasmlar	photo
dimanche	yakshanba	sunday
dimension	o&#39;lchov	dimension
dimensions	o&#39;lchamlari	dimensions
diminue	kamayadi	decrease
diminuer	pasayishi	decrease
diminution	pasayishi	diminution
diminué	kamayadi	decreased
dimmatriculation	ro&#39;yxatdan o&#39;tkazish	registry
dimmigration	immigratsiya	immigration
dimpact	ta&#39;sir	impact
dimportance	ahamiyati	importance
dimportantes	muhim	major
dimportants	muhim	important
dimposer	yuklamoq	to impose
dindépendance	mustaqillik	of independence
dinflation	inflyatsiya	inflation
dinfluence	ta&#39;sir qiladi	influence
dinformation	ma&#39;lumotlar haqida	information
dinformations	ma `lumot	informations
dinosaures	dinozavrlar	dinosaurs
dinspiration	ilhom	dinspiration
dintensité	intensivlik	intensity
dinternet	internet	of internet
dinterprétation	talqin	interpretation
dintégrer	integratsiya qilish	dintegrer
dintérêt	qiziqish	of interest
dioclétien	diokletian	diocletian
dion	dion	dion
dioxyde	dioksid	dioxide
diplomatie	diplomatiya	diplomacy
diplomatique	diplomatik	diplomatic
diplomatiques	diplomatik	diplomatic
diplôme	diplom	diploma
diplômes	diplomlar	diplomas
dira	aytadi	will tell
dire	demoq	say
direct	to&#39;g&#39;ridan-to&#39;g&#39;ri	live (transmission)
directe	to&#39;g&#39;ridan-to&#39;g&#39;ri	straight
directement	to&#39;g&#39;ridan-to&#39;g&#39;ri	directly
directeur	direktor	director
direction	yo&#39;nalishi	direction
directive	ko&#39;rsatma	directive
directives	ko&#39;rsatmalar	rules
directs	to&#39;g&#39;ridan-to&#39;g&#39;ri	direct
dirige	yo&#39;naltirilgan	heads
dirigeant	rahbar	leader
dirigeants	rahbarlari	leadership
diriger	qo&#39;rg&#39;oshin	directed
dirigé	yo&#39;naltirilgan	directed
dirigée	yo&#39;naltirilgan	directed
dirigés	yo&#39;naltirilgan	directed
dirlande	dirlande	of ireland
disait	dedi	say
disant	aytadi	saying
disciple	shogird	follower
disciples	shogirdlari	followers
discipline	intizomli	discipline
disciplines	fanlar	disciplines
discographie	diskografiya	discography
discours	nutq	speech
discussion	munozara	discussion
discussions	munozaralar	talks
disent	demoq	say
disney	disney	disney
disneyland	disneylend	disneyland
disparaissent	yo&#39;qoladi	vanish
disparaît	yo&#39;qoladi	disappears
disparaître	yo&#39;qoladi	disapear
disparition	g&#39;oyib bo&#39;lish	endangered
disparu	xiralashgan	disappear
dispersion	tarqalish	dispersal
disponible	mavjud	available
disponibles	mavjud	available
disposant	ega	possessing
dispose	ega	has
disposent	bor	have/wield
disposer	tashlamoq	to have
dispositif	qurilma	device
dispositifs	qurilmalar	dispositions
disposition	joylashish	available
dispositions	qoidalar	provisions
dispute	tortishuv	argument
disputé	tortishuv	argued
disqualification	diskvalifikatsiya	disqualification
disque	disk	disk
disques	disklari	discs
disraël	xafa qilmoq	of israel
dissolution	tarqatish	dissolution
distance	masofa	distance
distances	masofalar	distances
distinctes	alohida	distinct
distinction	farqlash	distinction
distinctions	farqlar	distinctions
distincts	alohida	distinct
distingue	taniqli	distinguish
distinguent	ajratib turmoq	distinguish
distinguer	farqlash	differentiate
distribution	tarqatish	distribution
distribué	tarqatilgan	distributed
district	tumani	district
districts	tumanlar	districts
dit	dedi	considers himself
ditalie	italiyaning	italian
dite	dedi	known
dites	demoq	so called
dits	dedi	dubbed
divers	turli xil	various
diverses	turli xil	any other business
diversifiée	rang-barang	diversified
diversité	xilma-xillik	diversity
divertissement	o&#39;yin-kulgi	entertainment
divin	ilohiy	divine
divine	ilohiy	divine
divinité	ilohiylik	divinity
divinités	xudolar	deities
divise	split	splits
division	bo&#39;linish	division
divisions	bo&#39;linmalar	divisions
divisé	split	divides'
divisée	bo&#39;lingan	dvided
divisées	bo&#39;lingan	divided
divisés	bo&#39;lingan	divided
divoire	divoire	of the ivory
divorce	ajrashgan	divorce
dix	o‘n	ten
dixhuit	o&#39;n sakkizda	eighteen
dixième	o&#39;ninchi	tenth
dixsept	o&#39;n yetti	seventeen
dizaine	o‘n	around ten
dizaines	o&#39;nlab	tens
dj	dj	disk jockey
dns	dns	domain name system
do	qilmoq	do
dobjets	ob&#39;ektlarning	items
dobtenir	olish uchun; olmoq	get
doccident	g&#39;arbiy	of the occident/of the west
doccupation	kasb	of occupation
docteur	shifokor	doctor
doctobre	oktyabr	october
doctrine	ta&#39;limot	doctrine
doctrines	ta&#39;limotlar	doctrines
document	hujjat	document
documentaire	hujjatli	documentary
documentaires	hujjatli filmlar	documentary
documentation	hujjatlar	documentation
documents	hujjatlar	documents
dog	it	dog
doha	doha	doha
doigt	barmoq	finger
doigts	barmoqlar	fingers
doit	kerak	have to
doivent	kerak	should
dollar	dollar	dollar
dollars	dollar	dollars
dom	dom	dom
domain	domen	domain
domaine	maydon	field
domaines	joylar	domains
domestique	uy sharoitida	servant
domestiques	mahalliy	domestic
domicile	uy	home
dominant	dominant	dopminant
dominante	dominant	dominant
domination	hukmronlik	domination
domine	hukmronlik qildi	dominates
dominent	hukmronlik qilmoq	dominate
dominicaine	dominikan	dominican
dominique	dominik	dominique
dominé	hukmronlik qildi	dominates
dominée	hukmronlik qildi	dominated
dommages	zarar	damage
don	don	don
donald	donald	donald
donc	shunday qilib	then
donde	to&#39;lqin	wave
donna	berdi	gave
donnait	berdi	gave
donnant	berib	giving
donne	berilgan	gave
donnent	bermoq	give
donner	bermoq	ask
donnera	beradi	will give
donné	berilgan	given
donnée	berilgan	given
données	ma&#39;lumotlar	data
donnés	berilgan	given
dons	xayr-ehson	gifts
dont	kimning	whose
dopposition	muxolifat	of resistance
dor	oltin	dor
dordre	buyurtma qilish	order
dorganisation	tashkilotning	organisational
dorganiser	tashkil qilish	to organise
dorient	uyqu	eastern
dorigine	original	of origin
dorléans	orlean	of orléans
doré	oltin	golden
dos	orqaga	back
dose	doza	dose
dossier	papka	file
dossiers	yozuvlar	files
doté	sovg&#39;a qilingan	given
dotée	jihozlangan	has(for 1st) with(for tanger) has (for european union)
doublage	dublyaj qilish	dubbing
double	ikki baravar	double
doubles	ikki baravar	doubles
doublé	ikki baravar	double
douce	shirin	fresh
douglas	duglas	douglas
douleur	og&#39;riq	pain
douleurs	og&#39;riqlar	pains
doute	shubha	doubt
doutremer	chet elda	overseas
douverture	ochilishi	of opening
douvrages	ishlaydi	books
doux	yumshoq	soft
douze	o&#39;n ikki	twelve
down	pastga	down
doù	qayerdan	thus
dr	dr	doctor
dracula	drakula	dracula
dragon	ajdaho	dragon
dramatique	dramatik	dramatic
dramatiques	dramatik	dramatic
dramaturge	dramaturg	playwright
drame	drama	drama
drapeau	bayroq	flag
drapeaux	bayroqlar	flags
dreyfus	dreyfus	dreyfus
drogue	dori	drugs
drogues	dorilar	drugs
droit	qonun	right
droite	to&#39;g&#39;ri	right
droites	to&#39;g&#39;riga	straight
droits	huquqlari	law
du	ning	of
dubaï	dubai	dubai
dublin	dublin	dublin
duc	gertsog	duke
duchesse	gersoglik	duchess
duché	gersoglik	duchy
ducs	beklar	dukes
due	lozim	due
duel	duel	duel
dues	lozim	caused
dulysse	dulysse	dulysee
dumas	dumalar	dumas
dumbledore	dambldor	dumbledore (character's name)
dun	dun	of one
dune	dune	of a
dunion	birlashma	union
dunité	birlik	of unity
duo	duo	duet
duquel	qaysi tomondan	of which
dur	qattiq	hard
dura	davom etdi	lasted
durable	barqaror	sustainable
durablement	barqaror ravishda	durably
durant	davomida	during
dure	qattiq	last
durent	oxirgi	last
durer	oxirgi	last
durera	davom etadi	will last
dures	qattiq	difficult, hard
durgence	favqulodda vaziyat	in emergency
durs	qattiq	hard
duré	qattiq	last
durée	davomiyligi	duration
dus	lozim	due
dusage	foydalanish	usage
dut	kerak	had to
dutilisation	foydalanish	usage
dutiliser	foydalanish uchun	to use
dvd	dvd	dvd
dx	dx	dx
dy	bo&#39;yoq	to
dylan	dilan	dylan
dynamique	dinamik	dynamic
dynamiques	dinamik	dynamic
dynamisme	dinamizm	dynamism
dynastie	sulolasi	dynasty
dynasties	sulolalari	dynasties
dyslexie	disleksiya	dyslexia
dysphorie	disforiya	disphoria
dâge	yoshi	of age
dès	dan	dice
débarquement	qo&#39;nish	disembarkation
débarrasser	qutilmoq	rid
débat	munozara	debate
débats	debatlar	discussions
débit	debet	flow
début	boshlash	start
débute	boshlanadi	begins
débuts	boshlanishlari	start
débuté	boshlandi	started
décadence	buzilish	decadence
décembre	dekabr	december
décennie	o&#39;n yil	decade
décennies	o&#39;nlab yillar	decades
déchange	almashish	exchange
déchets	chiqindilar	waste
décida	qaror qildi	decided
décide	qaror qildi	decides
décident	qaror qilmoq	decide
décider	qaror qilmoq	decide
décidé	qaror qildi	decided
décisif	hal qiluvchi	decisive
décision	qaror	decision
décisions	qarorlar	decisions
décisive	hal qiluvchi	decisive
déclara	e&#39;lon qilindi	declared
déclarant	e&#39;lon qilish	declaring
déclaration	deklaratsiya	statement
déclarations	bayonotlar	declarations
déclare	e&#39;lon qilindi	said
déclarent	e&#39;lon qilmoq	go on
déclarer	e&#39;lon qilmoq	declare
déclaré	e&#39;lon qilindi	declared
déclarée	e&#39;lon qilindi	declared
déclenche	yo&#39;lga tushadi	triggers
déclenchement	tetiklash	release
déclin	pasayish	decline
décline	pasayishi	decline
décompte	ortga hisoblash	count
déconomie	iqtisodiyot	of economy
décor	dekoratsiya	scenery
décoration	bezatish	decoration
décorations	bezaklar	decorations
décors	to&#39;plamlar	decors
découle	natija	ensued
découpage	kesish	division
découvert	kashf etilgan	discovered
découverte	kashfiyot	discovered
découvertes	kashfiyotlar	discoveries
découverts	kashf etilgan	discovered
découvre	top	discovers
découvrent	kashf eting	discover
découvrir	kashf eting	to discover
décret	farmon	decree
décrets	farmonlar	decrees
décrire	tasvirlamoq	to describe
décrit	tasvirlaydi	describe
décrite	tasvirlangan	described
décrits	tasvirlangan	describes
décriture	yozish	of writing
décrivant	tavsiflovchi	describing
décrivent	tasvirlab bering	describe
décède	o&#39;ladi	dies
décès	o&#39;lim	death
décédé	marhum	died
dédié	bag&#39;ishlangan	device
dédiée	bag&#39;ishlangan	dedicated
dédiés	bag&#39;ishlangan	dedicated
déducation	ta&#39;lim	education
déduit	ushlab qolindi	deduces
déesse	ma&#39;buda	goddess
défait	haqiqat	dismantled
défaite	mag&#39;lubiyat	defeat
défaites	mag&#39;lubiyatlar	defeats
défaut	standart	default
défauts	asl qiymati	faults
défend	himoya qiladi	defends
défendre	himoya qilmoq	defend
défendu	taqiqlangan	supported
défense	mudofaa	defense
défenseur	himoyachisi	defender
défenseurs	himoyachilar	defenders
défi	qiyinchilik	challenge
déficit	kamomad	deficit
défini	belgilangan	defined
définie	belgilangan	defined
définies	belgilangan	defined
