$  	ps	dollar
előbbi	ex	former
elődje	su predecesor	predecessor
elődöntő	semifinal	semi finals
elődöntőben	semifinales	in the semi finals
előfordul	ocurrir	occur
előfordulhat	ocurrir	can happen
előfordulnak	ocurrir	occur
előfordult	sucedió	occured
előfordulása	ocurrencia	occurance
előforduló	ocurriendo	occuring
előkelő	noble	noble
előkerült	desenterrado	have been found
előkészítő	preparatorio	preparatory
elől	llantas	from
előnyben	prioridad	preferred
előnye	su ventaja	advantage of
előnyös	ventajoso	advantageous
előre	adelante	forward
előrehaladtával	progresa	progresses
elősegítette	contribuido	promoted
elősegíti	ayuda	facilitates
elősegítő	promotor	helping
előszeretettel	predilección	with formidable pleasure
először	primero	first
előtt	antes de	before
előtte	antes de	before that
előtti	pre-	before
előtérbe	delantero	to the foreground
előzetes	preliminar	preview
előzmények	historia	preceedings
előzte	precedido	preceded
előző	anterior	preceding
előzőleg	antemano	previously
előállított	preparado	produced
előállítása	producción	production of
előírások	regulaciones	regulations
email	correo electrónico	e-mail
emancipáció	emancipación	emancipation
ember	humano	man
emberben	hombre	in man
embere	hombre	people
emberei	personas	mans
emberek	personas	people
embereket	personas	humans
embereknek	para la gente	for the people
emberi	humano	human
emberiség	humanidad	humanity
embernek	personas	person
emberre	hombre	on human
emberrel	personas	with a man
embert	personas	man
eme	estas	this
emeli	aumenta	lifts
emelkedett	alto	differentiated
emelkedik	subir	is rising
emelkedő	hacia arriba	rise
emellett	además	apart from this
emelt	elevado	raised
emelte	levantado	lifted
emeltek	erigido	built
emiatt	debido a esto	for this reason
emigráció	emigración	emigration
emigráns	emigrante	immigrant
emil	emil	emil
emily	emily	emily
emlegetett	citado	mentioned
emlegetik	citado	mentioned
emlék	memoria	remembrance
emléke	memoria	remembrance
emlékei	recuerdos	memories
emlékek	recuerdos	memories
emléket	monumento	memory
emlékezete	memoria	memory of
emlékezetes	memorable	memorable
emlékezett	recuerda	remembered
emlékeztet	recordar	reminds
emlékeztető	recordatorio	reminding of
emlékmű	monumento	monument
emlékműve	monumento	monument of sy/sg
emléktábla	placa	memorial tablet
emléktáblája	placa	plaque
emlékére	en memoria de	in remembrance of
emlékét	memoria	memory
említett	mencionado	mentioned
említi	menciona	mentioned
említik	mencionado	mentioned
említésre	mencionado	(worthy) of mention
említést	mencionar	mention
emlősei	mamíferos	mammals
emlősök	mamíferos	mammals
emma	emma	emma (forename)
emo	emo	emo
emésztést	digestión	digestion
en	yo	this is a french word
enciklopédia	enciclopedia	cyclopedia
end	final	end
endre	andrés	andrew
energia	energía	energy
energiája	energía	energy
energiát	poder	energy
enged	permitir	lets
engedte	permítame	released
engedték	publicado	they did not let him
engedély	licencia	permission
engedélyezett	con licencia	permitted
engedélyezte	permitido	permitted to
engedélyezték	autorizado	authorised
engedélyt	permiso	permission
engem	yo	me
ennek	para esto	this
ensz	naciones unidas	un
enyhe	leve	gentle
enyhébb	más suave	milder
enyhén	levemente	softly
ep	intacto	ep
epizód	episodio	episode
epizódban	episodio	in an episode
epizódok	episodios	episodes
epizódot	episodio	episode
erdély	transilvania	transilvania
erdélyben	transilvania	in transylvania
erdélyi	transilvania	from transylvania
erdélyt	transilvania	transylvania
erdő	bosque	forest
erdőben	bosque	in the forest
erdők	bosques	forests
erdős	enselvado	forested
ered	surgir	originate
eredete	su origen	origin
eredeti	original	original
eredetileg	originalmente	originally
eredetét	origen de	origin
eredetű	apellido	origin
eredménnyel	resultados	with result
eredmény	resultado	result
eredménye	resultados	result of sg
eredményei	resultados	results of sy/sg
eredményeit	resultados	results of sg/sy
eredmények	resultados	results
eredményeket	resultados	results
eredményeként	como resultado de	result of
eredményeképpen	resultado	as a result
eredményez	resultado	result
eredményezett	resultó en	effected
eredményezte	resultado	resulted
eredményt	resultados	result
eredményét	salir	result of
eredő	resultante	originate
ereje	poder	strength of
erejét	poder	power of sy/sg
erejével	poder	with the strength of
erejű	decreto	of force
eric	eric	eric
erika	erika	erika
erkel	erkel	erkel
erkölcsi	moral	ethical
ernest	ernest	ernest
ernst	ernst	ernst
ernő	ernő	ernest
erotikus	erótico	erotic
erre	esta	this
erről	sobre esto	about
ervin	ervin	ervin
erzsébet	elizabeth	erzsébet
erzsébetet	elizabeth	elisabeth
erő	fuerza	force
erői	efectivo	powers of sg
erők	efectivo	forces
erőket	efectivo	powers
erős	fuerte	erös
erősebb	más fuerte	stronger
erősen	fuerte	strongly
erőssége	fuerza	strength of
erősségű	fuerza	strength of
erőszak	violencia	violence
erőszakkal	por la fuerza	force
erőszakos	violento	violent
erősítette	fortificado	confirmed
erősítették	confirmado	strengthened
erősíti	fortalece	enhance
erősödő	intensificando	rising
erőt	fuerza	force
erőteljes	poderoso	forceful
erőteljesen	fuertemente	strongly
erővel	a la fuerza	with power
es	y	(suffix)
esemény	evento	event
eseménye	eventos	event of
eseményei	eventos	events of sg
események	eventos	events
eseményeket	eventos	affairs
eseményt	evento	event
eset	caso	case
esetben	caso	case
esete	el caso	case
esetek	casos	cases
esetekben	casos	in cases
esetenként	algunas veces	occasionally
esetet	caso	case
esetleg	posiblemente	possibly
esetleges	accidental	possible
esett	cayó	underwent
esetében	para	in case of
esetén	en caso de	case
esik	otoño	rains
esküvő	boda	wedding
esnek	otoño	(they) fall
esp	especialmente	spanish pezeta
est	noche	evening
este	noche	evening
estek	tardes	fallen
esterházy	esterházy	esterhazy
esti	noche	nightly
eszerint	en consecuencia	accordingly
eszköz	dispositivo	instrument
eszköze	medio	tool
eszközt	medio	tool
eszközök	medio	tools
eszközöket	bienes	tools
eszközökkel	medio	tools
eszme	concepción	ideas
eszméi	ideas	ideas of sy
esztendő	año	year
eszter	ester	esther
esztergom	esztergom	esztergom (hungarian city)
esztergomi	esztergom	from esztergom
esztétikai	estético	aesthetic
esélye	oportunidad	chance of
esélyét	posibilidades	chance of
eső	lluvia	rain
esős	lluvioso	rainy
et	et	objective case-ending
etikai	ético	ethical
etnikai	étnico	etnic
etruszk	etrusco	etruscan
ettől	de	from this
eu	ue	eu
eur	eur	eur
europe	europa	"not a hungarian word. ""europe"" means ""európa"" in hungarian."
european	europeo	european
euró	euro	euro
európa	europa	europe
európai	europeo	european
európaiak	europeos	europeans
európába	a europa	to europe
európában	en europa	in europe
európán	europa	europe
európát	europa	europe
evangélikus	luterano	evangelical
evans	evans	evans
everest	everest	everest
evolúció	evolución	evolution
evolúciós	evolutivo	evolutionary
ewing	ewing	ewing
expedíció	expedición	expedition
experience	experiencia	english word
explorer	explorador	explorer
export	exportar	export
exporttermékek	productos de exportación	export product
express	rápido	express
ez	esta	this
ezalatt	mientras tanto	during this time
ezek	estas	these
ezekben	en estos	in these
ezekből	estas	these
ezeken	estas	on these
ezeket	estas	these
ezekkel	con estos	these
ezeknek	estas	these
ezekre	para éstos	of these
ezelőtt	hace	ago
ezen	en este	this
ezenkívül	aparte de eso	apart from that he
ezentúl	de ahora en adelante	henceforth
ezer	mil	thousand
ezerjófű	centauro	centaurium (plant)
ezredes	coronel	colonel
ezt	esta	this
ezután	después de eso	after this
ezzel	con este	with this
ezáltal	de este modo	therefore
ezért	por lo tanto	so
ezúttal	esta vez	this time around
ezüst	plata	silver
ezüstérmes	medalla de plata	silver medalist
eötvös	eötvös	eötvös
fa	madera	tree
facebook	facebook	facebook
facto	facto	facto
faj	especies	species
faji	racial	racial
fajok	especies	races
fajtái	tipos	kinds of sg
fajtája	tipo	kind of
fajták	tipos	kinds
fakad	viene de	originates
fakadó	derivando	originating
fal	pared	wall
falat	mordedura	wall
falu	pueblo	village
falusi	aldeano	rural
falvak	pueblos	villages
falán	pared	wall
fantasy	fantasía	fantasy
fantasztikus	fantástico	fantastic
faragott	tallado	carved
farkas	lobo	farkas
fasiszta	fascista	fascist
fauvizmus	fauvismo	fauvism
fazekas	alfarero	fazekas
fc	fc	football club
február	febrero	february
februárban	en febrero	in february
federer	federer	federer
fedett	cubierto	covered
fedezte	descubierto	covered
fedezték	descubierto	discovered
fedi	cubrir	cover
fedélzetén	a bordo	on board of
fegyver	arma	weapon
fegyverek	pistolas	weapons
fegyveres	armado	armed
fegyverrel	arma	with weapons
fegyvert	arma	weapons
fehér	blanco	white
fehérek	ropa blanca	whites
fehérjék	proteínas	proteins
fej	cabeza	head
feje	cabeza	head
fejedelem	príncipe	emperor
fejedelemség	principado	empire
fejedelme	príncipe	prince of sg
fejedelmek	príncipes	princes
fejedelmi	principesco	prince
fejezet	capítulo	chapter
fejezi	es	expresses
fejezte	expresado	concluded
fejezték	terminado	completed
fejlesztett	avanzado	developed
fejlesztette	desarrollado	developed
fejlesztették	desarrollado	developed
fejlesztés	desarrollo	development
fejlesztése	desarrollo	development
fejlesztések	desarrollos	developments
fejlesztési	de desarrollo	development
fejlett	avanzado	developed
fejlettebb	más avanzado	more developed
fejlődik	evolucionar	development
fejlődtek	desarrollado	developed
fejlődés	desarrollo	development
fejlődése	evolución	development
fejlődési	de desarrollo	developmental
fejlődésnek	evolución	development
fejlődést	progreso	development
fejlődésének	evolución	development
fejlődésére	evolución	advance
fejlődését	evolución	development of sy/sg
fejlődött	mejorado	developed
fejlődő	desarrollando	developing
fejtette	explicado	unraveled
fejében	mentes	in the head of sy
fejér	fejér	"name of hungarian region ""fejér megye"""
fejét	cabeza	her husband
fekete	negro	black
feketetenger	mar negro	black sea
feketék	negros	blacks
fekszik	mentira	lies
fekvése	ubicación	their position
fekvő	acostado	pattern
feküdt	acostado	lying
fel	arriba	up
feladat	tarea	task
feladata	responsabilidad	task of
feladatok	tareas	tasks
feladatokat	tareas	tasks
feladatot	tarea	task
feladta	se dio por vencido	gave up
felajánlotta	ofrecido	offered
felbomlása	ruptura	break-up
feldolgozása	procesando	processing of
feldolgozó	procesador	manufacturing
fele	medio de	half of
felel	responder	be responsible for sy/sg
felelt	responder	answered
felelős	responsable	responsible
felelősek	responsable de	responsible
felelőssé	responsable de	responsible for
felesleges	innecesario	unnecessary
feleség	esposa	wife
felesége	su esposa	's wife
feleségek	esposas	wives
feleségének	su esposa	his wife
feleségét	su esposa	his wife
feleségével	su esposa	his wife
feleségül	casado	(take sy) in marriage
felett	encima	over
feletti	encima	above
felfedezett	descubierto	discovered
felfedezni	explorar	to explore
felfedezte	descubierto	discovered
felfedezték	descubierto	discovered
felfedezése	explorar	discovery of
felfedezések	descubrimientos	discoveries
felfelé	arriba	upwards
felfogás	percepción	perception
felgyorsult	acelerado	accelerated
felhasznált	usado	used
felhasználva	usado	using
felhasználása	uso de	use
felhasználásával	utilizando	use of
felhasználó	usuario	user
felhasználói	usuario	users of
felhasználók	los usuarios	users
felirat	subtitular	caption
felismerte	reconocido	realized
feljegyzések	registros	records
felkarcsont	húmero	humerus
felkelés	levantamiento	revolt
felkelők	insurgentes	insurgents
felkereste	visitó	visited
felkerült	adicional	added
felkérte	invitado	asked to
felkérést	invitado	request
fellelhető	puede ser encontrado	available
fellépett	realizado	appeared
felléptek	actuando en	acted
fellépés	comportamiento	action
fellépése	comportamiento	sy's appearance
fellépő	ejecutante	emerging
felmelegedés	calefacción	warming up
felmerült	surgido	came up
felnőtt	adulto	grew up
felnőttek	adultos	adults
felosztás	subdivisión	partition
felosztása	tipos	putrefaction
felsorolt	listado	listed in
felszerelt	equipado	equipped
felszín	superficie	surface
felszíne	superficie	surface
felszínen	en la superficie	on the surface
felszíni	superficie	surface
felszínre	emerger	to surface
felszínt	superficie	surface
felszínén	la superficie	on the surface of
felszínét	superficie	surface
felszólította	instó	requested (sy to)
felső	superior	upper
felsőbb	superior	upper
felsőfokú	superlativo	superlative
felsőoktatási	educación más alta	higher education
feltehetően	probablemente	supposedly
feltehetőleg	presumiblemente	probably
feltárt	revelado	uncovered
feltétel	condición	condition
feltétele	requisito	condition of
feltételek	condiciones	terms
feltételeket	condiciones	terms
feltételezett	sospechoso	assumed
feltételezhető	probable	assumed
feltételezés	suposición	assumption
feltételezések	supuestos	assumption
feltétlenül	absolutamente	unconditionally
feltűnik	aparecer	appear
feltűnt	apareció	appeared
feltűnő	conspicuo	conspicuous
felvenni	recoger	add
felvett	grabado	admitted
felvette	recogiendo	acquired
felvették	aceptado	assumed
felvilágosodás	iluminación	enlightenment
felvonás	actuar	act
felváltva	alternativamente	alternatingly
felvétel	grabación	record
felvétele	grabar	adding
felvételek	grabaciones	recordings
felvételeket	grabaciones	records
felvételi	disparo	entrance examination
felállított	preparar	up
felállították	erigido	set up
felé	a	direction
felében	medio de	in the half
felén	medio de	(on its east-) side
felépítése	estructura	build of
felépítését	estructura	(its) build
felépítésű	estructura	set-up
felépült	recuperado	was established
felét	medio de	half of the
felújítás	restauracion	renovation
felújítása	reconstrucción	restauration of
felügyelet	supervisión	supervision
felügyelete	supervisión	supervision
felügyelő	supervisor	inspector
felül	encima	above
felület	superficie	surface
felületen	superficie	surface
felületet	superficie	surface
felől	de	from
fenn	arriba	there
fennhatóság	soberanía	jurisdiction of
fennhatósága	la autoridad	authority of sy/sg
fennmaradt	preservado	remaining
fennmaradó	restante	remaining
fenntartani	mantener	to maintain
fennálló	existente	extant
fenol	fenol	fenol (chemistry)
fent	encima	above
fenti	superior	above
fenyegette	amenazado	threatened
ferdinand	fernando	ferdinand
ferdinánd	fernando	ferdinand
ferenc	franciscano	francis
ferenccel	ferenc	with ferenc
ferences	franciscano	franciscan
ferencet	francis	frank
ferencz	ferencz	francis
ferenczy	ferenczy	ferenczy
fernando	fernando	fernando
ferrari	ferrari	ferrari
fertőzés	infección	infection
fertőzések	infecciones	infections
fertőzött	infectado	infection based
fertőző	infeccioso	contageous
festett	pintado	painted
festette	pintado por	painted
festival	festival	festival
festmény	pintura	painting
festménye	pinturas	painting of
festményei	pinturas	(her/his) paintings
festészet	pintura	painting
festő	pintor	painter
festők	pintores	painters
festőművész	pintor	painter
fesztivál	festival	festival
fesztiválon	festival	at the festival
feszültség	tensión	tension
feszültségek	tensiones	tensions
feszültséget	tensión	tension
feudális	feudal	feudal
fia	hijo	son of
fiai	hijos	sy's sons
fiatal	joven	young
fiatalabb	mas joven	youngest
fiatalok	jóvenes	youth
fiatalon	joven	young
fiction	ficción	fiction
fidel	fidel	fidel
fidesz	fidesz	fidesz (hungarian civic party)
fifa	fifa	fifa
figura	cifras	figure
figyelembe	tomando	to the attention
figyelemmel	con atención	(follow) with attention
figyelhető	observado	observed
figyelmen	consideración	consideration
figyelmet	atención	attention
figyelmét	atención	attention
film	película	movie
filmben	película	in the movie
filmek	películas	films
filmekben	películas	in films
filmeket	películas	films
filmes	cineasta	movie
filmet	película	movie
filmfesztivál	festival de cine	movie festival
filmje	película	his film
filmjei	película (s	movies
filmjében	película	movie
filmjét	película	it's film
filmkritikusok	críticos de cine	movie critics
filmművészet	cinemática	cimetaic art
filmnek	película	movie
filmográfia	filmografía	filmography
filmre	película	in movies
filozófia	filosofía	philosophy
filozófiai	filosófico	philosophical
filozófiája	filosofía	sy's philosophy
filozófus	filósofo	philosopher
filozófusok	filósofos	philosophers
finger	dedo	english word
finn	finlandés	finnsih
finnország	finlandia	finland
finnugor	finno-ugric	finno-ugric
finom	multa	fine
fire	fuego	fire
firefox	firefox	firefox
firenze	florencia	florence
firenzei	florentino	florentine
firenzében	florencia	in firenze
fityma	prepucio	foreskin
fiume	fiume	fiume
fizetett	pagado	paid
fizetni	pagar	pay
fizetési	pago	payment
fizika	física	physics
fizikai	físico	physical
fizikailag	físicamente	phisically
fizikus	físico	physicist
fizikusok	físicos	physicists
fiának	hijo	to his son
fiát	hijo	sy's son
fiával	hijo	with his son
fiú	chico	boy
fiúk	niños	boys
fiút	chico	boy
fk	fk	fk
flamand	flamenco	flemish
flotta	flota	fleet
floyd	floyd	floyd
fm	fm	fm
fodor	lechuguilla	fodor
fog	diente	tooth
fogadja	aceptar	receive
fogadott	adoptado	adopted
fogadta	aceptado	received
fogadták	aceptado	welcomed
fogak	dientes	teeth
fogalma	idea	concept (of)
fogalmak	conceptos	concepts
fogalmazta	formulado	formulated
fogalmát	el concepto	concept
fogalom	concepto	concept
fogja	será	will
fogják	será	will
foglal	reserva	reserves
foglalja	libro	include
foglalják	ocupar	score
foglalkozik	acuerdo	deals
foglalkoznak	acuerdo	occupied with
foglalkozni	acuerdo	deal
foglalkozott	estaba ocupado con	engaged
foglalkoztak	repartido	dealt with
foglalkozás	profesión	craft
foglalkozó	en	dealing
foglalt	ocupado	included
foglalta	ocupado	included
foglalták	reservado	conquered
fognak	será	will
fogoly	prisionero	prisoner
fogott	atrapado	started
fogságba	cautiverio	captivity
fogta	tomó	held
fogva	de	very
fogyasztják	consumado	consuming
fogyasztása	consumo	consumption
fokozat	la licenciatura	degree
fokozatos	gradual	gradual
fokozatosan	gradualmente	gradually
fokozott	intensificado	increased
fokozta	intensificado	increased
fokozza	aumenta	increases
fokú	la licenciatura	-grade
foltok	lugares	spots
folyamat	proceso	process
folyamata	proceso	process
folyamatban	en progreso	process
folyamatok	procesos	processes
folyamatos	continuo	continuous
folyamatosan	continuamente	continuously
folyamatot	proceso	process
folyik	fluir	run
folyt	cont	was
folytak	conducido	continued
folytatja	él continúa	continues to
folytatják	seguir	continue
folytatni	seguir	continue
folytatott	con	continued
folytatta	él continuó	continued
folytattak	conducido	practice
folytatták	continuado	continued
folytatása	seguir	continuation
folytatását	seguir	continuation of
folytatódik	seguir	continues
folytatódott	continuado	continued
folytonos	constante	perpetual
folytán	debido a	in the course of
folyékony	líquido	liquid
folyó	río	river
folyói	ríos	's rivers
folyóirat	revista	journal
folyója	río	sg's river
folyók	ríos	rivers
folyón	río	river
font	libra	pound
fontos	importante	important
fontosabb	más importante	more important
fontosak	importante	are important
fontosnak	importante	important
fontosságú	prioridad	importance
fontsizes	fuentes	fontsize
fonálkígyófélék	leptotyphlopidae	leptotyphlopidae (type of reptiles)
football	fútbol americano	english word
forbes	forbes	forbes
ford	vado	ford
fordul	giro	recourse
fordulat	giro	turn
fordulatot	giro de vuelta	turn
fordulnak	ocurrir	turn
fordult	convertido	turned
fordultak	convertido	turned
forduló	giro	turn
fordulóban	redondo	round
fordított	contrarrestar	translated
fordította	traducido	translated
fordítva	inversamente	the other way around
fordítás	traducción	translation
fordítása	traducción	translation of
fordítások	traducciones	translation
fordító	traductor	translator
forgalmat	tráfico	traffic
forgalmi	tráfico	current
forgalom	tráfico	traffic
forgalomba	mercado	(to) fiscal circulation
forgalomban	tráfico	in circulation
forgatta	convertido	inconsistent examples (könyvet forgat=read a book - filmet forgat=shoot a movie)
forgatták	filmado	filmed
forgatás	disparo	shooting (of film)
forgatása	rodaje	filming
forgatókönyv	guión	screenplay
forgatókönyvcs	forgatókönyvcs	colon is required here (forgatókönyv=script)
forgása	rotación	rotation of
forgási	rotación	rotation
forgó	giratorio	rotating
forint	florín	forint
forma	formar	shape
formai	formal	form
formula	fórmula	formula
formulaben	su formula	in formula 1
formulaes	fórmulas	formula
formában	forma	in form
formái	formas	forms
formája	forma	sorm of sg
formájában	la forma	in the form
formáját	forma	form
formájú	forma	shape
formák	formas	forms
formális	formal	formally
formát	forma	form
forradalmat	revolución	revolution
forradalmi	revolucionario	revolutionary
forradalom	revolución	revolution
forradalomban	revolución	during the revolution
forrás	fuente	source
forrása	fuente	source
forrásból	fuente	source
források	fuentes	sources
forrásokból	fuentes	from sources
forró	caliente	hot
forum	foro	forum
fosszilis	fósil	fossile
fotók	fotos	photos
foundation	fundación	foundation
fox	zorro	english word
france	francia	france
francesco	francesco	francesco
francia	francés	french
franciaország	francia	france
franciaországba	pais francés	to france
franciaországban	en francia	in france
franciaországi	francia	of france
francis	francis	francis
francisco	francisco	franciso
franciák	francés	french
franciául	en francés	in french
franco	franco	franco
frank	franco	frank
frankfurt	frankfurt	frankfurt
franklin	franklin	franklin
franz	franz	franz
françois	françois	francois
fred	fred	frédi
freddie	freddie	freddie
frekvencia	frecuencia	frequency
freud	freudismo	freud
friedrich	friedrich	friedrich
frigyes	frederick	friedrich
friss	fresco	fresh
frissen	fresco	freshly
from	de	english word
front	frente	front
fronton	frente	on the front
ft	pie	abbreviation of various words
fulham	fulham	fulham
fulladt	ahogue	drowned
funkció	función	function
funkciója	función	function
funkciók	funciones	functions
furcsa	extraño	strange
fut	correr	run
futam	carrera	round
futamon	carrera	on a run
futamot	carrera	race
futball	fútbol americano	football
futott	calentado	ran
futó	calefacción	running
fából	madera	of wood
fácánfélék	faisán	pheasant
fájdalom	dolor	pain
fájl	expediente	file
fájlbudapest	archivo de budapest	(meaningless compound)
fájlcharacter	fájlcharacter	file:character
fájlok	archivos	files
fák	arboles	trees
fáraó	faraón	pharaoh
fázis	fase	phase
fél	partido	half
félelem	miedo	fear
félidőben	medio tiempo	halftime
félig	medio	half
félsziget	península	peninsula
féltekén	hemisferio	hemisphere
félvér	mestizo	half breed
fém	metal	metal
fémek	rieles	metals
fémes	metálico	metalic
fény	ligero	light
fényes	brillante	bright
fényképek	fotos	photos
fényt	ligero	light
féregatkák	pentastomida	pentastomida
férfi	hombre	man
férfiak	hombres	men
férfinév	nombre masculino	man's name
férfit	hombre	man
férj	marido	husband
férje	su marido	her husband
férjhez	casado	husband
férjét	marido	her husband
fórum	foro	forum
föderáció	federación	federation
föl	arriba	up
föld	tierra	earth
földalatti	subterráneo	underground
földet	tierra	the earth
földgáz	gas natural	natural gas
földi	suelo	ground
földközitenger	mar mediterráneo	mediterranean sea
földművelés	ministro de agricultura	of agriculture
földpátok	feldespatos	felspars
földrajz	geografía	geography
földrajza	geografía	geography of
földrajzi	geográfico	geographical
földre	abajo	soil
földrengés	terremoto	earthquake
földrengések	temblores	earthquakes
földről	suelo	land
földtörténeti	historia geológica	(sg of) geological history
földön	en el piso	inconsistent examples (német föld=german land - földön fekvő=líing on the ground)
fölé	encima	above
fölött	encima	above
fúzió	fusión	fusion
fúziós	fusión	fusion
függ	depende	depends
független	independiente	independent
függetlenség	independencia	independence
függetlenséget	independencia	independence
függetlenségi	independencia	independence
függetlenségét	independencia	independence
függetlenül	independientemente	independent
függvény	función	function
függvények	funciones	functions
függő	dependiente	dependent
függően	dependiendo de	depending
függőleges	vertical	vertical
fülbemászók	tijeretas	catchy
fülöp	filipinas	philip
fülöpszigetek	filipinas	philippines
für	perforar	für
fürdő	bañera	spa
füves	herboso	grassy
fő	principal	main
főbb	el principal	major
főherceg	archiduque	archduke
főhercegnő	archiduquesa	archduchess
főhős	protagonista	protagonist
főiskola	universidad	university
főiskolai	universidad	academic
főként	principalmente	mainly
főképp	principalmente	mainly
főleg	especialmente	particularly
főnevek	sustantivos	nouns
főnix	fénix	phoenix
főnév	sustantivo	noun
főnévi	sustantivo	noun
főnök	jefe	chief
főnöke	jefe	(her/his/its) boss
főparancsnoka	comandante en jefe	sg's commander-in-chief
főre	personas	people
fős	personas	head
főszerepet	el papel principal	main role
főszereplésével	protagonista	starring
főszereplő	protagonista	protagonist
főszereplője	protagonista	sg's leading character
főszereplők	los actores principales	leading characters
főurak	señores	lords
főváros	capital	capital
fővárosa	capital	its capital
fővárosba	capital	to the capital city
fővárosban	capital	in the capital
fővárosi	metropolitano	metropolitan
fővárost	capital	capital
főút	autopista	highway
fűződik	divulgar	ties in to/with
fűződő	trayendo	attached
ga	georgia	ga
gabriel	gabriel	gabriel
gabriela	gabriela	gabriela
gabriella	gabriella	gabriella
gaga	gagá	gaga
galaxis	galaxia	galaxy
galilei	galilei	galilei
galileo	galileo	galileo
gall	galia	gallic
galleria	galleria	galery
galéria	galería	gallery
gandhi	gandhi	gandhi
garcía	garcía	garcia
gary	gary	gary
gasztronómia	gastronomía	gastronomy
gazda	granjero	owner
gazdag	rico	rich
gazdaság	economía	economy
gazdasága	economía	economy of
gazdasági	económico	economic
gazdaságilag	económicamente	economically
gazdaságot	economía	economy
gbr	gbr	gbr
gdp	pib	gdp
gedeon	gedeon	gedeon
gellért	gellért	gellért
general	generar	general
generációs	generacion	generation
genetikai	genético	genetic
genf	ginebra	geneva
genfben	ginebra	in geneva
genfi	ginebrino	from geneva
geológiai	geológico	geologic
geometria	geometría	geometry
geometriai	geométrico	geometric
geomorfológia	geomorfología	geomorphology
georg	georg	georg
george	jorge	george
georges	georges	georges
ger	aliso	not a hungarian word
gera	gera	gera
gergely	juan	gregory
germán	alemán	german
get	obtener	english word
gillan	gillan	gilan
gilliam	gilliam	gilliam
gilmour	gilmour	gilmour
gimnázium	escuela secundaria	highschool
gimnáziumban	escuela secundaria	high school
giorgio	giorgio	giorgio
giovanni	giovanni	giovanni
girl	niña	girl
girls	muchachas	girls
gitár	guitarra	guitar
gitárok	guitarras	guitars
gitáros	guitarrista	guitarist
giuseppe	giuseppe	giuseppe
gizella	gizella	gizella 8forename)
gleccserek	glaciares	glaciers
globalizáció	globalización	globalization
globe	globo	"not a hungarian word. ""globe"" means ""földgolyó"""
globedíj	premio globe	globe prize
globális	global	global
glover	glover	glover
gmail	gmail	gmail
gnu	ñu	gnu
goethe	goethe	goethe
gogh	gogh	gogh
gold	oro	english word
golden	dorado	golden
gomb	orbe	button
gomba	seta	mushroom
gombák	hongos	mushrooms
gondok	preocupaciones	troubles
gondolat	pensamiento	thought
gondolata	pensamientos	thought
gondolatok	pensamientos	thoughts
gondolja	pensar	think
gondolják	pensamiento	they think
gondolkodás	pensando	thinking
gondolkodó	pensando	inconsistent examples (both noun and verb has the same written form philospher or thinking )
gondolkodók	pensadores	philosophers
gondolta	pensamiento	thought
gondolták	pensamiento	thought
gondosan	cuidadosamente	carefully
gondot	problema	trouble
gong	gong	gong
gonosz	mal	bad
google	por google	google
gordon	contrabajo	gordon
got	gótico	got
gottfried	gottfried	gottfried
grafikus	gráfico	graphic
grafit	grafito	graphite
graham	graham	graham
gran	gran	gran
grand	grandioso	grand
grande	grande	grande
grant	conceder	grant
gravitációs	gravedad	gravitational
gray	gris	gray
griffin	grifo	griffin
groom	novio	groom
group	grupo	group
gránit	granito	granite
gróf	conde	count
grófja	la cuenta	earl
grófság	condado	countship
grúz	georgiano	georgian
guevara	guevara	guevara
guide	guía	guide
gumó	tubérculo	bump
gusztáv	gustav	gusztáv
guy	chico	guy
gyakori	frecuente	frequent
gyakoriak	común	frequent
gyakoribb	más común	more frequent
gyakorlat	ejercicio	practice
gyakorlatban	en la práctica	practically
gyakorlati	práctico	practical
gyakorlatilag	virtualmente	virtually
gyakorló	practicando	practicing
gyakorolt	en	on
gyakoroltak	ejercitado	impacted
gyakorta	a menudo	often
gyakrabban	más a menudo	more often
gyakran	a menudo	frequently
gyalog	a pie	on foot
gyarmat	colonia	colony
gyarmati	colonial	gyarmati
gyenge	débiles	weak
gyengébb	más débil	weaker
gyerek	niño	child
gyerekek	niños	children
gyerekeket	niños	kids
gyerekkorában	infancia	during sy's childhood
gyermek	niño	child
gyermeke	niños	child of
gyermekei	niños	children
gyermekek	niños	children
gyermekeként	de pequeño	as child
gyermeket	niños	child
gyermekkora	infancia	childhood
gyermekkori	infancia	childhood
gyermekkorában	infancia	in his/her childhood
gyermekét	niños	child of
gyermekük	niños	children
gyilkos	asesino	killer
gyilkosság	asesinato	murder
gyilkosságok	asesinatos	murders
gyom	hierba	weed
gyomor	estómago	stomach
gyors	rápido	rapid
gyorsabb	más rápido	faster
gyorsabban	más rápido	faster
gyorsan	rápido	fast
gyorsforgalmi	autopista	expressway
gyula	alba	gyula (forename)
gyulai	gyula	gyulai
gyulladás	inflamación	inflammation
gyurcsány	gyurcsány	gyurcsány
gyár	fábrica	factory
gyártás	producción	production
gyártása	fabricación	production of
gyártási	fabricación	production
gyártó	fabricante	manufacturer
gyémánt	diamante	diamond
gyémántok	diamantes	diamonds
gyógyfürdő	spa	spa
gyógyhatása	efecto curativo	sg's curative effect
gyógyszer	droga	medicine
gyógyszerek	medicamentos	pharmaceuticals
gyökerei	raíces	roots of
gyöngyház	nácar	mother of pearl
