aajo	смешен	hospitality
olódùmarè	всемогъщ	almighty god
olóyè	владетел	chief
olóṣèlú	политик	politics
olùbátan	този контакт	relative
olùdarí	лидер	director
olùkópa	сътрудник	participant
olùkó	инструктор	teacher
olùkọ́	учител	teacher
omi	вода	water
omiadalu	наводнение	mixture
onialjebra	onialjebra	of algebra
onibugbe	наемател	population
onigbeja	градивен	allied
onigbowo	спонсор	sponsor
onigunfenfe	пасивен	large angle
onilanaibagbepo	презерватив	constitutional
onilile	собствениците на жилища	solid
oninawo	кредитополучател	financial
onipin	рационален	even
onisayensi	техник	scientific
onisowo	търговец	trader
oniyewumeji	двоен	two-chamber
oniyijulo	страхотен	highest honour
onje	диета	food
onka	калкулатор	counter
onígbàgbó	старец	believer
oníkólóbó	обиден	onikolobo (place)
onílẹ̀	надолу	land owners; citizens (omo onile)
oníná	пожар	electronic
onítumò	преводач	meaning
onítèbọmi	кръстените	baptist
onítòhùn	касиер счетоводител	that person
oníwòsàn	лечителят	doctor
oníyanjù	анимирани	persevere
ooni	крокодил	ooni (king)
ootọ́	вярно	truth
opec	опек	opec
opposite	противоположен	odi
ori	глава	top
oriire	честито	success
oriki	ориенталски	name of endearment
orileede	нацията	country
orileedeajoba	империализъм	monarchic country
orilejoba	правителство	seat of government, kingdom
orileominira	топлина	republic
orinìyìn	песен	songs of praise
orisirisi	разнообразие	various
orisun	източник	source
orisa	произход	god
oritameta	по средата	crossway
orudnun	годишен	mispelled...should orundun, century
oruko	съществително	name
oríilè	национален	land
oríilẹ̀	статия	land
oríkì	поезия	family name
orílèèdè	нация	country
orílẹ̀	нация	continent
orílẹ́	вечер	nation
orísiirísi	различни	various
orísìí	разнообразие	type
orísìírísi	различни видове	various
orúko	областта	name
oscar	оскар	oscar
oseluarailu	цивилен	political unit
otherwise	в противен случай	ibaje
otutu	много	coldness
oun	той	it
owojagidijagan	терористи	upheaval
oúnjẹ	храна	food
odún	годината	year
ojó	дъждовно е	day
okùnrín	смях	man
olórun	бог	god
olósìn	религиозен	rearing
odun	годишно	year
olorun	бог	god
omonìyàn	човешки същества	human beings
opolo	много	brain
ose	ose	week
oyé	светски	harmattan
ofò	добро утро	nothingness
opolo	много	brain
paa	изключи	back
paapaa	особено	especially
padá	шушулка	go back
palauan	палауан	palauan
panaˈma	панама	panama
panyanan	знакът	spanish
papa	татко	specifically
parapọ̀	смесица	join
paripari	край	finally
pele	очарователен	hello
penh	пен	penh
penisula	полуостров	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	перла	with
phillipines	филипините	phillipines
pinsi	намаляващата	divided
pinsoto	pinoto	separated
pinu	решена	decide
pipo	много	plenty
pipolongo	реклама	publicise
piposi	много	multiplication
platos	platos	plato's
plánẹ́tì	водопровод	planet
po	po	share
pojulo	най-високата	larger
polandi	лак	poland
polaroid	поляроид	polaroid
population	население	ero
portonovo	портоново	porto novo
portuguese	португалски	portuguese
press	натиснете	press
produced	произведена	yo
protokolu	protocolu	protocol
proton	протон	kemika alaropo
providence	провидение	providence
príncipe	принсипи	principe
pupa	червен	red
px|kùránì	px | ядро	koran or quran; the px  does not belong
pàmò	по-конкретно	pamo (town)
pàràkòyí	веднага	parakoyi
pààlà	граница	signalised
pàápàá	особено	especially
pásíà	мазето	persia
pátáporongodo	абсолютно	entire
pè	наречен	that
pèhìndà	сперма	turned back
pèlu	заедно с	with
pèlúpèlú	също	in addition
pèsè	осигурен	provide
pé	че	that
péré	само	only
péé	че	that
pípa	клане	order
pípèsè	осигуряване	providing
pípẹ́	дълго	long
pòwe	притчи	to say a proverb or wise saying
pò	гънка	join
púpo	твърде много	much
púpò	по-скоро	a lot
quran	коран	quran
ra	купува	self
race	раса	ere
rajya	надежда	rajya
ramadan	рамазан	ramadan
rank	ранг	ipo
reggae	реге	reggae
repeats	повторения	tunso
repetejulo	най-чувствителните	most of all
rere	добре	success
research	изследване	agbeyewo
richard	ричард	richard
right|thumb|px|aworan	дясно | палец | px | изображение	picture
rinle	наскоро	emphasise
riresile	магнетофон	humbled, lowered
riro	въображение	thought as
rn	ина	rn
rna	рнк	rna
rnarna	rnarna	rna-rna
rnas	рнк	rnas
ro	мисля	thought
robinson	робинсън	robinson
roboto	повърхности	round
rogbodiyan	бунт	riot
rokirika	сърфиране	publicise
roko	тълпа	farm work
roma	рим	roma
rome	хром	rome
ronald	роналд	ronald
rorùn	лесно	easy
rossii	россии	rossii
rural	селски	igberiko
ryan	райън	ryan
ráhàn	се появи	complain
ránmú	притеснение	grumble
république	république	republic
ré	° с	his/her
rìn	да вървя	should be orin, song or music
ròyìn	отчетените	give account
rẹ	тя	it
saarc	премахване	saarc
saaree	изключителен	after death
saarland	на пода	saarland
safari	сафари	safari
saffana	сапфир	savannah
safiwe	сравнение	describe
safta	подреждам се	safta
saheli	удобство	sahel
sakyamuni	следващият	sakyamuni
sakyas	сакя	sakyas
salem	салем	salem
salàyé	живот	explained
sambia	младежта	zambia
samioro	на разположение	signal
santa	дядо	santa
say	казвам	so
sb	sb	sb
schwarz	шварц	schwarz
sea	море	odo
seat	седалка	itedo
segbese	възможно	take steps
seidamo	ясно	identify
semolara	астма	accustom
semudaju	разбира се	assure
senegal	сенегал	senegal
sense	смисъл	sensi
seville	севиля	seville
sewadi	търсене	investigate
sharon	шарън	sharon
sibesibe	още	further more
sihamoni	структура	sihamoni
sile	зад	previously
silè	капки	on the ground
sinai	грях	sinai
sinsin	религия	unshakably
sioux	сиукски	sioux
sise	готвене	works
sisodagba	раста	came of age
sisopo	свързване	joined
sisupapoerekusu	плюене	neighbouring islands
sisupo	умножете	concentrated
slovo	слово	slovo
so	любов	turned
sohun	да	something
solomon	соломон	solomon
soon	скоро	lai'pe
sopin	край	ended
so	така	tells
spectacular	грандиозен	damanran
stella	стела	stella
structures	структури	igbekale
suez	суец	suez
sugbo	но не	but
sugbọ́n	рационален	but, however
sun	слънце	sleep
suny	suny	suny
swahili	суахили	swahili
symmetry	симетрия	ogbooga
sàbúrí	над всички	saburi
sàmì	знак	signalize
sàn	толкова по-добре	flow
sàngó	банда	sango (god of thunder)
sàì	добре	un
sápadè	този ден	run to
sáàpàdé	спонсорство	saapade
sáààrin	между	between
são	новият	sao
sèle	кражба	down
ségun	плача	conquered
sénégal	сперма	senegal
séyìn	обратно	back
séyìn	гърба	at the back of
sìbẹ̀	още	there
sìni	скарида	likewise
síbèsíbè	въпреки това	further more
síbú	на земята	ocean
sílẹ̀	разочаровам	drop
síse	работа	doing
síso	все още	spoken
síso	все още	saying
síta	извън	outing
síwon	тях	to them
síwájú	напред	comes before
síí	тук	on it
sòrò	промиване на мозъка	talk
sójà	войник	soldier
sóko	растение	to the farm
sùgbón	напротив	but
sọ	казвам	lose
si	разбира се	to
síse	структура	performing
sùgbón	напротив	but
se	те правят	do
sepò	накрая	cooperation
sisé	тренирам	work
sááju	отделете малко	before
sísa	s .ía	to be
sísè	превод	step
tabi	или	or
tabili	маса	table
tabora	избягване	tabora
taino	дино	taino
tainos	tainos	tainos
takuntakun	ограничения	valiant
talaka	беден	poor
talika	бедност	the poor
tara	девет	wholly
tata	филтър	wildly
taínos	taínos	tainos
technology	технология	tekinoloji
tedo	запознанства	stay
teksas	texas	texas
tele	последващи действия	before
temptation	търсене	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	на	does no directly translate
they	те	won
those	тези	awon
thumb|left|upright|nelson	палец | вляво | изправен | нелсън	apa osi naro
tira	напрегнат	quranic verse
tirana	тирана	tirana
tirè	му	own
titu	фотосесия	cold (if it's a person's name, it is tutu)
tiwọn	техни	theirs
to	да се	it
toje	рядък	that is
tokasi	посочен	pointing to
tokyo	токио	tokyo
tolerejulo	поносим	most profitable
tolórítelémù	унищожение	all manners of people
tomé	домат	tome
tooto	наистина ли	true
tori	тори	because
torun	брюнетка	heavenly
toseluaralu	политически	political
tounsejanu	трагичен	control
traduite	traduite	traduite
translated	преведена	tunmo
tumosi	средства	means
tuntun	нов	new
tàsí	без	or
tàwon	тях	theirs
táawà	да се поклоним	we
tèlé	последващи действия	before
tètè	бързо	quickly
tèlé	веднага	follow
tèsíwájú	да постигнем напредък	progress
té	t	follow
télè	от	before
té	t	shamed
títi	затворен	till
títèlé	да последвам	following
títío	до	until
tíátà	билети	theater
tíórì	гуми	that is seen
tò	комплект	enough
tóbi	голям	big
tódárajùlọ	най-доброто	most beautiful
tókù	почивка	others
tówùú	всяка сума	whatever
tó	tó	taught
tóka	цитирано	pointed
tú	наливам	untie
túmò	слива	means
túnse	пренареждане	restructured
tẹ̀ǹbẹ̀	тогава	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	конспирирам	bitterness
ucb	ucb	ucb
umueri	деца	umueri
unifasiti	университет	university
unla	да	great
urasílì	урацил	uracil
uribe	аурата	uribe
usps	usps	usps
utah	юта	utah
utc	utc	utc
uzbek	начинът	uzbek
venezuela	венецуела	venezuela
vermont	върмонт	vermont
victor	победител	victor
videos	видеоклипове	fidio
vihara	vihara	vihara
villa	вила	villa
viruses	вируси	awon eran
visit	посещение	ibewo
vz	в.з.	vz
waa	то е	ours
waju	лице	future
wari	мирис	once existing
westminster	английският парламент	westminster
wisconsin	уисконсин	wisconsin
witkin	witkin	witkin
wiwari	откритие	discovered
województwo	лудост	wojewodztwo
wole	впиши се	into
woo	стремя се да спечеля	look
wo	тук	enter
wo	тук	look
won	тях	they
wura	злато	gold
wyoming	уайоминг	wyoming
wàásù	проповед	preach
wì	измивам	that
wípè	яснота	that
wòfún	бегъл поглед	convenient
wònyí	това са	these
wón	тях	they
wúnrèn	разработете	small amount
wọn	тях	they
wọ̀nyí	тези	these
xd	xd	xd
xiv	xiv	xiv
yafran	азбука	yafran
yakubu	якуб	yakubu
yan	изберете	choose
yanjú	решителност	solve
yanturu	много	abundant
yaoundé	яунде	yaounde
yewo	подобрение	examine
ye	да	suitable
ye	да	should
yindinyindin	никога не спирай	brightly
yio	ще	will
yiowu	ще стане	any
yipada	обърни се	change
yiyafunnilo	ерозия	borrow
yoo	ще	will
yori	водена	result
york	йорк	york
yorúbà	кисело мляко	yoruba
yo	yo	remove
yànan	учудване	scattered
yàtò	настройвам	other than
yára	побързай	quickly
yèwò	виж	examine
yée	да ги оставим	eplained to
yì	отивам	this
yìí	това	this
yí	обърни се	this
yíyípadà	промяна	changed
yíì	ти ще	this
yíò	ще стане	it will
yẹ̀ẹ́	нали знаете	check
yọ	премахване	bring out
zanzibar centralsouth	занзибар централен	zanzibar centralsouth
zdna	zdna	z-dna
zou	зоу	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	далеч	bce
àbe	павиан	under
àbámẹ́ta	четвъртък	saturday
àbáyo	внушение	breakthrough
àbìkú	безсмъртие	'born to die' child
àbọ̀	наполовина	result
àdámò	поверителност	earmark
àdátá	обратното	adata
àdáátán	изключителен	adaatan
àdóolóró	масло	bomb
àgbàjọ	стария човек	assembly
àgbàrá	наводнение	power
àgbáríjọ	организация	combination
àgbékà	абстрактен	suitable
àgbéyèwò	преглед	examination
àgbìgbò	квартал	a type of bird
àgbùdo	двор	corn
àgọ́	палатка	ago
àifète	предназначение	unable to keep quiet
àjo	пътуване	board
àjákọ	на части	ajako
àjọṣepọ̀	социален	union
àkosílè	абстракция	written
àkosílè	теза	written account
àkàrà	торти	bean pudding
àká	рафтовете	store
àkójopò	група	collection
àkókó	времето	previous
àlàkalè	цели	breakdown, explanation of actions
àlàyé	информация	explanation
àlàáfíà	мир	peace
àlááfià	аналогия	wellbeing
àlè	копеле	mistress, concubine, (side booty)
àlèpò	по-горе	joined together
àlébù	недостатък	ills
àmérìkà	свръхестествен	america
àmì	знак	sign
àmúlò	практичен	synonyms
àmúsorò	психология	resources
ànfàní	възможност	opportunity
àpapọ̀	като цяло	federal
àpeere	пример	example
àrígbámú	смущаващи	assistant
àrùn	болест	disease
àrẹ	президент	president
àse	пир	authority
àsàjemátèe	разсъмване	cunning
àsèyìn	отава	at the end
àsìkò	път	time
àsótélè	разширение	prophecy
àsọdọ̀kan	единство	unitary
àsekúdórógbó	кора	do or die
àsà	персонализиран	habit, culture, norm
àtijo	остарял	olden days
àtìpó	чужденецът	sojourn
àtòrìnká	кръг около	urinating while walking
àtúnse	редактиране	modification
àtúnse	редактиране	renovate, fix
àtẹnudẹ́nu	орално	oral
àwon	теории	they
àwón	парите	the
àwón	пари	the
àwùjo	общество	community
ààtò	ритуал	suitability
ààyè	жив	space
àárín	по средата	middle
àáyá	сперма	seconds
àìkó	дефицит	unlearned
àìní	искам	lack
àìròtélè	неочакван	unthought of
àìsí	отсъствие	lack
án	t	it
áwon	разврат	those
èbà	комар	cassava flour food
èbúté	порт	shore
èdá	създаване	creature
èdè	език	language
èdè	език	language
èfòn	напрегнат	efon
èhìn	следващият	outskirt
èka	клон	branch
èkejì	другият	second
èlò	прибори	tool
ènìkan	нещо	someone
èràn	болест	virus
èrò	мисли	thoughts
èsó	джамия	modesty
èsúrú	мравки	yam (indigenous to west africa)
ète	предназначение	plan
èyì	достойнство	this
èka	ефект	branch
èro	мисли	machine
èrí	доказателства	witness
èsìn	религия	religion
èwù	риза	clothe
èpón	много	modifier
ìbarà	треска	ibara (town)
ìbánisòrò	връзката	dialogue
ìbáraeni	превоз	to themselves
ìbílè	първородството	local
ìbílè	първородството	local
ìdàgbà	старост	grow
ìdàpapọ̀	консолидация	union
ìdàrúdàpò	хаос	misunderstanding
ìdá	дезертьорство	division
ìdìmú	смущение	branch, part
ìdíisin	кауза	idi-isin
ìdíwòn	твоята причина	criteria
ìdó	ужилване	ido (a person's name)
ìfara	изтезание	self
ìfojúìtànìgbesiayé	житейска история	biography
ìfáàrà	свещеник	introduction
ìgbonnìbí jé	това е катастрофа	igbonnibi
ìgbà	път	when
ìgbàgbé	разсеян	forgetfulness
ìgbá	крила	time
ìgbáraga	сила	pride
ìgbéraga	гордост	pride
ìgbésí	живот	life
ìgbò	овен	igbo people
ìhun	желязо	things
ìjo	танцувам	church
ìjo	църквата	church
ìjoba	правителство	government
ìjora	омразата	resemblance
ìjìnlè	мистерия	comprehensive
ìjìnlè	мистерия	mysterious
ìjò	водач	consent
ìjọba	правителство	government
ìkejì	другият	second
ìkànna	същото	ikanna (town)
ìkèrèkú	задръствания	ikereku
ìkéde	декларация	advert
ìkìjà	предизвикателство	ikija
ìkìlò	злоупотреба	warning
ìkínin	шестият	greetings
ìkẹrin	четвъртият	fourth
ìkọpa	участие	ikopa
ìlera	здраве	health
ìlo	повикване	use
ìlà	очертание	border
ìlànàn	илюзия	procedure
ìlàorùn	синини	east
ìlàìnàró	потисничество	vertical
ìlè	подкупничество	land
ìlé	у дома	land
ìmò	змия	knowledge
ìmò	мълния	knowledge
ìmóbìdo	рожденото право	imobido
ìmú	нос	knowledge
ìmúnilérú	злоупотреби	slavery
ìmúsára	да подсиля	contagious
ìnagije	победа	alias
ìnáwó	разход	expenditure
ìpolongo	реклама	advertisement
ìpìlẹ̀núkléù	криптиране	base
ìpìnlè	началото	foundation
ìpínrò	параграфи	economize
ìrànlọ́wọ́	помогне	help
ìrànàna	помогне	path-clearing
ìràwọ̀	звездите	s
ìrí	опит	sight
ìròkò	мисъл	iroko
ìròyìn	новини	news
ìròyìnwiki	новини	wikinews
ìròrùn	илюзия	peaceful
ìró	звук	sound
ìrúbo	колапс	sacrifice
ìsawo	гадаене	divinity-practice
ìse	действие	behaviour
ìsinsìnyí	сега	modern
ìsirò	изчисление	adding
ìsomó	да се присъединя	attachment
ìsàlè	залез	down town
ìsèlè	производство	happening
ìsìn	религия	worship
ìsòrò	медитация	speech
ìsòrí	подразделение	chapter
ìsú	дебелина	lump
ìsọ	магазини	stall
ìse	действие	work
ìsègbèfábo	усърдие	female support
ìsèdá	създаване	creation
ìsèjoba	правителство	government
ìsílé	у дома	house opening
ìsòro	затруднение	problem
ìse	действие	action
ìta	извън	outside
ìtaeko	цех	outskirts of eko
ìtan	история	story
ìtokò	гърнето	story
ìtàn	история	history
ìtànkálé	наводнения	spread
ìtèsíwájú	прогрес	progress
ìtójú	грижа	treatment
ìtóju	объркване	treatment
ìtójú	изражения на лицето	treatment
ìtóka	да бъдат бити	dictionary
ìtúmò	превод	meaning
ìtúpalè	превод	exposition
ìwe	сравнение	book
ìwo	рога	horn
ìwàásù	проповядване	sermon
ìwéré	книжка	iwere (town)
ìwò	цялостен	set
ìwòran	зрение	viewing
ìwúlò	полезен	usefulness
ìya	страдание	mother
ìyapa	отделяне	divorce
ìyàwó	булката	wife
ìyípadà	конверсия	transformation
ìṣèlú	политика	politics
ìṣẹ́kù	останалата част	broken
ìṣọ̣̀tẹ̣̀	пневмония	rebellion
òde	извън	society
òdeojú	безличен	surface
òdo	младежта	zero
òdìkejì	другият	opposite
òféàrán	изображение	a town name
ògbójú	компетентен	brave
ògiri	стена	wall
ògo	слава	glory
ògun	лекарство	medicine
ògúndìpẹ̀	ронлив	ogundipe
òjo	изглежда като	ojo
òjísé	лекарят	servant
òkèògbún	хиляда	oke-ogbun
òkòòkan	един по един	each
òkú	трупове	corpse
òkúta	камък	stone
òle	домакиня	lazy
òmiràn	магьосникът	other
òmùàrán	изображение	omu-aran (town)
òní	днес	today
òotó	истина	true
òpópóònà	път	highway
òranyàn	задължителен	a must
òrìsà	идолите	god
òrí	глава	top
òrò	мозък	word
òsán	по обяд	afternoon
òsèlú	политик	politics
òsèré	спортист	player
òwù	кърпа	owu
òṣèlú	политика	politician
òjògbón	дъждовно време	learned person
òkan	един	heart
òkòòkan	един по един	each
òpòlopò	много	many
òré	игра	friend
òfò	следващият	sorrowful
òpòlopo	много	lot of
òré	игра	friend
òrò	мисли	word
òsà	златна рибка	lagoon
òwó	пари	hand
òrò	мисли	word
òròàjòmó	сутрините	part of speech
ó	то	that
óníse	той е дизайнер	stricken
ósírísì	слюнка	diverse
ósékú	той е мъртъв	die suddenly
ó	да	word
ôdún	година	year
únṣẹlẹ̀	земетресение	formed
şe	правя	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪkælɪfɔrnjə	not yoruba
ˌæləˈbæmə	болест	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	отвор	work
ṣàkóbá	вреден	incriminate
ẹdo	шега	edo
ẹlẹ́bùn	подарък	award winner
ẹlẹ́sìn	религиозен	religionist
ẹnìkan	един човек	someone
ẹsẹ	крака	verse
ẹtì	черен дроб	friday
ẹ̀kaawon	становища	branch of
ẹ̀kabrítánì	чичо	part of britain
ẹ̀kajuly	може	chapter july
ẹ̀kaoṣù	трънлив	month
ẹ̀kasístẹ̀mù	субективен	sistemu=system
ẹ̀kẹ́ta	третият	third, the third
ẹ̀kọ́	образование	teachings
ẹ̀ni	сзо	person
ẹ̀rọ	машини	machine
ẹ̀wẹ̀	от друга страна	leaf
ọbàkàn	полу брат	step-sister
ọdún	година	year
ọlọ́mọ	деца	members
ọlọ́run	бог	god
ọmú	не струваш	breast
ọmọ	дете	c
ọn	то	him
ọpọ́lọpọ́	смокини	many
ọ̀dọ́	младежта	youth
ọ̀gbìn	растение	seedlings
ọ̀nà	път	ways
ọ̀pòlòpò	действие	various
ọ̀rọ̀	говоря	word
ọ̀sẹ	седмица	week
