aajo	saçma	hospitality
nítorípé	çünkü	because
nítumò	anlamı	meaningful
nítòsí	yakında	nearby
nítòótó	kesinlikle	truly
nítòótọ́	aslında	in truth, truthfully
níwájú	önde	in front
níyanjú	pozitif olarak	solved
nǹkan	şey	things
nso	çok yakında	say
oba	obama	king
obairanderan	hala kızı	hereditary
obere	küçük	started
obínibí	nezaket	inborn
ododo	doğruluk	righteousness
ofin	kanun	law
ogbè	bölge	a divinity
ogun	savaş	war
ogunlogo	kalabalık	hundreds
ojo	gibi görünmek	day
ojojumo	günlük	daily
ojoru	sıcaklık	wednesday
ojukokoro	açgözlülük	covetousness
ojuoorun	gün batımı	atmosphere
ojuse	sorumluluk	responsibility
ojùkòsì	yağış	ojukosi
ojùkòtúu	yağış	ojukotuu
ojúlùmọ̀	eş dost	acquaintance
ojútáyé	viskozite	public
ojúìwé	sayfa	page
okeere	denizaşırı	distant
okhotsk	okhotsk	okhotsk
oko	alan	farm
okunkun	karanlık	darkness
okunrin	adam	male person
olodiajodojuko	herbiri	facing wall
olohun	sahipleri	god
olojukanna	hemen	same surface
olokunkun	kulaklık	popular
ololugbe	ezik	occupants
olopon	mağrur	a local game
olora	şişman	fertile
oloselukan	merhaba	one political
oloye	deha	chief
oluda	yaratıcı	creator
oludase	üretici	separatist
olukoitan	eğitmen	the writer
olukowe	yazar	writer
olumojuto	açgözlü	overseer
oluparapo	kombinasyon	joint
olusoju	bekçi	ambassador
oluwakiri	keşif	explorer
olympus	olimpos	olympus
olódùmarè	allah	almighty god
olóyè	cetvel	chief
olóṣèlú	politikacı	politics
olùbátan	bu iletişim	relative
olùdarí	lider	director
olùkópa	iştirakçi	participant
olùkó	eğitmen	teacher
olùkọ́	öğretmen	teacher
omi	su	water
omiadalu	sel	mixture
onialjebra	onialjebra	of algebra
onibugbe	kiracı	population
onigbeja	yapıcı	allied
onigbowo	bir sponsor	sponsor
onigunfenfe	pasif	large angle
onilanaibagbepo	prezervatif	constitutional
onilile	ev sahipleri	solid
oninawo	borçlu	financial
onipin	akılcı	even
onisayensi	teknisyen	scientific
onisowo	tüccar	trader
oniyewumeji	ikili	two-chamber
oniyijulo	müthiş	highest honour
onje	diyet	food
onka	hesap makinesi	counter
onígbàgbó	yaşlı adam	believer
oníkólóbó	küfürbaz	onikolobo (place)
onílẹ̀	aşağı	land owners; citizens (omo onile)
oníná	ateş	electronic
onítumò	çevirmen	meaning
onítèbọmi	vaftiz	baptist
onítòhùn	muhasebeci	that person
oníwòsàn	şifacı	doctor
oníyanjù	animasyonlu	persevere
ooni	timsah	ooni (king)
ootọ́	doğru	truth
opec	opec	opec
opposite	karşısında	odi
ori	kafa	top
oriire	tebrikler	success
oriki	oryantal	name of endearment
orileede	millet	country
orileedeajoba	emperyalizm	monarchic country
orilejoba	hükümet	seat of government, kingdom
orileominira	sıcaklık	republic
orinìyìn	bir şarkı	songs of praise
orisirisi	çeşitlilik	various
orisun	kaynak	source
orisa	kökenleri	god
oritameta	ortada	crossway
orudnun	yıllık	mispelled...should orundun, century
oruko	isim	name
oríilè	ulusal	land
oríilẹ̀	makale	land
oríkì	şiir	family name
orílèèdè	ulus	country
orílẹ̀	ulus	continent
orílẹ́	akşam	nation
orísiirísi	çeşitli	various
orísìí	çeşitlilik	type
orísìírísi	farklı şekiller	various
orúko	alan	name
oscar	oskar	oscar
oseluarailu	sivil	political unit
otherwise	aksi takdirde	ibaje
otutu	çok	coldness
oun	o	it
owojagidijagan	teröristler	upheaval
oúnjẹ	gıda	food
odún	yıl	year
ojó	hava yağmurlu	day
okùnrín	kahkaha	man
olórun	tanrı	god
olósìn	dini	rearing
odun	yıllık	year
olorun	tanrı	god
omonìyàn	insanlar	human beings
opolo	çok	brain
ose	ose	week
oyé	dünya	harmattan
ofò	günaydın	nothingness
opolo	çok	brain
paa	kapat	back
paapaa	özellikle	especially
padá	koza	go back
palauan	palauan	palauan
panaˈma	panama	panama
panyanan	boşluk	spanish
papa	baba	specifically
parapọ̀	harman	join
paripari	son	finally
pele	büyüleyici	hello
penh	penh	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	inci	with
phillipines	phillipines	phillipines
pinsi	azalan	divided
pinsoto	pinoto	separated
pinu	belirlenen	decide
pipo	çok	plenty
pipolongo	i̇lan	publicise
piposi	çok	multiplication
platos	platos	plato's
plánẹ́tì	su tesisatı	planet
po	po	share
pojulo	en yüksek	larger
polandi	lehçe	poland
polaroid	polaroid	polaroid
population	nüfus	ero
portonovo	portonovo	porto novo
portuguese	portekizce	portuguese
press	basın	press
produced	üretilmiş	yo
protokolu	protocolu	protocol
proton	proton	kemika alaropo
providence	ihtiyat	providence
príncipe	príncipe	principe
pupa	kırmızı	red
px|kùránì	px |	koran or quran; the px  does not belong
pàmò	özellikle	pamo (town)
pàràkòyí	hemen	parakoyi
pààlà	sınır	signalised
pàápàá	özellikle	especially
pásíà	bodrum	persia
pátáporongodo	kesinlikle	entire
pè	aranan	that
pèhìndà	meni	turned back
pèlu	ile birlikte	with
pèlúpèlú	ayrıca	in addition
pèsè	sağlanan	provide
pé	o	that
péré	sadece	only
péé	o	that
pípa	katliam	order
pípèsè	önlem	providing
pípẹ́	uzun	long
pòwe	atasözleri	to say a proverb or wise saying
pò	kat	join
púpo	çok fazla	much
púpò	daha doğrusu	a lot
quran	kuran	quran
ra	satın	self
race	yarış	ere
rajya	umut	rajya
ramadan	ramazan	ramadan
rank	rütbe	ipo
reggae	reggae	reggae
repeats	tekrarlar	tunso
repetejulo	en duyarlı	most of all
rere	iyi	success
research	araştırma	agbeyewo
richard	richard	richard
right|thumb|px|aworan	sağ | başparmak | px | resim	picture
rinle	yeni	emphasise
riresile	ses kayıt cihazı	humbled, lowered
riro	hayal gücü	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rna&#39;lar	rnas
ro	düşünmek	thought
robinson	robinson	robinson
roboto	yüzeylerinin	round
rogbodiyan	isyan	riot
rokirika	tarama	publicise
roko	çete	farm work
roma	roman	roma
rome	krom	rome
ronald	ronald	ronald
rorùn	kolay	easy
rossii	rossii	rossii
rural	kırsal	igberiko
ryan	ryan	ryan
ráhàn	ortaya çıktı	complain
ránmú	endişelenmek	grumble
république	république	republic
ré	c	his/her
rìn	yürümek	should be orin, song or music
ròyìn	rapor	give account
rẹ	ona	it
saarc	kaldırmak	saarc
saaree	üstün	after death
saarland	yerde	saarland
safari	safari	safari
saffana	safir	savannah
safiwe	karşılaştırma	describe
safta	sıralanmak	safta
saheli	kolaylık	sahel
sakyamuni	sonraki	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	hayat	explained
sambia	gençlik	zambia
samioro	mevcut	signal
santa	santa	santa
say	söyle	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	deniz	odo
seat	oturma yeri	itedo
segbese	belki	take steps
seidamo	açık	identify
semolara	astım	accustom
semudaju	elbette	assure
senegal	senegal	senegal
sense	duyu	sensi
seville	sevilla	seville
sewadi	arama	investigate
sharon	sharon	sharon
sibesibe	hala	further more
sihamoni	yapı	sihamoni
sile	arkasında	previously
silè	damla	on the ground
sinai	günah	sinai
sinsin	din	unshakably
sioux	sioux	sioux
sise	yemek pişirme	works
sisodagba	büyümek	came of age
sisopo	bağlama	joined
sisupapoerekusu	tükürme	neighbouring islands
sisupo	çarpmak	concentrated
slovo	slovo	slovo
so	aşk	turned
sohun	evet	something
solomon	solomon	solomon
soon	yakında	lai'pe
sopin	son	ended
so	yani	tells
spectacular	muhteşem	damanran
stella	stella	stella
structures	yapıları	igbekale
suez	süveyş	suez
sugbo	ama değil	but
sugbọ́n	akılcı	but, however
sun	güneş	sleep
suny	suny	suny
swahili	svahili	swahili
symmetry	simetri	ogbooga
sàbúrí	her şeyden önce	saburi
sàmì	bir işaret	signalize
sàn	daha iyi	flow
sàngó	çete	sango (god of thunder)
sàì	iyi	un
sápadè	bugün	run to
sáàpàdé	kefillik	saapade
sáààrin	arasında	between
são	yeni olan	sao
sèle	çalma	down
ségun	ağlamak	conquered
sénégal	meni	senegal
séyìn	geri	back
séyìn	geri	at the back of
sìbẹ̀	hala	there
sìni	karides	likewise
síbèsíbè	yine de	further more
síbú	yere	ocean
sílẹ̀	hayal ırıklığına uğratmak	drop
síse	iş	doing
síso	yine	spoken
síso	yine	saying
síta	dışarıda	outing
síwon	onları	to them
síwájú	ileriye	comes before
síí	buraya	on it
sòrò	beyin yıkamak	talk
sójà	asker	soldier
sóko	bitki	to the farm
sùgbón	aksine	but
sọ	söyle	lose
si	kesinlikle	to
síse	yapı	performing
sùgbón	aksine	but
se	onlar yapar	do
sepò	en sonunda	cooperation
sisé	egzersiz yapmak	work
sááju	bir dakika	before
sísa	s .ía	to be
sísè	tercüme	step
tabi	veya	or
tabili	tablo	table
tabora	kaçınma	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	kısıtlamaları	valiant
talaka	yoksul	poor
talika	yoksulluk	the poor
tara	dokuz	wholly
tata	filtre	wildly
taínos	tainos	tainos
technology	teknoloji	tekinoloji
tedo	escort	stay
teksas	teksas	texas
tele	takip et	before
temptation	arayan	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the		does no directly translate
they	onlar	won
those	şunlar	awon
thumb|left|upright|nelson	başparmak | sol | dik | nelson	apa osi naro
tira	gergin	quranic verse
tirana	tiran	tirana
tirè	onun	own
titu	ateş etmek	cold (if it's a person's name, it is tutu)
tiwọn	onların	theirs
to	için	it
toje	nadir	that is
tokasi	dikkat çekti	pointing to
tokyo	tokyo	tokyo
tolerejulo	tolere	most profitable
tolórítelémù	soykırım	all manners of people
tomé	domates	tome
tooto	gerçekten mi	true
tori	tori	because
torun	esmer	heavenly
toseluaralu	siyasi	political
tounsejanu	trajik	control
traduite	traduite	traduite
translated	tercüme	tunmo
tumosi	anlamına geliyor	means
tuntun	yeni	new
tàsí	olmadan	or
tàwon	onları	theirs
táawà	eğilmek	we
tèlé	takip et	before
tètè	hızlı bir şekilde	quickly
tèlé	hemen	follow
tèsíwájú	ilerleme kaydetmek	progress
té	t	follow
télè	tarafından	before
té	t	shamed
títi	kapalı	till
títèlé	takip etmek	following
títío	a kadar	until
tíátà	biletler	theater
tíórì	lastikler	that is seen
tò	ayarlamak	enough
tóbi	büyük	big
tódárajùlọ	en iyisi	most beautiful
tókù	dinlenme	others
tówùú	herhangi bir miktar	whatever
tó	tó	taught
tóka	anılan	pointed
tú	dökmek	untie
túmò	erik	means
túnse	yeniden düzenlemek	restructured
tẹ̀ǹbẹ̀	sonra	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	bir gizli anlaşma	bitterness
ucb	ucb	ucb
umueri	çocuklar	umueri
unifasiti	üniversite	university
unla	evet	great
urasílì	urasil	uracil
uribe	aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	yol	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	galip	victor
videos	videolar	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	virüsler	awon eran
visit	ziyaret etmek	ibewo
vz	vz	vz
waa	bu	ours
waju	yüz	future
wari	koku	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	keşif	discovered
województwo	cheworddztwo	wojewodztwo
wole	oturum aç	into
woo	kur yapmak	look
wo	buraya	enter
wo	buraya	look
won	onları	they
wura	altın	gold
wyoming	wyoming	wyoming
wàásù	vaaz vermek	preach
wì	yıkamak	that
wípè	berraklık	that
wòfún	bakış	convenient
wònyí	bunlar	these
wón	onları	they
wúnrèn	egzersiz yapmak	small amount
wọn	onları	they
wọ̀nyí	bunlar	these
xd	xd	xd
xiv	xiv	xiv
yafran	alfabe	yafran
yakubu	yakub	yakubu
yan	seçmek	choose
yanjú	çözmek	solve
yanturu	bol	abundant
yaoundé	yaoundé	yaounde
yewo	gelişme	examine
ye	evet	suitable
ye	evet	should
yindinyindin	asla durma	brightly
yio	acak	will
yiowu	olacak	any
yipada	arkanı dön	change
yiyafunnilo	erozyon	borrow
yoo	niyet	will
yori	led	result
york	york	york
yorúbà	yoğurt	yoruba
yo	yo	remove
yànan	şaşkınlık	scattered
yàtò	kurmak	other than
yára	acele et	quickly
yèwò	bak	examine
yée	bırak onları	eplained to
yì	git	this
yìí	bu	this
yí	arkanı dön	this
yíyípadà	değişiklik	changed
yíì	olacaksın	this
yíò	olacak	it will
yẹ̀ẹ́	bilirsin	check
yọ	kaldırmak	bring out
zanzibar centralsouth	zanzibar merkezisouth	zanzibar centralsouth
zdna	z-dna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	uzakta	bce
àbe	habeş maymunu	under
àbámẹ́ta	perşembe	saturday
àbáyo	öneri	breakthrough
àbìkú	ölümsüzlük	'born to die' child
àbọ̀	yarım	result
àdámò	gizlilik	earmark
àdátá	tam tersi	adata
àdáátán	özel	adaatan
àdóolóró	sıvı yağ	bomb
àgbàjọ	yaşlı adam	assembly
àgbàrá	sel	power
àgbáríjọ	organizasyon	combination
àgbékà	öz	suitable
àgbéyèwò	gözden geçirmek	examination
àgbìgbò	komşuluk	a type of bird
àgbùdo	avlu	corn
àgọ́	çadır	ago
àifète	amaç	unable to keep quiet
àjo	seyahat	board
àjákọ	ayrı	ajako
àjọṣepọ̀	sosyal	union
àkosílè	soyutlama	written
àkosílè	tez	written account
àkàrà	kekler	bean pudding
àká	raflar	store
àkójopò	grup	collection
àkókó	zaman	previous
àlàkalè	hedefler	breakdown, explanation of actions
àlàyé	bilgi	explanation
àlàáfíà	barış	peace
àlááfià	analoji	wellbeing
àlè	piç	mistress, concubine, (side booty)
àlèpò	yukarıda	joined together
àlébù	leke	ills
àmérìkà	doğaüstü	america
àmì	i̇şaret	sign
àmúlò	pratik	synonyms
àmúsorò	psikoloji	resources
ànfàní	fırsat	opportunity
àpapọ̀	bir bütün olarak	federal
àpeere	misal	example
àrígbámú	rahatsız edici	assistant
àrùn	hastalık	disease
àrẹ	devlet başkanı	president
àse	bayram	authority
àsàjemátèe	şafak	cunning
àsèyìn	sonrasının	at the end
àsìkò	zaman	time
àsótélè	uzantı	prophecy
àsọdọ̀kan	birlik	unitary
àsekúdórógbó	bağırmak	do or die
àsà	görenek	habit, culture, norm
àtijo	eski	olden days
àtìpó	uzaylı	sojourn
àtòrìnká	dönel kavşak	urinating while walking
àtúnse	düzenle	modification
àtúnse	düzenle	renovate, fix
àtẹnudẹ́nu	oral	oral
àwon	teoriler	they
àwón	para	the
àwón	para	the
àwùjo	toplum	community
ààtò	ayin	suitability
ààyè	canlı	space
àárín	ortada	middle
àáyá	meni	seconds
àìkó	eksiklik	unlearned
àìní	istemek	lack
àìròtélè	beklenmedik	unthought of
àìsí	yokluk	lack
án	t	it
áwon	zina	those
èbà	sivrisinekler	cassava flour food
èbúté	liman	shore
èdá	oluşturma	creature
èdè	dil	language
èdè	dil	language
èfòn	gergin	efon
èhìn	sonraki	outskirt
èka	şube	branch
èkejì	diğeri	second
èlò	mutfak eşyaları	tool
ènìkan	bir şey	someone
èràn	hastalık	virus
èrò	düşünceler	thoughts
èsó	cami	modesty
èsúrú	karıncalar	yam (indigenous to west africa)
ète	amaç	plan
èyì	haysiyet	this
èka	etki	branch
èro	düşünceler	machine
èrí	kanıt	witness
èsìn	din	religion
èwù	gömlek	clothe
èpón	çok	modifier
ìbarà	ateş	ibara (town)
ìbánisòrò	bağlantı	dialogue
ìbáraeni	taşıma	to themselves
ìbílè	doğuştan kazanılan hak	local
ìbílè	doğuştan kazanılan hak	local
ìdàgbà	yetişkinlik	grow
ìdàpapọ̀	sağlamlaştırma	union
ìdàrúdàpò	kaos	misunderstanding
ìdá	firar	division
ìdìmú	rahatsızlık	branch, part
ìdíisin	sebep olmak	idi-isin
ìdíwòn	senin sebebin	criteria
ìdó	acı	ido (a person's name)
ìfara	işkence	self
ìfojúìtànìgbesiayé	hayat hikayesi	biography
ìfáàrà	rahip	introduction
ìgbonnìbí jé	bu bir felaket	igbonnibi
ìgbà	zaman	when
ìgbàgbé	unutkan	forgetfulness
ìgbá	kanatlar	time
ìgbáraga	kuvvet	pride
ìgbéraga	gurur	pride
ìgbésí	hayat	life
ìgbò	veri deposu	igbo people
ìhun	demir	things
ìjo	dans	church
ìjo	kilise	church
ìjoba	hükümet	government
ìjora	nefret	resemblance
ìjìnlè	gizem	comprehensive
ìjìnlè	gizem	mysterious
ìjò	önder	consent
ìjọba	hükümet	government
ìkejì	diğeri	second
ìkànna	aynısı	ikanna (town)
ìkèrèkú	tıkanıklık	ikereku
ìkéde	deklarasyon	advert
ìkìjà	meydan okuma	ikija
ìkìlò	taciz	warning
ìkínin	altıncı	greetings
ìkẹrin	dördüncü	fourth
ìkọpa	katılım	ikopa
ìlera	sağlık	health
ìlo	aramak	use
ìlà	taslak	border
ìlànàn	yanılsama	procedure
ìlàorùn	morarma	east
ìlàìnàró	baskı	vertical
ìlè	rüşvet	land
ìlé	ev	land
ìmò	yılan	knowledge
ìmò	şimşek	knowledge
ìmóbìdo	doğum hakkı	imobido
ìmú	burun	knowledge
ìmúnilérú	suistimaller	slavery
ìmúsára	güçlendirmek için	contagious
ìnagije	zafer	alias
ìnáwó	harcama	expenditure
ìpolongo	reklâm	advertisement
ìpìlẹ̀núkléù	şifreleme	base
ìpìnlè	başlangıç	foundation
ìpínrò	paragraflar	economize
ìrànlọ́wọ́	yardım	help
ìrànàna	yardım	path-clearing
ìràwọ̀	yıldızlar	s
ìrí	deneyim	sight
ìròkò	düşünce	iroko
ìròyìn	haberler	news
ìròyìnwiki	haberler	wikinews
ìròrùn	yanılsama	peaceful
ìró	ses	sound
ìrúbo	çöküş	sacrifice
ìsawo	kehanet	divinity-practice
ìse	aksiyon	behaviour
ìsinsìnyí	şimdi	modern
ìsirò	hesaplama	adding
ìsomó	katılmak	attachment
ìsàlè	gün batımı	down town
ìsèlè	üretim	happening
ìsìn	din	worship
ìsòrò	meditasyon	speech
ìsòrí	altbölüm	chapter
ìsú	kalınlık	lump
ìsọ	dükkanlar	stall
ìse	aksiyon	work
ìsègbèfábo	çalışkanlık	female support
ìsèdá	oluşturma	creation
ìsèjoba	hükümet	government
ìsílé	ev	house opening
ìsòro	zorluk	problem
ìse	aksiyon	action
ìta	dışarıda	outside
ìtaeko	atölye	outskirts of eko
ìtan	tarih	story
ìtokò	çaydanlık	story
ìtàn	tarih	history
ìtànkálé	sel	spread
ìtèsíwájú	ilerleme	progress
ìtójú	bakım	treatment
ìtóju	bilinç bulanıklığı, konfüzyon	treatment
ìtójú	yüz ifadeleri	treatment
ìtóka	dövülmek	dictionary
ìtúmò	tercüme	meaning
ìtúpalè	tercüme	exposition
ìwe	karşılaştırma	book
ìwo	boynuzları	horn
ìwàásù	vaaz	sermon
ìwéré	kitapçık	iwere (town)
ìwò	tüm	set
ìwòran	vizyon	viewing
ìwúlò	kullanışlı	usefulness
ìya	çile	mother
ìyapa	ayırma	divorce
ìyàwó	gelin	wife
ìyípadà	dönüştürmek	transformation
ìṣèlú	siyaset	politics
ìṣẹ́kù	kalan	broken
ìṣọ̣̀tẹ̣̀	akciğer iltihaplanması	rebellion
òde	dışarıda	society
òdeojú	yüzü olmayan	surface
òdo	gençlik	zero
òdìkejì	diğeri	opposite
òféàrán	bir şekil	a town name
ògbójú	yetkili	brave
ògiri	duvar	wall
ògo	şan	glory
ògun	ilaç	medicine
ògúndìpẹ̀	tozlu	ogundipe
òjo	gibi görünmek	ojo
òjísé	doktor	servant
òkèògbún	bin	oke-ogbun
òkòòkan	tek tek	each
òkú	cesetler	corpse
òkúta	bir taş	stone
òle	ev hanımı	lazy
òmiràn	büyücü	other
òmùàrán	bir şekil	omu-aran (town)
òní	bugün	today
òotó	hakikat	true
òpópóònà	yol	highway
òranyàn	zorunlu	a must
òrìsà	idolleri	god
òrí	bölüm	top
òrò	beyin	word
òsán	öğle vakti	afternoon
òsèlú	politikacı	politics
òsèré	atlet	player
òwù	bez	owu
òṣèlú	siyaset	politician
òjògbón	yağmurlu hava	learned person
òkan	bir	heart
òkòòkan	tek tek	each
òpòlopò	çok	many
òré	oyun	friend
òfò	sonraki	sorrowful
òpòlopo	çok	lot of
òré	oyun	friend
òrò	düşünceler	word
òsà	akvaryum balığı	lagoon
òwó	para	hand
òrò	düşünceler	word
òròàjòmó	sabahları	part of speech
ó	o	that
óníse	o bir tasarımcı	stricken
ósírísì	tükürük	diverse
ósékú	öldü	die suddenly
ó	evet	word
ôdún	yıl	year
únṣẹlẹ̀	deprem	formed
şe	yapmak	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪkælɪfɔrnjə	not yoruba
ˌæləˈbæmə	hastalık	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	açılış	work
ṣàkóbá	zararlı	incriminate
ẹdo	şaka	edo
ẹlẹ́bùn	bir hediye	award winner
ẹlẹ́sìn	dini	religionist
ẹnìkan	bir kişi	someone
ẹsẹ	ayaklar	verse
ẹtì	karaciğer	friday
ẹ̀kaawon	gönderimler	branch of
ẹ̀kabrítánì	amca dayı	part of britain
ẹ̀kajuly	mayıs	chapter july
ẹ̀kaoṣù	dikenli	month
ẹ̀kasístẹ̀mù	öznel	sistemu=system
ẹ̀kẹ́ta	üçüncü	third, the third
ẹ̀kọ́	eğitim	teachings
ẹ̀ni	dsö	person
ẹ̀rọ	makinalar	machine
ẹ̀wẹ̀	diğer yandan	leaf
ọbàkàn	üvey erkek kardeş	step-sister
ọdún	yıl	year
ọlọ́mọ	çocuklar	members
ọlọ́run	bir tanrı	god
ọmú	iğrençsin	breast
ọmọ	çocuk	c
ọn	o	him
ọpọ́lọpọ́	incir	many
ọ̀dọ́	gençlik	youth
ọ̀gbìn	bitki	seedlings
ọ̀nà	yol	ways
ọ̀pòlòpò	aksiyon	various
ọ̀rọ̀	konuşma	word
ọ̀sẹ	hafta	week
