aajo	હાસ્યાસ્પદ	hospitality
luther	લ્યુથર	luther
lynton	લિન્ટન	lynton
làgba	બરાબર	more important
lààmi	હસ્તાક્ષર	sign
lààmì	સંકેતો	significant
lábé	વજન	under
láfún	આપેલ	cassava food
láimo	વગર	unknown
láké	મોટેથી	in ake
lámọ́di	નસીબ	lamodi
lápá	ભાગ	from
lára	નુકસાન	part of
lárúbáwá	કુદરતી	arabic
láì	વગર	without
láíláí	ક્યારેય	old
lèe	કરી શકો છો	can
lèyìn	પછીથી	after
lédè	ભાષામાં	language
léebá	આકસ્મિક	catch up with it
lérìnín	બરફ	erin=laughter; the prefix 'l' is possesive
lérò	કારણ	thought
léyin	પછીથી	after
léyìn	પછીથી	after
lérú	ગુલામી	enslave
lílo	શોષણ	using
lísa	પ્રવેગ	a chieftaincy title
lítésò	ડંખ	literature
lóde	બહાર	modern
lópez	નિપેઝ	lopez
lópó	વિધવા	widow
lórì	બંદર	on the head
lóríba	ઉપર	subdue
lóti	ઘણું	have
lóòótò	હા	truly
lóòótọ́	ખરેખર	truly
ló	ló	to
lónà	રસ્તામા	in a way
lórò	આવતીકાલે	become wealthy
lọndọnu	લંડન	london
lọ́dọọdún	વાર્ષિક	yearly
lọ́jà	બજારમાં	in the market
maapu	નકશો	map
madeira	બેરા	madeira
mahatma	મહાત્મા	mahatma
makedonia	મેસેડોનિયા	macedonia
malabo	મધ	malabo
malay	ધાર્યું	malay
malayopolynesian	મ malayલિઓપોલીનેશિયન	malayo-polynesian
malaysia	મલેશિયા	malaysia
mali	દિવસ	mali
mango	કેરી	mango
manˈdeːla	manˈdelala	mandela
marcellus	માર્સેલસ	marcellus
march	કુચ	march
marku	આ સમયે	mark
mars	મંગળ	mars
maryland	મેરીલેન્ડ	maryland
maseru	ઈર્ષ્યા	don't be slave
matheu	ગણુ	matthew
mathiew	ગણિત	mathiew
mathimatiki	ગાણિતિક	mathematics
max	મહત્તમ	max
maya	ના	maya
mbabane	નકારાત્મક	mbabane
means	અર્થ	ona (way)
mediteraneani	ભૂમધ્ય	mediterranean
mefeefa	ઓવરઓલ	all six
mejidinlogbon	અઠયાવીસ	twenty eight
mejila	બાર	twelve
meksiko	મેક્સિકો	mexico
melo	કેટલા	some
member	સભ્ય	ara
mercosur	કર્કશ	mercosur
merin	ચાર	four
methodologies	પદ્ધતિઓ	anaoniruuru
metropoli	મહાનગર	metropolis
meucci	meucci	meucci
mewar	મેવાડ	mewar
mexico	મેક્સિકો	mexico
michelle	મિશેલ	michelle
micronesia	માઇક્રોનેસીયા	micronesia
miiràn	રાહત	another
mimoy	મિમોય	mimoy
mimuwa	ચોંટી રહેવું	import
minnesota	મિનેસોટા	minnesota
minority	લઘુમતી	awon ara kekere
mohandas	મોહનદાસ	mohandas
mokaleladota	કોમ્પેક્ટ	51, (mokanleladota)
mokanlelogbon	બત્રીસ	thirty-one
mombasa	મોમ્બાસા	mombasa
monrovia	મોનોરોવિયા	monrovia
morgan	મોર્ગન	morgan
morogoro	મોટરિંગ	morogoro
mozambique	મોઝામ્બિક	mozambique
mozilla	મોઝિલા	mozilla
mtn	mtn	mtn
mtwara	ફરીથી પસંદ કરો	mtwara
mughal	વોલ્યુમ	mughal
mulẹ̀	સ્થાપિત કરો	establish
munispal	મુનિસ્પાલ	municipal
muungano	મુંગાનો	muungano
májèmú	વાંધો નહીં	testament
mère	ચિત્ર	significant
méjèèjì	બંને	the two
mérindíláàdóta	પંચાવન	forty-six
méte	પાંચ	lip
mérìndínlógún	સોળ	sixteen
mérìnlélógójì	ચુમ્માલીસ	44
méta	ત્રણ	three
métèètà	સુથાર	the three
méwàá	દસ	ten
ménu	શું તમે વિચારો છો	verbally contribute; complete phrase= me nu ba
mímọ́	પવિત્ર	holy
míràn	બીજો	other
míìrán	બીજો	other
mííràn	બીજો	other
mò	જ્ knowledgeાન	know
mókólà	ગુંદર	mokola
móra	ઇલાજ	with themselves
mó	એમ	with
múlẹ̀	ઝડપી પકડી	select land (farmland)
mẹ́fà	છ	6
mẹ́rkúríù	ઉંદર	mercury
mẹ́ta	ત્રણ	3
mẹ́talọ́kan	ત્રૈક્ય	trinity
namibia	આવે	namibia
nathaniel	નાથનીએલ	nathaniel
nato	નેટો	nato
nawojulo	કોયડારૂપ	highest-spending
nawó	તમારા પૈસા મેળવો	point finger
ncnc	એનસીએનસી	ncnc
nebraska	નેબ્રાસ્કા	nebraska
nefimu	નેફિમ	nefimu
neptune	નેપ્ચ્યુન	neptune
nevis	નેવિસ	nevis
ngbero	આયોજિત	planning
ngubengcuka	એનગુબેંગકુકા	ngubengcuka
nibe	ત્યાં	there
nibere	વહેલી	earlier
nigbakan	ક્યારેક	at one time
nigbà	પછી	when
nijẹr	નાઇક	niger
nilè	અહીં	remaining
nisinyi	હવે	at present
nitoriidieyi	આના કારણે	because of this
nitoripe	કારણ કે	because
nitosi	નજીકમાં	nearby
niwaju	આગળ	in front of
niyato	તફાવત	unlike
niye	પૂરતૂ	in number
niyi	તે અહિયાં છે	these
nkan	વસ્તુ	things
nkàn	કેન્સર	something
nnaji	કાકા	nnaji
nobel	નોબલ	nobel
nombamewa	ગુણાકાર	decimal
nombáméjì	પ્રથમ બે	two-number
novo	નોવો	novo
nri	ખોરાક	nri
nse	ડિઝાઇન	acting
nso	નજીક	saying
nsolaboraro	સુરક્ષા	nso laboraro
nsowikipedia	obowikedia	saying
ntoka	બિંદુ	indicates
nu	ચોખ્ખો	in
nukleotidi	ન્યુક્લિયોટાઇડ	nucleotides
nukleotidipupo	ન્યુક્લિયોટાઇડ	cell
numeri	નિષ્ક્રિયતા આવે છે	numbers
nwa	બાળક	drill
nàìjíríà	નાઇજીરીયામાં	nigeria
náwo	ખર્ચ	spend money
náà	પણ	that
nì	પર્વત	is
nìnú	માફ કરશો	in
nìyí	આ તે છે	this is
ní	છે	on
níbè	ત્યાં	there
níbè	ત્યાં	there
nífẹ̀ẹ́	પ્રેમ કરવા	love
nígbàtí	ક્યારે	when
nílè	નીચે	on the ground
nílùú	શહેર મા	in the town
nílẹ̀	જમીન પર	in the land
nínlá	મહાન	large
nínu	તક	in
níní	હોય	having
nípà	ઓછામાં ઓછું	by
nítorípé	કારણ કે	because
nítumò	અર્થ	meaningful
nítòsí	નજીકમાં	nearby
nítòótó	બરાબર	truly
nítòótọ́	ખરેખર	in truth, truthfully
níwájú	આગળ	in front
níyanjú	સકારાત્મક	solved
nǹkan	વસ્તુ	things
nso	ટૂક સમયમાં આવી રહ્યું છે	say
oba	ઓબામા	king
obairanderan	પિતરાઇ ભાઇ	hereditary
obere	નાના	started
obínibí	સૌજન્ય	inborn
ododo	પ્રામાણિકતા	righteousness
ofin	કાયદો	law
ogbè	ક્ષેત્ર	a divinity
ogun	યુદ્ધ	war
ogunlogo	ભીડ	hundreds
ojo	જેમ દેખાય	day
ojojumo	દૈનિક	daily
ojoru	હૂંફ	wednesday
ojukokoro	લાલચ	covetousness
ojuoorun	સૂર્યાસ્ત	atmosphere
ojuse	જવાબદારી	responsibility
ojùkòsì	વરસાદ	ojukosi
ojùkòtúu	વરસાદ	ojukotuu
ojúlùmọ̀	પરિચિતો	acquaintance
ojútáyé	સ્નિગ્ધતા	public
ojúìwé	પાનું	page
okeere	વિદેશી	distant
okhotsk	okhotsk	okhotsk
oko	ક્ષેત્ર	farm
okunkun	અંધકાર	darkness
okunrin	માણસ	male person
olodiajodojuko	દરેક અન્ય	facing wall
olohun	માલિકો	god
olojukanna	તરત	same surface
olokunkun	હેડફોન	popular
ololugbe	હારેલો	occupants
olopon	ઘમંડી	a local game
olora	ચરબી	fertile
oloselukan	નમસ્તે	one political
oloye	પ્રતિભાશાળી	chief
oluda	સર્જક	creator
oludase	નિર્માતા	separatist
olukoitan	પ્રશિક્ષક	the writer
olukowe	લેખક	writer
olumojuto	લોભી	overseer
oluparapo	સંયોજન	joint
olusoju	રક્ષક	ambassador
oluwakiri	સંશોધન	explorer
olympus	ઓલિમ્પસ	olympus
olódùmarè	સર્વશક્તિમાન	almighty god
olóyè	શાસક	chief
olóṣèlú	રાજકારણી	politics
olùbátan	આ સંપર્ક	relative
olùdarí	એક નેતા	director
olùkópa	ફાળો આપનાર	participant
olùkó	પ્રશિક્ષક	teacher
olùkọ́	શિક્ષક	teacher
omi	પાણી	water
omiadalu	પૂર	mixture
onialjebra	onialjebra	of algebra
onibugbe	ભાડૂત	population
onigbeja	રચનાત્મક	allied
onigbowo	એક પ્રાયોજક	sponsor
onigunfenfe	નિષ્ક્રીય	large angle
onilanaibagbepo	કોન્ડોમ	constitutional
onilile	ઘરમાલિકો	solid
oninawo	orણ લેનાર	financial
onipin	તર્કસંગત	even
onisayensi	તકનીકી	scientific
onisowo	વેપારી	trader
oniyewumeji	દ્વિસંગી	two-chamber
oniyijulo	અદ્ભુત	highest honour
onje	આહાર	food
onka	કેલ્ક્યુલેટર	counter
onígbàgbó	વૃદ્ધ પુરુષ	believer
oníkólóbó	અપમાનજનક	onikolobo (place)
onílẹ̀	નીચે	land owners; citizens (omo onile)
oníná	આગ	electronic
onítumò	અનુવાદક	meaning
onítèbọmi	બાપ્તિસ્મા	baptist
onítòhùn	એકાઉન્ટન્ટ	that person
oníwòsàn	મટાડનાર	doctor
oníyanjù	એનિમેટેડ	persevere
ooni	મગર	ooni (king)
ootọ́	સાચું	truth
opec	ઓપક	opec
opposite	વિરુદ્ધ	odi
ori	વડા	top
oriire	અભિનંદન	success
oriki	પ્રાચ્ય	name of endearment
orileede	રાષ્ટ્ર	country
orileedeajoba	સામ્રાજ્યવાદ	monarchic country
orilejoba	સરકાર	seat of government, kingdom
orileominira	હૂંફ	republic
orinìyìn	ગીત	songs of praise
orisirisi	વિવિધતા	various
orisun	સ્ત્રોત	source
orisa	ઉત્પત્તિ	god
oritameta	વચ્ચે	crossway
orudnun	વાર્ષિક	mispelled...should orundun, century
oruko	સંજ્ .ા	name
oríilè	રાષ્ટ્રીય	land
oríilẹ̀	લેખ	land
oríkì	કવિતા	family name
orílèèdè	રાષ્ટ્ર	country
orílẹ̀	રાષ્ટ્ર	continent
orílẹ́	સાંજ	nation
orísiirísi	વિવિધ	various
orísìí	વિવિધતા	type
orísìírísi	વિવિધ પ્રકારો	various
orúko	ક્ષેત્ર	name
oscar	ઓસ્કર	oscar
oseluarailu	નાગરિક	political unit
otherwise	અન્યથા	ibaje
otutu	ઘણા	coldness
oun	તેમણે	it
owojagidijagan	આતંકવાદીઓ	upheaval
oúnjẹ	ખોરાક	food
odún	વર્ષ	year
ojó	વરસાદ પડે છે	day
okùnrín	હાસ્ય	man
olórun	ભગવાન	god
olósìn	ધાર્મિક	rearing
odun	વાર્ષિક	year
olorun	ભગવાન	god
omonìyàn	માનવ જાત	human beings
opolo	ઘણા	brain
ose	ose	week
oyé	વિશ્વ	harmattan
ofò	સુપ્રભાત	nothingness
opolo	ઘણા	brain
paa	બંધ કરો	back
paapaa	ખાસ કરીને	especially
padá	પોડ	go back
palauan	પલાઉઆન	palauan
panaˈma	પનામા	panama
panyanan	the_space	spanish
papa	પપ્પા	specifically
parapọ̀	મિશ્રણ	join
paripari	સમાપ્ત	finally
pele	મોહક	hello
penh	પેન	penh
penisula	શિશ્ન	peninsula
periferi	પેરીફેરી	periphery
petu	પેટુ	resolve
pelu	મોતી	with
phillipines	ફિલીપાઇન્સ	phillipines
pinsi	ઘટી રહ્યો છે	divided
pinsoto	પિનોટો	separated
pinu	નિર્ધારિત	decide
pipo	ઘણું	plenty
pipolongo	જાહેરાત	publicise
piposi	ઘણું	multiplication
platos	પ્લેટો	plato's
plánẹ́tì	પ્લમ્બિંગ	planet
po	પો	share
pojulo	સૌથી વધુ	larger
polandi	પોલિશ	poland
polaroid	પોલરોઇડ	polaroid
population	વસ્તી	ero
portonovo	portonovo	porto novo
portuguese	પોર્ટુગીઝ	portuguese
press	દબાવો	press
produced	ઉત્પન્ન	yo
protokolu	પ્રોટોકોલુ	protocol
proton	પ્રોટોન	kemika alaropo
providence	પ્રોવિડન્સ	providence
príncipe	príncipe	principe
pupa	લાલ	red
px|kùránì	px | કર્નલ	koran or quran; the px  does not belong
pàmò	ખાસ કરીને	pamo (town)
pàràkòyí	તરત	parakoyi
pààlà	એક સીમા	signalised
pàápàá	ખાસ કરીને	especially
pásíà	ભોંયરામાં	persia
pátáporongodo	સંપૂર્ણપણે	entire
pè	કહેવાય છે	that
pèhìndà	વીર્ય	turned back
pèlu	ની સાથે	with
pèlúpèlú	તેમજ	in addition
pèsè	પ્રદાન કરેલ	provide
pé	કે	that
péré	માત્ર	only
péé	કે	that
pípa	કતલ	order
pípèsè	જોગવાઈ	providing
pípẹ́	લાંબી	long
pòwe	કહેવતો	to say a proverb or wise saying
pò	ગણો	join
púpo	ઘણુ બધુ	much
púpò	બદલે	a lot
quran	કુરાન	quran
ra	ખરીદી	self
race	રેસ	ere
rajya	આશા	rajya
ramadan	રમદાન	ramadan
rank	ક્રમ	ipo
reggae	રેગ	reggae
repeats	પુનરાવર્તન	tunso
repetejulo	સૌથી સંવેદનશીલ	most of all
rere	સારું	success
research	સંશોધન	agbeyewo
richard	રિચાર્ડ	richard
right|thumb|px|aworan	અધિકાર | અંગૂઠો | પીએક્સ | છબી	picture
rinle	નવી	emphasise
riresile	રેકોર્ડર	humbled, lowered
riro	કલ્પના	thought as
rn	આર.એન.	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	વિચારો	thought
robinson	રોબિન્સન	robinson
roboto	સપાટીઓ	round
rogbodiyan	હુલ્લડ	riot
rokirika	બ્રાઉઝિંગ	publicise
roko	ટોળું	farm work
roma	રોમા	roma
rome	ક્રોમ	rome
ronald	રોનાલ્ડ	ronald
rorùn	સરળ	easy
rossii	રોસી	rossii
rural	ગ્રામીણ	igberiko
ryan	આરજે	ryan
ráhàn	દેખાયા	complain
ránmú	ચિંતા	grumble
république	république	republic
ré	સી	his/her
rìn	ચાલવા	should be orin, song or music
ròyìn	અહેવાલ	give account
rẹ	તેણીના	it
saarc	દૂર કરો	saarc
saaree	ચડિયાતું	after death
saarland	ફ્લોર પર	saarland
safari	સફારી	safari
saffana	નીલમ	savannah
safiwe	સરખામણી	describe
safta	હરોળમાં ગોઠવાઇ જવું	safta
saheli	સગવડ	sahel
sakyamuni	આ પછી	sakyamuni
sakyas	sakyas	sakyas
salem	સેલેમ	salem
salàyé	જીવન	explained
sambia	યુવાની	zambia
samioro	ઉપલબ્ધ	signal
santa	સાન્તા	santa
say	કહો	so
sb	એસબી	sb
schwarz	શ્વાર્ઝ	schwarz
sea	સમુદ્ર	odo
seat	બેઠક	itedo
segbese	સંભવત	take steps
seidamo	ચોખ્ખુ	identify
semolara	અસ્થમા	accustom
semudaju	અલબત્ત	assure
senegal	સેનેગલ	senegal
sense	અર્થમાં	sensi
seville	સેવિલે	seville
sewadi	શોધ	investigate
sharon	શેરોન	sharon
sibesibe	હજુ સુધી	further more
sihamoni	માળખું	sihamoni
sile	પાછળ	previously
silè	ટીપાં	on the ground
sinai	પાપ	sinai
sinsin	ધર્મ	unshakably
sioux	સિક્સ	sioux
sise	રસોઈ	works
sisodagba	વધતી જતી	came of age
sisopo	જોડવું	joined
sisupapoerekusu	થૂંકવું	neighbouring islands
sisupo	ગુણાકાર	concentrated
slovo	સ્લોવો	slovo
so	પ્રેમ	turned
sohun	હા	something
solomon	સોલોમોન	solomon
soon	જલ્દી	lai'pe
sopin	અંત	ended
so	તેથી	tells
spectacular	જોવાલાયક	damanran
stella	સ્ટેલા	stella
structures	માળખાં	igbekale
suez	suez	suez
sugbo	પણ નહીં	but
sugbọ́n	તર્કસંગત	but, however
sun	સૂર્ય	sleep
suny	સન્ની	suny
swahili	સ્વાહિલી	swahili
symmetry	સપ્રમાણતા	ogbooga
sàbúrí	બધા ઉપર	saburi
sàmì	નિશાની	signalize
sàn	વધુ સારું	flow
sàngó	ટોળી	sango (god of thunder)
sàì	સારું	un
sápadè	આ દિવસ	run to
sáàpàdé	પ્રાયોજકતા	saapade
sáààrin	વચ્ચે	between
são	નવું	sao
sèle	ચોરી	down
ségun	રડવું	conquered
sénégal	વીર્ય	senegal
séyìn	પાછા	back
séyìn	પાછા	at the back of
sìbẹ̀	હજુ સુધી	there
sìni	ઝીંગા	likewise
síbèsíbè	તેમ છતાં	further more
síbú	જમીન પર	ocean
sílẹ̀	નીચે દો	drop
síse	કામ	doing
síso	હજુ પણ	spoken
síso	હજુ પણ	saying
síta	બહાર	outing
síwon	તેમને	to them
síwájú	આગળ	comes before
síí	અહીં	on it
sòrò	મગજ ધોવા	talk
sójà	સૈનિક	soldier
sóko	છોડ	to the farm
sùgbón	.લટું	but
sọ	કહો	lose
si	ચોક્કસપણે	to
síse	માળખું	performing
sùgbón	.લટું	but
se	તેઓ કરે છે	do
sepò	છેવટે	cooperation
sisé	વર્ક આઉટ	work
sááju	એક મિનિટ લો	before
sísa	એસ .ía	to be
sísè	અનુવાદ	step
tabi	અથવા	or
tabili	ટેબલ	table
tabora	અવગણના	tabora
taino	દીનો	taino
tainos	ટેનો	tainos
takuntakun	અવરોધો	valiant
talaka	ગરીબ	poor
talika	ગરીબી	the poor
tara	નવ	wholly
tata	ફિલ્ટર	wildly
taínos	ટેનોસ	tainos
technology	ટેકનોલોજી	tekinoloji
tedo	ડેટિંગ	stay
teksas	ટેક્સાસ	texas
tele	અનુસરો	before
temptation	માગી	idanwo
terutomo	ટેરોટોમો	everybody
tfrac	tfrac	tfrac
the	આ	does no directly translate
they	તેઓ	won
those	તે	awon
thumb|left|upright|nelson	thumb | ડાબું | સીધું | નેલ્સન	apa osi naro
tira	તંગ	quranic verse
tirana	તિરના	tirana
tirè	તેના	own
titu	શૂટ	cold (if it's a person's name, it is tutu)
tiwọn	તેઓનું	theirs
to	પ્રતિ	it
toje	દુર્લભ	that is
tokasi	નિર્દેશ	pointing to
tokyo	ટોક્યો	tokyo
tolerejulo	સહન	most profitable
tolórítelémù	હોલોકોસ્ટ	all manners of people
tomé	ટમેટા	tome
tooto	ખરેખર	true
tori	તોરી	because
torun	શ્યામા	heavenly
toseluaralu	રાજકીય	political
tounsejanu	દુ: ખદ	control
traduite	traduite	traduite
translated	ભાષાંતર	tunmo
tumosi	અર્થ	means
tuntun	નવું	new
tàsí	વગર	or
tàwon	તેમને	theirs
táawà	નમવું	we
tèlé	અનુસરો	before
tètè	તરત	quickly
tèlé	તરત	follow
tèsíwájú	પ્રગતિ કરવા માટે	progress
té	ટી	follow
télè	દ્વારા	before
té	t	shamed
títi	બંધ	till
títèlé	અનુસરો	following
títío	ત્યાં સુધી	until
tíátà	ટિકિટ	theater
tíórì	ટાયર	that is seen
tò	સમૂહ	enough
tóbi	મોટા	big
tódárajùlọ	શ્રેષ્ઠ	most beautiful
tókù	આરામ	others
tówùú	કોઈપણ રકમ	whatever
tó	tó	taught
tóka	ટાંકવામાં	pointed
tú	રેડી દેવું	untie
túmò	પ્લમ	means
túnse	ફરીથી ગોઠવો	restructured
tẹ̀ǹbẹ̀	પછી	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	કાવતરું	bitterness
ucb	ucb	ucb
umueri	બાળકો	umueri
unifasiti	યુનિવર્સિટી	university
unla	હા	great
urasílì	uracil	uracil
uribe	રોગનું લક્ષણ	uribe
usps	યુ.એસ.પી.એસ.	usps
utah	ઉતાહ	utah
utc	utc	utc
uzbek	માર્ગ	uzbek
venezuela	વેનેઝુએલા	venezuela
vermont	વર્મોન્ટ	vermont
victor	વિજેતા	victor
videos	વિડિઓઝ	fidio
vihara	વિહાર	vihara
villa	વિલા	villa
viruses	વાયરસ	awon eran
visit	મુલાકાત	ibewo
vz	વીઝ	vz
waa	તે છે	ours
waju	ચહેરો	future
wari	ગંધ	once existing
westminster	વેસ્ટમિંસ્ટર	westminster
wisconsin	વિસ્કોન્સિન	wisconsin
witkin	વિચિન	witkin
wiwari	શોધ	discovered
województwo	ચેવર્ડડ્ઝટવો	wojewodztwo
wole	સાઇન ઇન કરો	into
woo	વૂ	look
wo	અહીં	enter
wo	અહીં	look
won	તેમને	they
wura	સોનું	gold
wyoming	વ્યોમિંગ	wyoming
wàásù	ઉપદેશ	preach
wì	ધોવા	that
wípè	સ્પષ્ટતા	that
wòfún	નજર	convenient
wònyí	આ છે	these
wón	તેમને	they
wúnrèn	વર્ક આઉટ	small amount
wọn	તેમને	they
wọ̀nyí	આ	these
xd	xd	xd
xiv	xiv	xiv
yafran	મૂળાક્ષર	yafran
yakubu	યાકુબ	yakubu
yan	પસંદ કરો	choose
yanjú	સંકલ્પ	solve
yanturu	પુષ્કળ	abundant
yaoundé	yaoundé	yaounde
yewo	સુધારો	examine
ye	હા	suitable
ye	હા	should
yindinyindin	ક્યારેય બંધ ન કરો	brightly
yio	કરશે	will
yiowu	તે કરશે	any
yipada	આસપાસ ચાલુ	change
yiyafunnilo	ધોવાણ	borrow
yoo	કરશે	will
yori	એલ.ઈ. ડી	result
york	યોર્ક	york
yorúbà	દહીં	yoruba
yo	યો	remove
yànan	આશ્ચર્ય	scattered
yàtò	સ્થાપના	other than
yára	જલદીકર	quickly
yèwò	જુઓ	examine
yée	તેમને દો	eplained to
yì	જાઓ	this
yìí	આ	this
yí	આસપાસ ચાલુ	this
yíyípadà	બદલો	changed
yíì	તમે કરશે	this
yíò	તે કરશે	it will
yẹ̀ẹ́	તું	check
yọ	દૂર કરો	bring out
zanzibar centralsouth	ઝાંઝીબાર મધ્યસ્થ	zanzibar centralsouth
zdna	zdna	z-dna
zou	ઝૂ	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	દૂર	bce
àbe	બેબૂન	under
àbámẹ́ta	ગુરુવાર	saturday
àbáyo	સૂચન	breakthrough
àbìkú	અમરત્વ	'born to die' child
àbọ̀	અડધા	result
àdámò	ગોપનીયતા	earmark
àdátá	.લટું	adata
àdáátán	વિશિષ્ટ	adaatan
àdóolóró	તેલ	bomb
àgbàjọ	વૃદ્ધ માણસ	assembly
àgbàrá	પૂર	power
àgbáríjọ	સંસ્થા	combination
àgbékà	અમૂર્ત	suitable
àgbéyèwò	સમીક્ષા	examination
àgbìgbò	પડોશી	a type of bird
àgbùdo	યાર્ડ	corn
àgọ́	તંબુ	ago
àifète	હેતુ	unable to keep quiet
àjo	પ્રવાસ	board
àjákọ	સિવાય	ajako
àjọṣepọ̀	સામાજિક	union
àkosílè	અમૂર્તતા	written
àkosílè	થીસીસ	written account
àkàrà	કેક	bean pudding
àká	છાજલીઓ	store
àkójopò	જૂથ	collection
àkókó	સમય	previous
àlàkalè	ગોલ	breakdown, explanation of actions
àlàyé	માહિતી	explanation
àlàáfíà	શાંતિ	peace
àlááfià	સાદ્રશ્ય	wellbeing
àlè	હરકોઈ	mistress, concubine, (side booty)
àlèpò	ઉપર	joined together
àlébù	દોષ	ills
àmérìkà	અલૌકિક	america
àmì	હસ્તાક્ષર	sign
àmúlò	વ્યવહારુ	synonyms
àmúsorò	મનોવિજ્ .ાન	resources
ànfàní	તક	opportunity
àpapọ̀	સમગ્ર	federal
àpeere	ઉદાહરણ	example
àrígbámú	ખલેલ પહોંચાડે છે	assistant
àrùn	રોગ	disease
àrẹ	રાષ્ટ્રપતિ	president
àse	તહેવાર	authority
àsàjemátèe	પરો.	cunning
àsèyìn	બાદમાં	at the end
àsìkò	સમય	time
àsótélè	એક્સ્ટેંશન	prophecy
àsọdọ̀kan	એકતા	unitary
àsekúdórógbó	છાલ	do or die
àsà	કસ્ટમ	habit, culture, norm
àtijo	અપ્રચલિત	olden days
àtìpó	ધ એલિયન	sojourn
àtòrìnká	આસપાસ	urinating while walking
àtúnse	ફેરફાર કરો	modification
àtúnse	ફેરફાર કરો	renovate, fix
àtẹnudẹ́nu	મૌખિક	oral
àwon	સિદ્ધાંતો	they
àwón	પૈસા	the
àwón	પૈસા	the
àwùjo	સમાજ	community
ààtò	ધાર્મિક વિધિ	suitability
ààyè	જીવંત	space
àárín	વચ્ચે	middle
àáyá	વીર્ય	seconds
àìkó	ઉણપ	unlearned
àìní	જોઈએ છે	lack
àìròtélè	અનપેક્ષિત	unthought of
àìsí	ગેરહાજરી	lack
án	ટી	it
áwon	વ્યભિચાર	those
èbà	મચ્છર	cassava flour food
èbúté	બંદર	shore
èdá	બનાવટ	creature
èdè	ભાષા	language
èdè	ભાષા	language
èfòn	તંગ	efon
èhìn	આ પછી	outskirt
èka	શાખા	branch
èkejì	બીજી	second
èlò	વાસણો	tool
ènìkan	કંઈક	someone
èràn	રોગ	virus
èrò	વિચારો	thoughts
èsó	મસ્જિદ	modesty
èsúrú	કીડી	yam (indigenous to west africa)
ète	હેતુ	plan
èyì	ગૌરવ	this
èka	અસર	branch
èro	વિચારો	machine
èrí	પુરાવા	witness
èsìn	ધર્મ	religion
èwù	શર્ટ	clothe
èpón	ઘણું	modifier
ìbarà	તાવ	ibara (town)
ìbánisòrò	જોડાણ	dialogue
ìbáraeni	ગાડી	to themselves
ìbílè	જન્મસિદ્ધ અધિકાર	local
ìbílè	જન્મસિદ્ધ અધિકાર	local
ìdàgbà	જુવાની	grow
ìdàpapọ̀	એકીકરણ	union
ìdàrúdàpò	અંધાધૂંધી	misunderstanding
ìdá	કર્તવ્યભંગ	division
ìdìmú	ખલેલ	branch, part
ìdíisin	કારણ	idi-isin
ìdíwòn	તમારું કારણ	criteria
ìdó	ડંખ	ido (a person's name)
ìfara	ત્રાસ	self
ìfojúìtànìgbesiayé	જીવન ઇતિહાસ	biography
ìfáàrà	એક પાદરી	introduction
ìgbonnìbí jé	તે આપત્તિ છે	igbonnibi
ìgbà	સમય	when
ìgbàgbé	ભૂલી	forgetfulness
ìgbá	પાંખો	time
ìgbáraga	તાકાત	pride
ìgbéraga	ગૌરવ	pride
ìgbésí	જીવન	life
ìgbò	રામ	igbo people
ìhun	લોખંડ	things
ìjo	નૃત્ય	church
ìjo	ચર્ચ	church
ìjoba	સરકાર	government
ìjora	નફરત	resemblance
ìjìnlè	રહસ્ય	comprehensive
ìjìnlè	રહસ્ય	mysterious
ìjò	નેતા	consent
ìjọba	સરકાર	government
ìkejì	બીજી	second
ìkànna	એ જ	ikanna (town)
ìkèrèkú	ભીડ	ikereku
ìkéde	જાહેરાત	advert
ìkìjà	એક પડકાર	ikija
ìkìlò	ગા ળ	warning
ìkínin	છઠ્ઠા	greetings
ìkẹrin	ચોથું	fourth
ìkọpa	ભાગીદારી	ikopa
ìlera	આરોગ્ય	health
ìlo	ક callલ કરો	use
ìlà	રૂપરેખા	border
ìlànàn	ભ્રાંતિ	procedure
ìlàorùn	ઉઝરડો	east
ìlàìnàró	જુલમ	vertical
ìlè	લાંચ	land
ìlé	ઘર	land
ìmò	સાપ	knowledge
ìmò	વીજળી	knowledge
ìmóbìdo	જન્મસિદ્ધ અધિકાર	imobido
ìmú	નાક	knowledge
ìmúnilérú	દુરૂપયોગ	slavery
ìmúsára	મજબૂતી માટે	contagious
ìnagije	વિજય	alias
ìnáwó	ખર્ચ	expenditure
ìpolongo	જાહેરાત	advertisement
ìpìlẹ̀núkléù	એન્ક્રિપ્શન	base
ìpìnlè	શરૂઆત	foundation
ìpínrò	ફકરા	economize
ìrànlọ́wọ́	મદદ	help
ìrànàna	મદદ	path-clearing
ìràwọ̀	તારાઓ	s
ìrí	અનુભવ	sight
ìròkò	વિચાર્યું	iroko
ìròyìn	સમાચાર	news
ìròyìnwiki	સમાચાર	wikinews
ìròrùn	ભ્રાંતિ	peaceful
ìró	અવાજ	sound
ìrúbo	પતન	sacrifice
ìsawo	ભવિષ્યકથન	divinity-practice
ìse	ક્રિયા	behaviour
ìsinsìnyí	હવે	modern
ìsirò	ગણતરી	adding
ìsomó	જોડાવા માટે	attachment
