aajo	chwerthinllyd	hospitality
nkàn	canser	something
nnaji	ewythr	nnaji
nobel	nobel	nobel
nombamewa	lluosi	decimal
nombáméjì	y ddau gyntaf	two-number
novo	novo	novo
nri	bwyd	nri
nse	dyluniad	acting
nso	ger	saying
nsolaboraro	diogelwch	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	pwynt	indicates
nu	yn lân	in
nukleotidi	niwcleotid	nucleotides
nukleotidipupo	niwcleotid	cell
numeri	fferdod	numbers
nwa	babi	drill
nàìjíríà	yn nigeria	nigeria
náwo	traul	spend money
náà	hefyd	that
nì	mynydd	is
nìnú	sori	in
nìyí	dyma hi	this is
ní	cael	on
níbè	yno	there
níbè	yno	there
nífẹ̀ẹ́	caru	love
nígbàtí	pryd	when
nílè	isod	on the ground
nílùú	yn y ddinas	in the town
nílẹ̀	ar y ddaear	in the land
nínlá	gwych	large
nínu	siawns	in
níní	i gael	having
nípà	o leiaf	by
nítorípé	achos	because
nítumò	ystyr	meaningful
nítòsí	gerllaw	nearby
nítòótó	yn union	truly
nítòótọ́	yn wir	in truth, truthfully
níwájú	o&#39;n blaenau	in front
níyanjú	yn gadarnhaol	solved
nǹkan	peth	things
nso	dod yn fuan	say
oba	obama	king
obairanderan	cefnder	hereditary
obere	bach	started
obínibí	cwrteisi	inborn
ododo	cyfiawnder	righteousness
ofin	y gyfraith	law
ogbè	rhanbarth	a divinity
ogun	rhyfel	war
ogunlogo	dorf	hundreds
ojo	edrych fel	day
ojojumo	yn ddyddiol	daily
ojoru	cynhesrwydd	wednesday
ojukokoro	cuddni	covetousness
ojuoorun	machlud haul	atmosphere
ojuse	cyfrifoldeb	responsibility
ojùkòsì	dyodiad	ojukosi
ojùkòtúu	dyodiad	ojukotuu
ojúlùmọ̀	cydnabod	acquaintance
ojútáyé	gludedd	public
ojúìwé	tudalen	page
okeere	dramor	distant
okhotsk	okhotsk	okhotsk
oko	maes	farm
okunkun	tywyllwch	darkness
okunrin	y dyn	male person
olodiajodojuko	eich gilydd	facing wall
olohun	perchnogion	god
olojukanna	ar unwaith	same surface
olokunkun	clustffonau	popular
ololugbe	collwr	occupants
olopon	haughty	a local game
olora	braster	fertile
oloselukan	helo	one political
oloye	athrylith	chief
oluda	crëwr	creator
oludase	cynhyrchydd	separatist
olukoitan	hyfforddwr	the writer
olukowe	awdur	writer
olumojuto	barus	overseer
oluparapo	cyfuniad	joint
olusoju	gwarchod	ambassador
oluwakiri	archwilio	explorer
olympus	olympus	olympus
olódùmarè	hollalluog	almighty god
olóyè	pren mesur	chief
olóṣèlú	gwleidydd	politics
olùbátan	y cyswllt hwn	relative
olùdarí	arweinydd	director
olùkópa	cyfrannwr	participant
olùkó	hyfforddwr	teacher
olùkọ́	athro	teacher
omi	dwr	water
omiadalu	llifogydd	mixture
onialjebra	onialjebra	of algebra
onibugbe	tenant	population
onigbeja	adeiladol	allied
onigbowo	noddwr	sponsor
onigunfenfe	goddefol	large angle
onilanaibagbepo	condom	constitutional
onilile	perchnogion tai	solid
oninawo	benthyciwr	financial
onipin	rhesymol	even
onisayensi	technegydd	scientific
onisowo	masnachwr	trader
oniyewumeji	deuaidd	two-chamber
oniyijulo	anhygoel	highest honour
onje	diet	food
onka	cyfrifiannell	counter
onígbàgbó	hen ddyn	believer
oníkólóbó	ymosodol	onikolobo (place)
onílẹ̀	i lawr	land owners; citizens (omo onile)
oníná	tân	electronic
onítumò	cyfieithydd	meaning
onítèbọmi	y bedyddiedig	baptist
onítòhùn	cyfrifydd	that person
oníwòsàn	yr iachawr	doctor
oníyanjù	animeiddiedig	persevere
ooni	crocodeil	ooni (king)
ootọ́	wir	truth
opec	opec	opec
opposite	gyferbyn	odi
ori	pen	top
oriire	llongyfarchiadau	success
oriki	dwyreiniol	name of endearment
orileede	y genedl	country
orileedeajoba	imperialaeth	monarchic country
orilejoba	llywodraeth	seat of government, kingdom
orileominira	cynhesrwydd	republic
orinìyìn	cân	songs of praise
orisirisi	amrywiaeth	various
orisun	ffynhonnell	source
orisa	gwreiddiau	god
oritameta	yn y canol	crossway
orudnun	blynyddol	mispelled...should orundun, century
oruko	enw	name
oríilè	cenedlaethol	land
oríilẹ̀	erthygl	land
oríkì	barddoniaeth	family name
orílèèdè	cenedl	country
orílẹ̀	cenedl	continent
orílẹ́	gyda&#39;r nos	nation
orísiirísi	amrywiol	various
orísìí	amrywiaeth	type
orísìírísi	gwahanol fathau	various
orúko	y cae	name
oscar	oscar	oscar
oseluarailu	sifil	political unit
otherwise	fel arall	ibaje
otutu	llawer	coldness
oun	ef	it
owojagidijagan	terfysgwyr	upheaval
oúnjẹ	bwyd	food
odún	y flwyddyn	year
ojó	mae&#39;n lawog	day
okùnrín	chwerthin	man
olórun	duw	god
olósìn	crefyddol	rearing
odun	yn flynyddol	year
olorun	duw	god
omonìyàn	bodau dynol	human beings
opolo	llawer	brain
ose	ose	week
oyé	y byd	harmattan
ofò	bore da	nothingness
opolo	llawer	brain
paa	diffodd	back
paapaa	yn enwedig	especially
padá	pod	go back
palauan	palauan	palauan
panaˈma	panaˈma	panama
panyanan	the_space	spanish
papa	papa	specifically
parapọ̀	cymysgu	join
paripari	y diwedd	finally
pele	swynol	hello
penh	penh	penh
penisula	pidyn	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	perlog	with
phillipines	ffillipines	phillipines
pinsi	yn dirywio	divided
pinsoto	pinoto	separated
pinu	yn benderfynol	decide
pipo	llawer	plenty
pipolongo	hysbyseb	publicise
piposi	llawer	multiplication
platos	platos	plato's
plánẹ́tì	plymio	planet
po	po	share
pojulo	yr uchaf	larger
polandi	sglein	poland
polaroid	polaroid	polaroid
population	poblogaeth	ero
portonovo	portonovo	porto novo
portuguese	portuguese	portuguese
press	gwasgwch	press
produced	cynhyrchu	yo
protokolu	protocolu	protocol
proton	proton	kemika alaropo
providence	rhagluniaeth	providence
príncipe	príncipe	principe
pupa	coch	red
px|kùránì	px | cnewyllyn	koran or quran; the px  does not belong
pàmò	yn benodol	pamo (town)
pàràkòyí	ar unwaith	parakoyi
pààlà	ffin	signalised
pàápàá	yn enwedig	especially
pásíà	yr islawr	persia
pátáporongodo	hollol	entire
pè	o&#39;r enw	that
pèhìndà	semen	turned back
pèlu	ynghyd â	with
pèlúpèlú	hefyd	in addition
pèsè	a ddarperir	provide
pé	hynny	that
péré	yn unig	only
péé	hynny	that
pípa	lladd	order
pípèsè	darpariaeth	providing
pípẹ́	hir	long
pòwe	diarhebion	to say a proverb or wise saying
pò	plygu	join
púpo	gormod	much
púpò	yn hytrach	a lot
quran	quran	quran
ra	prynu	self
race	ras	ere
rajya	gobaith	rajya
ramadan	ramadan	ramadan
rank	rheng	ipo
reggae	reggae	reggae
repeats	ailddarllediadau	tunso
repetejulo	y mwyaf sensitif	most of all
rere	da	success
research	ymchwil	agbeyewo
richard	richard	richard
right|thumb|px|aworan	dde | bawd | px | delwedd	picture
rinle	newydd	emphasise
riresile	recordydd	humbled, lowered
riro	dychymyg	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	meddwl	thought
robinson	robinson	robinson
roboto	arwynebau	round
rogbodiyan	terfysg	riot
rokirika	pori	publicise
roko	mob	farm work
roma	roma	roma
rome	crôm	rome
ronald	ronald	ronald
rorùn	hawdd	easy
rossii	rossii	rossii
rural	gwledig	igberiko
ryan	ryan	ryan
ráhàn	ymddangosodd	complain
ránmú	poeni	grumble
république	république	republic
ré	c	his/her
rìn	i gerdded	should be orin, song or music
ròyìn	adroddwyd	give account
rẹ	hi	it
saarc	tynnu	saarc
saaree	uwchraddol	after death
saarland	ar y llawr	saarland
safari	saffari	safari
saffana	saffir	savannah
safiwe	cymhariaeth	describe
safta	llinell i fyny	safta
saheli	cyfleustra	sahel
sakyamuni	y nesaf	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	bywyd	explained
sambia	ieuenctid	zambia
samioro	ar gael	signal
santa	santa	santa
say	dywedwch	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	môr	odo
seat	sedd	itedo
segbese	o bosibl	take steps
seidamo	yn glir	identify
semolara	asthma	accustom
semudaju	wrth gwrs	assure
senegal	senegal	senegal
sense	synnwyr	sensi
seville	seville	seville
sewadi	chwilio	investigate
sharon	sharon	sharon
sibesibe	eto	further more
sihamoni	strwythur	sihamoni
sile	y tu ôl	previously
silè	diferion	on the ground
sinai	pechod	sinai
sinsin	crefydd	unshakably
sioux	sioux	sioux
sise	coginio	works
sisodagba	tyfu fyny	came of age
sisopo	cysylltu	joined
sisupapoerekusu	poeri	neighbouring islands
sisupo	lluosi	concentrated
slovo	slovo	slovo
so	cariad	turned
sohun	ie	something
solomon	solomon	solomon
soon	yn fuan	lai'pe
sopin	diwedd	ended
so	felly	tells
spectacular	ysblennydd	damanran
stella	stella	stella
structures	strwythurau	igbekale
suez	suez	suez
sugbo	ond nid	but
sugbọ́n	rhesymol	but, however
sun	haul	sleep
suny	heulog	suny
swahili	swahili	swahili
symmetry	cymesuredd	ogbooga
sàbúrí	yn anad dim	saburi
sàmì	arwydd	signalize
sàn	y gorau	flow
sàngó	gang	sango (god of thunder)
sàì	wel	un
sápadè	y diwrnod hwn	run to
sáàpàdé	nawdd	saapade
sáààrin	yn y canol	between
são	yr un newydd	sao
sèle	dwyn	down
ségun	i grio	conquered
sénégal	semen	senegal
séyìn	yn ôl	back
séyìn	yn ôl	at the back of
sìbẹ̀	eto	there
sìni	berdys	likewise
síbèsíbè	serch hynny	further more
síbú	i&#39;r llawr	ocean
sílẹ̀	siomi	drop
síse	gwaith	doing
síso	o hyd	spoken
síso	o hyd	saying
síta	y tu allan	outing
síwon	nhw	to them
síwájú	ymlaen	comes before
síí	yma	on it
sòrò	brainwash	talk
sójà	milwr	soldier
sóko	planhigyn	to the farm
sùgbón	i&#39;r gwrthwyneb	but
sọ	dywedwch	lose
si	yn sicr	to
síse	strwythur	performing
sùgbón	i&#39;r gwrthwyneb	but
se	maen nhw&#39;n gwneud	do
sepò	o&#39;r diwedd	cooperation
sisé	gweithio allan	work
sááju	cymerwch funud	before
sísa	s .ía	to be
sísè	cyfieithu	step
tabi	neu	or
tabili	bwrdd	table
tabora	osgoi	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	cyfyngiadau	valiant
talaka	druan	poor
talika	tlodi	the poor
tara	naw	wholly
tata	hidlydd	wildly
taínos	taínos	tainos
technology	technoleg	tekinoloji
tedo	dyddio	stay
teksas	texas	texas
tele	dilyniant	before
temptation	ceisio	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	y	does no directly translate
they	nhw	won
those	y rhai	awon
thumb|left|upright|nelson	bawd | chwith | unionsyth | nelson	apa osi naro
tira	amser	quranic verse
tirana	tirana	tirana
tirè	ei	own
titu	saethu	cold (if it's a person's name, it is tutu)
tiwọn	hwy	theirs
to	i	it
toje	prin	that is
tokasi	pwyntio allan	pointing to
tokyo	tokyo	tokyo
tolerejulo	goddef	most profitable
tolórítelémù	holocost	all manners of people
tomé	tomato	tome
tooto	a dweud y gwir	true
tori	tori	because
torun	brunette	heavenly
toseluaralu	gwleidyddol	political
tounsejanu	trasig	control
traduite	traduite	traduite
translated	wedi&#39;i gyfieithu	tunmo
tumosi	yn golygu	means
tuntun	newydd	new
tàsí	heb	or
tàwon	nhw	theirs
táawà	i ymgrymu	we
tèlé	dilyniant	before
tètè	yn gyflym	quickly
tèlé	ar unwaith	follow
tèsíwájú	i wneud cynnydd	progress
té	t	follow
télè	gan	before
té	t	shamed
títi	ar gau	till
títèlé	i ddilyn	following
títío	tan	until
tíátà	tocynnau	theater
tíórì	teiars	that is seen
tò	set	enough
tóbi	mawr	big
tódárajùlọ	y gorau	most beautiful
tókù	gorffwys	others
tówùú	unrhyw swm	whatever
tó	tó	taught
tóka	a ddyfynnwyd	pointed
tú	arllwys allan	untie
túmò	eirin	means
túnse	aildrefnu	restructured
tẹ̀ǹbẹ̀	yna	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	cynllwynio	bitterness
ucb	ucb	ucb
umueri	plant	umueri
unifasiti	prifysgol	university
unla	ie	great
urasílì	uracil	uracil
uribe	yr aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	y ffordd	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	buddugwr	victor
videos	fideos	fidio
vihara	vihara	vihara
villa	fila	villa
viruses	firysau	awon eran
visit	ymweld	ibewo
vz	vz	vz
waa	mae&#39;n	ours
waju	wyneb	future
wari	arogli	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	darganfyddiad	discovered
województwo	cheworddztwo	wojewodztwo
wole	mewngofnodi	into
woo	woo	look
wo	yma	enter
wo	yma	look
won	nhw	they
wura	aur	gold
wyoming	wyoming	wyoming
wàásù	pregethu	preach
wì	golchi i ffwrdd	that
wípè	eglurder	that
wòfún	cipolwg	convenient
wònyí	mae rhain yn	these
wón	nhw	they
wúnrèn	gweithiwch allan	small amount
wọn	nhw	they
wọ̀nyí	rhain	these
xd	xd	xd
xiv	xiv	xiv
yafran	wyddor	yafran
yakubu	yakub	yakubu
yan	dewiswch	choose
yanjú	datrys	solve
yanturu	digon	abundant
yaoundé	yaoundé	yaounde
yewo	gwelliant	examine
ye	ydw	suitable
ye	ydw	should
yindinyindin	peidiwch byth â stopio	brightly
yio	bydd	will
yiowu	bydd	any
yipada	troi o gwmpas	change
yiyafunnilo	erydiad	borrow
yoo	ewyllys	will
yori	arwain	result
york	york	york
yorúbà	iogwrt	yoruba
yo	yo	remove
yànan	syndod	scattered
yàtò	sefydlu	other than
yára	brysiwch	quickly
yèwò	edrych	examine
yée	gadewch iddyn nhw	eplained to
yì	ewch	this
yìí	hyn	this
yí	troi o gwmpas	this
yíyípadà	newid	changed
yíì	byddwch chi	this
yíò	bydd	it will
yẹ̀ẹ́	y&#39;know	check
yọ	tynnu	bring out
zanzibar centralsouth	zanzibar centralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	i ffwrdd	bce
àbe	babŵn	under
àbámẹ́ta	dydd iau	saturday
àbáyo	awgrym	breakthrough
àbìkú	anfarwoldeb	'born to die' child
àbọ̀	hanner	result
àdámò	preifatrwydd	earmark
àdátá	y gwrthwyneb	adata
àdáátán	unigryw	adaatan
àdóolóró	olew	bomb
àgbàjọ	yr hen ddyn	assembly
àgbàrá	llifogydd	power
àgbáríjọ	sefydliad	combination
àgbékà	talfyriad	suitable
àgbéyèwò	adolygiad	examination
àgbìgbò	cymdogaeth	a type of bird
àgbùdo	iard	corn
àgọ́	pabell	ago
àifète	pwrpas	unable to keep quiet
àjo	teithio	board
àjákọ	ar wahân	ajako
àjọṣepọ̀	cymdeithasol	union
àkosílè	tynnu	written
àkosílè	traethawd ymchwil	written account
àkàrà	cacennau	bean pudding
àká	silffoedd	store
àkójopò	grŵp	collection
àkókó	yr amser	previous
àlàkalè	nodau	breakdown, explanation of actions
àlàyé	gwybodaeth	explanation
àlàáfíà	heddwch	peace
àlááfià	cyfatebiaeth	wellbeing
àlè	bastard	mistress, concubine, (side booty)
àlèpò	uchod	joined together
àlébù	blemish	ills
àmérìkà	goruwchnaturiol	america
àmì	arwyddwch	sign
àmúlò	ymarferol	synonyms
àmúsorò	seicoleg	resources
ànfàní	cyfle	opportunity
àpapọ̀	yn ei chyfanrwydd	federal
àpeere	enghraifft	example
àrígbámú	yn aflonyddu	assistant
àrùn	afiechyd	disease
àrẹ	llywydd	president
àse	gwledd	authority
àsàjemátèe	y wawr	cunning
àsèyìn	wedi hynny	at the end
àsìkò	amser	time
àsótélè	estyniad	prophecy
àsọdọ̀kan	undod	unitary
àsekúdórógbó	rhisgl	do or die
àsà	arferiad	habit, culture, norm
àtijo	wedi darfod	olden days
àtìpó	yr estron	sojourn
àtòrìnká	rownd o gwmpas	urinating while walking
àtúnse	golygu	modification
àtúnse	golygu	renovate, fix
àtẹnudẹ́nu	llafar	oral
àwon	damcaniaethau	they
àwón	yr arian	the
àwón	arian	the
àwùjo	cymdeithas	community
ààtò	defod	suitability
ààyè	yn fyw	space
àárín	yn y canol	middle
àáyá	semen	seconds
àìkó	diffyg	unlearned
àìní	eisiau	lack
àìròtélè	annisgwyl	unthought of
àìsí	absenoldeb	lack
án	t	it
áwon	godineb	those
èbà	mosgitos	cassava flour food
èbúté	porthladd	shore
èdá	creu	creature
èdè	iaith	language
èdè	iaith	language
èfòn	amser	efon
èhìn	y nesaf	outskirt
èka	cangen	branch
èkejì	y llall	second
èlò	offer	tool
ènìkan	rhywbeth	someone
èràn	afiechyd	virus
èrò	meddyliau	thoughts
èsó	mosg	modesty
èsúrú	morgrug	yam (indigenous to west africa)
ète	pwrpas	plan
èyì	urddas	this
èka	effaith	branch
èro	meddyliau	machine
èrí	tystiolaeth	witness
èsìn	crefydd	religion
èwù	crys	clothe
èpón	llawer	modifier
ìbarà	twymyn	ibara (town)
ìbánisòrò	y cysylltiad	dialogue
ìbáraeni	cerbyd	to themselves
ìbílè	enedigaeth-fraint	local
ìbílè	enedigaeth-fraint	local
ìdàgbà	oedolaeth	grow
ìdàpapọ̀	cydgrynhoad	union
ìdàrúdàpò	anhrefn	misunderstanding
ìdá	anghyfannedd	division
ìdìmú	aflonyddwch	branch, part
ìdíisin	achos	idi-isin
ìdíwòn	eich rheswm	criteria
ìdó	pigo	ido (a person's name)
ìfara	artaith	self
ìfojúìtànìgbesiayé	hanes bywyd	biography
ìfáàrà	offeiriad	introduction
ìgbonnìbí jé	mae&#39;n drychineb	igbonnibi
ìgbà	amser	when
ìgbàgbé	anghofus	forgetfulness
ìgbá	adenydd	time
ìgbáraga	nerth	pride
ìgbéraga	balchder	pride
ìgbésí	bywyd	life
ìgbò	ram	igbo people
ìhun	haearn	things
ìjo	dawns	church
ìjo	yr eglwys	church
ìjoba	llywodraeth	government
ìjora	casineb	resemblance
ìjìnlè	dirgelwch	comprehensive
ìjìnlè	dirgelwch	mysterious
ìjò	arweinydd	consent
ìjọba	llywodraeth	government
ìkejì	y llall	second
ìkànna	yr un	ikanna (town)
ìkèrèkú	tagfeydd	ikereku
ìkéde	datganiad	advert
ìkìjà	her	ikija
ìkìlò	cam-drin	warning
ìkínin	y chweched	greetings
ìkẹrin	y pedwerydd	fourth
ìkọpa	cyfranogiad	ikopa
ìlera	iechyd	health
ìlo	galw	use
ìlà	amlinelliad	border
ìlànàn	rhith	procedure
ìlàorùn	cleisio	east
ìlàìnàró	gormes	vertical
ìlè	llwgrwobrwyo	land
ìlé	adref	land
ìmò	neidr	knowledge
ìmò	mellt	knowledge
ìmóbìdo	yr enedigaeth-fraint	imobido
ìmú	deintgig	knowledge
ìmúnilérú	cam-drin	slavery
ìmúsára	i gryfhau	contagious
ìnagije	buddugoliaeth	alias
ìnáwó	gwariant	expenditure
ìpolongo	hysbysebu	advertisement
ìpìlẹ̀núkléù	amgryptio	base
ìpìnlè	y dechrau	foundation
ìpínrò	paragraffau	economize
ìrànlọ́wọ́	help	help
ìrànàna	help	path-clearing
ìràwọ̀	y sêr	s
ìrí	profiad	sight
ìròkò	meddwl	iroko
ìròyìn	newyddion	news
ìròyìnwiki	newyddion	wikinews
ìròrùn	rhithiau	peaceful
ìró	sain	sound
ìrúbo	cwymp	sacrifice
ìsawo	dewiniaeth	divinity-practice
ìse	gweithredu	behaviour
ìsinsìnyí	nawr	modern
ìsirò	cyfrifiad	adding
ìsomó	i ymuno	attachment
ìsàlè	machlud haul	down town
ìsèlè	cynhyrchu	happening
ìsìn	crefydd	worship
ìsòrò	myfyrdod	speech
ìsòrí	is-bennawd	chapter
ìsú	trwch	lump
ìsọ	siopiau	stall
ìse	gweithredu	work
ìsègbèfábo	diwydrwydd	female support
ìsèdá	creu	creation
ìsèjoba	llywodraeth	government
ìsílé	adref	house opening
ìsòro	anhawster	problem
ìse	gweithredu	action
ìta	y tu allan	outside
ìtaeko	gweithdy	outskirts of eko
ìtan	hanes	story
ìtokò	y pot	story
ìtàn	hanes	history
ìtànkálé	llifogydd	spread
ìtèsíwájú	cynnydd	progress
ìtójú	gofal	treatment
ìtóju	dryswch	treatment
ìtójú	mynegiant yr wyneb	treatment
ìtóka	i gael ei guro	dictionary
ìtúmò	cyfieithu	meaning
ìtúpalè	cyfieithu	exposition
ìwe	cymhariaeth	book
ìwo	cyrn	horn
ìwàásù	pregethu	sermon
ìwéré	llyfryn	iwere (town)
ìwò	yn gyffredinol	set
ìwòran	gweledigaeth	viewing
ìwúlò	yn ddefnyddiol	usefulness
ìya	dioddefaint	mother
ìyapa	gwahanu	divorce
ìyàwó	y briodferch	wife
ìyípadà	trosi	transformation
ìṣèlú	gwleidyddiaeth	politics
ìṣẹ́kù	y gweddill	broken
ìṣọ̣̀tẹ̣̀	niwmonia	rebellion
òde	y tu allan	society
òdeojú	di-wyneb	surface
òdo	ieuenctid	zero
òdìkejì	y llall	opposite
òféàrán	delwedd	a town name
ògbójú	cymwys	brave
ògiri	wal	wall
ògo	gogoniant	glory
ògun	meddygaeth	medicine
ògúndìpẹ̀	cryno	ogundipe
òjo	edrych fel	ojo
òjísé	y meddyg	servant
òkèògbún	mil	oke-ogbun
òkòòkan	un wrth un	each
òkú	corfflu	corpse
òkúta	carreg	stone
òle	gwraig tŷ	lazy
òmiràn	y sorcerer	other
òmùàrán	delwedd	omu-aran (town)
òní	heddiw	today
òotó	gwirionedd	true
òpópóònà	ffordd	highway
òranyàn	gorfodol	a must
òrìsà	eilunod	god
òrí	pennod	top
òrò	ymenydd	word
òsán	hanner dydd	afternoon
òsèlú	gwleidydd	politics
òsèré	athletwr	player
òwù	lliain	owu
òṣèlú	gwleidyddiaeth	politician
òjògbón	tywydd glawog	learned person
òkan	un	heart
òkòòkan	un wrth un	each
òpòlopò	llawer	many
òré	gêm	friend
òfò	y nesaf	sorrowful
òpòlopo	llawer	lot of
òré	gêm	friend
òrò	meddyliau	word
òsà	pysgod aur	lagoon
òwó	arian	hand
òrò	meddyliau	word
òròàjòmó	y boreau	part of speech
ó	it	that
óníse	mae&#39;n ddylunydd	stricken
ósírísì	poer	diverse
ósékú	mae wedi marw	die suddenly
ó	ydw	word
ôdún	blwyddyn	year
únṣẹlẹ̀	daeargryn	formed
şe	wneud	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	salwch	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	agor	work
ṣàkóbá	niweidiol	incriminate
ẹdo	jôc	edo
ẹlẹ́bùn	rhodd	award winner
ẹlẹ́sìn	crefyddol	religionist
ẹnìkan	un person	someone
ẹsẹ	traed	verse
ẹtì	iau	friday
ẹ̀kaawon	cyflwyniadau	branch of
ẹ̀kabrítánì	ewythr	part of britain
ẹ̀kajuly	mai	chapter july
ẹ̀kaoṣù	drain	month
ẹ̀kasístẹ̀mù	goddrychol	sistemu=system
ẹ̀kẹ́ta	y trydydd	third, the third
ẹ̀kọ́	addysg	teachings
ẹ̀ni	sefydliad iechyd y byd	person
ẹ̀rọ	peiriannau	machine
ẹ̀wẹ̀	ar y llaw arall	leaf
ọbàkàn	hanner brawd	step-sister
ọdún	flwyddyn	year
ọlọ́mọ	plant	members
ọlọ́run	duw	god
ọmú	ti&#39;n sugno	breast
ọmọ	plentyn	c
ọn	it	him
ọpọ́lọpọ́	ffigys	many
ọ̀dọ́	ieuenctid	youth
ọ̀gbìn	planhigyn	seedlings
ọ̀nà	ffordd	ways
ọ̀pòlòpò	gweithredu	various
ọ̀rọ̀	siarad	word
ọ̀sẹ	wythnos	week
