$ tỉ	$ బిలియన్	$ billion
duơng	duong	ocean
duẩn	డుయాన్	duan
duật	డుయట్	duat
duệ	వారసులు	descendants (n.)
duỗi	నిఠారుగా	stretch
dwight	డ్వైట్	dwight
dà	డా	gradually
dài	దీర్ఘ	to lengthen, as in time
dàn	స్టేజింగ్	to arrange
dàng	సులభంగా	dang
dành	ఖర్చు	for
dào	సమృద్ధిగా	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	మందపాటి	thick
dái	విసర్జన	"penis (n.), although some may use the term to mean ""testicles"""
dám	ధైర్యం	dare
dán	పేస్ట్	stick
dáng	ఆకారం	appearance
dát	పొదగబడ్డాయి	inlay
dâm	అశ్లీలంగా	lustful (adj.)
dân	ప్రజలు	people
dâng	ఆఫర్	dedicate
dây	తాడు	nerve
dã	అడవి	chronicle
dãi	అనుమతులిచ్చే	band
dãn	విప్పారిన	extend
dãy	రేంజ్	a row (n.)
dè	జాగ్రత్త	tight
défense	రక్షణ	defense
dép	చెప్పులు	slipper
dê	మేక	goat
dì	అత్త	aunt
dìu	డయ్యూ	to lead by the hand (v.)
dính	sticky	stick
dò	వెతకండి	(with word tham) to survey
dòm	లుక్	snoop
dòng	ప్రస్తుత	"(term should be ""dòng họ"") family (n.)"
dó	ఆ	a type of plant used to make paper in vietnam (n.)
dông	ఉరుము	a storm (n.)
dõi	ట్రాక్	monitor
dù	అయితే	though
dùi	యోధుడు	awl
dùng	వా డు	use
dăm	పేళ్ళు	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	కోర్సు యొక్క	why
dĩa	ప్లేట్	dish
dũng	వాలియంట్	courage
dơ	మురికి	dirty
dơi	గబ్బిలాలు	bat
dư	అవశేష	remnant
dưa	కర్బూజాలు	melons
dưng	స్టాప్	suddently
dương	అనుకూల	penis
dường	అనిపించవచ్చు	seem
dưỡng	నర్సింగ్	feed
dược	ఫార్మసీ	having to do with medicine (adj.)
dượng	అంకుల్	uncle
dạ	అవును	night
dại	మూర్ఖత్వమే	stupid or idiotic (adj.)
dạn	నిర్భయమైన	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	ఫార్మాట్	tyoe
dạo	స్త్రోల్	vending
dạt	కడుగుతారు	to drift
dạy	టీచ్	teach
dải	స్ట్రిప్	range
dấm	వెనిగర్	vinegar
dấp	stumbling	shape
dấu	సైన్	signal
dấy	ఎరౌంజింగ్	to raise (v.)
dần	క్రమంగా	people
dầu	ఆయిల్	oil
dẫm	పైన కాలితో తొక్కటం	step on
dẫn	గైడ్	to lead
dẫu	అయితే	though
dận	ఆంటీ	to step on
dậu	రూస్టర్	rooster
dậy	లే	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	ప్రధాన	lead
dằn	అడుగుబరువు	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	నిరంతర	dằng dai= long/endless
dẳng	నిరంతర	persist
dặm	మైలు	mile
dặn	ఆదేశించారు	to advise (v.)
dặt	ఆర్డర్	conservative
dẹp	చదునుగా చేయుట	pacify
dẹt	ఫ్లాట్	flat
dẻ	చెస్ట్నట్	chestnut
dẻo	వికాసములో	flexible
dế	క్రికెట్	cricket
dền	అమర్నాధ్	beetroot
dể	సులభంగా	easy
dễ	సులభంగా	easy
dệt	నేత	textile
dị	ఏకత్వం	simple
dịch	అనువదించు	semen
dịp	సందర్భంగా	occasion
dịu	కోమల	ease
dọa	బెదిరించడం	to threaten or scare (v.)
dọc	నిలువుగా	along
dỏm	చమత్కారమైన	witty
dốc	వాలు	slope
dối	అబద్ధం	lie
dốt	అమాయకులకు	stupid or ignorant (adj.)
dồi	సమృద్ధిగా	"(term should be ""trau dồi"") improve (v.)"
dồn	పట్టుకుంటారు	accrue
dỗ	పొగడ్తలు	dirty
dời	కదలిక	leave
dở	చెడు	incomplete
dỡ	అన్లోడ్	remove
dụ	ఉదాహరణకి	example
dục	సెక్స్	sexuality
dụng	వా డు	use
dứa	అనాస పండు	pineapple
dứt	స్టాప్	to cease
dừa	కొబ్బరి	coconut (n.)
dừng	స్టాప్	to cease
dữ	సమాచారం	"(term should be ""giận dữ"") anger (n.)"
dự	అంచనా	attend
dựa	ఆధారిత	base on
dực	పురుషుడు	dực, as in lê tương dực
dỹ	డి వై	dy
e	ఇ	e.
ea	ea	(proper noun) ea, as in ea kao
earles	ఎర్లస్	earles
eaton	ఈటన్	eaton
ebro	ఎబ్రో	a name
ecmascript	ecma స్క్రిప్ట్	ecmascript
ecw	ecw	ecw
edda	ఐస్లాండ్ కవిత్వాలు	(proper noun) edda
edgar	ఎడ్గార్	edgar, as in author edgar allan poe (n.)
edge	అంచు	edge
edinburgh	ఎడిన్బర్గ్	(proper noun) edinburgh, as in edinburgh, scotland
edison	ఎడిసన్	edison
editor	ఎడిటర్	editor
edmond	edmond	edmond
edo	లేదా	edo
edward	ఎడ్వర్డ్	edward
edwin	ఎడ్విన్	edwin
eea	eea	eea
efron	ఎఫ్రాన్	efron, as in zac efron
egypt	ఈజిప్ట్	egypt
eid	ఈద్	(proper noun) eid
eiffel	ఈఫిల్	eiffel
einstein	ఐన్స్టీన్	einstein
eisenhower	ఈసెన్హోవర్	eisenhower, as in former president dwight d. eisenhower
ekaterina	ఎకటేరిన	this is a name
elbe	ఎల్బే	(proper noun) the elbe river
electronic	ఎలక్ట్రానిక్	electronic
eliane	ఎలియనే	(proper noun) eliane
elip	దీర్ఘ వృత్తము	ellipse
elizabeth	ఎలిజబెత్	elizabeth
ellen	ఎల్లెన్	ellen
ellis	ఎల్లిస్	a name
elton	ఎల్టన్	(proper noun) elton, as in elton john
elvis	ఎల్విస్	elvis
elíp	దీర్ఘ వృత్తము	ellipse
em	మీరు	younger sibling
email	ఇమెయిల్	email
emily	ఎమిలీ	(proper noun) emily, as in emily dickinson
emir	ఎమిర్	emir
emmy	ఎమ్మి	emmy
en	en	erica reef
energy	శక్తి	energy
engels	ఎంగెల్స్	engels
england	ఇంగ్లాండ్	(proper noun) england, as in new england
eniac	eniac	eniac
entente	మిత్రరాజ్యాలు	entente
entropy	ఎంట్రోపి	entropy
enzym	ఎంజైమ్	enzymes
eo	నడుము	eo, as in the film captain eo
ep	ep	a name
erich	ఎరిచ్	erich
erik	ఎరిక్	erik, as in erik moller
eris	ఎరిస్	eris
eritrea	ఎరిట్రియా	eritrea
ernest	ఎర్నెస్ట్	(proper noun) ernest
eros	ఎరోస్	eros, greek god of love
erwin	ఎర్విన్	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	ముఖ్యమైన	essential
ethernet	ఈథర్నెట్	ethernet
ethiopia	ఇథియోపియా	(proper noun) ethiopia
euclid	యూక్లిడ్	euclid
eugene	యూజీన్	eugene
eugène	యూజిన్	(proper noun) eugène
euler	యూలర్	euler
euro	యూరో	euro, as in the european currency
eurofighter	యూరో ఫైటర్	eurofighter
europe	యూరోప్	europe
european	యూరోపియన్	(proper adjective) european
eva	eva	eva
everton	ఎవర్టన్	everton
every	ప్రతి	every
exgay	exgay	exgay
explorer	అన్వేషకుడు	explorer
extensive	విస్తృతమైన	extensive
fabio	ఫాబియో	(proper noun) fabio
facebook	ఫేస్బుక్	(proper noun) facebook
fact	నిజానికి	fact
facto	వాస్తవ	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	ఫర్రేల్	farrell
faso	ఫాసో	faso
fbi	fbi	fbi
fca	fca	fca
fdi	ఎఫ్డిఐ	fdi
features	లక్షణాలు	features
federer	ఫెదరర్	federer
feet	అడుగుల	feet
felipe	ఫెలిపే	felipe
felis	స్మార్ట్ఫోన్	(proper noun) felis
felix	ఫెలిక్స్	(proper noun) felix, as in felix klein
ferb	ఫెర్బ్	ferb
ferdinand	ఫెర్డినాండ్	ferdinand
ferguson	ఫెర్గూసన్	ferguson
fernando	ఫెర్నాండో	fernando
ferrari	ఫెరారీ	ferrari
fiat	ఫియట్	fiat
fidel	ఫిడేల్	fidel
field	ఫీల్డ్	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	ఫిగో	figo
fiji	fiji	fiji
finish	ముగింపు	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	ఫిషర్	fischer, as in louis fischer
fish	చేప	fish
fishbed	ఫిష్బెడ్	fishbed
fitzgerald	ఫిట్జ్గెరాల్డ్	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	ఫ్లెమింగ్	fleming
flight	విమాన	flight
foch	ఫోచ్	(proper noun) foch
focus	దృష్టి	focus
foden	ఫోడెన్	(proper noun) foden, as in tom foden
fokker	ఫోక్కర్-	fokker
food	ఆహార	food
football	ఫుట్బాల్	bong da
forbes	ఫోర్బ్స్	(proper noun) forbes, as in the magazine
ford	ఫోర్డ్	(proper noun) ford
fordham	ఫోర్ధమ్	(proper noun) fordham
forks	ఫోర్కులు	forks
foundation	పునాది	foundation
fox	నక్క	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	ఫ్రాంక్	franc
france	ఫ్రాన్స్	france
frances	ఫ్రాన్సెస్	frances
francis	ఫ్రాన్సిస్	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	ఫ్రాంక్	frank
frankfurt	ఫ్రాంక్ఫర్ట్	(proper noun) frankfurt
franklin	ఫ్రాంక్లిన్	franklin
franz	ఫ్రాంజ్	(proper noun) franz, as in franz ritter
freud	ఫ్రాయిడ్	(proper noun) freud, as in sigmund freud
friedman	ఫ్రైడ్మాన్	friedman
fu	ఫూ	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	ఫ్యూకూవోకా	fukuoka
funimation	ఫనిమేషన్	(proper noun) funimation
funk	ఫంక్	funk
futsal	ఫుట్సల్	futsal
fx	fx	fx
ga	ga	station
gabon	గేబన్	gabon
gabriel	గాబ్రియేల్	gabriel
gabriella	గాబ్రియెల్లా	gabriella
gagarin	గగారిన్	gagarin
gaia	గియా	gaia
gaillard	gaillard	gaillard
galilei	గెలీలి	galilei
galileo	గెలీలియో	galileo, the astronomer
gam	గ్రాముల	gam
gambia	గాంబియా	gambia
gamow	gamow	a name
gan	కాలేయం	liver
gandhi	మహాత్మా గాంధీ	gandhi, as in mahatma gandhi
gang	ముఠా	cast iron
ganh	ఈర్ష్య	to be jealous
gao	వరి	strictly
gareth	గారెత్	a name
garrett	గారెట్	garrett
gary	గ్యారీ	gary
gascon	గస్కన్	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	గే	tense
gaza	గాజా	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	గీషా	geisha
gen	జన్యువులు	gene
gene	జన్యు	(proper noun) gene, an english first name
genesis	పుట్టుకకు	(proper noun) genesis
georg	జార్జ్	(proper noun) georg
george	george	george
georges	జార్జెస్	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	గెర్హార్డ్	gerhard
german	జర్మన్	german
germany	జర్మనీ	germany
gerrard	గెరార్డ్	gerrard, a last name
ghana	ఘనా	(proper noun) the african country of ghana
ghe	పడవ	canoe
ghen	ఈర్ష్య	to be jealous (v.)
ghi	వ్రాయండి	write
ghim	పిన్	pin
ghé	స్టాప్	visit
ghép	అంటుకట్టడం	fit
ghê	హర్రర్	disgust
ghì	జిహెచ్ఐ	tighten
ghẻ	గజ్జి	scabies (n.)
ghế	కుర్చీ	chair
ghề	rapids	scabby
ghềnh	rapids	waterfall (n.)
gia	gia	date
giai	రంగస్థల	period
giam	జైలు	imprison
gian	స్థలం	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	జిబ్రాల్టర్	(proper noun) gibraltar
gichin	gichin	gichin
gieo	తల్లిపంది	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	గిలయాని	giuliani
giun	పురుగులు	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	గిజా	giza
già	పాత	old (adj.)
giàn	ట్రస్	"(term should be ""giàn hoa"") a trellis girder"
giành	ఆత్రంగా	secure
giàu	రిచ్	rich or wealthy (adj.)
giày	బూట్లు	a shoe
giá	ధర	estimate
giám	దర్శకుడు	"(term should be ""giám sát"") to supervise (v.)"
gián	బొద్దింకల	"(term should be ""gián tiếp"") indirectly"
giây	సెకన్లు	seconds
giã	కొట్టడం	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	కధనాన్ని	stretch
gièm	శత్రువులు	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jesus	jesus
giêxu	నెక్సస్	jesus
giò	స్ప్రింగ్ రోల్స్	leg
giòi	maggots	maggot (n.)
giòn	crunchy	crunchy or crispy (adj.)
gió	గాలి	wind
gióng	వంటి	align
giúp	సహాయం	help
giũa	ఫైలు	sharpen
giơ	జామ్ అప్	raise
giương	మండే	posture
giường	మం చం	bed
giả	నకిలీ	fake (adj.)
giải	పరిష్కారం	solution
giảm	తగ్గింపు	decrease
giản	సరళీకృత	"(term should be ""giản dị"") simple (adj.)"
giấc	నిద్ర	giấc ngủ= the sleep
giấm	వెనిగర్	drabble
giấu	దాచు	hide
giấy	కాగితం	paper
giầu	రిచ్	rich
giận	కోపం	angry
giằng	బ్రేసింగ్	pull
giặc	శత్రువు	enemy
giặt	వాష్	to wash (n.)
giếng	బాగా	well
giết	కిల్	kill
giềng	పొరుగు	"(term should be ""láng giềng"") neighboring"
giễu	హేళన	ridicule
giọng	టోన్	tone
giọt	డ్రాప్	drop
giỏ	బుట్ట	basket
giỏi	గొప్ప	good
giồng	giong	mound
giỗ	మరణ వార్షికోత్సవం	anniversaries of deaths
giới	లింగ	gender
giờ	గంటల	bao giờ=ever
giở	ఫ్లాష్	to open or unfold (v.)
giỡn	హాస్యంగా	joke
giục	కోరారు	urge
giữ	పట్టుకోండి	hold
giữa	మధ్య	between
gladys	gladys	gladys
glazer	గ్లేజర్ను	glazer
glonass	glonass	glonass
gloria	గ్లోరియా	gloria
gloster	గ్లోస్టెర్	(proper noun) gloster, as in gloster meteor
glucose	గ్లూకోజ్	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	వెళ్ళండి	"(term should be ""gay go"") tense"
goes	వెళుతుంది	goes
goku	గోకు	goku
golden	బంగారు	golden
gom	సేకరించ	to gather (v.)
google	గూగుల్	google
gorbachev	గోర్బచేవ్	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	గోర్డాన్	gordon, as in gordon brown
gore	గోరే	gore
gorky	గోర్కీ	gorky, as in gorky park
gothic	గోతిక్	gothic
gottfried	గాట్ఫ్రైడ్	gottfried
grabeel	గ్రబీల్	grabeel, a last name
graham	గ్రాహం	graham
granada	గ్రెనడా	granada
granit	గ్రానైట్	granite
greek	గ్రీకు	(proper noun) greek
greenland	గ్రీన్లాండ్	greenland
greenson	greenson	(proper noun) greenson
greenwich	గ్రీన్విచ్	(proper noun) greenwich
greg	గ్రెగ్	greg
grenada	గ్రెనడా	grenada
grenadines	గ్రెనడీన్స్	grenadines
gross	స్థూల	gross
grumman	గ్రుమ్మన్	(proper noun) grumman
gruzia	జార్జియా	gruzia
gryffindor	ఎట్టకేలకు	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	శైలి	gu
guam	గ్వామ్	guam
guard	గార్డు	guard
guatemala	గ్వాటెమాల	guatemala
gui	gui	gui
guinea	గినియా	guinea
guinness	గిన్నిస్	(proper noun) guinness
guitar	గిటార్	guitar
gujarat	గుజరాత్	gujarat
gulag	gulag	gulag
gulf	గల్ఫ్	gulf
gullit	గుల్లిట్	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	గనంగ్	(proper noun) gunung
gustave	గుస్టావ్	gustave
gutenberg	గుటెన్బర్గ్	gutenberg
guyana	గుయానా	guyana; proper noun
gà	చికెన్	chicken
gài	మడత	to fasten (v.)
gào	అరిచి	"(term should be ""thét gào"") to cry out (v.)"
gác	గార్డు	guard
gái	అమ్మాయి	girl
gán	కేటాయించవచ్చు	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	క్యారీ	hold
gáy	మూపు	crow
gân	దగ్గరగా	tendon
gây	కారణం	make
gãy	విరిగిన	break
gì	ఏమి	what
gìn	సంరక్షించేందుకు	preserve
gò	కొండ	"(term should be ""gò má"") cheekbone (n.)"
gòn	గోన్	gon
góa	వితంతువు	widowed
góc	మూలలో	angle
gói	ప్యాకేజీ	goi
góp	విడత	to contribute
gót	మడమ	heels
gõ	రకం	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	నిల్వకు	poniard
găng	చేతి తొడుగులు	gloves
gũi	దగ్గరగా	close
gươm	కత్తి	sword
gương	అద్దం	mirror
gạc	గాజుగుడ్డ	johnson south reef
gạo	వరి	rice
gạt	తీసివేయబడింది	to cheat or trick (v.)
gả	వివాహం	marry
gảy	విరామం	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	గాక్	gac
gấm	బ్రోకేడ్	brocade
gấp	అత్యవసరము	times, as in many times
gấu	ఎలుగుబంటి	a bear (n.)
gần	సమీపంలో	near
gầy	సన్నని	thin
gẫy	విరిగిన	break
gập	రెట్లు	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	స్టిక్	stick
gắm	అపానవాయువు	send
gắn	మౌంట్	mount
gắng	ప్రయత్నించండి	try
gắt	కఠినంగా	intense
gặm	త్రుప్పుపట్టు	rodent
gặp	కలుసుకోవడం	meet
gặt	పంట కోతకు	harvest
gỉ	రస్టీ	rust
gọi	కాల్	call
gọn	చక్కగా	neat (adj.)
gọng	rimmed	gong
gọt	తొక్క	cut
gỏi	సలాడ్	a vietnamese salad
gốc	మూలం	origin (n.)
gối	దిండు	"(should be ""qùy gối"") to kneel"
gốm	సిరామిక్	pottery
gồm	సహా	include
gồng	గాంగ్	carry
gỗ	చెక్క	wood
gội	షాంపూ	shampoo
gộp	విలీనం	aggregate
gớm	వికారమైన	tremendous
gờ	ledge	edge
gởi	పంపు	send
gỡ	దించుతున్న	meet
gợi	సూచనాత్మక	to evoke (v.)
gục	డౌన్	"(term should be ""đánh gục"") crush, as in battle"
gừng	అల్లం	ginger
gửi	పంపండి	send
ha	హ	hectare
habana	హబానా	(proper noun) habana
habsburg	హబ్స్బర్గ్	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	హాన్	hahn
hai	రెండు	two (adj.)
hal	హాల్	hal
halle	హాలీ	(proper noun) halle
halogen	లవజని	halogen (n.)
ham	హామ్	desire
hamilton	హామిల్టన్	(proper noun) hamilton
han	han	han
hang	గుహలో	cave
hangul	హాంగుల్ను	hangul
hanh	వృషభము	hanh
hanja	హంజా	(proper noun) hanja, a type of chinese script
hansen	హాన్సెన్	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	హెరాల్డ్	harald
hardy	హార్డీ	hardy
harlem	హర్లెం	harlem
harlow	హార్లో	harlow
harold	హెరాల్డ్	(proper noun) harold
harper	హార్పర్	harper
harpercollins	హార్పర్ కాలిన్స్	hapercollins
harrier	హారియర్	harrier, as in harrier jump jet
harris	హారిస్	harris
harry	హ్యారీ	harry
harvard	హార్వర్డ్	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	హవానా	(proper noun) havana, cuba
havilland	హావిలాండ్	havilland
hawker	హాకర్	hawker
hawking	హాకింగ్	(proper noun) hawking, as in physicist stephen hawking
hay	మంచిది	or
hb	హెచ్బి	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	అతను	he, a korean name
health	ఆరోగ్య	health
heath	హీత్	heath
hee	హీ	hee
hegel	హెగెల్	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	హేయన్	heian
heinrich	హెన్రిచ్	heinrich
helen	హెలెన్	helen
helena	హెలెనా	helena
heli	హీలియం	helium
hematocrit	హెమటోక్రిట్	hematocrit
hemoglobin	హిమోగ్లోబిన్	hemoglobin
hen	కోడి	asthma
henry	హెన్రీ	(proper noun) henry, as in henry kissinger
heo	కాలం చెల్లిన	dolphin
her	ఆమె	her
herbert	హెర్బర్ట్	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	హెర్క్యులస్	hercules
hermann	హెర్మన్	hermann
hermes	హీర్మేస్	hermes
hersh	హెర్ష్	hersh, as in seymour hersh
hesiod	హేసియోడ్	hesiod
hestia	hestia	hestia
hi	hi	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	హిక్స్	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	హిదేయోషి	(proper noun) hideyoshi
hidro	హైడ్రోజన్	hydrogen
hillsborough	hillsborough	hillsborough
hilton	హిల్టన్	hilton
himalaya	హిమాలయ	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	హిండెన్బర్గ్	(proper noun) hindenburg
hindi	హిందీ	hindi
hindu	హిందూ మతం	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	హిరగన	hiragana
hiroshi	హిరోషి	hiroshi
hiroshima	హిరోషిమా	(proper noun) hiroshima, the japanese city
hitchcock	హిచ్కాక్	hitchcock
hitler	హిట్లర్	hitler
hitter	హిట్టర్	hitter
hitters	హిట్టర్లు	hitters
hiên	వాకిలి	(proper noun) hiên, a vietnamese first name
hiđrô	హైడ్రోజన్	hydrogen
hiếm	అరుదైన	rare
hiến	ఇవ్వాలని	devote
hiếp	రేప్	rape
hiếu	దైవభక్తి	pious
hiềm	అనారోగ్యంతో	grudge
hiền	సేజ్	sage
hiểm	ప్రమాదకరమైన	dangerous
hiểu	అర్థం	learn
hiện	చూపించు	"(term should be ""thực hiện"") to accomplish"
hiệp	సగం	united
hiệu	ప్రభావం	effective
hlv	రైలు పెట్టె	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	పుష్పం	flower
hoan	ఫెస్టివల్	welcome
hogwarts	హాగ్వార్ట్స్	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	హోమ్స్	a name
holocaust	హోలోకాస్ట్	holocause
holocen	హోలోసునే	holocen
holt	హాల్ట్	holt, an english last name
hom	కోత	a cutting
homer	హోమర్	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	హోండురాస్	honduras
hong	హాంగ్	hong
honolulu	హోనోలులు	honolulu
honshū	హోన్షు	honshu
hopkins	హాప్కిన్స్	(proper noun) hopkins
hornet	హార్నెట్ &#39;	hornet
hotspur	హాట్స్పుర్	(proper noun) hotspur, as in tottenham hotspur
houston	హౌస్టన్	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	అయితే	however
hoà	టై	peace
hoài	వ్యామోహం	always (adv.)
hoàn	పూర్తి	"(term should be ""hoàn toàn"") completely"
hoàng	కింగ్	royal (adj.)
hoành	ఉదరవితానం	rife
hoá	రసాయన శాస్త్రం	"(term should be ""văn hoá"") culture (n.)"
hoán	పర్మ్	refined (adj.)
hoãn	వాళ్ళు తింటారు	delay
hoạ	పెయింట్	disaster (tham hoa)
hoại	గ్యాంగ్రెనే	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	హెంటయ్	work
hoả	ఫైర్	of
hoảng	భయాందోళనలు	panic-stricken (adj.)
hoặc	లేదా	or
hp	hp	hp
hq	hq	hq
hudgens	హడ్జెన్స్	(proper noun) hudgens
hudson	హడ్సన్	hudson
huey	హుయ్	huey
hughes	హుఘ్స్	hughes
hugo	హ్యూగో	(proper noun) hugo
hume	హ్యూమ్	hume, as in david hume
hun	హన్	(proper noun) hun
hungary	హంగేరి	hungary
hunt	వేట	hunt
hurley	హార్లీ	(proper noun) hurley, as in chad hurley
hussein	హుస్సేన్	hussein
husserl	husserl	huserl
huston	హుస్టన్	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	సోదరుడు	older brother
huyền	ఆధ్యాత్మిక	huyền thoại= legend
huyễn	ఇల్యూసరీ	huyen
huyện	జిల్లా	district
huyệt	ఆక్యుపంక్చర్ పాయింట్లు	lair
huân	హువాన్	"(term should be ""huân chương"") medal (n.)"
huê	రంగు	"a less common vietnamese word for ""flower"""
huấn	శిక్షణ	"(term should be ""huận luyện"") to train (v.)"
huế	రంగు	hue
huệ	రంగు	favour
huống	కేసు	situation
huỳnh	సల్ఫర్	sulfur
huỷ	రద్దు చేయండి	destroy
hydra	సులభంగా జయించవీలుకాని కీడు	hydra, a monster in greek mythology
hydro	హైడ్రోజన్	hydrogen
hyperion	హైపెరియన్	hyperion
hà	హ	"(term should be ""hà nội"") the capital of vietnam"
hài	కామెడీ	corpse
hàm	దవడ	"(term should be ""bao hàm"") to imply (v.)"
hàng	వరుసగా	row
hào	కందకం	depreciation
hách	లొంగదీసుకొని నిర్లక్ష్యంగా తయారుచేస్తుంది	glorious
hái	ఎంచుకోండి	picking
hán	కరువు	china
háo	ఆసక్తి	eager
hát	సింగ్	song
hâm	వెర్రి	"(term should be ""hâm mộ"") to admire (v.)"
hân	హన్	le ngoc han
hãi	భయపడ్డాను	to be scared (v.)
hãn	ఖాన్	to sweat (v.)
hãng	సంస్థ	a company (n.)
hãnh	గర్వంగా	proud
hè	వేసవి	summer
hé	పగిలి పోయింది	reveal
héo	సిగ్గుపడు	dried-out
hét	అరవడం	shout
hên	అదృష్ట	luck
hí	నే	game
hít	ఊపిరి	act of kissing (hon hit)
hò	డేటింగ్	date
hòa	టై	republic
hòe	ఒంటి	hoe
hòm	మందసము	box
hòn	ద్వీపం	island
hòng	బాగా	in order to
hóc	ఈ	a corner (n.)
hót	సింగ్	to chirp or sing (v.)
hô	హో	respiration
hôi	ఫౌల్	stink
hôm	రోజు	day (n.)
hôn	ముద్దు	propose
hông	హిప్	hip
hù	భయ పెట్టు	threaten
hùng	నాయకులు	hero
húc	గోరే	huc
húng	ప్రేరణ	"(should be ""húng láng"") water mint"
hút	ధూమపానం	to suck (v.)
hăng	తీక్షణమైన	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	జాడి	jar
hơi	కొంచెం	slightly
hơn	కంటే	more or less
hư	చెడు	fictional
hưu	రిటైర్	huu
hương	ధూపం	smell
hước	హాస్య	humor
hướng	దిశ	trend
hường	huong	huong
hưởng	ఆనందించండి	influence
hạ	వేసవి	lower
hạc	పూకొంగలు	crane
hạch	గాంగ్లియోన్నుండి	ganglion
hại	హాని	harm
hạng	తరగతి	rank
hạnh	వృషభము	happy
hạo	హవో	hao
hạp	సందర్భము	hap
hạt	సీడ్	seed
hải	ఆచారాలు	two
hảo	పరిపూర్ణ	perfect
hấn	han	aggressive gesture
hất	సంఘటనలో	toss
hấu	పుచ్చకాయ	"(term should be ""dưa hấu"") watermelon"
hầm	సొరంగం	ham
hầu	దాదాపు	most
hận	ద్వేషం	hatred
hậu	క్వీన్	anus
hắc	బ్లాక్	black
hắn	అతనికి	he (n.)
hắt	తుమ్ము	reject
hằng	స్థిరమైన	every
hặc	hac	to criticize (v.)
hẹ	చిన్న	chinese chives
hẹp	ఇరుకైన	narrow
hẻm	అల్లే	alley (n.)
hẻo	ఏకాంత	outback
hến	మస్సెల్స్	mussel
hết	పైగా	most
hề	విదూషకుడు	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	వ్యవస్థ	relation
hệt	ఒకేలా	exactly
hỉ	దెబ్బ	happy
hịch	దబ్ అని ఢీకొను	a proclamation
