aajo	belachelijk	hospitality
ojo	ziet eruit als	day
ojojumo	dagelijks	daily
ojoru	warmte	wednesday
ojukokoro	hebzucht	covetousness
ojuoorun	zonsondergang	atmosphere
ojuse	verantwoordelijkheid	responsibility
ojùkòsì	neerslag	ojukosi
ojùkòtúu	neerslag	ojukotuu
ojúlùmọ̀	bekenden	acquaintance
ojútáyé	viscositeit	public
ojúìwé	bladzijde	page
okeere	overzee	distant
okhotsk	okhotsk	okhotsk
oko	veld-	farm
okunkun	duisternis	darkness
okunrin	de man	male person
olodiajodojuko	elkaar	facing wall
olohun	eigenaren	god
olojukanna	direct	same surface
olokunkun	hoofdtelefoon	popular
ololugbe	verliezer	occupants
olopon	hooghartig	a local game
olora	vet	fertile
oloselukan	hallo	one political
oloye	genie	chief
oluda	schepper	creator
oludase	producent	separatist
olukoitan	instructeur	the writer
olukowe	auteur	writer
olumojuto	hebzuchtig	overseer
oluparapo	combinatie	joint
olusoju	bewaker	ambassador
oluwakiri	verkenning	explorer
olympus	olympus	olympus
olódùmarè	almachtig	almighty god
olóyè	heerser	chief
olóṣèlú	politicus	politics
olùbátan	dit contact	relative
olùdarí	een leider	director
olùkópa	bijdrager	participant
olùkó	instructeur	teacher
olùkọ́	leraar	teacher
omi	water	water
omiadalu	overstroming	mixture
onialjebra	onialjebra	of algebra
onibugbe	huurder	population
onigbeja	constructief	allied
onigbowo	een sponsor	sponsor
onigunfenfe	passief	large angle
onilanaibagbepo	condoom	constitutional
onilile	huiseigenaren	solid
oninawo	lener	financial
onipin	rationeel	even
onisayensi	technicus	scientific
onisowo	handelaar	trader
oniyewumeji	binair	two-chamber
oniyijulo	geweldig	highest honour
onje	eetpatroon	food
onka	rekenmachine	counter
onígbàgbó	oude man	believer
oníkólóbó	beledigend	onikolobo (place)
onílẹ̀	beneden	land owners; citizens (omo onile)
oníná	brand	electronic
onítumò	vertaler	meaning
onítèbọmi	de gedoopten	baptist
onítòhùn	accountant	that person
oníwòsàn	de genezer	doctor
oníyanjù	geanimeerd	persevere
ooni	krokodil	ooni (king)
ootọ́	waar	truth
opec	opec	opec
opposite	tegenover	odi
ori	hoofd	top
oriire	gefeliciteerd	success
oriki	oosters	name of endearment
orileede	de natie	country
orileedeajoba	imperialisme	monarchic country
orilejoba	regering	seat of government, kingdom
orileominira	warmte	republic
orinìyìn	een lied	songs of praise
orisirisi	verscheidenheid	various
orisun	bron	source
orisa	oorsprong	god
oritameta	middenin	crossway
orudnun	jaarlijks	mispelled...should orundun, century
oruko	zelfstandig naamwoord	name
oríilè	nationaal	land
oríilẹ̀	artikel	land
oríkì	poëzie	family name
orílèèdè	nationaal	country
orílẹ̀	natie	continent
orílẹ́	avond	nation
orísiirísi	verschillende	various
orísìí	verscheidenheid	type
orísìírísi	verschillende soorten	various
orúko	het veld	name
oscar	oscar	oscar
oseluarailu	burger	political unit
otherwise	anders-	ibaje
otutu	veel	coldness
oun	hij	it
owojagidijagan	terroristen	upheaval
oúnjẹ	eten	food
odún	het jaar	year
ojó	het is regenachtig	day
okùnrín	gelach	man
olórun	god	god
olósìn	religieus	rearing
odun	jaarlijks	year
olorun	god	god
omonìyàn	mensen	human beings
opolo	veel	brain
ose	uit	week
oyé	de wereld	harmattan
ofò	goedemorgen	nothingness
opolo	veel	brain
paa	uitschakelen	back
paapaa	vooral	especially
padá	peul	go back
palauan	palauan	palauan
panaˈma	panama	panama
panyanan	het teken	spanish
papa	papa	specifically
parapọ̀	mengsel	join
paripari	het einde	finally
pele	charmant	hello
penh	penh	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	parel	with
phillipines	phillipines	phillipines
pinsi	afnemend	divided
pinsoto	pinoto	separated
pinu	vastbesloten	decide
pipo	veel	plenty
pipolongo	advertentie	publicise
piposi	veel	multiplication
platos	platos	plato's
plánẹ́tì	loodgieter	planet
po	po	share
pojulo	de hoogste	larger
polandi	pools	poland
polaroid	polaroid	polaroid
population	bevolking	ero
portonovo	portonovo	porto novo
portuguese	portugees	portuguese
press	druk op	press
produced	geproduceerd	yo
protokolu	protocolu	protocol
proton	proton	kemika alaropo
providence	voorzienigheid	providence
príncipe	principe	principe
pupa	rood	red
px|kùránì	px |	koran or quran; the px  does not belong
pàmò	concreet	pamo (town)
pàràkòyí	direct	parakoyi
pààlà	een grens	signalised
pàápàá	vooral	especially
pásíà	de kelder	persia
pátáporongodo	absoluut	entire
pè	gebeld	that
pèhìndà	sperma	turned back
pèlu	samen met	with
pèlúpèlú	ook	in addition
pèsè	voorzien	provide
pé	dat	that
péré	enkel en alleen	only
péé	dat	that
pípa	slachten	order
pípèsè	voorziening	providing
pípẹ́	lang	long
pòwe	spreekwoorden	to say a proverb or wise saying
pò	vouwen	join
púpo	te veel	much
púpò	liever	a lot
quran	koran	quran
ra	kopen	self
race	ras	ere
rajya	hoop	rajya
ramadan	ramadan	ramadan
rank	rang	ipo
reggae	reggae	reggae
repeats	herhaalt	tunso
repetejulo	het meest gevoelig	most of all
rere	goed	success
research	onderzoek	agbeyewo
richard	richard	richard
right|thumb|px|aworan	rechts | thumb | px | afbeelding	picture
rinle	nieuw	emphasise
riresile	recorder	humbled, lowered
riro	verbeelding	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	denken	thought
robinson	robinson	robinson
roboto	oppervlakken	round
rogbodiyan	herrie	riot
rokirika	browsen	publicise
roko	bende	farm work
roma	roma	roma
rome	chroom	rome
ronald	ronald	ronald
rorùn	gemakkelijk	easy
rossii	rossii	rossii
rural	landelijk	igberiko
ryan	ryan	ryan
ráhàn	verscheen	complain
ránmú	zich zorgen maken	grumble
république	république	republic
ré	c	his/her
rìn	lopen	should be orin, song or music
ròyìn	gemeld	give account
rẹ	haar	it
saarc	verwijderen	saarc
saaree	beter	after death
saarland	op de vloer	saarland
safari	safari	safari
saffana	saffier	savannah
safiwe	vergelijking	describe
safta	in de rij gaan staan	safta
saheli	gemak	sahel
sakyamuni	de volgende	sakyamuni
sakyas	sakya&#39;s	sakyas
salem	salem	salem
salàyé	leven	explained
sambia	jeugd	zambia
samioro	beschikbaar	signal
santa	de kerstman	santa
say	zeggen	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	zee	odo
seat	stoel	itedo
segbese	mogelijk	take steps
seidamo	doorzichtig	identify
semolara	astma	accustom
semudaju	natuurlijk	assure
senegal	senegal	senegal
sense	zin	sensi
seville	sevilla	seville
sewadi	zoeken	investigate
sharon	sharon	sharon
sibesibe	nog	further more
sihamoni	structuur	sihamoni
sile	achter	previously
silè	druppels	on the ground
sinai	zonde	sinai
sinsin	religie	unshakably
sioux	sioux	sioux
sise	koken	works
sisodagba	opgroeien	came of age
sisopo	koppelen	joined
sisupapoerekusu	spugen	neighbouring islands
sisupo	vermenigvuldigen	concentrated
slovo	slovo	slovo
so	liefde	turned
sohun	ja	something
solomon	solomon	solomon
soon	spoedig	lai'pe
sopin	einde	ended
so	zo	tells
spectacular	spectaculair	damanran
stella	stella	stella
structures	structuren	igbekale
suez	suez	suez
sugbo	maar niet	but
sugbọ́n	rationeel	but, however
sun	zon	sleep
suny	suny	suny
swahili	swahili	swahili
symmetry	symmetrie	ogbooga
sàbúrí	bovenal	saburi
sàmì	een bord	signalize
sàn	des te beter	flow
sàngó	bende	sango (god of thunder)
sàì	goed	un
sápadè	deze dag	run to
sáàpàdé	sponsoring	saapade
sáààrin	tussenin	between
são	de nieuwe	sao
sèle	stelen	down
ségun	huilen	conquered
sénégal	sperma	senegal
séyìn	terug	back
séyìn	terug	at the back of
sìbẹ̀	nog	there
sìni	garnalen	likewise
síbèsíbè	niettemin	further more
síbú	naar de grond	ocean
sílẹ̀	in de steek gelaten	drop
síse	werk	doing
síso	nog steeds	spoken
síso	nog steeds	saying
síta	buiten	outing
síwon	hen	to them
síwájú	voorwaarts	comes before
síí	hier	on it
sòrò	hersenspoeling	talk
sójà	soldaat	soldier
sóko	fabriek	to the farm
sùgbón	integendeel	but
sọ	zeggen	lose
si	zeker	to
síse	structuur	performing
sùgbón	integendeel	but
se	zij doen	do
sepò	tenslotte	cooperation
sisé	uitwerken	work
sááju	duurt heel even	before
sísa	s .ía	to be
sísè	vertaling	step
tabi	of	or
tabili	tafel	table
tabora	vermijding	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	beperkingen	valiant
talaka	arm	poor
talika	armoede	the poor
tara	negen	wholly
tata	filter	wildly
taínos	taínos	tainos
technology	technologie	tekinoloji
tedo	dating	stay
teksas	texas	texas
tele	opvolgen	before
temptation	op zoek naar	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	de	does no directly translate
they	ze	won
those	die	awon
thumb|left|upright|nelson	duim | links | rechtop | nelson	apa osi naro
tira	gespannen	quranic verse
tirana	tirana	tirana
tirè	zijn	own
titu	schieten	cold (if it's a person's name, it is tutu)
tiwọn	van hen	theirs
to	naar	it
toje	bijzonder	that is
tokasi	wees erop	pointing to
tokyo	tokyo	tokyo
tolerejulo	getolereerd	most profitable
tolórítelémù	holocaust	all manners of people
tomé	tomaat	tome
tooto	werkelijk	true
tori	tori	because
torun	brunette	heavenly
toseluaralu	politiek	political
tounsejanu	tragisch	control
traduite	traduite	traduite
translated	vertaald	tunmo
tumosi	middelen	means
tuntun	nieuw	new
tàsí	zonder	or
tàwon	hen	theirs
táawà	buigen	we
tèlé	opvolgen	before
tètè	snel	quickly
tèlé	direct	follow
tèsíwájú	om vooruitgang te boeken	progress
té	t	follow
télè	door	before
té	t	shamed
títi	gesloten	till
títèlé	volgen	following
títío	tot	until
tíátà	kaartjes	theater
tíórì	banden	that is seen
tò	ingesteld	enough
tóbi	groot	big
tódárajùlọ	het beste	most beautiful
tókù	rust uit	others
tówùú	elk aantal	whatever
tó	tó	taught
tóka	aangehaald	pointed
tú	uitstorten	untie
túmò	pruim	means
túnse	herschikken	restructured
tẹ̀ǹbẹ̀	vervolgens	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	samenzweren	bitterness
ucb	ucb	ucb
umueri	kinderen	umueri
unifasiti	universiteit	university
unla	ja	great
urasílì	uracil	uracil
uribe	de aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	de weg	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	victor	victor
videos	videos	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	virussen	awon eran
visit	bezoek	ibewo
vz	vz	vz
waa	het is	ours
waju	gezicht	future
wari	geur	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	ontdekking	discovered
województwo	cheworddztwo	wojewodztwo
wole	inloggen	into
woo	woo	look
wo	hier	enter
wo	hier	look
won	hen	they
wura	goud	gold
wyoming	wyoming	wyoming
wàásù	prediken	preach
wì	weg spoelen	that
wípè	duidelijkheid	that
wòfún	oogopslag	convenient
wònyí	dit zijn	these
wón	hen	they
wúnrèn	trainen	small amount
wọn	hen	they
wọ̀nyí	deze	these
xd	xd	xd
xiv	xiv	xiv
yafran	alfabet	yafran
yakubu	yakub	yakubu
yan	selecteer	choose
yanjú	oplossen	solve
yanturu	genoeg	abundant
yaoundé	yaoundé	yaounde
yewo	verbetering	examine
ye	ja	suitable
ye	ja	should
yindinyindin	nooit ophouden	brightly
yio	zal	will
yiowu	het zal	any
yipada	keer om	change
yiyafunnilo	erosie	borrow
yoo	zullen	will
yori	led	result
york	york	york
yorúbà	yoghurt	yoruba
yo	yo	remove
yànan	verbazing	scattered
yàtò	opgericht	other than
yára	haast je	quickly
yèwò	kijken	examine
yée	laat ze	eplained to
yì	gaan	this
yìí	dit	this
yí	keer om	this
yíyípadà	verandering	changed
yíì	je zal	this
yíò	het zal	it will
yẹ̀ẹ́	weet je	check
yọ	verwijderen	bring out
zanzibar centralsouth	zanzibar centraal zuid	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	weg	bce
àbe	baviaan	under
àbámẹ́ta	donderdag	saturday
àbáyo	suggestie	breakthrough
àbìkú	onsterfelijkheid	'born to die' child
àbọ̀	voor de helft	result
àdámò	privacy	earmark
àdátá	het tegenovergestelde	adata
àdáátán	exclusief	adaatan
àdóolóró	olie	bomb
àgbàjọ	de oude man	assembly
àgbàrá	overstroming	power
àgbáríjọ	organisatie	combination
àgbékà	abstract	suitable
àgbéyèwò	beoordeling	examination
àgbìgbò	buurt	a type of bird
àgbùdo	werf	corn
àgọ́	tent	ago
àifète	doel	unable to keep quiet
àjo	reizen	board
àjákọ	deel	ajako
àjọṣepọ̀	sociaal	union
àkosílè	abstractie	written
àkosílè	scriptie	written account
àkàrà	taarten	bean pudding
àká	planken	store
àkójopò	groep	collection
àkókó	de tijd	previous
àlàkalè	doelen	breakdown, explanation of actions
àlàyé	informatie	explanation
àlàáfíà	vrede	peace
àlááfià	analogie	wellbeing
àlè	bastaard-	mistress, concubine, (side booty)
àlèpò	bovenstaande	joined together
àlébù	smet	ills
àmérìkà	bovennatuurlijk	america
àmì	teken	sign
àmúlò	praktisch	synonyms
àmúsorò	psychologie	resources
ànfàní	kans	opportunity
àpapọ̀	als geheel	federal
àpeere	voorbeeld	example
àrígbámú	verontrustend	assistant
àrùn	ziekte	disease
àrẹ	president	president
àse	feest	authority
àsàjemátèe	dageraad	cunning
àsèyìn	nasleep	at the end
àsìkò	tijd	time
àsótélè	uitbreiding	prophecy
àsọdọ̀kan	eenheid	unitary
àsekúdórógbó	schors	do or die
àsà	op maat	habit, culture, norm
àtijo	verouderd	olden days
àtìpó	de alien	sojourn
àtòrìnká	rotonde	urinating while walking
àtúnse	bewerk	modification
àtúnse	bewerk	renovate, fix
àtẹnudẹ́nu	mondeling	oral
àwon	theorieën	they
àwón	het geld	the
àwón	geld	the
àwùjo	maatschappij	community
ààtò	ritueel	suitability
ààyè	levend	space
àárín	middenin	middle
àáyá	sperma	seconds
àìkó	tekort	unlearned
àìní	willen	lack
àìròtélè	niet verwacht	unthought of
àìsí	afwezigheid	lack
án	t	it
áwon	ontucht	those
èbà	muggen	cassava flour food
èbúté	haven	shore
èdá	creatie	creature
èdè	taal	language
èdè	taal	language
èfòn	gespannen	efon
èhìn	de volgende	outskirt
èka	afdeling	branch
èkejì	de andere	second
èlò	gebruiksvoorwerpen	tool
ènìkan	iets	someone
èràn	ziekte	virus
èrò	gedachten	thoughts
èsó	moskee	modesty
èsúrú	mieren	yam (indigenous to west africa)
ète	doel	plan
èyì	waardigheid	this
èka	effect	branch
èro	gedachten	machine
èrí	bewijs	witness
èsìn	religie	religion
èwù	overhemd	clothe
èpón	veel	modifier
ìbarà	koorts	ibara (town)
ìbánisòrò	de verbinding	dialogue
ìbáraeni	vervoer	to themselves
ìbílè	geboorterecht	local
ìbílè	geboorterecht	local
ìdàgbà	volwassenheid	grow
ìdàpapọ̀	consolidatie	union
ìdàrúdàpò	chaos	misunderstanding
ìdá	desertie	division
ìdìmú	verstoring	branch, part
ìdíisin	oorzaak	idi-isin
ìdíwòn	jouw reden	criteria
ìdó	steek	ido (a person's name)
ìfara	martelen	self
ìfojúìtànìgbesiayé	levensgeschiedenis	biography
ìfáàrà	een priester	introduction
ìgbonnìbí jé	het is een ramp	igbonnibi
ìgbà	tijd	when
ìgbàgbé	vergeetachtig	forgetfulness
ìgbá	vleugels	time
ìgbáraga	kracht	pride
ìgbéraga	trots	pride
ìgbésí	leven	life
ìgbò	ram	igbo people
ìhun	ijzer	things
ìjo	dans	church
ìjo	de kerk	church
ìjoba	regering	government
ìjora	een hekel hebben aan	resemblance
ìjìnlè	mysterie	comprehensive
ìjìnlè	mysterie	mysterious
ìjò	leider	consent
ìjọba	regering	government
ìkejì	de andere	second
ìkànna	hetzelfde	ikanna (town)
ìkèrèkú	congestie	ikereku
ìkéde	verklaring	advert
ìkìjà	een uitdaging	ikija
ìkìlò	misbruik	warning
ìkínin	de zesde	greetings
ìkẹrin	de vierde	fourth
ìkọpa	deelname	ikopa
ìlera	gezondheid	health
ìlo	bellen	use
ìlà	overzicht	border
ìlànàn	illusie	procedure
ìlàorùn	blauwe plekken	east
ìlàìnàró	onderdrukking	vertical
ìlè	omkoping	land
ìlé	huis	land
ìmò	slang	knowledge
ìmò	bliksem	knowledge
ìmóbìdo	het geboorterecht	imobido
ìmú	neus-	knowledge
ìmúnilérú	misbruiken	slavery
ìmúsára	aansterken	contagious
ìnagije	zege	alias
ìnáwó	uitgaven	expenditure
ìpolongo	reclame	advertisement
ìpìlẹ̀núkléù	encryptie	base
ìpìnlè	het begin	foundation
ìpínrò	paragrafen	economize
ìrànlọ́wọ́	helpen	help
ìrànàna	helpen	path-clearing
ìràwọ̀	de sterren	s
ìrí	ervaring	sight
ìròkò	gedachte	iroko
ìròyìn	nieuws	news
ìròyìnwiki	nieuws	wikinews
ìròrùn	illusie	peaceful
ìró	geluid	sound
ìrúbo	ineenstorting	sacrifice
ìsawo	waarzeggerij	divinity-practice
ìse	actie	behaviour
ìsinsìnyí	nu	modern
ìsirò	berekening	adding
ìsomó	meedoen	attachment
ìsàlè	zonsondergang	down town
ìsèlè	productie	happening
ìsìn	religie	worship
ìsòrò	meditatie	speech
ìsòrí	onderverdeling	chapter
ìsú	dikte	lump
ìsọ	winkels	stall
ìse	actie	work
ìsègbèfábo	ijver	female support
ìsèdá	creatie	creation
ìsèjoba	regering	government
ìsílé	huis	house opening
ìsòro	moeilijkheid	problem
ìse	actie	action
ìta	buiten	outside
ìtaeko	werkplaats	outskirts of eko
ìtan	geschiedenis	story
ìtokò	de pot	story
ìtàn	geschiedenis	history
ìtànkálé	overstromingen	spread
ìtèsíwájú	vooruitgang	progress
ìtójú	zorg	treatment
ìtóju	verwarring	treatment
ìtójú	gezichtsuitdrukkingen	treatment
ìtóka	geslagen worden	dictionary
ìtúmò	vertaling	meaning
ìtúpalè	vertaling	exposition
ìwe	vergelijking	book
ìwo	hoorns	horn
ìwàásù	prediking	sermon
ìwéré	boekje	iwere (town)
ìwò	algemeen	set
ìwòran	visie	viewing
ìwúlò	nuttig	usefulness
ìya	lijden	mother
ìyapa	scheiding	divorce
ìyàwó	de bruid	wife
ìyípadà	conversie	transformation
ìṣèlú	politiek	politics
ìṣẹ́kù	het overblijfsel	broken
ìṣọ̣̀tẹ̣̀	longontsteking	rebellion
òde	buiten	society
òdeojú	gezichtsloos	surface
òdo	jeugd	zero
òdìkejì	de andere	opposite
òféàrán	een afbeelding	a town name
ògbójú	bekwaam	brave
ògiri	muur	wall
ògo	heerlijkheid	glory
ògun	geneesmiddel	medicine
ògúndìpẹ̀	poederachtig	ogundipe
òjo	ziet eruit als	ojo
òjísé	de dokter	servant
òkèògbún	duizend	oke-ogbun
òkòòkan	een voor een	each
òkú	lijken	corpse
òkúta	een steen	stone
òle	huisvrouw	lazy
òmiràn	de tovenaar	other
òmùàrán	een afbeelding	omu-aran (town)
òní	vandaag	today
òotó	waarheid	true
òpópóònà	weg	highway
òranyàn	verplicht	a must
òrìsà	afgoden	god
òrí	hoofdstuk	top
òrò	hersenen	word
òsán	middag	afternoon
òsèlú	politicus	politics
òsèré	atleet	player
òwù	kleding	owu
òṣèlú	politiek	politician
òjògbón	regenachtig weer	learned person
òkan	een	heart
òkòòkan	een voor een	each
òpòlopò	veel	many
òré	spel	friend
òfò	de volgende	sorrowful
òpòlopo	veel	lot of
òré	spel	friend
òrò	gedachten	word
òsà	goudvis	lagoon
òwó	geld	hand
òrò	gedachten	word
òròàjòmó	de ochtenden	part of speech
ó	het	that
óníse	hij is een ontwerper	stricken
ósírísì	speeksel	diverse
ósékú	hij is dood	die suddenly
ó	ja	word
ôdún	jaar	year
únṣẹlẹ̀	aardbeving	formed
şe	doen	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	ziekte	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	opening	work
ṣàkóbá	schadelijk	incriminate
ẹdo	grap	edo
ẹlẹ́bùn	een geschenk	award winner
ẹlẹ́sìn	religieus	religionist
ẹnìkan	een persoon	someone
ẹsẹ	voeten	verse
ẹtì	lever	friday
ẹ̀kaawon	inzendingen	branch of
ẹ̀kabrítánì	oom	part of britain
ẹ̀kajuly	mei	chapter july
ẹ̀kaoṣù	netelig	month
ẹ̀kasístẹ̀mù	subjectief	sistemu=system
ẹ̀kẹ́ta	de derde	third, the third
ẹ̀kọ́	opleiding	teachings
ẹ̀ni	who	person
ẹ̀rọ	machines	machine
ẹ̀wẹ̀	anderzijds	leaf
ọbàkàn	halfbroer	step-sister
ọdún	jaar	year
ọlọ́mọ	kinderen	members
ọlọ́run	een god	god
ọmú	je zuigt	breast
ọmọ	kind	c
ọn	het	him
ọpọ́lọpọ́	vijgen	many
ọ̀dọ́	jeugd	youth
ọ̀gbìn	fabriek	seedlings
ọ̀nà	manier	ways
ọ̀pòlòpò	actie	various
ọ̀rọ̀	praten	word
ọ̀sẹ	week	week
