$	dollarni tashkil etadi	american dollar symbol
ஏற்படுத்திக்	ta&#39;sis etilgan	to create
ஏற்படுத்தின	sabab berdi	caused
ஏற்படுத்திய	sabab berdi	created by
ஏற்படுத்தியது	sabab berdi	created
ஏற்படுத்துகின்றன	sabab	makes
ஏற்படுத்துகிறது	sabablari	causes
ஏற்படுத்தும்	sabab	causes(verb)
ஏற்படும்	sabab	the
ஏற்படுவதால்	sabab berdi	so that
ஏற்படுவது	boshlanishi	arise
ஏற்பட்ட	the	an
ஏற்பட்டது	mana	there was a
ஏற்பட்டன	mana	happened
ஏற்பட்டு	mana	to create
ஏற்பட்டுள்ளது	mana	formed
ஏற்பாடு	uyushgan	organized
ஏற்பாடுகள்	tartibga solish	arrangements
ஏற்பாட்டில்	ahd	book
ஏற்பு	qabul qilish	to accept
ஏற்ற	yuklang	relate
ஏற்றது	kerakli	take in
ஏற்றவாறு	tegishli	suitable
ஏற்று	yuklang	accepted
ஏற்றுக்	qabul qilingan	load
ஏற்றுக்கொள்ள	qabul qiling	acceptable
ஏற்றுக்கொள்ளும்	qabul qilish	to be accepted
ஏற்றுமதி	eksport qilish	exports
ஏற்றுமதியில்	eksport	esport
ஏழாம்	ettinchi	seventh
ஏழாவது	ettinchi	seventh
ஏழு	yetti	seven
ஏழை	bechora	poors
ஏழைகள்	bechora	poor poeple
ஏழ்மை	qashshoqlik	poor
ஏவுகணைகள்	raketalar	missiles
ஐஇ	ya&#39;ni	i.e
ஐக்	mumkin	it
ஐக்கிய	birlashgan	united
ஐங்குறுநூறு	ainkurunuru	five small hundred
ஐதரசன்	vodorod	mercury
ஐதராபாத்	haydarobod	hyderabad
ஐநா	bmt	united nations
ஐந்தாண்டுத்	besh yillik	five year
ஐந்தாம்	beshinchisi	fifth
ஐந்திணை	yuzaki	five thinai
ஐந்திரம்	astrologiya	capacity
ஐந்தில்	beshinchisi	in five
ஐந்து	uchun	five
ஐன்ஸ்டீனின்	eynshteynning	albert ienstin
ஐன்ஸ்டீன்	eynshteyn	instein
ஐன்ஸ்டைன்	eynshteyn	einstein
ஐபி	ip	internet protocol
ஐப்பாடு	ipod	ipod a music play made by apple company
ஐம்பது	ellik	fifty
ஐயம்	shubha	doubt
ஐயர்	iyer	ayyar
ஐரிஷ்	irlandiya	irish
ஐரோப்பா	evropa	europe
ஐரோப்பாக்	evropa	european
ஐரோப்பாவின்	evropa	europe
ஐரோப்பாவிலும்	evropa	europe
ஐரோப்பாவில்	evropada	europe
ஐரோப்பியக்	evropa	european
ஐரோப்பியர்	evropaliklar	europiens
ஐஸ்	muz	ice hockey
ஒ	vino	oo! pronensiat
ஒக்டோபர்	oktyabr	october
ஒட்டி	muallif:	near
ஒட்டிய	yopishtiruvchi	having eagerness
ஒட்டு	yopish	fully
ஒட்டுமொத்த	umuman olganda	the overall
ஒதுக்கப்பட்டது	rezervlangan	allocated
ஒதுக்கி	bir chetga	seperately
ஒதுக்கீடு	ajratish	allotment
ஒத்த	sinonimlar	common
ஒத்தது	o&#39;xshash	similar
ஒத்திருக்கும்	muvofiq	like
ஒத்து	qabul qilaman	agree
ஒன்பதாம்	to&#39;qqizinchi	nineth
ஒன்பதாவது	to&#39;qqizinchi	nineth
ஒன்பது	to&#39;qqiz	nine
ஒன்றாக	birgalikda	union
ஒன்றாகக்	birgalikda	having together
ஒன்றாகவும்	bitta	to join together
ஒன்றாகும்	bitta	one of the
ஒன்றான	bitta	one among the
ஒன்றின்	lardan biri	one of
ஒன்றிய	uyushma	union
ஒன்றியத்தின்	uyushma	union
ஒன்றியத்தில்	uyushma	union
ஒன்றியமும்	uyushma	union
ஒன்றியம்	uyushma	union
ஒன்றிலிருந்து	biridan	among one
ஒன்றில்	birida	onlyone
ஒன்று	bitta	only one
ஒன்றுக்கு	ko&#39;proq	only one
ஒன்றுக்கும்	ko&#39;proq	morethan one
ஒன்றுக்கொன்று	o&#39;zaro almashinadigan	one to one
ஒன்றுடன்	bittasi bilan	with one
ஒன்றுதான்	bitta	soul is the indestructible and everlasting thing. it is questionable that how much tamil film industry contributes to the state economy in day to day life.
ஒன்றும்	hech narsa	to the extent
ஒன்றே	bitta	one
ஒன்றை	bitta	only one
ஒன்றையும்	hech narsa	any one
ஒன்றையொன்று	interaktiv	each one
ஒன்றோடொன்று	o&#39;zaro aloqada	joint
ஒபாமாவின்	obamaning	obaamaavin
ஒப்	op	of
ஒப்பந்த	shartnoma	contract
ஒப்பந்தங்கள்	bitimlar	deeds
ஒப்பந்தத்தில்	shartnoma	in the agreement
ஒப்பந்தத்தை	shartnoma	deal
ஒப்பந்தம்	shartnoma	agreement
ஒப்பற்ற	tengsiz	uncomparable
ஒப்பிடுகையில்	solishtirganda	comparative
ஒப்பிடும்	taqqoslang	compared to
ஒப்பிடும்போது	ga solishtirganda	compare
ஒப்பிட்டு	taqqoslang	compare
ஒப்பீடு	taqqoslash	comparison
ஒப்பீட்டளவில்	nisbatan	comparing
ஒப்பீட்டு	taqqoslash	comparison
ஒப்புக்	tan olish	accept
ஒப்புதல்	tasdiqlash	agreement
ஒப்புமை	nisbiy	compare
ஒரிசா	orissa	odisha
ஒரு	a	only one
ஒருங்கிணைந்த	birlashtirilgan	integrated
ஒருங்கிணைப்பு	integratsiya	joint
ஒருங்கியம்	orunkiyam	orunkiyam
ஒருங்குறி	unicode	unicode
ஒருங்கே	birgalikda	combine
ஒருசில	ozgina	one among
ஒருத்தி	bitta	one and only woman
ஒருநாள்	bir kuni	one day
ஒருபோதும்	hech qachon	never
ஒருமை	singular	singularity
ஒருவகை	adrenalin	one type
ஒருவனே	bitta	only
ஒருவன்	bitta	one person
ஒருவராக	bitta	single
ஒருவரான	bitta	one of the
ஒருவரால்	bitta	by an individual
ஒருவரின்	lardan biri	one person
ஒருவருக்கு	bitta	a person
ஒருவருக்கொருவர்	har biri	one to one
ஒருவருடைய	lardan biri	one's own
ஒருவரை	kimdir	only one person
ஒருவர்	bitta	person
ஒருவேளை	balki	in case of
ஒரே	faqat	only
ஒரேயொரு	bitta	only one
ஒர்	a	only one
ஒற்று	josuslik	dot
ஒற்றுமை	birlik	unity
ஒற்றை	yagona	odd
ஒலி	ovoz	sound
ஒலிகள்	tovushlar	sound
ஒலிச்சோதனை	auskultatsiya	sound testing
ஒலிபரப்பு	eshittirish	broadcast
ஒலிபரப்புக்	eshittirish	broadcasting
ஒலிப்பியல்	fonetika	sound
ஒலிம்பிக்	olimpiada	olympic
ஒலியியல்	akustika	acoustics
ஒல்லாந்தர்	golland	ollander
ஒளி	yorug&#39;lik	light
ஒளிபரப்பு	efirga uzatish	broadcast
ஒளியின்	chiroq	in the light
ஒளியியல்	optika	optics
ஒளியை	yorug&#39;lik	light
ஒழிப்பு	yo&#39;q qilish	abolish
ஒழுக்கம்	intizom	discipline
ஒழுங்கற்ற	tartibsizlik	in desent
ஒழுங்கு	buyurtma	discipline
ஒவ்வொன்றும்	har biri	each one
ஒவ்வொரு	har biri	each one
ஒவ்வொருவரும்	har biri	every one
ஒவ்வோர்	har bir	each and every
ஓ	o	oh mind
ஓஎஸ்	ot	o,s
ஓசனிச்சிட்டு	hummingbird	humming bird
ஓசை	xatcho&#39;plar	sound
ஓடி	yugurish	run
ஓடு	qobiq	tile
ஓடும்	yugurish	to fall
ஓட்டங்கள்	yuguradi	runs
ஓட்டம்	oqim	race
ஓட்டோமான்	usmonli	ottoman
ஓமர்	umar	homer- ancient greek poet
ஓமான்	ummon	oman
ஓம்	om	ohm
ஓய்வு	bo&#39;sh vaqt	rest
ஓரளவு	biroz	minimum
ஓரளவுக்கு	qisman	to some extent
ஓராசு	oraku	horace
ஓரிடத்தான்	izotop	neutrons
ஓரிடத்தில்	bir holatda,	in a single place
ஓரினச்சேர்க்கை	gomoseksualizm	homosex
ஓரு	sharbatli	only one
ஓர்	a	an
ஓல்மியம்	olmiyam	whole number
ஓவியக்	rassom	painting
ஓவியம்	rassomchilik	drawings
ஓவியர்	rassom	drawer
ஔவையார்	avvaiyar	avvaiyar
க	ka	ka
கங்க	ganga	ganga king
கங்கா	ganga	ganga
கங்கை	ganga	the river ganga
கச்சா	xiralashgan	crude
கஜினி	gajini	ghajini
கடதாசி	qog&#39;oz	a letter
கடத்தல்	odam savdosi	passing through
கடத்தி	o&#39;g&#39;irlangan	to kidnap
கடந்த	the	past
கடந்து	kesib o&#39;tish	beyond
கடன்	qarz	credit
கடமை	majburiyat	duty
கடமைகளை	majburiyatlar	right things
கடமைகள்	vazifalar	duties
கடற்	qaroqchilar	sea
கடற்கரை	plyaj	beach
கடற்கரையில்	sohilda	beach
கடற்கரையை	sohil bo&#39;yi	seashore
கடற்படை	dengiz floti	navy
கடற்படையின்	dengiz floti	navy
கடற்பறவை	seagull	sea birds
கடற்புலிகள்	yo&#39;lbarslar	sea tigers
கடலின்	dengiz	sea's
கடலில்	dengiz	in sea
கடலுக்கு	dengiz	sea
கடலூர்	cuddalore	cuddalore
கடலை	xushbichim	groundnut
கடலோர	dengiz bo&#39;yida	sea shore
கடலோரத்தில்	sohilda	sea shore
கடலோரப்	sohil	near to sea
கடல்	dengiz mahsulotlari	sea
கடல்கடந்த	chet elda	overseas
கடவுளான	xudo	gods
கடவுளின்	xudo	god
கடவுளை	xudo	god
கடவுள்	xudo	god
கடவுள்கள்	xudolar	god
கடாரம்	kataram	kadaram
கடி	stings	bite
கடிகார	soat	clock
கடிகாரங்கள்	soatlar	watch
கடிகாரம்	soat	watch
கடிதம்	xat	letter
கடின	qattiq daraxt	hard
கடினமாக	qiyin	be difficult
கடினமான	qiyin	thick layer
கடினம்	qiyinchilik	difficult
கடுமையான	qattiq	cerious
கடும்	qattiq	difficult
கடைசி	oxiri	last
கடைசிப்	oxirgisi	lastly
கடைசியில்	oxir-oqibat	last
கடோலினியம்	gadolinium	gadolinium atomic number
கட்சி	partiya	team
கட்சிகள்	tomonlar	parties
கட்சியாக	partiya	party
கட்சியின்	partiya	party
கட்சியில்	partiya	in the party
கட்சியை	partiya	belong to the party
கட்டங்களாக	fazalar	in buildings
கட்டங்களில்	bosqichlar	stages
கட்டங்கள்	izgaralar	stages
கட்டடக்கலை	arxitektura	architecture
கட்டடங்கள்	binolar	buildings
கட்டடம்	quruvchi	building
கட்டணம்	kam	charge
கட்டத்தில்	faza	in that coloumn
கட்டபொம்மன்	kattabomma	kattabomman , a king in tamilnadu
கட்டப்பட்ட	qurilgan	build
கட்டப்பட்டது	qurilgan	built
கட்டப்பட்டு	qurilgan	construction
கட்டப்பட்டுள்ளது	qurilgan	made
கட்டமைப்பின்	ramka	of the structure
கட்டமைப்பு	konfiguratsiya	configuration
கட்டமைப்புகள்	tuzilmalar	infrastructures
கட்டமைப்பை	tuzilishi	configuration
கட்டம்	izgara	box
கட்டற்ற	ozod	a free
கட்டளை	buyruq	order
கட்டாய	majburiy	strictly
கட்டாயமாக	majburiy	compulsarily
கட்டாயம்	majburiy	important
கட்டி	shish	tumor
கட்டிகள்	o&#39;simta	tumors
கட்டிட	bino	building
கட்டிடக்	arxitektura	building
கட்டிடக்கலைஞர்கள்	me&#39;mor	engineers
கட்டிடக்கலையின்	arxitektura	architecture
கட்டிடக்கலையில்	arxitekturada	architecture
கட்டிடக்கலையும்	arxitektura	architect
கட்டிடங்களின்	qurilishi	building
கட்டிடங்களில்	binolarda	buildings
கட்டிடங்களும்	binolar	also buildings
கட்டிடங்களை	binolar	building
கட்டிடங்கள்	binolar	building
கட்டிடத்தின்	bino	in building
கட்டிடம்	bino	building
கட்டினார்	va qurilgan	constructed by
கட்டிய	qurilgan	constructed by
கட்டுக்குள்	qo&#39;mondon	under control
கட்டுப்படுத்த	boshqaruv	control
கட்டுப்படுத்தவும்	boshqariladigan	restrict
கட்டுப்படுத்தி	tekshirish moslamasi	controller
கட்டுப்படுத்துகிறது	boshqarish vositalari	to be controlled
கட்டுப்படுத்தும்	boshqarish	to control
கட்டுப்பட்டு	chegaralangan	bounded
கட்டுப்பாடு	tartibga solish	control
கட்டுப்பாடுகள்	cheklovlar	rules
கட்டுப்பாட்டின்	boshqaruv	under control
கட்டுப்பாட்டில்	nazoratda	under control
கட்டுப்பாட்டு	tartibga solish	under control
கட்டுப்பாட்டுக்குள்	boshqaruv	under control
கட்டுப்பாட்டை	boshqaruv	principles
கட்டுமான	qurilish	structural
கட்டுமானம்	arxitektura	construction
கட்டும்	bino	building
கட்டுரை	maqola	research papers
கட்டுரைகளின்	maqolalar	scholarly work
கட்டுரைகளில்	maqolalar	feuilleton
கட்டுரைகளை	maqolalar	compositions
கட்டுரைகள்	maqolalar	essays
கட்டுரைத்	maqola	article
கட்டுரையில்	maqola	in article
கட்டுரையை	maqola	in this article
கணக்கான	o&#39;nlab	countable
கணக்கிட	hisoblang	to calculate
கணக்கிடப்படுகிறது	hisoblangan	calculated
கணக்கியல்	buxgalteriya hisobi	mathematics
கணக்கில்	hisoblar	account
கணக்கு	buxgalteriya hisobi	maths
கணக்கெடுப்பின்படி	tadqiqot	as per the census
கணக்கெடுப்பு	tadqiqot	accounting
கணபதி	ganapati	lord ganesha
கணவன்	er	husband
கணவர்	er	husband
கணவாய்	pass	canal
கணிக்க	baholar	calculare
கணிக்கப்படுகிறது	hisoblangan	anterstant
கணிக்கப்பட்ட	hisoblangan	calculated
கணிக்கும்	oldindan taxmin qilish	to measure
கணிசமான	muhim	sizeable
கணித	matematik	mathematics
கணிதக்	matematik	mathematics
கணிதத்தின்	matematikadan	mathamates
கணிதத்தில்	matematikada	maths
கணிதம்	matematika	maths
கணினிகளில்	kompyuterlar	computers
கணினிகளை	kompyuterlar	computers
கணினிகள்	kompyuterlar	computer
கணினிப்	kompyuter	computer
கணினியில்	kompyuter	computer
கணிப்பு	bashorat qilish	calculation
கணிப்பொறி	kompyuter	computer
கணுக்காலி	artropod	a sect of animals
கணையம்	oshqozon osti bezi	gall bladder
கண்	ko&#39;z	eye
கண்கள்	ko&#39;zlar	eyes
கண்காட்சி	ko&#39;rgazma	exhibition
கண்காட்சியாக	ko&#39;rgazma	exhibition
கண்காணிக்கும்	kuzatish	to supervise
கண்காணித்தல்	monitoring	monitoring
கண்காணிப்பு	kuzatish	supervision
கண்ட	kanda	saw
கண்டங்களின்	qit&#39;alar	continents
கண்டங்களில்	qit&#39;alar	in the contiments
கண்டங்கள்	qit&#39;alar	continents
கண்டத்தின்	qit&#39;a	continent's
கண்டத்தில்	qit&#39;ada	in the continet
கண்டனம்	mahkum	condemned
கண்டனர்	topildi	had seen
கண்டமாகும்	bodring	goitre
கண்டம்	qit&#39;a	continent
கண்டறிதல்	aniqlash	invention
கண்டறிந்து	aniqlang	identified
கண்டறிந்துள்ளனர்	detektorlar	found
கண்டறிய	toping	search
கண்டார்	topildi	seen
கண்டி	kandi	kandi a town in sri lanka
கண்டிப்பாக	qat&#39;iyan	by all means
கண்டு	ko&#39;rinish	to see
கண்டுகொண்டேன்	topildi	found
கண்டுபிடிக்கப்பட்ட	topilgan	found
கண்டுபிடிக்கப்பட்டது	topilgan	findout
கண்டுபிடித்த	topildi	invented
கண்டுபிடித்தார்	topilgan	found
கண்டுபிடித்து	topish	to discover
கண்டுபிடிப்பு	kashfiyot	invention
கண்டுபிடிப்புகள்	kashfiyotlar	invention
கண்ணகி	kannagi	kannagi
கண்ணகியின்	kannagining	kannagi
கண்ணகியை	kannagi	kanagi's
கண்ணதாசன்	kannadasan	kannadasan
கண்ணன்	kannan	kannan
கண்ணம்மா	kannamma	dear
கண்ணா	xanna	kanna
கண்ணாடி	shisha	mirror
கண்ணில்	s	in the eyes
கண்ணீர்	ko&#39;z yoshlar	tears
கண்ணுக்குப்	ko&#39;z	tiny particles
கதவு	eshik	door
கதாநாயகனாக	qo&#39;rg&#39;oshin	hero
கதிரவனின்	quyoshni o&#39;rnatish	sun
கதிரவன்	sol	sun
கதிரியக்க	radioaktiv	radiation
கதிர்	ray	radiation
கதிர்களை	radiatsiya	rays
கதிர்கள்	nurlar	rays
கதிர்த்திருப்பம்	katirttiruppam	solstice
கதிர்வீச்சு	radiatsiya	radiation
கதை	hikoya	story
கதைகளில்	hikoyalarda	in stories
கதைகளை	hikoyalar	stories
கதைகள்	hikoyalar	stories
கதையில்	hikoya	in the stories
கத்தோலிக்க	katolik	catholics in chrisitian religion
கத்தோலிக்கத்	katolik	catholic
கந்தகம்	oltingugurt	magnet
கன	og&#39;ir	heavy
கனடா	kanada	canada
கனடாவின்	kanada	canada
கனடிய	kanada	canadia
கனரக	og&#39;ir	heavy works
கனவளவு	ovoz	volume
கனவு	orzu	dream
கனவுகள்	tushlar	dreams
கனிம	noorganik	chemical
கனிமொழி	kanimoji	kanimozhi a name
கன்னட	kannada	of kannada
கன்னடம்	kannada	kannda
கன்னி	virgo	virgin
கன்னியாகுமரி	kanyakumari	kanyakumari
கன்று	buzoq	young ones of an elephant are called baby elephant or calf.
கபிலர்	kapilar	kabilar
கப்பம்	tribute	tax
கப்பற்படை	filo	naval force
கப்பலின்	kema	in the ship
கப்பலில்	jo&#39;natish	ship
கப்பல்	kema	ship
கப்பல்களின்	kemalarning	ships'
கப்பல்களும்	kemalar	ship
கப்பல்களை	kemalar	ships
கப்பல்கள்	kemalar	ships
கப்பி	kasnak	pulley
கமல்ஹாசன்	kamol	kamal hassan
கமிட்டி	qo&#39;mita	committee
கம்பன்	qambon	kambar
கம்பர்	qambar	kamban
கம்பி	tel	wire
கம்பியில்லா	simsiz	wireless
கம்போடிய	kambodja	kampodia
கம்போடியா	kambodja	cambodia
கம்போடியாவின்	kambodja	combodia
கம்யூனிச	kommunist	communism
கம்யூனிஸ்ட்	kommunist	communist
கயானா	gayana	gayana
கரடிகள்	ayiqlar	tear
கரம்சந்த்	karamchand	karamchand
கராங்கைடீ	karankaiti	carangidae a fish family
கரிகாலன்	karikala	karikalan
கரிம	organik	organic
கரியமில	uglerod	carbon di oxide
கரீபியன்	karib dengizi	carribean
கரு	homila	sperm
கருக்கலைப்பு	abort qilish	abortion
கருணாநிதி	karunanidhi	karunanithi
கருணை	mehribonlik	mercy
கருத	ko&#39;rib chiqilgan	thought
கருதப்	ko&#39;rib chiqilgan	to plan
கருதப்படுகின்றது	ko&#39;rib chiqilgan	assumed
கருதப்படுகின்றன	ko&#39;rib chiqilgan	thought
கருதப்படுகிறது	ko&#39;rib chiqilgan	considered
கருதப்படுகிறார்	ko&#39;rib chiqilgan	known
கருதப்படும்	ko&#39;rib chiqilgan	considered
கருதப்படுவது	ko&#39;rib chiqilishi kerak	thought
கருதப்பட்ட	barkamol	think of
கருதப்பட்டு	ko&#39;rib chiqilgan	considered
கருதலாம்	ko&#39;rib chiqilishi mumkin	say
கருதி	hisobga olish	considering
கருதினர்	ko&#39;rib chiqilgan	thought
கருதினார்	ko&#39;rib chiqilgan	considered
கருதினார்கள்	ko&#39;rib chiqilgan	thinking
கருதிய	ko&#39;rib chiqilgan	thought
கருதுகின்றனர்	ko&#39;rib chiqaylik	assumed
கருதுகோள்	gipoteza	assumption
கருதும்	hisoblaydi	to have that
கருதுவது	taxmin qilish	to think about
கருத்தடை	sterilizatsiya	abortion
கருத்தரிப்பு	homiladorlik	pregnancy
கருத்தாகும்	taklif	opinion
கருத்தியல்	nazariy	matter
கருத்தில்	hisobga olish	in view of
கருத்து	izoh	opinion
கருத்துகளை	izohlar	comment
கருத்துக்களை	fikrlar	opinion
கருத்துக்களைக்	izohlar	take the opinion
கருத்துக்களையும்	izohlar	all the points
கருத்துக்கள்	fikrlar	opinions
கருத்துப்படி	ko&#39;ra	opinion
கருத்தும்	fikrlar	thought
கருத்துரு	kontseptual	concept
கருத்துருக்கள்	tushunchalar	conceptions
கருத்தை	fikr	opinion
கருத்தோட்டம்	tushunchasi	intellectual things
கருநாடக	karnataka	karunadaka
கருப்பு	qora	black
கருப்பை	bachadon	uterus
கரும்பு	shakarqamish	sugarcane
கரும்புலிகள்	qora yo&#39;lbars	black tigers
கருவறை	sanctum	specific part
கருவிகளில்	asboblarda	instrument
கருவிகளை	asboblar	instruments
கருவிகள்	aksessuarlar	machines
கருவை	fetuslar	egg
கரூர்	karur	karur
கரை	sohil	sea or river bank
கரையில்	sohil	shore
கரையை	sohil	shore's
கரையோரப்	sohil	coastal
கரோலினா	karolina shtati	carolina
கர்நாடக	karnataka	carnatic music
கர்நாடகத்தில்	karnatakada	in karnataka
கர்நாடகம்	karnataka	karnataka
கர்ம	karma	karma
கறுப்பின	qora	the black
கறுப்பு	qora	black
கற்க	o&#39;rganing	to study
கற்கள்	toshlar	stone
கற்கும்	o&#39;quvchilar	to learn
கற்பனை	tasavvur qiling	imaginations
கற்பனைக்	badiiy adabiyot	imaginary
கற்றல்	o&#39;rganish	learning
கற்றார்	o&#39;rganildi	learner
கற்று	o&#39;rganing	to learn
கலக்கிறது	aralashmalar	mixed
கலக்கும்	aralashtirish	mixed
கலங்கரை	chiroqchi	essay
கலசம்	kassa	kalasam
கலந்த	aralashgan	mixed
கலந்து	aralashtiring	discuse
கலன்	paqir	cells
கலப்பின	gibrid	mixed
கலப்பு	aralash	mixed
கலப்புப்	aralashgan	mixed
கலம்	hujayra	cell
கலவை	tarkibi	mixure
கலாசார	madaniyat	cultural
கலாச்சார	madaniy	culture
கலாச்சாரத்தின்	madaniyat haqida	for culture
கலாச்சாரத்தில்	madaniyatda	culture
கலாச்சாரம்	madaniyat	cultures
கலி	gali	a period of destruction
கலிபோர்னியா	kaliforniya	california
கலை	san&#39;at	art
கலைகளை	ijro san&#39;ati	arts
கலைகள்	san&#39;at	arts
கலைக்	san&#39;at	arts
கலைக்களஞ்சியங்கள்	entsiklopediyalar	wikipedia
கலைச்சொற்கள்	lug&#39;at	cultural terms
கலைஞர்	rassom	artist
கலைஞர்கள்	rassomlar	actors
கலைப்	san&#39;at	cultures
கலையாகும்	hung	art
கலையின்	san&#39;at	art
கலையில்	san&#39;atda	arts
கல்	tosh	stone
கல்கத்தா	kalkutta	calcutta
கல்கத்தாவின்	kalkutta	kalkatha
கல்கி	kalki	janarlisum
கல்யாண	kalyana	marriage or wedding
கல்யாணம்	uylangan	marriage
கல்லறை	qabriston	death place
கல்லீரல்	jigar	lever
கல்லூரி	kollej	college
கல்லூரிகள்	kollejlar	colleges
கல்லூரியின்	kollej	college's
கல்லூரியில்	kollejda	in college
கல்வி	ta&#39;lim	education
கல்வியிலும்	va ta&#39;lim	in the education also
கல்வியும்	ta&#39;lim	education
கல்வியை	ta&#39;lim	education
கல்வெட்டு	yozuv	sculpture
கல்வெட்டுகளில்	yozuvlar	inscription
கல்வெட்டுகள்	yozuvlar	inscriptions
கல்வெட்டுக்களில்	yozuvlarda	inscription
கல்வெட்டுக்கள்	yozuvlar	stone carvings
களங்களின்	domenlar	for the fields
களங்கள்	domenlar	domains
களஞ்சியம்	rezervuar	wikidpedia
களப்பிரர்	kalabhra	a type of caste
களமாக	maydonda	a place for
களம்	xatolar	field
களின்	s	have that
களிலும்	erta	in the years
களை	yovvoyi o&#39;tlar	weast
கள்ளர்	o&#39;g&#39;rilar	kallar a community in tamilnadu
கழகத்தின்	liga	club
கழகத்தில்	korporatsiya	party
கழகத்தை	liga	a party
கழகம்	korporatsiya	institute
கழித்தல்	minuslar	subtraction
கழித்து	keyinchalik	after
கழிவு	chiqindilar	waste
கழிவுகள்	chiqindilar	wastages
கழிவுநீர்	kanalizatsiya	ditch water
கழுகு	burgut	eagle
கழுத்து	bo&#39;yin	neck
கழுத்துப்பட்டை	yoqa	cervical
கவச	zirhli	protective structure
கவனத்தில்	eslatma	make note of
கவனத்தை	diqqat	consentrat
கவனமாக	ehtiyotkorlik bilan	carefully
கவனம்	fokus	consentrate
கவனிக்க	e&#39;tibor bering	observe
கவனித்து	g&#39;amxo&#39;rlik	care
கவனிப்பு	xizmat	attentions
கவரும்	tutib olish	attractor
கவர்ச்சி	dabdabali	attraction
கவர்ந்து	kanca	attracted
கவலை	xavotirga tushgan	anxiety
கவிஞர்	shoir	poet
கவிஞர்கள்	shoirlar	poets
கவிதை	she&#39;r	poem
கவிதைகளை	she&#39;riyat	poem
கவிதைகள்	she&#39;rlar	poems
கவிராயர்	kavirayar	poet
கவுண்டர்	hisoblagich	gounder
கஸ்தூரி	mushk	musk
கா	ga	kaa
காக்க	saqlash	save
காக்கும்	himoyalash	protect
காங்கிரசு	kongress	congress
காங்கிரஸ்	kongress	congress
காங்கோ	kongo	gango
காச	sil kasalligi	tuberculosis
காசநோய்	sil kasalligi	tuberculosis
காசி	kashi	kasi a religious place in northern india
காசுக்கட்டி	kacukkatti	coin bar
காஞ்சி	kanji	kangipuram
காஞ்சிபுரம்	kanchipuram	kancheepuram
காடு	o&#39;rmon	forest
காடுகளில்	yovvoyi tabiatda	forest
காடுகளை	o&#39;rmonlar	forests
காடுகள்	o&#39;rmon xo&#39;jaligi	forests
காட்	tushundim	god
காட்சிப்	ko&#39;rinish	seen
காட்சியகம்	galereya	television
காட்ட	shou	to show
காட்டப்பட்டுள்ளது	ko&#39;rsatilgan	shown in that
காட்டி	ko&#39;rsatkich	shown
காட்டினார்	ko&#39;rsatilgan	was
காட்டிலும்	kamroq	in the forest
காட்டில்	o&#39;rmonda	in the forest
காட்டு	shou	forest
காட்டுகின்றது	shoular	seen
காட்டுகின்றன	shou	showing
காட்டுகிறது	ko&#39;rsatadi	showing
காட்டும்	ko&#39;rsatilmoqda	shown
காட்டுவது	shou	showing
காட்மியம்	kadmiy	katmiyam
காண	ko&#39;rinish	find out
காணக்கூடிய	kuzatilishi mumkin	observable
காணப்படலாம்	topildi	may be seen
காணப்படவில்லை	topilmadi	not seen
காணப்படுகின்றது	mana	find out
காணப்படுகின்றன	topildi	is seen
காணப்படுகிறது	topildi	known
காணப்பட்ட	topildi	seen
காணப்பட்டன	topildi	seen
காணலாம்	ko&#39;rinish	can see
காணவும்	toping	to see
காணாமல்	yo&#39;qolgan	missing
காணுதல்	ko&#39;rish	findout
காணும்	qarang	seen
காண்க	ko&#39;rinish	see
காண்டம்	prezervativ	part
காண்பது	ko&#39;rildi	seen
காண்பிக்கப்படும்	ko&#39;rsatilgan	shown
காண்போம்	kelinglar	lookup
காதலி	qiz do&#39;sti	lover
காதல்	sevgi	love
காது	quloq	ear
காதை	quloq	story
காந்த	magnit	magnet
காந்தப்	magnit	magnetic
காந்தளூர்ச்	kantalurc	kanthalur
காந்தி	gandi	gandhi
காந்திக்கு	gandi	to gandhiji
காந்தியடிகளின்	gandi	gandhi's
காந்தியின்	gandi	gandhian
காந்தியும்	gandi	gandhi
கான்	kan	kan
கான்செர்	saraton	cancer
காப்பாற்ற	saqlash	to rescue
காப்பியங்களில்	epik	epics
காப்பியங்கள்	bazillar	epic
காப்பீடு	sug&#39;urta	insurance
காப்பு	izolyatsiya	backup
காப்புரிமை	patentlar	patent right
காம	shahvoniylik	kama
காமத்தை	shahvoniylik	sex related
காமன்வெல்த்	hamdo&#39;stlik	commonwealth
காமம்	shahvoniylik	lust
காமராசர்	kamaraj	kamarajar  former chief of tamilnadu state
காமராசு	kamaraku	kamarasu
காமிக்	komiks	comics
காயம்	shikastlanish	injury
காய்	kay	vegetable
காய்ச்சல்	gripp	fever
காரணங்களால்	sabablari	reasons
காரணங்களுக்காக	sabablarga ko&#39;ra	for reasons
காரணங்களை	sabablari	for the reason of
காரணங்கள்	sabablari	reasons
காரணத்தால்	chunki	because
காரணத்தினால்	chunki	reason
காரணத்திற்காக	sabab	for reason
காரணமாக	tufayli	reason
காரணமாகக்	sabab	reason
காரணமாகலாம்	sabab	as per reason
காரணமாகவும்	sabab	due to
காரணமாகவே	rahmat	reason
காரணமாகிறது	faktoring	is the reason
காரணமாகும்	sabab	reasons
காரணமாய்	sabab	reason
காரணி	faktor	is a factor
காரணிகளாக	omillar	factors of
