aajo	smieklīgi	hospitality
nwa	bērniņš	drill
nàìjíríà	nigērijā	nigeria
náwo	izdevumi	spend money
náà	arī	that
nì	kalns	is
nìnú	žēl	in
nìyí	tas būs īstais	this is
ní	ir	on
níbè	tur	there
níbè	tur	there
nífẹ̀ẹ́	mīlēt	love
nígbàtí	kad	when
nílè	zemāk	on the ground
nílùú	pilsētā	in the town
nílẹ̀	uz zemes	in the land
nínlá	lieliski	large
nínu	iespēja	in
níní	piederēt	having
nípà	vismaz	by
nítorípé	jo	because
nítumò	nozīme	meaningful
nítòsí	tuvumā	nearby
nítòótó	tieši tā	truly
nítòótọ́	patiešām	in truth, truthfully
níwájú	uz priekšu	in front
níyanjú	pozitīvi	solved
nǹkan	lieta	things
nso	drīzumā	say
oba	obama	king
obairanderan	brālēns	hereditary
obere	mazs	started
obínibí	pieklājīgi	inborn
ododo	taisnība	righteousness
ofin	likums	law
ogbè	novads	a divinity
ogun	karš	war
ogunlogo	pūlis	hundreds
ojo	izskatās ka	day
ojojumo	katru dienu	daily
ojoru	siltums	wednesday
ojukokoro	alkatība	covetousness
ojuoorun	saulriets	atmosphere
ojuse	atbildība	responsibility
ojùkòsì	nokrišņi	ojukosi
ojùkòtúu	nokrišņi	ojukotuu
ojúlùmọ̀	paziņas	acquaintance
ojútáyé	viskozitāte	public
ojúìwé	lappuse	page
okeere	ārzemēs	distant
okhotsk	okhotska	okhotsk
oko	lauka	farm
okunkun	tumsa	darkness
okunrin	cilvēks	male person
olodiajodojuko	viens otru	facing wall
olohun	īpašnieki	god
olojukanna	tūlīt	same surface
olokunkun	austiņas	popular
ololugbe	zaudētājs	occupants
olopon	izsmiekls	a local game
olora	tauki	fertile
oloselukan	sveiki	one political
oloye	ģēnijs	chief
oluda	veidotājs	creator
oludase	producents	separatist
olukoitan	instruktors	the writer
olukowe	autore	writer
olumojuto	alkatīgs	overseer
oluparapo	kombinācija	joint
olusoju	sargs	ambassador
oluwakiri	izpēte	explorer
olympus	olimps	olympus
olódùmarè	visvarenais	almighty god
olóyè	valdnieks	chief
olóṣèlú	politiķis	politics
olùbátan	šo kontaktu	relative
olùdarí	vadītājs	director
olùkópa	līdzautors	participant
olùkó	instruktors	teacher
olùkọ́	skolotājs	teacher
omi	ūdens	water
omiadalu	plūdi	mixture
onialjebra	onialjebra	of algebra
onibugbe	īrnieks	population
onigbeja	konstruktīvs	allied
onigbowo	sponsors	sponsor
onigunfenfe	pasīvs	large angle
onilanaibagbepo	prezervatīvs	constitutional
onilile	māju īpašnieki	solid
oninawo	aizņēmējs	financial
onipin	racionāls	even
onisayensi	tehniķis	scientific
onisowo	tirgotājs	trader
oniyewumeji	binārs	two-chamber
oniyijulo	satriecošs	highest honour
onje	diēta	food
onka	kalkulators	counter
onígbàgbó	vecs vīrs	believer
oníkólóbó	aizskarošs	onikolobo (place)
onílẹ̀	uz leju	land owners; citizens (omo onile)
oníná	uguns	electronic
onítumò	tulks	meaning
onítèbọmi	kristīts	baptist
onítòhùn	grāmatvedis	that person
oníwòsàn	dziednieks	doctor
oníyanjù	animēts	persevere
ooni	krokodils	ooni (king)
ootọ́	taisnība	truth
opec	opec	opec
opposite	pretī	odi
ori	galva	top
oriire	apsveicu	success
oriki	austrumu	name of endearment
orileede	tauta	country
orileedeajoba	imperiālisms	monarchic country
orilejoba	valdība	seat of government, kingdom
orileominira	siltums	republic
orinìyìn	dziesma	songs of praise
orisirisi	šķirne	various
orisun	avots	source
orisa	pirmsākumi	god
oritameta	vidū	crossway
orudnun	gada	mispelled...should orundun, century
oruko	lietvārds	name
oríilè	nacionālais	land
oríilẹ̀	raksts	land
oríkì	dzeja	family name
orílèèdè	tauta	country
orílẹ̀	tauta	continent
orílẹ́	vakarā	nation
orísiirísi	dažādi	various
orísìí	šķirne	type
orísìírísi	dažādi veidi	various
orúko	lauks	name
oscar	oscars	oscar
oseluarailu	civilā	political unit
otherwise	savādāk	ibaje
otutu	daudzi	coldness
oun	viņš	it
owojagidijagan	teroristi	upheaval
oúnjẹ	ēdiens	food
odún	gads	year
ojó	ir lietains	day
okùnrín	smiekli	man
olórun	dievs	god
olósìn	reliģiozs	rearing
odun	gadā	year
olorun	dievs	god
omonìyàn	cilvēki	human beings
opolo	daudzi	brain
ose	ose	week
oyé	pasaule	harmattan
ofò	labrīt	nothingness
opolo	daudzi	brain
paa	izslēgt	back
paapaa	īpaši	especially
padá	pāksts	go back
palauan	palauan	palauan
panaˈma	panaˈma	panama
panyanan	the_space	spanish
papa	papai	specifically
parapọ̀	saplūst	join
paripari	beigas	finally
pele	burvīgs	hello
penh	penss	penh
penisula	peniula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	pērle	with
phillipines	filipīnas	phillipines
pinsi	samazinās	divided
pinsoto	pinoto	separated
pinu	noteikts	decide
pipo	daudz	plenty
pipolongo	sludinājums	publicise
piposi	daudz	multiplication
platos	plato	plato's
plánẹ́tì	santehnika	planet
po	po	share
pojulo	augstākais	larger
polandi	pulēt	poland
polaroid	polaroid	polaroid
population	populācija	ero
portonovo	portonovo	porto novo
portuguese	portugāļi	portuguese
press	nospiediet	press
produced	ražots	yo
protokolu	protokolu	protocol
proton	protonu	kemika alaropo
providence	providence	providence
príncipe	príncipe	principe
pupa	sarkans	red
px|kùránì	px | kodols	koran or quran; the px  does not belong
pàmò	konkrēti	pamo (town)
pàràkòyí	tūlīt	parakoyi
pààlà	robeža	signalised
pàápàá	īpaši	especially
pásíà	pagrabs	persia
pátáporongodo	absolūti	entire
pè	sauca	that
pèhìndà	sperma	turned back
pèlu	kopā ar	with
pèlúpèlú	arī	in addition
pèsè	ar nosacījumu	provide
pé	ka	that
péré	tikai	only
péé	ka	that
pípa	kaušana	order
pípèsè	nodrošinājums	providing
pípẹ́	ilgi	long
pòwe	sakāmvārdi	to say a proverb or wise saying
pò	salocīt	join
púpo	pārāk daudz	much
púpò	drīzāk	a lot
quran	korāns	quran
ra	pirkt	self
race	sacensības	ere
rajya	ceru	rajya
ramadan	ramadāns	ramadan
rank	rangs	ipo
reggae	regejs	reggae
repeats	atkārtojas	tunso
repetejulo	visjutīgākais	most of all
rere	labi	success
research	izpēte	agbeyewo
richard	richards	richard
right|thumb|px|aworan	labais | īkšķis | px | attēls	picture
rinle	tikko	emphasise
riresile	ierakstītājs	humbled, lowered
riro	iztēle	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	domā	thought
robinson	robinsons	robinson
roboto	virsmām	round
rogbodiyan	sacelšanās	riot
rokirika	pārlūkošana	publicise
roko	mob	farm work
roma	romi	roma
rome	hroms	rome
ronald	ronalds	ronald
rorùn	viegli	easy
rossii	rossii	rossii
rural	lauku	igberiko
ryan	ryan	ryan
ráhàn	parādījās	complain
ránmú	uztraukties	grumble
république	république	republic
ré	c	his/her
rìn	iet	should be orin, song or music
ròyìn	ziņots	give account
rẹ	viņu	it
saarc	noņemt	saarc
saaree	pārāks	after death
saarland	uz grīdas	saarland
safari	safari	safari
saffana	safīrs	savannah
safiwe	salīdzinājums	describe
safta	sarindoties	safta
saheli	ērtības	sahel
sakyamuni	nākamais	sakyamuni
sakyas	sakjas	sakyas
salem	salems	salem
salàyé	dzīvi	explained
sambia	jaunatne	zambia
samioro	pieejams	signal
santa	santa	santa
say	sakiet	so
sb	sb	sb
schwarz	švarcs	schwarz
sea	jūra	odo
seat	sēdeklis	itedo
segbese	iespējams	take steps
seidamo	skaidrs	identify
semolara	astma	accustom
semudaju	protams	assure
senegal	senegāla	senegal
sense	jēga	sensi
seville	sevilja	seville
sewadi	meklēt	investigate
sharon	šarons	sharon
sibesibe	tomēr	further more
sihamoni	struktūra	sihamoni
sile	aizmugurē	previously
silè	pilieni	on the ground
sinai	grēks	sinai
sinsin	reliģija	unshakably
sioux	sioux	sioux
sise	vārīšana	works
sisodagba	pieaugt	came of age
sisopo	sasaiste	joined
sisupapoerekusu	spļaušana	neighbouring islands
sisupo	reizināt	concentrated
slovo	slovo	slovo
so	mīlestība	turned
sohun	jā	something
solomon	salamans	solomon
soon	drīz	lai'pe
sopin	beigas	ended
so	tātad	tells
spectacular	iespaidīgs	damanran
stella	stella	stella
structures	struktūras	igbekale
suez	suez	suez
sugbo	bet ne	but
sugbọ́n	racionāls	but, however
sun	saule	sleep
suny	saulains	suny
swahili	svahili	swahili
symmetry	simetrija	ogbooga
sàbúrí	galvenokārt	saburi
sàmì	zīme	signalize
sàn	labāk	flow
sàngó	banda	sango (god of thunder)
sàì	labi	un
sápadè	šajā dienā	run to
sáàpàdé	sponsorēšana	saapade
sáààrin	starp	between
são	jaunais	sao
sèle	zagt	down
ségun	raudāt	conquered
sénégal	sperma	senegal
séyìn	atpakaļ	back
séyìn	atpakaļ	at the back of
sìbẹ̀	tomēr	there
sìni	garneles	likewise
síbèsíbè	tomēr	further more
síbú	uz zemi	ocean
sílẹ̀	pievilt	drop
síse	darbs	doing
síso	joprojām	spoken
síso	joprojām	saying
síta	ārpusē	outing
síwon	viņiem	to them
síwájú	uz priekšu	comes before
síí	šeit	on it
sòrò	smadzeņu skalošana	talk
sójà	kareivis	soldier
sóko	augs	to the farm
sùgbón	gluži pretēji	but
sọ	sakiet	lose
si	protams	to
síse	struktūra	performing
sùgbón	gluži pretēji	but
se	viņi dara	do
sepò	beidzot	cooperation
sisé	trenēties	work
sááju	veltiet minūti	before
sísa	s .ía	to be
sísè	tulkošana	step
tabi	vai	or
tabili	tabula	table
tabora	izvairīšanās	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	ierobežojumi	valiant
talaka	nabadzīgs	poor
talika	nabadzība	the poor
tara	deviņi	wholly
tata	filtrs	wildly
taínos	taínos	tainos
technology	tehnoloģija	tekinoloji
tedo	iepazīšanās	stay
teksas	teksasā	texas
tele	sekot līdzi	before
temptation	meklē	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the		does no directly translate
they	viņi	won
those	tiem	awon
thumb|left|upright|nelson	īkšķis | pa kreisi | taisni | nelsons	apa osi naro
tira	saspringts	quranic verse
tirana	tirana	tirana
tirè	viņa	own
titu	šaut	cold (if it's a person's name, it is tutu)
tiwọn	viņu	theirs
to	uz	it
toje	reti	that is
tokasi	norādīja	pointing to
tokyo	tokyo	tokyo
tolerejulo	panesams	most profitable
tolórítelémù	holokausts	all manners of people
tomé	tomātu	tome
tooto	tiešām	true
tori	tori	because
torun	brunete	heavenly
toseluaralu	politiskā	political
tounsejanu	traģiski	control
traduite	traduīts	traduite
translated	tulkots	tunmo
tumosi	nozīmē	means
tuntun	jauns	new
tàsí	bez	or
tàwon	viņiem	theirs
táawà	noliekties	we
tèlé	sekot līdzi	before
tètè	ātri	quickly
tèlé	tūlīt	follow
tèsíwájú	panākt progresu	progress
té	t	follow
télè	autors	before
té	t	shamed
títi	slēgts	till
títèlé	sekot	following
títío	līdz	until
tíátà	biļetes	theater
tíórì	riepas	that is seen
tò	komplekts	enough
tóbi	lieli	big
tódárajùlọ	vislabākais	most beautiful
tókù	atpūsties	others
tówùú	jebkura summa	whatever
tó	tó	taught
tóka	citēts	pointed
tú	izlīt	untie
túmò	plūme	means
túnse	pārkārtot	restructured
tẹ̀ǹbẹ̀	tad	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	sazvēresties	bitterness
ucb	ucb	ucb
umueri	bērni	umueri
unifasiti	universitāte	university
unla	jā	great
urasílì	uracils	uracil
uribe	aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	ceļš	uzbek
venezuela	venecuēla	venezuela
vermont	vermonts	vermont
victor	uzvarētājs	victor
videos	video	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	vīrusi	awon eran
visit	apmeklējums	ibewo
vz	vz	vz
waa	tas ir	ours
waju	seja	future
wari	smaka	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	asprātība	witkin
wiwari	atklājums	discovered
województwo	ārprāts	wojewodztwo
wole	ielogoties	into
woo	bļaustīties	look
wo	šeit	enter
wo	šeit	look
won	viņiem	they
wura	zelts	gold
wyoming	sieva	wyoming
wàásù	sludināt	preach
wì	mazgāt prom	that
wípè	skaidrība	that
wòfún	skatiens	convenient
wònyí	šie ir	these
wón	viņiem	they
wúnrèn	trenēties	small amount
wọn	viņiem	they
wọ̀nyí	šie	these
xd	xd	xd
xiv	xiv	xiv
yafran	alfabēts	yafran
yakubu	jakubs	yakubu
yan	atlasīt	choose
yanjú	atrisināt	solve
yanturu	daudz	abundant
yaoundé	yaoundé	yaounde
yewo	uzlabošana	examine
ye	jā	suitable
ye	jā	should
yindinyindin	nekad neapstājies	brightly
yio	būs	will
yiowu	tā būs	any
yipada	apgriezties	change
yiyafunnilo	erozija	borrow
yoo	būs	will
yori	vadīja	result
york	york	york
yorúbà	jogurts	yoruba
yo	yo	remove
yànan	izbrīns	scattered
yàtò	uzstādīt	other than
yára	pasteidzies	quickly
yèwò	skaties	examine
yée	ļauj viņiem	eplained to
yì	iet	this
yìí	šo	this
yí	apgriezties	this
yíyípadà	mainīt	changed
yíì	jums būs	this
yíò	tā būs	it will
yẹ̀ẹ́	y&#39;know	check
yọ	noņemt	bring out
zanzibar centralsouth	zanzibāra centrālā taisnība	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	prom	bce
àbe	paviāns	under
àbámẹ́ta	ceturtdiena	saturday
àbáyo	ieteikums	breakthrough
àbìkú	nemirstība	'born to die' child
àbọ̀	puse	result
àdámò	privātums	earmark
àdátá	pretējs	adata
àdáátán	ekskluzīvs	adaatan
àdóolóró	eļļa	bomb
àgbàjọ	vecais vīrs	assembly
àgbàrá	plūdi	power
àgbáríjọ	organizācija	combination
àgbékà	abstrakts	suitable
àgbéyèwò	pārskats	examination
àgbìgbò	apkārtne	a type of bird
àgbùdo	pagalms	corn
àgọ́	telts	ago
àifète	mērķis	unable to keep quiet
àjo	ceļot	board
àjákọ	atsevišķi	ajako
àjọṣepọ̀	sabiedriskā	union
àkosílè	abstrakcija	written
àkosílè	disertācija	written account
àkàrà	kūkas	bean pudding
àká	plaukti	store
àkójopò	grupa	collection
àkókó	laiks	previous
àlàkalè	mērķus	breakdown, explanation of actions
àlàyé	informācija	explanation
àlàáfíà	miers	peace
àlááfià	analoģija	wellbeing
àlè	bastards	mistress, concubine, (side booty)
àlèpò	virs	joined together
àlébù	vaina	ills
àmérìkà	pārdabisks	america
àmì	parakstīt	sign
àmúlò	praktisks	synonyms
àmúsorò	psiholoģija	resources
ànfàní	iespēju	opportunity
àpapọ̀	kopumā	federal
àpeere	piemērs	example
àrígbámú	satraucoši	assistant
àrùn	slimība	disease
àrẹ	prezidents	president
àse	svētki	authority
àsàjemátèe	rītausma	cunning
àsèyìn	pēcspēks	at the end
àsìkò	laiks	time
àsótélè	pagarinājums	prophecy
àsọdọ̀kan	vienotība	unitary
àsekúdórógbó	miza	do or die
àsà	pasūtījuma	habit, culture, norm
àtijo	novecojis	olden days
àtìpó	citplanētietis	sojourn
àtòrìnká	visapkārt	urinating while walking
àtúnse	rediģēt	modification
àtúnse	rediģēt	renovate, fix
àtẹnudẹ́nu	mutiski	oral
àwon	teorijas	they
àwón	nauda	the
àwón	nauda	the
àwùjo	sabiedrībā	community
ààtò	rituāls	suitability
ààyè	dzīvs	space
àárín	vidū	middle
àáyá	sperma	seconds
àìkó	deficīts	unlearned
àìní	gribu	lack
àìròtélè	negaidīts	unthought of
àìsí	prombūtne	lack
án	t	it
áwon	netiklība	those
èbà	odi	cassava flour food
èbúté	osta	shore
èdá	radīšana	creature
èdè	valoda	language
èdè	valoda	language
èfòn	saspringts	efon
èhìn	nākamais	outskirt
èka	filiāle	branch
èkejì	otrs	second
èlò	trauki	tool
ènìkan	kaut kas	someone
èràn	slimība	virus
èrò	domas	thoughts
èsó	mošeja	modesty
èsúrú	skudras	yam (indigenous to west africa)
ète	mērķis	plan
èyì	cieņa	this
èka	efekts	branch
èro	domas	machine
èrí	pierādījumi	witness
èsìn	reliģija	religion
èwù	krekls	clothe
èpón	daudz	modifier
ìbarà	drudzis	ibara (town)
ìbánisòrò	savienojums	dialogue
ìbáraeni	ratiņi	to themselves
ìbílè	dzimšanas tiesības	local
ìbílè	dzimšanas tiesības	local
ìdàgbà	pilngadība	grow
ìdàpapọ̀	konsolidācija	union
ìdàrúdàpò	haoss	misunderstanding
ìdá	dezertēšana	division
ìdìmú	traucējumi	branch, part
ìdíisin	cēlonis	idi-isin
ìdíwòn	tavs iemesls	criteria
ìdó	dzelonis	ido (a person's name)
ìfara	spīdzināšana	self
ìfojúìtànìgbesiayé	dzīves vēsture	biography
ìfáàrà	priesteris	introduction
ìgbonnìbí jé	tā ir katastrofa	igbonnibi
ìgbà	laiks	when
ìgbàgbé	aizmāršīgs	forgetfulness
ìgbá	spārni	time
ìgbáraga	spēks	pride
ìgbéraga	lepnums	pride
ìgbésí	dzīvi	life
ìgbò	auns	igbo people
ìhun	dzelzs	things
ìjo	dejot	church
ìjo	baznīca	church
ìjoba	valdība	government
ìjora	naids	resemblance
ìjìnlè	noslēpums	comprehensive
ìjìnlè	noslēpums	mysterious
ìjò	vadītājs	consent
ìjọba	valdība	government
ìkejì	otrs	second
ìkànna	tas pats	ikanna (town)
ìkèrèkú	sastrēgumi	ikereku
ìkéde	deklarācija	advert
ìkìjà	izaicinājums	ikija
ìkìlò	ļaunprātīga izmantošana	warning
ìkínin	sestais	greetings
ìkẹrin	ceturtais	fourth
ìkọpa	dalība	ikopa
ìlera	veselība	health
ìlo	zvana	use
ìlà	kontūra	border
ìlànàn	ilūzija	procedure
ìlàorùn	zilumi	east
ìlàìnàró	apspiešana	vertical
ìlè	kukuļošana	land
ìlé	mājas	land
ìmò	čūska	knowledge
ìmò	zibens	knowledge
ìmóbìdo	pirmtiesības	imobido
ìmú	deguns	knowledge
ìmúnilérú	pārkāpumi	slavery
ìmúsára	stiprināt	contagious
ìnagije	uzvara	alias
ìnáwó	izdevumi	expenditure
ìpolongo	reklāmas	advertisement
ìpìlẹ̀núkléù	šifrēšana	base
ìpìnlè	sākums	foundation
ìpínrò	rindkopas	economize
ìrànlọ́wọ́	palīdzēt	help
ìrànàna	palīdzēt	path-clearing
ìràwọ̀	zvaigznes	s
ìrí	pieredze	sight
ìròkò	domāja	iroko
ìròyìn	ziņas	news
ìròyìnwiki	ziņas	wikinews
ìròrùn	ilūzija	peaceful
ìró	skaņu	sound
ìrúbo	sabrukt	sacrifice
ìsawo	zīlēšana	divinity-practice
ìse	darbība	behaviour
ìsinsìnyí	tagad	modern
ìsirò	aprēķins	adding
ìsomó	pievienoties	attachment
ìsàlè	saulriets	down town
ìsèlè	produkcija	happening
ìsìn	reliģija	worship
ìsòrò	meditācija	speech
ìsòrí	apakšpozīcija	chapter
ìsú	biezums	lump
ìsọ	veikalos	stall
ìse	darbība	work
ìsègbèfábo	centība	female support
ìsèdá	radīšana	creation
ìsèjoba	valdība	government
ìsílé	mājas	house opening
ìsòro	grūtības	problem
ìse	darbība	action
ìta	ārpusē	outside
ìtaeko	darbnīca	outskirts of eko
ìtan	vēsture	story
ìtokò	katls	story
ìtàn	vēsture	history
ìtànkálé	plūdi	spread
ìtèsíwájú	progresu	progress
ìtójú	aprūpi	treatment
ìtóju	apjukums	treatment
ìtójú	sejas izteiksmes	treatment
ìtóka	tikt piekautai	dictionary
ìtúmò	tulkošana	meaning
ìtúpalè	tulkošana	exposition
ìwe	salīdzinājums	book
ìwo	ragi	horn
ìwàásù	sludinot	sermon
ìwéré	buklets	iwere (town)
ìwò	kopumā	set
ìwòran	redze	viewing
ìwúlò	noderīga	usefulness
ìya	ciešanas	mother
ìyapa	atdalīšana	divorce
ìyàwó	līgava	wife
ìyípadà	konversija	transformation
ìṣèlú	politika	politics
ìṣẹ́kù	atgādinājums	broken
ìṣọ̣̀tẹ̣̀	pneimonija	rebellion
òde	ārpusē	society
òdeojú	bez sejas	surface
òdo	jaunatne	zero
òdìkejì	otrs	opposite
òféàrán	attēls	a town name
ògbójú	kompetents	brave
ògiri	sienas	wall
ògo	slava	glory
ògun	medicīna	medicine
ògúndìpẹ̀	pulverveida	ogundipe
òjo	izskatās ka	ojo
òjísé	ārsts	servant
òkèògbún	tūkstoš	oke-ogbun
òkòòkan	vienu pēc otra	each
òkú	līķi	corpse
òkúta	akmens	stone
òle	mājsaimniece	lazy
òmiràn	burve	other
òmùàrán	attēls	omu-aran (town)
òní	šodien	today
òotó	patiesība	true
òpópóònà	ceļš	highway
òranyàn	obligāti	a must
òrìsà	elki	god
òrí	nodaļa	top
òrò	smadzenes	word
òsán	pusdienlaiks	afternoon
òsèlú	politiķis	politics
òsèré	sportists	player
òwù	audums	owu
òṣèlú	politika	politician
òjògbón	lietains laiks	learned person
òkan	viens	heart
òkòòkan	vienu pēc otra	each
òpòlopò	daudzi	many
òré	spēle	friend
òfò	nākamais	sorrowful
òpòlopo	daudzi	lot of
òré	spēle	friend
òrò	domas	word
òsà	zelta zivtiņa	lagoon
òwó	nauda	hand
òrò	domas	word
òròàjòmó	no rītiem	part of speech
ó	tā	that
óníse	viņš ir dizainers	stricken
ósírísì	siekalu	diverse
ósékú	viņš ir miris	die suddenly
ó	jā	word
ôdún	gads	year
únṣẹlẹ̀	zemestrīce	formed
şe	darīt	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	slimība	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	atvēršana	work
ṣàkóbá	kaitīgs	incriminate
ẹdo	joks	edo
ẹlẹ́bùn	dāvana	award winner
ẹlẹ́sìn	reliģiozs	religionist
ẹnìkan	viens cilvēks	someone
ẹsẹ	pēdas	verse
ẹtì	aknas	friday
ẹ̀kaawon	iesniegumi	branch of
ẹ̀kabrítánì	tēvocis	part of britain
ẹ̀kajuly	maijā	chapter july
ẹ̀kaoṣù	grūts	month
ẹ̀kasístẹ̀mù	subjektīvs	sistemu=system
ẹ̀kẹ́ta	trešais	third, the third
ẹ̀kọ́	izglītība	teachings
ẹ̀ni	pvo	person
ẹ̀rọ	mašīnas	machine
ẹ̀wẹ̀	no otras puses	leaf
ọbàkàn	pusbrālis	step-sister
ọdún	gadā	year
ọlọ́mọ	bērni	members
ọlọ́run	dievs	god
ọmú	tu esi tizls	breast
ọmọ	bērns	c
ọn	tā	him
ọpọ́lọpọ́	vīģes	many
ọ̀dọ́	jaunatne	youth
ọ̀gbìn	augs	seedlings
ọ̀nà	veids	ways
ọ̀pòlòpò	darbība	various
ọ̀rọ̀	runāt	word
ọ̀sẹ	nedēļā	week
