$	dollarni tashkil etadi	your
dawladaasi	bu hukumat	dawladaasi
dawladaasii	bu hukumat	dawladaasii
dawladaha	hukumatlar	local government
dawladanwaxa	bu hukumat	dawladanwaxa
dawladda	hukumat	the government
dawladdii	hukumat	former
dawladeed	hukumat	state
dawladi	hukumat	dawladi
dawladihii	hukumatlar	countries
dawladii	hukumat	government
dawladnimo	hukumat	nationhood
dawlado	hukumatlar	governments who
dawladood	hukumatlar	improves
dawladu	hukumat	the government
dawliskii	hukumat	dawliskii
dawr	davr	role
dayaan	sulolasi	echo
dayactir	ta&#39;mirlash	repair
dayar	boshqa	dayar
dayax	oy	moon
dayaxa	oy	the moon
dayay	harakat qildi	he tried
daydka	hovli	daydka
daye	dunyo	"hamar daye ""a name of village in mugadishu"""
dayeen	ted	tried
dayey	bo&#39;yoq	he looked at
dayeynahay	men e&#39;tibor beraman	dayeynahay
dayn	qarz	balance
dayniile	qarz	deynile
dayo	yaxshi	our
dayrka	hovli	she had been playing in
de	kelmoq	de
debate	munozara	debate
dec	dek	december
december	dekabr	december
deegaan	atrof-muhit	vegetation
deegaanada	mustamlakalar	in different locations
deegaanka	atrof-muhit	area
deegaannada	mustamlakalar	in different locations
deegaano	atrof-muhit	areas in
deegta	kech	the edge
deelqaaf	siqilish	confusion
deeq	xayr-ehson	grant
deeqeen	ehson qildi	donated
deeqsi	saxiy	generous
deeqsiiyo	ehson qilmoq	deeqsiiyo
deero	kiyik	gazelle
deerow	quyosh botishi	derow
deetana	keyingi	deetana
deexda	quyosh nuri	the coastal trip
dega	pastga	for
degaa	ishga kirishish	th
degaan	yashash joyi	the slope
degaanada	mahalliy aholi	areas
degaanka	mahalliy	the area
degan	jim	living
deganaa	yashagan	territory
deganaana	tinchlanmoq	ifo camp for nearly
degay	qo&#39;ndi	he went down
degayare	soqolli	degayare
degaye	rezident	degaye
degdeg	zudlik	an emergency
degeen	joylashdi	over
degen	ishga kirishish	resident
degenaa	bo&#39;lgan	resided
degenaan	tinchlanmoq	degenaan
degenaansho	xotirjam bo&#39;lmoq	resident status
degeneen	joylashdi	degeneen
degenyihiin	istiqomat qilmoq	some counties where many refugees live
degey	joylashdi	feast
deggan	barqaror	living
degganaa	yashagan	he was relaxed
degi	tinchlantirmoq	camp
degmada	tumani	district
degmadaan	ushbu tumanda	assistance from this county or another county
degmadan	ushbu tumanda	degmadan
degmadda	tumani	calling
degmadu	tuman	the county
degmo	tumani	district
degmooyinka	tumanlar	districts
degno	joylashmoq	's get off
dego	ishga kirishish	down
degoo	kel	it lives
degree	daraja	will issue a bachelor degree
degtaa	ishga kirishish	swift
degtaan	ishga kirishish	to stay
degtay	tushdi	he went down
degto	ishga kirishish	settle
dejintii	rostlash	dejintii
dejiyay	joylashtirilgan	has been revealed
dejiyey	joylashdi	he revealed
dekad	port	port
dekada	port	somali peace
dekadda	port	port
dekadiiba	port	dekadiiba
dekeda	port	port
dekedda	port	the port
dekeeya	tinchlanmoq	dekeeya
delhi	qilma	delhi
dembi	gunoh	sin
dembiga	gunoh	sin
democratic	demokratik	democratic centralism
den	uyasi	much
denmark	denmark	denmark
depending	qarab	depending
deputato	ro&#39;yxati	deputato
derejada	daraja	class
derejo	daraja	rank
deris	qo&#39;shni	neighbor
deriska	qo&#39;shnilar	the neighbor
derisna	qo&#39;shni	depends on domestic
derivative	lotin	derivative
designed	mo&#39;ljallangan	qorayaa
destaing	buzadigan	destaing
development	rivojlanish	development
devices	qurilmalar	devices
deyey	ted	he looked at
deyiba	xijolat tortdi	deyiba
dfkmg	dfkmg	dfkmg
dhaabad	tushish	dhaabad
dhaabadeeyaan	qiling	dhaabadeeyaan
dhaadashada	to&#39;lqin	dhaadashada
dhaadheer	uzun bo&#39;yli	tall
dhaaf	o&#39;tish	pass
dhaafay	o&#39;tgan	he left behind
dhaafayn	o&#39;tish	dhaafayn
dhaafaysaa	o&#39;tadi	dhaafaysaa
dhaafi	o&#39;tish	forgive
dhaafo	o&#39;tish	forgive
dhaafsado	o&#39;tib ketmoq	dhaafsado
dhaaftay	chetlab o&#39;tdi	last month
dhaalib	holsiz	-dalib
dhaameen	tugatdi	dhaameen
dhaanto	raqsga tushish	should send these brothers ahead
dhaar	qasam	oath
dhaarannaye	qasam ichaman	!
dhaarsho	qasam	dhaarsho
dhaarta	qasam	the oath
dhaawac	shikastlanish	injury
dhaawacmay	jarohatlangan	wounded
dhaaxaan	o&#39;tish	i strived with
dhab	haqiqiy	and certainly
dhabar	orqaga	back
dhabarka	orqa	the back
dhabbada	yo&#39;l	advise lovers discuss every thing or
dhabeeyaan	ijro eting	people should express their
dhabnimadeeda	uning haqiqiyligi	dhabnimadeeda
dhabta	haqiqiy	the real
dhac	talonchilik	robbery
dhaca	sodir bo&#39;ladi	the robbery
dhacaa	sodir bo&#39;ladi	it falls
dhacaan	sodir bo&#39;lmoq	happen
dhacan	bu voqea	corral closure
dhacana	sodir bo&#39;ladi	eyes
dhacay	sodir bo&#39;ldi	it happened
dhacaye	sodir bo&#39;ladi	had happened in
dhacayey	sodir bo&#39;layotgan edi	at
dhacayeye	voqea	dhacayeye
dhacda	sodir	in addition,
dhacdaa	sodir bo&#39;ladi	it happens
dhacday	sodir bo&#39;ldi	it happened
dhacdo	voqea	event
dhacdooyin	voqealar	events
dhacdooyinka	voqealar	the events
dhaceen	yiqildi	robbed
dhaco	sodir bo&#39;ladi	occur
dhadigana	ayol	dhadigana
dhadigna	ayol	dhadigna
dhafaruur	qirg&#39;in	bush and its sweet yellow berry fruit
dhagan	qattiq	connect
dhaganyahay	qattiq	dhaganyahay
dhagar	aldash	deceive
dhagaweyne	toshib ketmoq	dhagaweyne
dhagax	tosh	stone
dhagaxa	tosh	the stone
dhagaxaasi	tosh	that stone
dhagaxawoqooyiga	shimoliy jinslar	dhagaxawoqooyiga
dhagaxbuur	yoriqlar	dagahbur
dhagaxii	tosh	stone
dhagaysto	tinglang	shall be undertaken
dhaha	demoq	say
dhahaa	demoq	says:
dhahar	demoq	lasqoray c
dhaheen	ular aytishdi	said:
dhaho	demoq	it is said to them
dhakhso	tez	soon
dhal	yo&#39;l bering	giving birth
dhalan	tug&#39;ilgan	born
dhalanteede	tug&#39;ilish huquqi	dhalanteede
dhalashada	tug&#39;ilish	birth
dhalashadii	tug&#39;ilgan kun	birth
dhalashadiisii	uning tug&#39;ilishi	that since before
dhalashadiisu	uning tug&#39;ilgan kuni	dhalassadiisu
dhalasho	tug&#39;ilish	birth
dhalashooyin	tug&#39;ilgan kunlar	dhalashooyin
dhalatay	tug&#39;ilgan	he was born
dhalay	tug&#39;moq	birth
dhalaye	eritib	dhalaye
dhaleen	nevaralar	produced
dhaliil	tanqid qilmoq	look down on
dhaliilaha	tanqidchi	many defects
dhalin	yo&#39;l bering	young
dhalinaya	tetiklash	dhalinaya
dhalinyar	yoshlar	juvenile
dhalinyara	yoshlar	youths entered
dhalinyarada	yoshlar	youth
dhalinyaradii	yosh	also
dhalinyaro	yoshlar	youth
dhalisay	tetiklashtirdi	she delivered
dhaliyey	tetiklashtirdi	he scored
dhallinyaradu	yoshlar	youth
dhallinyaro	yosh	dhallinyyaro
dhamaadaa	tugaydi	present in
dhamaadaan	oxiri	last
dhamaaday	tugadi	ended
dhamaadka	tamom	at the end of
dhamaadkii	tamom	1993 dozens more international conferences organized over
dhamaado	oxiri	end
dhamaag	oxiri	dhamaag
dhamaan	hammasi	all
dhamaantiis	hammasi	is wholly
dhamaantood	ularning hammasi	all
dhamaatay	hammasi tamom	that's all
dhamaha	oyoq tirnoqlari	dhamaha
dhamaystay	yakunlandi	completed
dhamaystiran	yakunlandi	partial
dhamaystirane	yakunlandi	dhamaystirane
dhameestirnociidanka	jarayonni yakunlang	dhameestirnociidanka
dhameeyaan	uni tugating	owners resolve
dhameeyay	tugatdi	completed
dhameystay	tugatdi	kassim
dhami	hammasi	all
dhamiba	umuman	dhamiba
dhammaa	butun	the complete
dhammaadkii	tamom	end of
dhammaan	hammasi	all
dhammaantiis	hammasi	every
dhammaantood	ularning hammasi	all of them
dhammanteen	hammamiz	dhammanteen
dhammeeyeen	tugatdi	way they had
dhan	hammasi	all
dhanaan	nordon	sour
dhanee	xush kelibsiz	dhanee
dhanka	tomonida	the side
dhankaas	aksincha	dhankaas
dhankooda	ularning tomonida	side
dhanna	umuman	nowhere
dhanoo	hammasi	dhanoo
dhantahay	tugadi	that's all,
dhanyahay	yakunlandi	that includes all parties
dhaq	yuvish	wash
dhaqaalaba	iqtisodiy	lying since long time due
dhaqaalaha	iqtisodiyot	economy
dhaqaalaha´	iqtisod	economy
dhaqaale	iqtisodiy	economic
dhaqaalha	iqtisodiyot	military assistance
dhaqaalihii	iqtisodiyot	the
dhaqaalihiisa	uning iqtisodiyoti	dhaqaalihiisa
dhaqaalihiisuna	uning moliyaviy ahvoli	dhaqaalihiisuna
dhaqaalo	iqtisodiyot	economy
dhaqaaloheeda	uning iqtisodiyoti	dhaqaaloheeda
dhaqaalohiisa	uning moliyaviy ahvoli	dhaqaalohiisa
dhaqaaq	ko&#39;chirish	move
dhaqaaqay	ko&#39;chib	he moved
dhaqaaqo	ko&#39;chirish	would move
dhaqaaqyo	harakatlar	dhaqaaqyo
dhaqameed	an&#39;anaviy	traditional
dhaqamo	madaniyatlar	cultures
dhaqan	an&#39;ana	culture
dhaqane	harakat qilmoq	dhaqane dhubow
dhaqanka	an&#39;ana	culture
dhaqankooda	ularning madaniyati	their culture
dhaqankoodu	ularning madaniyati	culture
dhaqanta	amaliyot	who treats very badly
dhaqashada	yuvish	farming portray
dhaqatada	pastoralistlar	society
dhaqato	yuvish	animal keepers living
dhaqay	yuvilgan	he raised
dhaqdhaaaqyadii	faoliyati	dhaqdhaaaqyadii
dhaqdhaqaaq	harakat	movement
dhaqdhaqaaqa	harakat	the movement
dhaqdhaqaaqii	harakat	the movement
dhaqdhaqaaqyadii	faoliyati	diplomatic
dhaqdhaqaaqyo	faoliyati	movements
dhaqdo	yuvish	bride
dhaqidda	yuvish	ceremony
dhaqma	harakat qilmoq	live
dhaqmaan	harakat qilmoq	follow
dhaqmay	harakat qildi	he acted
dhaqmaysayna	harakat qilardi	dhaqmaysayna
dhaqmo	harakat qilmoq	to fair treatment
dhaqso	tez	hurry
dhaqtar	shifokor	doctor
dhar	kiyim-kechak	clothes
dharaar	kun	day
dharaaraba	ertalab	dharaaraba
dhararka	mato	the clothes
dharka	kiyim-kechak	the clothes
dharkeenleey	bizning kiyimlarimiz	dharkeenleey
dharkoodii	ularning kiyimlari	spread their coats
dhasahy	yaqinda	dhasahy
dhashaa	tug&#39;ilgan	new
dhashay	tug&#39;ilgan	he was born
dhashaywaxaanuu	u tug&#39;ilgan	dhashaywaxaanuu
dhasheen	tug&#39;ilganlar	belong
dhashtay	tug&#39;ilgan	dhashtay
dhasida	raqsga tushish	dhasida
dhaw	yaqin	near
dhawaadaan	so&#39;nggi paytlarda	become closer
dhawaado	yaqinda	unwillingness
dhawaan	yaqinda	recently
dhawaaqaa	e&#39;lon qiladi	usually pronounced like somali
dhawaaqaan	ovoz	dwellers
dhawaaqay	e&#39;lon qilindi	he announced
dhawaaqday	e&#39;lon qilindi	announced
dhawaaqida	talaffuz	dhawaaqida
dhawaaqidda	talaffuz	declaration of
dhawaaqo	ovoz	date
dhawaaqtada	tovushlar	dhawaaqtada
dhawdahay	yaqin	it may be
dhaweeyay	kutib oldi	welcomed
dhawr	uni saqlang	several
dhawre	qorovul	keeper
dhax	irsiy	oil
dhaxal	meros olish	inheritance
dhaxalaa	meros qilib olmoq	dhaxalaa
dhaxalgalka	meros olish	the precious item
dhaxalka	meros olish	the inheritance
dhaxalkeeda	uning merosi	dhaxalkeeda
dhaxanta	sovuq	the cold
dhaxaye	sindirdi	dhaxaye
dhaxaysa	orasida	between
dhaxaysaa	orasida	text
dhaxaysay	ular orasida	he stayed out-it
dhaxda	o&#39;rtasida	a man's partner
dhaxe	orasida	central
dhaxeesay	ular orasida	dhaxeesay
dhaxeeya	ular orasida	between
dhaxeeyaa	orasida	lies between
dhaxeeyeen	ular orasida	dhaxeeyeen
dhaxeeyey	ular orasida	between them
dhaxeysa	orasida	between
dhaxeysaa	orasida	dhaxeysaa
dhaxeysay	oraliq	between
dhaxlay	meros qilib olingan	inherits
dhaxmaraa	aralashadi	dhaxmaraa
dhaxmaro	meros qilib olingan	dhaxmaro
dhay	kiyin	oil
dhaygag	tikilib qarang	gaze
dhaymo	kiyinish	oil
dhaytubaako	dushman	dhaytubaako
dhebaandhebiye	yuk tashuvchi	dhebaandhebiye
dhebi	bosing	trees
dheceen	yiqildi	they followed
dheddig	ayol	female
dheddiga	urg&#39;ochi	dheddiga
dheddigga	urg&#39;ochilar uchun	the feminine
dheecaan	tushirish	sap
dheer	uzoq	long
dheeraa	uzoq	long
dheeraad	ko&#39;proq	more
dheeraada	ko&#39;proq	avoid
dheeraadka	qo&#39;shimcha	the extra
dheeraasamaale	uzoq	dheeraasamaale
dheere	uzoq	dhere
dheereeyo	balandligi	extend
dheereshiinehaabiilhabane	ravonligi	dheereshiinehaabiilhabane
dheereyn	kengaytma	speed
dheereynayaa	uzaytirildi	dheerernayaa
dheerka	qo&#39;shimcha	dheerka
dheg	quloq	ear
dhegaha	quloqlari	ear
dhegan	xususda	attached
dhegen	tayoq	comes out after
dhegtay	quloq	dhegtay
dheh	demoq	say:
dheheen	ular aytishdi	said:
dherer	uzunligi	height
dhererkiisu	uzunligi	deep is it
dhererkoodu	ularning balandligi	height of
dhex	o&#39;rtasida	between
dhexaad	neytral	average
dhexadka	o&#39;rtasida	dhexadka
dhexaysa	orasida	between
dhexda	o&#39;rtasida	the center
dhexdeeda	ichida	therein
dhexdhexaad	neytral	neutral
dhexdhexaadinta	vositachilik	the mediation
dhexdiisa	ichida	in
dhexdooda	ular orasida	among them
dhexe	markaziy	central
dhexeeya	orasida	between
dhexeysa	orasida	in the middle
dhexmara	orqali o&#39;tish	sporadic fighting started between
dhexmaray	aralashdi	he passed through
dhextaala	o&#39;rtada	dhextaala
dhib	muammo	problem
dhibaatada	muammo	the problem
dhibaatadii	muammo	the problems
dhibaato	muammo	problem
dhibaatooyin	muammolar	problems
dhibaatooyinka	muammolar	problems
dhibaatooyinkii	muammolar	the difficulties
dhibay	bezovta	he was a nuisance
dhibi	bezovta qilmoq	cause
dhibina	bezovta qilma	do not
dhibka	muammo	trouble
dhibkii	muammo	dhikii
dhiblaawe	beparvo	dhiblaawe
dhibta	muammo	trouble
dhici	tushish	happen
dhicin	tushish	fall
dhicine	muddati tugaydi	dhicine
dhicisoobay	homiladorlik	it aborted
dhiga	qo&#39;yish	instead
dhigaa	o&#39;rnatildi	instruction
dhigaan	qo&#39;ying	make
dhigan	park	park
dhigateene	u bilan	dhigateene
dhigay	o&#39;rnatildi	he made
dhigaya	qo&#39;yish	makes
dhigaye	ustida	they put it
dhigayo	yotqizilgan	innocent
dhigaysa	qo&#39;yadi	felony
dhigeen	yotqizilgan	they laid
dhigeendhulka	o&#39;yinchoq	dhigeendhulka
dhigey	yotqizilgan	class
dhigi	qilmoq	be
dhigin	qo&#39;yish emas	hang up
dhignaa	tan oldi	it was written
dhigo	o&#39;rnatildi	study
dhigtan	bu gal	dhigtan
dhigtay	yotqizilgan	he studied
dhigteen	yotqizilgan	put
dhigto	park	give an apology
dhihi	demoq	say
dhiib	voz keching	surrender
dhiibay	taslim bo&#39;ldi	he handed over
dhiibayaa	beradi	hand over
dhiibi	taslim bo&#39;lish	pay
dhiibid	taslim bo&#39;lish	co-payment
dhiig	qon	blood
dhiigga	qon	the blood
dhiigii	qon	blood
dhiilka	tionlar	dhiilka
dhiillo	fohisha	hostility
dhiiragalin	rag&#39;batlantirish	dhiiragalin
dhiiri	rag&#39;batlantirish	encourage
dhiirigelin	rag&#39;batlantirish	encouragement
dhiirigelisay	rag&#39;batlantirildi	dhiirigelisay
dhiirri	rag&#39;batlantirish	encourage
dhikanyee	shunday deb ayting	dhikanyee
dhiman	o&#39;lmoq	die
dhimanayey	o&#39;layotgan edi	dhimanayey
dhimane	o&#39;lik	when you will die
dhimashadiisii	uning o&#39;limi	sure
dhimasho	o&#39;lim	death
dhimashooyin	o&#39;limlar	dhimashooyin
dhimatay	o&#39;lik	she died
dhinac	tomoni	sides
dhinaca	tomonida	hand
dhinacakale	boshqa tarafdan	dhinacakale
dhinacakale´shilinka	boshqa tarafdan	the shilling dhinacakale'
dhinacba	yonma-yon	both sides
dhinaceeda	uning yonida	beside
dhinacyada	tomonlar	sides
dhinacyo	tomonlar	sides
dhinicii	yon tomonga	the side
dhintay	o&#39;lik	he died
dhinteen	o&#39;lganlar	died
dhintey	vafot etdi	he died
dhinto	o&#39;ladi	die
dhir	maydanoz	trees
dhiraandhirinta	tahlil qiladi	dhiraandhirinta
dhiraha	o&#39;simliklar	dhiraha
dhirindhireed	giyohlar	dhirindhireed
dhirirka	balandligi	dhirirka
dhirirkeeda	uning uzunligi	dhirirkeeda
dhirta	o&#39;simliklar	the trees
dhirtu	o&#39;simliklar	plants
dhis	qurmoq	build
dhisaan	qurmoq	build
dhisaayeen	uni qurishgan	dhisaayaeen
dhisan	tuzilgan	based on
dhisay	qurilgan	he built
dhiseen	ular qurishdi	have built
dhisida	bino	building
dhisin	qurmoq	church
dhisitaan	mustahkamlamoq	dhisitaan
dhisitaankii	qurilish	dhisitaankii
dhiska	qurilish	the building
dhismaha	qurilish	the building
dhismayaal	binolar	buildings
dhismayaasha	binolar	buildings
dhisme	bino	cell structure
dhismihii	bino	the rebuilding
dhismo	qurilish	construction
dhisnaa	qurilgan	it was set up
dhisnayd	qurilgan	which was based on
dhiso	qurmoq	build
dhistay	qurilgan	he established
dhisteen	qurilgan	what slr stands
dhixine	bezovta qilma	dhixine
dhoho	demoq	it is said:
dhooble	tabassum	dhooble
dhoobo	loy	clay
dhoof	yelkan	travel
dhoofin	eksport	exporting
dhoofiska	eksport	the act of deporting
dhoofista	eksport	dhoofista
dhoofiyaa	eksport qilindi	dhoofiyaa
dhoofiyo	eksport	deportation
dhool	tabassum	front tooth
dhoore	kiyik	dhoore
dhow	yaqin	near
dhowaaneynaa	yaqinda kelamiz	dhowaaneynaa
dhowdahay	yaqin	high
dhowna	yaqin	them
dhowr	bir nechta	few
dhowree	himoya qilish	dhowree
dhowrsada	burchingizni bajaring	guard
dhowrsan	himoyalangan	dhowrsan
dhowrsana	burchingizni bajaring	dhowrsana
dhubato	tupurish	dhubato
dhuftay	urdi	he hit
dhufteen	urdi	beat him on
dhul	yer	land
dhulaka	quruqlik	dhulaka
dhulalka	erlar	the lands
dhulalkii	erlar	spread themselves
dhulbahante	yer egasi	dhulbahante
dhulbaisaguna	er	dhulbaisaguna
dhulbeereedka	landshaft	of agricultural lands
dhuleed	yer	terrestrial
dhulgariir	zilzila	earthquake
dhulgariirka	zilzila	the earthquake
dhulka	er	earth
dhulkaa	er	the land
dhulkaan	bu yer	dhulkaan
dhulkaas	o&#39;sha yurtda	lands
dhulkan	bu er	this state
dhulkeeda	uning erlari	warriors
dhulkii	er	land
dhulkiisaa	uning erlari	dhulkiisaa
dhulku	er	the earth
dhulwaynaha	materik	dhulwaynaha
dhunkaal	bo&#39;sa	venom
dhuraye	sharshara	dhuraye
dhuub	yupqa	bundle
dhuumasho	yashirin	hide
dhuunta	tomoq	the throat
dhuurta	o&#39;rmon	the evergreen tree
dhuusamareeb	yarim tunda	nationality
dhuux	ilik	marrow
dhuwan	yashirish	fruit
dhuxul	ko&#39;mir	charcoal
dhuxusha	ko&#39;mir	coal
di	bolmoq	downpour
diabetes	diabet	diabetes
diakonia	deaconessa	diakonia
dib	orqaga	after
dibad	tashqarida	outside
dibada	chet elda	outside
dibadda	tashqarida	foreign
dibadiisa	tashqarida	flies
dibedda	tashqarida	foreign
dibeddaba	ochiq havoda	dibeddaba
dibeddu	tashqarida	dibeddu
dibi	ho&#39;kiz	bull
dibna	yana	and then
dibnahayga	mening ko&#39;zim	dibnahayga
dibu	ho&#39;kiz	will be a delay
dibuga	buzoq	dibuga
dibugu	buqa	dibugu
dibuheshiisiinta	yarashtirish	dibuheshiisiinta
diday	o&#39;tkir	he was scared
didsaday	yuz o&#39;girdi	he chased away
difaaca	mudofaa	the defense
difaacay	himoya qildi	have defended
difaacaya	himoya qilish	protects
different	boshqacha	different
digfeer	qazuvchi	digfeer
digil	digil	digil
digilmirifle	digilmirifle	digimirifle
digir	dukkaklilar	beans
digirta	dukkaklilar	the beans
digital	raqamli	digital
digniin	ogohlantirish	warning
digo	hazm qilmoq	warn
dihine	dihine	diihine
dii	v	the
diid	rad qilindi	refuse
diidana	rad eting	be cast
diiday	rad qilindi	he refused
diidayaa	rad etadi	will be rejected
diidayaana	rad eting	diidayaana
diidday	rad qilindi	she refused
diiddo	rad qilish	negate
diide	rad qilish	diide
diideen	rad qilindi	refused
diidey	rad qilindi	refused
diidmada	e&#39;tiroz	refusal
diido	qarshi tarafga o&#39;zgartirmoq	refuse
diidoo	rad qilish	that refused the breast
diidye	rad etadi	was rejected even one.
diif	difteriya	weakness
diifta	difteriya	the weakness
diimaha	dinlar	religions
diimeedka	diniy	dimeedka
diimo	dinlar	religions
diimood	imon	diimood
diimuqraadiga	demokratik	diimuqraadinga
diin	din	religion
diine	diine	is a religion
diini	dekan	dini
diiniga	din	religious
diinka	din	the turtle
diinle	tushmoq	diinle
diinsoor	dynsoor	dinsor
diinta	din	religion
diintaas	bu din	diintaas
diintan	bu din	infidelity
diintana	bu e&#39;tiqod	made him feel
diinteena	dinimiz	our religion
diintiisa	uning dini	religion
diintooda	ularning dini	their religion
diintoodii	ularning dini	their
diintu	din	religion
diintuna	tutun	religion
diiqsan	tushkunlikka tushgan	diiqsan
diir	po&#39;sti	peel
diiraabay	qiziydi	diiraabay
diiran	iliq	warm
diiray	tozalangan	he peeled
diiriye	chalkash	diriye
diirka	po&#39;sti	the skin of plant
diirki	po&#39;sti	diirki
diiro	diqqat	peel
diirsado	qizdirish; isitish	will never be relieved
dil	qotillik	killing
dila	sotuvchi	dila
dilaa	o&#39;ldiradi	killer
dilaan	uni o&#39;ldir	kill
dilay	o&#39;ldirilgan	killed
dilaye	sotuvchi	killed her
dileen	o&#39;ldirilgan	killed
diley	o&#39;ldirilgan	killed
dilkii	qotillik	killing
dilkiisa	uning o&#39;ldirilishi	death
dilku	qotillik	libel
dilla	darz ketgan	cause to die
dillaaco	yoriqlar	dillaaco
dillapress	dillapress	dillapress
dilo	o&#39;ldir	kill
dimishiq	demokratiya	1273
dimoqaraadiyadda	demokratiya	dimoqaraadiyadda
dimuqaraadiga	demokratiya	dimuqaraadiga
dimuqraadiga	demokratik	democratic
dimuqraadiyada	demokratiya	democratic manner
dimuqraadiyadda	demokratiya	dimuqraadiyaadiyadda
dimuquraadi	demokratiya	dimuquraadi
dimuquraadiya	demokratiya	dimuquraadiya
dimuquraadiyada	demokratiya	dimuquraadiyada
dininig	diningig	dining
dir	yuborish	send
diraa	yuborilgan	send
diraac	güveç	somali traditional women's dress
diraacoode	ularni yuboring	years i shall follow you
diraan	yuborish	send
diran	jinni	warm
diray	yuborilgan	he sent
dirayay	yuborilmoqda	its objective
dirayoo	yuborilgan	sent and
direy	yuborilgan	sent to
dirgen	kirgan	dirgen
diri	bardosh bermoq	send
dirir	janjal	quarrel
dirirayaashii	jangchilar	dirirayaashii
dirirka	janjal	dirirka
diriro	janjal	confess
dirirtii	jang	dirirtii
diriyo	tirnoq	diriyo
dirkii	jo‘natish	dirkii
dirsaday	yuborilgan	he sent away for
disc	disk	disc
diseembar	dekabr	diseembar
distoori	distoori	distoori
distoorkii	konstitutsiya	distoorkii
distributed	tarqatilgan	distributed
distuurka	konstitutsiya	the constitution
dit	dit	dit
dix	dix	dry streambed
diyaar	tayyor	ready
diyaarada	samolyot	the plane
diyaaradaha	samolyotlar	airport
diyaaradeed	samolyot	diyaaradeed
diyaaradii	samolyot	plane
diyaaradood	samolyotlar	airplane
diyaaraduhu	samolyotlar	airplanes
diyaarintii	tayyorlash	preparation
diyaariyay	tayyorlandi	prepared
diyaariyey	tayyorlandi	he prepared
diyaarka	tayyor	the readiness
diyaradaha	samolyotlar	diyaradaha
djacday	larzaga keldi	djacday
djibouti	yangi	djibouti
do	qilmoq	do
doc	hujjat	direction
doh	doh	marsh
dola	dollar	dola
dominika	dominikan	dominika
doob	dob	bachelor
doobcadale	boshqa	doobcadale
doobi	doe	medium-sized milk container
dooc	hujjat	news
dood	munozara	debate
dooda	munozara	their
doodaan	bu dalil	camp
dooday	munozara	he argued
doodayaan	tortishib	contended:
doodday	munozara	doodday
doodeen	bahslashdi	disputed
doodi	munozara	they contend
doodo	munozara	debate
doofaar	cho&#39;chqa	doorfaar
doog	o&#39;t	grass
dooga	o&#39;t	grass
doogsin	zaiflashmoq	doogsin
doojey	maydalash	doojey
doollo	xamirturush	and doollo
doolo	ble	buttocks
doolow	qisqarish	dolow
doon	qayiq	will
doona	qidirmoq	will
doonaa	irodasi	will
doonaan	irodasi	will
doonaayey	qidirildi	poems
doonan	qidirmoq	there is
doonay	istalgan	he desired
doonaya	xohlamoq	want
doonayaa	xohlamoq	wanted
doonayeen	istalgan	he was badly mistreated
doonayo	xohlamoq	wants
dooneen	qidirildi	him
dooneyid	siz hohlaysiz	dooneyid
dooneysaa	siz hohlaysiz	want or need
doonin	qidirmoq	not
dooninna	izlanglar	dooninna
doonistii	istak	--
doonka	qayiq	the mineral
doonnaaye	biz .. qilamiz	wants
doonno	biz .. qilamiz	we
doono	irodasi	will
doonta	qayiq	will
doontaa	qidirmoq	will
doonto	irodasi	will
doonyaha	qayiqlar	boats
door	roli	role
dooranayay	saylash	dooranayay
dooranayeen	tanlash	dooranayeen
doorashada	tanlash	election
doorashadaas	bu tanlov	elected
doorashadan	bu variant	shall
doorashadii	saylov	election
doorasho	saylov	election
doorashooyin	saylovlar	elections
doorashooyinka	saylovlar	elections
doorashooyinkii	saylovlar	elections of
doorin	tanlamang	unalterable
dooriyee	yutmoq	dooriyee
doorka	roli	the role
doorkii	roli	doorkii
dooro	tanlang	choose
doorroone	afzalroq	doorroone
doorsamaye	men ochiq emasman	doordamaye
doorsan	tanlandi	response
doorshaane	tanlang	doorshaane
doortaa	tanlang	elect
doortay	tanlangan	chosen
doorteen	tanlangan	they chose
doorto	tanlang	choose
dooxa	vodiysi	the diarrhea
dooxada	vodiy	valley
dooxadii	vodiyda	had reached the valley
doqon	ahmoq	fool
doqonniimo	ahmoqlik	doqonniimo
dorraato	kim oshdi savdosi	day before yesterday
dowlad	hukumat	government
dowlada	hukumat	government
dowladaha	hukumatlar	governments
dowladahaas	o&#39;sha hukumatlar	dowladahaas
dowladda	hukumat	the government
dowladdii	hukumat	dowladdi
dowladeed	hukumat	government employee
dowladihii	hukumatlar	governments
dowladii	hukumat	the government
dowlado	hukumatlar	governments
dowladood	hukumatlar	governments
download	yuklab oling	download
dowr	dowr	run dry
dr	dr	dr
drs	drs	mrs drs.
du	du	onto
dubad	to&#39;rtburchaklar	dubad
dubai	dubay	dubai
ducaadda	duo	the religious sheikhs
ducada	ibodat	prayer
ducaynaa	biz ibodat qilamiz	keep on praying for
duceeyo	ibodat qiling	pray for
duco	marhamat	prayer
duduwan	sevgililar	many
dufowdoo	fuck	dufowdoo
dug	qazilgan	fall asleep
dugsi	maktab	school
dugsiga	maktabda	school
dugsigii	maktab	school
dugsiyada	maktablar	school
dugsiyo	maktablar	schools
dugulka	maktab	the dark item
duhur	peshin	noon
duhurkii	peshinda	at noon
dukaan	do&#39;kon	shop
dul	ustiga	on top
dulka	yuzasi	the nostril
dulli	sharmandalik	disgrace
dulliga	xo&#39;rlovchi	the calamity
dulmiga	zulm	the outrage
