$ tỉ	$ અબજ	$ billion
erwin	અર્વિન	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	આવશ્યક	essential
ethernet	ઇથરનેટ	ethernet
ethiopia	ઇથોપિયા	(proper noun) ethiopia
euclid	યુક્લિડ	euclid
eugene	યુજેન	eugene
eugène	યુગન	(proper noun) eugène
euler	યુલર	euler
euro	યુરો	euro, as in the european currency
eurofighter	યુરોફાયટર	eurofighter
europe	યુરોપ	europe
european	યુરોપિયન	(proper adjective) european
eva	ઇવા	eva
everton	એવરટન	everton
every	દરેક	every
exgay	exgay	exgay
explorer	સંશોધક	explorer
extensive	વ્યાપક	extensive
fabio	ફેબિઓ	(proper noun) fabio
facebook	ફેસબુક	(proper noun) facebook
fact	હકીકત	fact
facto	હકીકત	this is french not vietnamese
faifo	ફિફો	(proper noun) faifo
fao	ફાઓ	fao
farrell	farrell	farrell
faso	ફાસો	faso
fbi	એફબીઆઇ	fbi
fca	એફસીએ	fca
fdi	એફડીઆઈ	fdi
features	વિશેષતા	features
federer	ફેડરર	federer
feet	પગ	feet
felipe	ફેલિપ	felipe
felis	ફેલિસ	(proper noun) felis
felix	ફેલિક્સ	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ફર્ડિનાન્ડ	ferdinand
ferguson	ફર્ગ્યુસન	ferguson
fernando	ફર્નાન્ડો	fernando
ferrari	ફેરારી	ferrari
fiat	ફિયાટ	fiat
fidel	ફિડલ	fidel
field	ક્ષેત્ર	field
fifa	ફિફા	fifa
fifpro	ફિફટપ્રો	fifpro
figo	ફિગો	figo
fiji	ફીજી	fiji
finish	સમાપ્ત	finish
firefox	ફાયરફોક્સ	(proper noun) mozilla firefox
fischer	ફિશર	fischer, as in louis fischer
fish	માછલી	fish
fishbed	ફિશબેડ	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	ઉડતી	fleming
flight	ફ્લાઇટ	flight
foch	ફોચ	(proper noun) foch
focus	ધ્યાન કેન્દ્રિત	focus
foden	ઘાસચારો	(proper noun) foden, as in tom foden
fokker	ફોકર	fokker
food	ખોરાક	food
football	ફૂટબ .લ	bong da
forbes	ફોર્બ્સ	(proper noun) forbes, as in the magazine
ford	ફોર્ડ	(proper noun) ford
fordham	ફોરધામ	(proper noun) fordham
forks	કાંટો	forks
foundation	પાયો	foundation
fox	શિયાળ	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	નિખાલસ	franc
france	ફ્રાન્સ	france
frances	frances	frances
francis	ફ્રેન્કિસ	francis, as in francis xavier
francisco	ફ્રાન્સિસ્કો	francisco
franco	ફ્રેન્કો	franco
frank	સ્પષ્ટ	frank
frankfurt	લોબાન	(proper noun) frankfurt
franklin	નિખાલસ	franklin
franz	ફ્રેન્ઝ	(proper noun) franz, as in franz ritter
freud	ફ્રોઇડ	(proper noun) freud, as in sigmund freud
friedman	ફ્રાઇડમેન	friedman
fu	ફૂ	fu
fujiko	ફૂજિકો	fujiko, as in japanese writer fujiko fujio
fujimoto	ફ્યુજીમોટો	fujimoto
fukuoka	ફુકુઓકા	fukuoka
funimation	મનોરંજન	(proper noun) funimation
funk	ફંક	funk
futsal	ફુટસલ	futsal
fx	fx	fx
ga	ગા	station
gabon	ગેબન	gabon
gabriel	ગેબ્રેઇલ	gabriel
gabriella	ગેબ્રેલા	gabriella
gagarin	ગાગરિન	gagarin
gaia	ગૈઆ	gaia
gaillard	ગેલાર્ડ	gaillard
galilei	ગેલેલી	galilei
galileo	ગેલેલીઓ	galileo, the astronomer
gam	ગ્રામ	gam
gambia	ગેમ્બિયા	gambia
gamow	જુગાર	a name
gan	યકૃત	liver
gandhi	ગાંઠી	gandhi, as in mahatma gandhi
gang	ટોળી	cast iron
ganh	ઈર્ષ્યા	to be jealous
gao	ચોખા	strictly
gareth	ગેરેથ	a name
garrett	ગેરેટ	garrett
gary	ગેરી	gary
gascon	ગેસકોન	(proper noun) gascon, a dialect of france
gatt	ઘાટ	gatt
gaule	ગૌલ	gaul, a region in ancient western europe
gaulois	ગૌલોઇસ	gaulois
gay	ગે	tense
gaza	ગાઝા	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	જી.ડી.પી.	gdp
geisha	ગેશા	geisha
gen	જનીનો	gene
gene	જીન	(proper noun) gene, an english first name
genesis	ઉત્પત્તિ	(proper noun) genesis
georg	જ્યોર્જ	(proper noun) georg
george	જ્યોર્જ	george
georges	જ્યોર્જ	(proper noun) georges, a french name
gepard	gepard	gepard
ger	જંતુ	ger
gerais	ગેરાઇસ	(proper noun) gerais
gerhard	ગિરહાર્ડ	gerhard
german	જર્મન	german
germany	જર્મની	germany
gerrard	ગિરાર્ડ	gerrard, a last name
ghana	ઘાના	(proper noun) the african country of ghana
ghe	બોટ	canoe
ghen	ઈર્ષ્યા	to be jealous (v.)
ghi	લખો	write
ghim	પિન	pin
ghé	બંધ	visit
ghép	કલમ	fit
ghê	હ horરર	disgust
ghì	ભૂ	tighten
ghẻ	ખંજવાળ	scabies (n.)
ghế	ખુરશી	chair
ghề	રેપિડ્સ	scabby
ghềnh	રેપિડ્સ	waterfall (n.)
gia	જીઆ	date
giai	સ્ટેજ	period
giam	જેલ	imprison
gian	જગ્યા	"(term should be ""thời gian"") time (n.)"
giang	જીઆંગ	syphilis
gibraltar	જિબ્રાલ્ટર	(proper noun) gibraltar
gichin	ગિચિન	gichin
gieo	વાવણી	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ગિન્ઝાન	ginzan
gio	જીયો	wind
gioi	જીયો	world
giuliani	giuliani	giuliani
giun	કૃમિ	worm
giuse	જીયુઝ	giuse
giuộc	જીયોક	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	ગીઝા	giza
già	વૃદ્ધ	old (adj.)
giàn	ટ્રસ	"(term should be ""giàn hoa"") a trellis girder"
giành	આતુરતાથી	secure
giàu	શ્રીમંત	rich or wealthy (adj.)
giày	પગરખાં	a shoe
giá	કિંમત	estimate
giám	ડિરેક્ટર	"(term should be ""giám sát"") to supervise (v.)"
gián	વંદો	"(term should be ""gián tiếp"") indirectly"
giây	સેકન્ડ	seconds
giã	પાઉન્ડિંગ	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	પટ	stretch
gièm	અપમાનકારક	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	ઈસુ	jesus
giêxu	નેક્સસ	jesus
giò	વસંત રોલ્સ	leg
giòi	મેગ્ગોટ્સ	maggot (n.)
giòn	ભચડ - ભચડ અવાજવાળું	crunchy or crispy (adj.)
gió	પવન	wind
gióng	ગમે છે	align
giúp	મદદ	help
giũa	ફાઇલ	sharpen
giơ	જામ	raise
giương	ભડકવું	posture
giường	બેડ	bed
giả	બનાવટી	fake (adj.)
giải	સોલ્યુશન	solution
giảm	ઘટાડો	decrease
giản	સરળીકૃત	"(term should be ""giản dị"") simple (adj.)"
giấc	ઊંઘ	giấc ngủ= the sleep
giấm	સરકો	drabble
giấu	છુપાવો	hide
giấy	કાગળ	paper
giầu	શ્રીમંત	rich
giận	ગુસ્સો	angry
giằng	કૌંસ	pull
giặc	દુશ્મન	enemy
giặt	ધોવું	to wash (n.)
giếng	સારું	well
giết	મારવા	kill
giềng	પાડોશી	"(term should be ""láng giềng"") neighboring"
giễu	ઉપહાસ	ridicule
giọng	સ્વર	tone
giọt	છોડો	drop
giỏ	ટોપલી	basket
giỏi	મહાન	good
giồng	giong	mound
giỗ	પુણ્યતિથિ	anniversaries of deaths
giới	લિંગ	gender
giờ	કલાક	bao giờ=ever
giở	ફ્લેશ	to open or unfold (v.)
giỡn	મજાક	joke
giục	વિનંતી કરી	urge
giữ	પકડી રાખવું	hold
giữa	વચ્ચે	between
gladys	ગ્લેડીઝ	gladys
glazer	ગ્લેઝર	glazer
glonass	ગ્લોનસ	glonass
gloria	ગ્લોરીયા	gloria
gloster	ગ્લોસ્ટર	(proper noun) gloster, as in gloster meteor
glucose	ગ્લુકોઝ	glucose
gmail	gmail	gmail
gnp	જી.એન.પી.	gnp
go	જાઓ	"(term should be ""gay go"") tense"
goes	જાય છે	goes
goku	ગોકુ	goku
golden	સોનેરી	golden
gom	એકત્રિત કરો	to gather (v.)
google	ગૂગલ	google
gorbachev	ગોર્બાચેવ	gorbachev
gorbachyov	ગોર્બાચ્યોવ	gorbachev, as in former soviet president mikhail gorbachev
gordon	ગોર્ડન	gordon, as in gordon brown
gore	ગોર	gore
gorky	ગોર્કી	gorky, as in gorky park
gothic	ગોથિક	gothic
gottfried	ગેટફ્રાઈડ	gottfried
grabeel	ગ્રેબીલ	grabeel, a last name
graham	ગ્રેહામ	graham
granada	ગ્રેનાડા	granada
granit	ગ્રેનાઇટ	granite
greek	ગ્રીક	(proper noun) greek
greenland	ગ્રીનલેન્ડ	greenland
greenson	ગ્રીન્સન	(proper noun) greenson
greenwich	ગ્રીનવિચ	(proper noun) greenwich
greg	ગ્રેગ	greg
grenada	ગ્રેનેડા	grenada
grenadines	ગ્રેનેડાઇન્સ	grenadines
gross	કુલ	gross
grumman	ગ્રુમમેન	(proper noun) grumman
gruzia	જ્યોર્જિયા	gruzia
gryffindor	ગ્રિફાઇન્ડર	gryffindor
gs	જી.એસ.	prof.
gsts	જંગલો	professor- phd
gu	પ્રકાર	gu
guam	ગુઆમ	guam
guard	રક્ષક	guard
guatemala	ગ્વાટેમાલા	guatemala
gui	ગુઆ	gui
guinea	ગિની	guinea
guinness	ગિનિનેસ	(proper noun) guinness
guitar	ગિટાર	guitar
gujarat	ગુજરત	gujarat
gulag	ગુલાગ	gulag
gulf	ગલ્ફ	gulf
gullit	ગુલિટ	(proper noun) gullit
gundam	ગુંડમ	(proper noun) gundam
gunung	ગુંંગ	(proper noun) gunung
gustave	ગુસ્તાવે	gustave
gutenberg	ગુટેનબર્ગ	gutenberg
guyana	ગાયના	guyana; proper noun
gà	ચિકન	chicken
gài	ટક	to fasten (v.)
gào	ચીસો પાડી	"(term should be ""thét gào"") to cry out (v.)"
gác	રક્ષક	guard
gái	છોકરી	girl
gán	સોંપો	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	વહન	hold
gáy	નેપ	crow
gân	બંધ	tendon
gây	કારણ	make
gãy	તૂટી	break
gì	શું	what
gìn	સાચવો	preserve
gò	ટેકરી	"(term should be ""gò má"") cheekbone (n.)"
gòn	જીન	gon
góa	વિધવા	widowed
góc	ખૂણા	angle
gói	પેકેજ	goi
góp	હપતો	to contribute
gót	હીલ	heels
gõ	પ્રકાર	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	સંગ્રહ	poniard
găng	મોજા	gloves
gũi	બંધ	close
gươm	તલવાર	sword
gương	અરીસો	mirror
gạc	જાળી	johnson south reef
gạo	ચોખા	rice
gạt	ફાડી નાખ્યું	to cheat or trick (v.)
gả	લગ્ન	marry
gảy	વિરામ	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	ગાક	gac
gấm	બ્રોકેડ	brocade
gấp	ઉતાવળ કરવી	times, as in many times
gấu	ભાલુ	a bear (n.)
gần	નજીક	near
gầy	પાતળા	thin
gẫy	તૂટી	break
gập	ગણો	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	લાકડી	stick
gắm	પાદ	send
gắn	માઉન્ટ થયેલ	mount
gắng	પ્રયાસ કરો	try
gắt	કઠોરતાથી	intense
gặm	ડૂબવું	rodent
gặp	મળવું	meet
gặt	લણણી	harvest
gỉ	કાટવાળું	rust
gọi	ક callલ કરો	call
gọn	સુઘડ	neat (adj.)
gọng	રિમ્ડ	gong
gọt	છાલ	cut
gỏi	કચુંબર	a vietnamese salad
gốc	મૂળ	origin (n.)
gối	ઓશીકું	"(should be ""qùy gối"") to kneel"
gốm	સિરામિક	pottery
gồm	સહિત	include
gồng	ગોંગ	carry
gỗ	લાકડું	wood
gội	શેમ્પૂ	shampoo
gộp	મર્જ	aggregate
gớm	ઘૃણાસ્પદ	tremendous
gờ	છાજલી	edge
gởi	મોકલો	send
gỡ	અનલોડ	meet
gợi	સૂચક	to evoke (v.)
gục	નીચે	"(term should be ""đánh gục"") crush, as in battle"
gừng	આદુ	ginger
gửi	મોકલવું	send
ha	ha	hectare
habana	હબાના	(proper noun) habana
habsburg	હેબ્સબર્ગ	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	બે	two (adj.)
hal	હlલ	hal
halle	અવરોધ	(proper noun) halle
halogen	હેલોજન	halogen (n.)
ham	હેમ	desire
hamilton	હેમિલ્ટન	(proper noun) hamilton
han	હેન	han
hang	ગુફા	cave
hangul	હંગુલ	hangul
hanh	hanh	hanh
hanja	હંજા	(proper noun) hanja, a type of chinese script
hansen	હેન્સન	hasnen
hao	હા	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	હેરાલ્ડ	harald
hardy	સખત	hardy
harlem	હાર્લેમ	harlem
harlow	હાર્લો	harlow
harold	પાક	(proper noun) harold
harper	હાર્પર	harper
harpercollins	હાર્પરકોલિન્સ	hapercollins
harrier	હેરિયર	harrier, as in harrier jump jet
harris	હેરિસ	harris
harry	હેરી	harry
harvard	હાર્વર્ડ	(proper noun) harvard, the name of a college
harvey	હાર્વે	harvey
havana	હવાના	(proper noun) havana, cuba
havilland	હાવિલેન્ડ	havilland
hawker	હwકર	hawker
hawking	હwકિંગ	(proper noun) hawking, as in physicist stephen hawking
hay	સારું	or
hb	એચબી	hb
hbv	એચબીવી	hbv
hcl	એચસીએલ	hcl
hd	એચડી	activity
he	તેમણે	he, a korean name
health	આરોગ્ય	health
heath	આરોગ્ય	heath
hee	હી	hee
hegel	હેગલ	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	હેનરિક	heinrich
helen	હેલેન	helen
helena	હેલેના	helena
heli	હિલીયમ	helium
hematocrit	હિમેટ્રોકિટ	hematocrit
hemoglobin	હિમોગ્લોબિન	hemoglobin
hen	મરઘી	asthma
henry	હેનરી	(proper noun) henry, as in henry kissinger
heo	વાસી	dolphin
her	તેણીના	her
herbert	હર્બર્ટ	herbert, as in herbert schandler
hercegovina	હર્સીગોવિના	hercegovina
hercules	હર્ક્યુલસ	hercules
hermann	હર્મેન	hermann
hermes	હોમેરિક	hermes
hersh	કઠોર	hersh, as in seymour hersh
hesiod	સંકોચ	hesiod
hestia	ખચકાટ	hestia
hi	હાય	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	હિકમ	(proper noun) hickam
hicks	હિક	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	હિડ્યોશી	(proper noun) hideyoshi
hidro	હાઇડ્રોજન	hydrogen
hillsborough	હિલ્સબોરો	hillsborough
hilton	હિલ્ટન	hilton
himalaya	હિમાલય	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	હિંદનબર્ગ	(proper noun) hindenburg
hindi	હિન્દી	hindi
hindu	હિન્દુ	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	હીરાગના	hiragana
hiroshi	હિરોશી	hiroshi
hiroshima	હિરોશિમા	(proper noun) hiroshima, the japanese city
hitchcock	હિચકોક	hitchcock
hitler	હિટલર	hitler
hitter	hitter	hitter
hitters	હિટર્સ	hitters
hiên	મંડપ	(proper noun) hiên, a vietnamese first name
hiđrô	હાઇડ્રોજન	hydrogen
hiếm	દુર્લભ	rare
hiến	આપો	devote
hiếp	બળાત્કાર	rape
hiếu	ફાઇલિયલ ધર્મનિષ્ઠા	pious
hiềm	બીમાર	grudge
hiền	.ષિ	sage
hiểm	ખતરનાક	dangerous
hiểu	સમજવું	learn
hiện	બતાવી દેવું	"(term should be ""thực hiện"") to accomplish"
hiệp	અડધા	united
hiệu	અસર	effective
hlv	કોચ	trainer
hms	એચએમએસ	hms
hmông	hmong	hmong
hn	એચ.એન.	hn
hoa	ફૂલ	flower
hoan	ઉત્સવ	welcome
hogwarts	હોગવર્ટ્સ	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	હોઇ	rare
hokage	હોકેજ	hokage
hokusai	હોકુસાઈ	hokusai
holmes	હોમ્સ	a name
holocaust	હોલોકોસ્ટ	holocause
holocen	હોલોસીન	holocen
holt	હoltલ્ટ	holt, an english last name
hom	કાપવા	a cutting
homer	હોમર	(proper noun) homer, the authorof the iliad and the odyssey
hon	માન	"(term should be ""hòn"") rock (n.)"
honduras	હોન્ડુરાસ	honduras
hong	હોંગ	hong
honolulu	હોનોલુલુ	honolulu
honshū	honshū	honshu
hopkins	હોપકિન્સ	(proper noun) hopkins
hornet	શિંગડા	hornet
hotspur	હોટસ્પર	(proper noun) hotspur, as in tottenham hotspur
houston	હ્યુસ્ટન	(proper noun) houston, as in whitney houston
howard	હોવર્ડ	(proper noun) howard
however	જોકે	however
hoà	ટાઇ	peace
hoài	ગમગીની	always (adv.)
hoàn	પૂર્ણ	"(term should be ""hoàn toàn"") completely"
hoàng	રાજા	royal (adj.)
hoành	ડાયાફ્રેમ	rife
hoá	રસાયણશાસ્ત્ર	"(term should be ""văn hoá"") culture (n.)"
hoán	પરમ	refined (adj.)
hoãn	તેઓ ખાય છે	delay
hoạ	પેઇન્ટ	disaster (tham hoa)
hoại	ગેંગ્રેન	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	હેન્ટાઇ	work
hoả	આગ	of
hoảng	ગભરાટ	panic-stricken (adj.)
hoặc	અથવા	or
hp	એચપી	hp
hq	ચો.મી.	hq
hudgens	હજિન્સ	(proper noun) hudgens
hudson	હડસન	hudson
huey	હ્યુએ	huey
hughes	hughes	hughes
hugo	હ્યુગો	(proper noun) hugo
hume	હમ	hume, as in david hume
hun	હં	(proper noun) hun
hungary	હંગારી	hungary
hunt	શિકાર	hunt
hurley	હર્લી	(proper noun) hurley, as in chad hurley
hussein	હસીન	hussein
husserl	હ્યુસેરલ	huserl
huston	હસ્ટન	huston
hutech	હ્યુટેક	hutech
huy	હાય	a common vietnamese first name
huynh	ભાઈ	older brother
huyền	રહસ્યવાદી	huyền thoại= legend
huyễn	ભ્રામક	huyen
huyện	જીલ્લો	district
huyệt	એક્યુપંકચર પોઇન્ટ	lair
huân	હ્યુઆન	"(term should be ""huân chương"") medal (n.)"
huê	હ્યુ	"a less common vietnamese word for ""flower"""
huấn	તાલીમ	"(term should be ""huận luyện"") to train (v.)"
huế	હ્યુ	hue
huệ	હ્યુ	favour
huống	કેસ	situation
huỳnh	સલ્ફર	sulfur
huỷ	રદ કરો	destroy
hydra	હાઇડ્રા	hydra, a monster in greek mythology
hydro	હાઇડ્રોજન	hydrogen
hyperion	હાયપરિયન	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	ક comeમેડી	corpse
hàm	જડબાના	"(term should be ""bao hàm"") to imply (v.)"
hàng	પંક્તિ	row
hào	ખાઈ	depreciation
hách	ગભરામણ	glorious
hái	ચૂંટો	picking
hán	દુકાળ	china
háo	આતુર	eager
hát	ગાઓ	song
hâm	પાગલ	"(term should be ""hâm mộ"") to admire (v.)"
hân	હેન	le ngoc han
hãi	ભયભીત	to be scared (v.)
hãn	ખાન	to sweat (v.)
hãng	પેઢી	a company (n.)
hãnh	ગર્વ	proud
hè	ઉનાળો	summer
hé	તિરાડ	reveal
héo	મરી જવું	dried-out
hét	ચીસો	shout
hên	નસીબદાર	luck
hí	ને	game
hít	શ્વાસ	act of kissing (hon hit)
hò	ડેટિંગ	date
hòa	ટાઇ	republic
hòe	છી	hoe
hòm	વહાણ	box
hòn	ટાપુ	island
hòng	સારું	in order to
hóc	હેક	a corner (n.)
hót	ગાઓ	to chirp or sing (v.)
hô	હો	respiration
hôi	ફાઉલ	stink
hôm	દિવસ	day (n.)
hôn	ચુંબન	propose
hông	હિપ	hip
hù	બીક	threaten
hùng	નાયકો	hero
húc	ગોર	huc
húng	પ્રેરણા	"(should be ""húng láng"") water mint"
hút	ધૂમ્રપાન	to suck (v.)
hăng	તીક્ષ્ણ	enthusiasm
hđbt	hđbt	hdbt
hđh	હđહ	system software
hũ	બરણીઓની	jar
hơi	થોડુંક	slightly
hơn	કરતાં	more or less
hư	ખરાબ	fictional
hưu	નિવૃત્ત	huu
hương	ધૂપ	smell
hước	રમૂજી	humor
hướng	દિશા	trend
hường	હ્યુંગ	huong
hưởng	આનંદ	influence
hạ	ઉનાળો	lower
hạc	ફ્લેમિંગો	crane
hạch	ગેંગલીયન	ganglion
hại	નુકસાન	harm
hạng	વર્ગ	rank
hạnh	હં	happy
hạo	હાઓ	hao
hạp	હાફ	hap
hạt	બીજ	seed
hải	રિવાજો	two
hảo	સંપૂર્ણ	perfect
hấn	હấન	aggressive gesture
hất	ઘસવું	toss
hấu	તરબૂચ	"(term should be ""dưa hấu"") watermelon"
hầm	ટનલ	ham
hầu	લગભગ	most
hận	નફરત	hatred
hậu	રાણી	anus
hắc	કાળો	black
hắn	તેને	he (n.)
hắt	છીંક	reject
hằng	સતત	every
hặc	હેક	to criticize (v.)
hẹ	shallots	chinese chives
hẹp	સાકડૂ	narrow
hẻm	એલી	alley (n.)
hẻo	એકાંત	outback
hến	મસલ	mussel
hết	ઉપર	most
hề	જોકરો	"(term should be ""không hề"") never"
hễ	એહ	whenever
hệ	સિસ્ટમ	relation
hệt	સમાન	exactly
hỉ	તમાચો	happy
hịch	થડ	a proclamation
họ	અટક	they (n.)
họa	કલા	picture
họach	યોજના	"(term should be ""quy hoạch"") a project (n.)"
học	શીખો	study (v.)
họng	ગળું	throat
họp	બેઠક	meet
hỏa	આગ	fire
hỏng	તૂટી	corruption
hố	ખાડો	hole
hốc	વિશિષ્ટ	cavity
hồ	તળાવ	ho
hồi	વરિયાળી	muslim
hồn	આત્મા	soul
hổ	વાઘ	tiger
hổi	હુ	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	અંતર	hole
hỗ	આધાર	"(should be ""hỗ trợ"") to support or assist"
hỗn	મિશ્રિત	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	તહેવાર	society
hộp	બ .ક્સ	box
hới	ખુલ્લા	hoi
hớn	ચીસો પાડી	"(term should be ""hớn hở"") radiant (adj.)"
hờn	નમ્ર	hatred
hở	ખુલ્લા	reveal
hỡi	ઓઆઈ	dear
hợi	પિગ	pig (n.)
hợp	સારી રીતે અનુકૂળ	appropriate
hợpquận	સંમતિ	general district
hụt	ખોટ	loss
hủi	રક્તપિત્ત	reject
hủy	રદ કરો	to erase or destroy
hứa	વચન	promise
hử	હહ	hu
hửu	હહ	"(term should be ""sở hửu"") to own (v.)"
hữu	મિલકત	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	હુ	again
hỷ	હાય	hy
ian	આયન	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	આઇબેરિયા	iberia
ibm	આઇબીએમ	(proper noun) ibm, the computer company
ibmpc	આઇબીએમપીસી	ibm-pc
ic	આઈ.સી.	ic
icc	આઈ.સી.સી.	icc
iceland	આઇસલેન્ડ	(proper noun) the country of iceland
ide	આદર્શ	ide
ieng	ieng	(proper noun) ieng
igor	આઇગોર	igor
iii	iii	third
ilene	ઇલેન	ilence
illusion	ભ્રાંતિ	illusion
ilyich	ઇલીચ	ilyich
im	હું છું	still
imam	ઇમામ	(proper noun) imam
imbrium	અસંતુષ્ટ	imbriun
immanuel	ઇમેન્યુઅલ	(proper noun) immanuel, as in immanuel kant
impact	અસર	impact
incoterm	ઇનકોટર્મ	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	ભારતીય	indian
indiana	ઇન્ડિયાના	indiana
indochina	ઇન્ડોચાઇના	indochina
indonesia	ઇન્ડોનેશિયા	indonesia
indrapura	ઇન્દ્રપુરા	(proper noun) indrapura
info	માહિતી	info
innsbruck	ઇન્સબ્રુક	innsbruck
insulin	ઇન્સ્યુલિન	insulin
int	પૂર્ણાંક	int
intel	ઇન્ટેલ	(proper noun) intel, as in the name of the company
interpol	ઇન્ટરપોલ	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	આયન	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	ઇરાન	the nation of iran
iraq	ઇરાક	iraq
ireland	આયર્લેન્ડ	ireland
irgun	ઇર્ગન	irgun
irony	વક્રોક્તિ	irony
irving	ઇર્વીંગ	(proper noun) irving
isaac	ઇસએક	isaac
isla	ઇસ્લા	isla
islam	ઇસ્લામ	islam
islamabad	ઇસ્લામાબાદ	(proper noun) islamabad
israeli	ઇસરાયેલી	israeli
istanbul	ઇસ્તનબુલ	istabbul
italia	ઇટાલિયા	italy
italiano	ઇટાલિયન	(proper noun) italiano
itanium	ઇટાનિયમ	itanium, as in windows xp itanium
ito	તે	ito
itsukushima	itukushima	itsukushima
itu	ઇટુ	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	ઇવામી	iwami
j	j	j
jack	જેક	jack
jackie	જેકી	(proper noun) jackie chan
jackson	જેકસન	(proper noun) jackson, as in michael jackson
jacob	જેકોબ	jacob
jae	jae	jae
jakarta	જકાર્તા	(proper noun) jakarta
jan	જાન	(proper noun) jan
janeiro	જાનેરો	janeiro
janet	જેનેટ	janet
japan	જાપાન	japan
jared	jared	jared
jarvis	જર્વિસ	(proper noun) jarvis, as in jarvis cocker
jasper	જાસ્પર	(proper noun) jasper
jean	જીન	jean
jeane	જીન	jeane
jeanjacques	જેન્જાક્ક્સેસ	jean-jacques
jeanpaul	જીનપૌલ	jeanpaul
jeans	જીન્સ	jeans
jeet	જીત	(proper noun) jeet, as in jeet kune do
jeff	જેફ	jeff, as in jeff drake
jefferson	જેફરસન	jefferson
jeffrey	જેફ્રે	jeffrey
jeju	જેજુ	jeju
jenda	jenda	jenda
jenny	જેની	jenny
jericho	જેરીકો	jericho, as in wrestler chris jericho
jerome	jerome	jerome, as in fred jerome
jerry	જેરી	(proper noun) jerry
jersey	જર્સી	jersey
jerusalem	જેરુસલેમ	jerusalem
jesse	જેસી	a name
jesus	ઈસુ	chua jesus
jetstar	jetstar	jetstar
jewish	ઈર્ષ્યા	jewish
jiao	jiao	jiao
jimmy	જીમી	jimmy
jin	જિન	jin
jing	જિંગ	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	જોઆચિમ	joachin
joan	જોન	a name
joe	જ.	(proper noun) joe
johan	જોહાન	johan
johann	જોહ્ન	johann
johannes	જોહાન્સ	johannes
johannesburg	જોહાનિસબર્ગ	(proper noun) johannesburg, south africa
johnny	જોહની	johnny
johns	જોહન્સ	johns
johnston	જોહન્સ્ટન	johnston, as in harry johnston
johor	જોહોર	johor
joint	સંયુક્ત	joint
jonathan	જોનાથન	(proper noun) jonathan
jones	જોન્સ	jones
jose	જોસ	(proper noun) jose, a spanish first name
joseon	જોઝન	(proper noun) joseon
joseph	જોસેફ	joseph
jscript	jscript	(proper noun) jscript
juche	જુચે	(proper noun) juche
judith	જુડિથ	judith
judo	જુડો	judo, the martial art
julesverne	juleverne	jules verne
julliard	જુલીયાર્ડ	(proper noun) julliard
jump	કૂદી	jump
june	જૂન	june, as in the month
jung	જંગ	jung
junsu	જંસુ	junsu
jupiter	ગુરુ	(proper noun) jupiter, as in the planet
jura	જુરા	(proper noun) jura
juventus	જુવેન્ટસ	juventus
k	કે	k
kaede	કાડે	a japanese name
kaffee	કાફી	(proper noun) kaffee, as in kaffee hag
kagome	કાગોમે	kagome, as in higurashi kagome
kahn	કાહ્ન	kahn
kai	કાઈ	kai
kakashi	કાકાશી	kakashi
kaká	કાકા	(proper noun) kaka, a brazilian soccer player
