$	dollar təşkil edib	a sign of doller
કભી	heç vaxt	sometime [hindi word]
કમ	cum	to come
કમપ્યૂટર	kompüter	computer
કમર્શિયલ	kommersiya	commercial
કમલ	lotus	lotus
કમળ	lotus	lotus
કમાણી	qazanc	earning
કમાન	arch	control
કમિટી	komitə	committee
કમિશનર	müvəkkil	commissioner
કમ્પ્યુટર	kompüter	computer
કમ્પ્યુટરની	kompüterdən	of the computer
કમ્પ્યુટરને	kompüterə	to computer
કમ્પ્યુટરમાં	kompüterdə	in computer
કમ્પ્યૂટર	kompüter	computer
કયા	hansı	which
કયામત	qiyamət günü	day of judgement
કયારેક	bəzən	rarely
કયો	hansı	which
કર	vergi	tax
કરણ	karan	hardening
કરતા	daha çox	doing
કરતાં	daha çox	more than
કરતી	etmək	doing
કરતું	etmək	doing
કરતે	edir	do
કરતો	etmək	doing
કરના	karna	tax
કરનાર	i̇façı	doer
કરનારને	təqsirkara	violator
કરનારા	qapıçılar	starting to begin
કરને	vergiyə	doing
કરમચંદ	karamchand	karmchand
કરમસદ	kərəmsəd	karamsad
કરવા	etmək	doing
કરવાં	etmək	to do
કરવાથી	etmək	doing
કરવાના	etmək	to do
કરવાની	etmək	to be done
કરવાનું	etmək	doing
કરવાને	etmək	doing
કરવાનો	bacarır	make
કરવામા	bitdi	doing
કરવામાં	bitdi	doing
કરવી	etmək	doing
કરવું	etmək	to make
કરવેરા	vergi	tax
કરવો	etmək	doing
કરશે	olacaq	will do
કરાઈ	bitdi	done
કરાતા	karata	doing
કરાય	bitdi	doing
કરાયા	keçirilmiş	were done
કરાયું	düşdü	was done
કરાયેલ	bitdi	done
કરાયેલા	bitdi	done
કરાયેલી	bitdi	to be done
કરાયો	bitdi	was done
કરાર	razılaşma	agreement
કરારમાં	razılaşmaq olar	pact
કરાવતા	hazırlanmaq	did
કરાવવાની	etmək	done
કરાવવામાં	keçirilmiş	doing
કરાવી	keçirilmiş	by getting done
કરાવીને	etməklə	giving
કરાવે	bitirin	makes
કરાવ્યા	həyata keçirilən	made done
કરાવ્યું	keçirilmiş	made it
કરાવ્યો	keçirilmiş	to be done
કરી	curry	did
કરીએ	gəl edək	doing
કરીને	tərəfindən	by doing
કરીશું	olmalıdır	will do
કરું	rəngləmək	doing
કરુણ	faciəli	bad/pity
કરે	edir	do
કરેલ	bitdi	the
કરેલા	bitdi	done
કરેલાં	bitdi	work
કરેલી	bitdi	did
કરેલું	bitdi	done
કરેલો	bitdi	did
કરો	xahiş edirəm	doing
કરોડ	crore	crore (1 crore = 10 millions)
કરોડ઼	crore	crore
કરોડો	milyonlarla	ten millions
કર્ણ	diaqonal	karna  (a character in mahabharata)
કર્ણના	diaqonaldan	karna's
કર્ણને	diaqonala	to karan
કર્ણાટક	karnataka	karnataka
કર્તવ્ય	vəzifə	duty
કર્તાઓને	etibar edənlərə	nominators
કર્મ	karma	duty
કર્મચારી	i̇şçi	employee
કર્મચારીઓ	i̇şçilər	staff-members
કર્મો	əməllər	work
કર્યા	sahib olmaq	did
કર્યાં	etdi	did
કર્યુ	etdi	did
કર્યું	etdi	did
કર્યો	etdi	did
કલંક	stiqma	stigma
કલકત્તા	kalkutta	culcatta
કલકત્તામાં	kalkuttada	in calcutta
કલમ	məqalə	pen
કલર	rəng	color
કલા	i̇ncəsənət	art
કલાઓં	i̇ncəsənət	arts
કલાક	saatlar	hour
કલાકાર	rəssam	artist
કલાકારો	rəssamlar	artists
કલાકે	saatda	at hour
કલાકો	saatlar	hours
કલાત્મક	bədii	artistic
કલાપી	kalapi	kalapi
કલાપીએ	kalapi	by kalapi
કલાપીની	kalapini	kalap's
કલામ	kalam	kalam
કલામાં	sənətdə	in art
કલેક્ટર	kolleksiyaçı	collector
કલેક્શન	kolleksiya	collection
કલ્ચર	mədəniyyət	culture
કલ્પના	təsəvvür edin	imagination
કલ્પિત	i̇nanılmaz	imaginary
કલ્યાણ	rifah	welfare
કળશ	kalaş	rounded pinnacle at the top of temple
કળા	i̇ncəsənət	art
કળામાં	sənətdə	in art
કવચ	qalxan	armour
કવરેજ	əhatə dairəsi	coverage
કવિ	şair	poet
કવિએ	şair	by the poet
કવિઓ	şairlər	poets
કવિઓએ	şairlər	poet
કવિઓની	şairlərdən	of poets
કવિતા	şeir	poem
કવિતાઓ	şeirlər	poems
કવિતાના	şeirdən	poem's
કવિતાની	şeirdən	of the poem
કવિતાને	şeirə	poem
કવિતામાં	şeirdə	poetic
કવિની	şair	poet
કવોન્ટમ	kvant	quantum
કશું	heç nə	nothing
કશ્મીર	kəşmir	city name
કશ્મીરી	kəşmir	kashmiri
કષ્ટ	çətinlik	pain
કસ્ટમ	xüsusi	custom
કસ્તુરબા	kasturba	kasturba
કહા	- dedi	said
કહી	deyin	telling
કહીં	deyin	where
કહીએ	deyək	say
કહીને	deyir	told
કહું	mən deyirəm	say
કહે	deyir	is called
કહેતા	deyir	said
કહેવા	demək	say / tell
કહેવાતા	sözdə	so called
કહેવાતી	sözdə	said
કહેવાતું	sözdə	said
કહેવાતો	sözdə	proverbs
કહેવાથી	deyir	guided
કહેવામાં	çağırıldı	in saying
કહેવાય	çağırıldı	known
કહેવાયા	çağırıldı	known
કહેવાયું	- dedi	said
કહેવું	demək	to say
કહો	deyin	say
કહ્યુ	- dedi	said
કહ્યું	- dedi	said
કહ્યુકે	- dedi	said that
કા	ka	of
કાં	harada	either
કાંઇ	heç nə	nothing
કાંઈ	heç nə	nothing
કાંકરિયા	kankaria	kankariya
કાંગ્રેસ	konqres	congress
કાંઠે	sahildə	bay
કાઉન્ટિ	şəhristanı	county
કાઉન્ટી	şəhristanı	county
કાઉન્સિલ	şura	council, ,
કાઉન્સીલ	şura	council
કાક	kak	kak
કાકા	əmi	uncle
કાચી	xam	raw
કાચો	xam	raw
કાઢવા	çıxarmaq üçün	removal
કાઢવાની	çıxarış	removing
કાઢવામાં	çıxarılır	extracted
કાઢી	silin	removed
કાઢીને	silindi	by getting out
કાઢે	biçmək	brings out
કાઢ્યા	atəş	taken
કાઢ્યું	çıxarılır	took off
કાઢ્યો	silindi	removed
કાન	qulaqlar	kahn
કાનપુર	kanpur	city name
કાનૂન	qanun	law
કાનૂની	qanuni	legal
કાપડ	bezi	cloth
કાપડિયા	kapadia	kapadia
કાપી	kəsmək	cut
કાફે	kafe	cafe
કાબુ	artıq	control
કામ	i̇şləyin	work
કામકાજ	chores	work
કામગીરી	əməliyyat	work
કામગીરીમાં	əməliyyatda	working / operation
કામચલાઉ	müvəqqəti	temporary
કામદારો	i̇şçilər	workers
કામના	i̇şdən	wish
કામમાં	i̇ş yerində	in the work
કામસૂત્ર	kama sutra	kama shutra
કામે	i̇ş yerində	work
કાયદા	qanunlar	laws
કાયદાઓ	qanunlar	law
કાયદાના	qanunun	of the law
કાયદાનું	qanunun	realted to law
કાયદાનો	qanunun	of law, law's
કાયદેસર	qanuni	legally
કાયદેસરની	qanuni	of legal
કાયદો	qanun	law
કાયમ	əbədi	always
કાયમી	daimi	permanent,
કાર	maşın	free manual service of god
કારકિર્દી	karyera	career
કારકિર્દીની	karyera	of the career
કારણ	səbəb	reason
કારણકે	çünki	reason
કારણથી	çünki	because of
કારણભૂત	səbəb	to be responsible for
કારણે	ödəniş	reason/because
કારણો	səbəbləri	reasons
કારણોસર	bir səbəbə görə	for the reasons of
કારતક	kartak	kaartak
કારભાર	i̇darəetmə	handling / management / administration
કારીગર	sənətkar	craftsman / worker
કારીગરી	sənətkarlıq	workmanship
કારોબાર	biznes	business
કાર્ડ	kart	card
કાર્બન	karbon	carbon
કાર્ય	funksiya	job
કાર્યકારી	i̇craçı	working / acting
કાર્યકાળ	mülkiyyət	tenture
કાર્યક્રમ	proqram	program
કાર્યક્રમના	proqramın	of the program
કાર્યક્રમની	proqramın	of the program
કાર્યક્રમમાં	proqramda	founction
કાર્યક્રમો	proqramlar	programs
કાર્યક્રમોમાં	tətbiqlərdə	in programmes
કાર્યક્ષમ	səmərəli	efficiency
કાર્યક્ષમતા	səmərəlilik	capability
કાર્યને	i̇şləmək	to the work
કાર્યભાર	i̇ş yükü	to be in office
કાર્યમાં	i̇ş yerində	in the work
કાર્યરત	i̇şləyir	active
કાર્યવાહી	proseslər	action
કાર્યાલય	ofis	office
કાર્યો	funksiyaları	works
કાર્લ	carl	carl
કાલ	sabah	kaal
કાલા	qara	black [hindi - urdu word]
કાલાવડ	kalavad	kalavad
કાલિદાસ	kalidalar	"author ""kalidas"""
કાલ્પનિક	fantaziya	imagination
કાળ	dövr	time/tense
કાળક્રમે	əlavə vaxt	passing time
કાળજી	qayğı	care
કાળથી	qədimdən bəri	since the time
કાળના	zamanın	period, here time period of pasts
કાળની	zamanın	time
કાળમાં	vaxtında	in the times
કાળા	qara	black
કાળિયાર	antilop	blackbuck
કાળી	qara	black/dark
કાળો	qara	black
કાવ્ય	şeir	poem
કાવ્યસંગ્રહ	antologiya	poem collection
કાવ્યો	şeirlər	poems
કાશી	kashi	kashi
કાશીના	kaşinin	of kashi
કાશ્મિર	kəşmir	kashmir
કાશ્મીર	kəşmir	city name
કિ	kiloqram	of
કિંગ	kral	king
કિંગડમ	krallığı	kingdom
કિંગડમના	krallığın	kingdom,
કિંગડમની	krallığın	kingdom's
કિંગડમમાં	padşahlıqda	kingdom,
કિંગડમે	krallığı	kingdom is
કિંગ્ડમ	krallığı	kingdom
કિંમત	qiyməti	cost
કિંમતો	qiymətlər	prices
કિએ	kie	doing
કિગ્રા	kiloqram	k.g.
કિનારા	sahil	shore
કિનારે	sahildə	on the shore
કિનારો	sahil	shore
કિમિ	km	kili meter
કિમી	km	kilometer
કિયા	kia	done
કિયે	kiye	did [hindi word]
કિરણો	şüalar	waves / lights
કિરણોત્સર્ગ	radiasiya	ultraviolet radiation
કિરણોત્સર્ગી	radioaktiv	radioactive
કિલોમીટર	kilometrlər	kilometer
કિલ્લા	qala	forts
કિલ્લાની	qalanın	of fort
કિલ્લાનો	qalanın	fort
કિલ્લામાં	qalada	castle
કિલ્લો	qala	fort
કિશોર	yeniyetmədir	youth
કિસી	biri	someone [hindi word written in gujarati script]
કિસ્સાઓમાં	davalar	cases
કિસ્સામાં	halda	in the event of
કી	açar	key
કીમી	km	kilometers
કીમીના	kimina	at kilometers
કુ	xanım.	mr.
કુંડ	gölet	pond
કુંડમાં	hovuzda	vat / pool
કુંતી	kunti	kunti
કુંતીએ	kunti	by kunti
કુંભ	dolça	aquarius
કુછ	bəziləri	some [hindi word]
કુટુંબ	ailə	family
કુટુંબના	ailənin	family member
કુટુંબની	ailənin	of family
કુટુંબો	ailələr	families
કુદરત	təbiət	natural
કુદરતી	təbii	natural
કુબેર	kuber	kubera
કુમાર	qumar	kumar
કુમારપાળ	kumarapala	kumarpal
કુમારપાળે	kumarapala	by kumarpal
કુમારો	oğlanlar	kumars
કુરાન	quran	quran
કુરાનમાં	quranda	in quran
કુરુ	kuru	kuru[kshetra] [name of a place]
કુરુક્ષેત્ર	kurukshetra	kurukshetra
કુરુક્ષેત્રના	kurukshetra&#39;dan	of kurukshetra
કુલ	ümumi	total
કુળ	klan	breed
કુળદેવી	kuladevi	diety of family
કુળના	klan	clan
કુળનો	klan	lineage
કુશળ	bacarıqlı	skilled
કુશળતા	bacarıqlar	mastery / skill
કુસ્તી	güləş	wrestling
કૂચ	mart	march
કૂલીંગ	soyutma	cooling
કૃત	yaradilib	carried out
કૃતિ	şah əsəri	art
કૃતિઓ	i̇şləyir	creations
કૃતિઓમાં	əsərlərdə	one kind of parts
કૃત્રિમ	süni	artificial
કૃપા	xahiş edirəm	please
કૃષિ	kənd təsərrüfatı	agriculture
કૃષ્ણ	k ષ્ણ a	krishna
કૃષ્ણએ	k એ a	krishna himself
કૃષ્ણના	krişnanın	krisha's
કૃષ્ણનાં	krişnanın	krishna's
કૃષ્ણની	k ની a&#39;s	"god name 'krushna"""
કૃષ્ણને	krişnaya	krishna
કૃષ્ણા	krişna	krishna
કૃષ્ણે	krişna	krushna
કે	bu	that
કેંદ્ર	mərkəz	center
કેચ	tutmaq	catch
કેટલા	nə qədər	how much
કેટલાંક	bəziləri	some
કેટલાક	bəziləri	some
કેટલાય	nə qədər	many
કેટલી	nə qədər	how
કેટલીક	bəziləri	some
કેટલીકવાર	bəzən	sometimes
કેટલેક	bəziləri	ketlek
કેટલો	necə	how much
કેટલોક	bəziləri	some
કેતન	ketan	ketan name
કેથલિક	katolik	catholic
કેથેડ્રલ	katedral	cathedral
કેથોલિક	katolik	catholic
કેદ	həbs	lock
કેદી	məhkum	prisoner
કેદીઓ	məhkumlar	prisoner
કેનાલ	kanal	canal
કેનેડા	kanada	canada
કેનેડામાં	kanadada	in canada
કેનેડિયન	kanada	canadian
કેન્ડી	şirniyyat	candy
કેન્દ્ર	mərkəz	center
કેન્દ્રગામી	mərkəzdənqaçma	convergent
કેન્દ્રથી	mərkəzdən	from center
કેન્દ્રની	mərkəzdən	center's
કેન્દ્રમાં	mərkəzdə	in the center
કેન્દ્રશાસિત	birləşmiş	ruled by central government
કેન્દ્રિત	fokuslanıb	centered
કેન્દ્રીત	mərkəzləşmişdir	centered
કેન્દ્રીય	mərkəzi	central
કેન્દ્રો	mərkəzlər	centers
કેન્યા	keniya	kenya
કેન્સર	xərçəng	cancer
કેપિટલ	kapital	capital / capitol
કેપ્ટન	kapitan	captain
કેબલ	kabel	cable
કેબિનેટ	kabinet	cabinet
કેમ	niyə	reason
કેમકે	çünki	because
કેમિકલ	kimyəvi	chemical
કેમેરા	kamera	camera
કેમ્પ	düşərgə	camp
કેમ્પસ	kampus	campus
કેમ્બ્રિજ	kembric	cambridge
કેરળ	kerala	kerala
કેરિયર્સ	daşıyıcılar	carriers,
કેરી	carrie	mango
કેરોલ	kerol	carol
કેલિફોર્નિયા	kaliforniya	california
કેલેન્ડર	təqvim	calendar
કેળવણી	təhsil	caring
કેળવી	becərmək	to nourish
કેવલ	yalnız	but / mere
કેવળ	yalnız	only
કેવી	necə	how
કેવું	necə	how
કેશ	nağd pul	cash
કેશોદ	keshod	keshod
કેસ	dava	lawsuit
કેસમાં	halda	in the case
કેસો	davalar	cases
કૉંગ્રેસ	konqres	congress
કૉંગ્રેસના	konqresin	of congress
કૉંગ્રેસની	konqresin	of congress
કૉંગ્રેસમાં	konqresdə	in congress
કૉંગ્રેસી	konqres	of congress / congressman
કૉંગ્રેસે	konqres	by congress
કૉન્સ્યુલટ	konsulluq	consulate
કૉપીરાઇટ	müəllif hüquqları	copyright
કૉલેજ	kollec	college
કૉલેજમાં	kollecdə	in collage
કો	co.	to [hindi - urdu word]
કોંકણ	konkan	"name of place ""konkan"""
કોંગ્રેસ	konqres	congres
કોંગ્રેસના	konqresin	of congress
કોંગ્રેસની	konqresin	of congress
કોંગ્રેસી	konqresmen	people of congress
કોંગ્રેસીઓ	konqresmenlər	congressmen
કોઇ	biri	someone
કોઇએ	biri	nobody
કોઇક	biri	someone
કોઇને	kiməsə	someone
કોઇપણ	hər biri	anyone
કોઈ	yox	someone
કોઈએ	biri	by someone
કોઈક	biri	someone
કોઈને	biri	some people
કોઈપણ	hər hansı	anyone
કોચ	qoç	coach
કોટ	palto	wall
કોઠો	cədvəl	photo
કોડ	kod	hope / wish
કોણ	üst	who
કોપી	surəti	copy
કોપીરાઈટ	müəllif hüquqları	copy right
કોમ	i̇cma	.com
કોમનવેલ્થ	birlik	commonwealth
કોમના	com	of the caste
કોમર્શિયલ	kommersiya	commercial
કોમિક	prikol	comic
કોમી	kommunal	communal
કોમેડી	komediya	comedy
કોમ્પ્યુટર	kompüter	computer
કોમ્પ્યુટરની	kompüterdən	of the computer
કોમ્પ્યુટરને	kompüterə	to computer
કોમ્પ્યુટરો	kompüterlər	computers
કોમ્પ્યુટર્સ	kompüterlər	computers
કોમ્યુનિકેશન	ünsiyyət	communication
કોમ્યુનિકેશન્સ	rabitə	communications
કોયા	koya	koya
કોર	əsas	core
કોરિયા	koreya	korea
કોર્ટ	məhkəmə	court
કોર્ટમાં	məhkəmədə	in the court
કોર્ટે	məhkəmə	court
કોર્પોરેટ	korporativ	corporate
કોર્પોરેશન	korporasiya	corporation
કોર્પોરેશનો	korporasiyalar	corporation
કોર્સ	əlbəttə	course
કોલ	zəng et	coal
કોલંબિયા	kolumbiya	columbia
કોલકાતા	kolkata	kolkata
કોલકાતામાં	kolkata&#39;da	in kolkata
કોલસો	kömür	coal
કોલેજ	kollec	collage,
કોલેજમાં	kollecdə	in collage
કોલેજો	kollejlər	colleges
કોલોસીયમ	colosseum	colosseum
કોલોસીયમના	kolizeydən	collosium, name of place
કોલોસીયમની	kolizeydən	of the colloseum
કોલોસીયમને	kolizeyə	colleseum's
કોલોસીયમમાં	kolizeydə	colloseum
કોશ	hüceyrə	name
કોશિશ	çalışın	try
કોષ	hüceyrələr	glossary
કોષ્ટક	cədvəl	table
કોસ્ટ	qiymeti	cost
કૌટુંબિક	ailə	related to family
કૌભાંડ	fırıldaqçılıq	scandal
કૌરવ	kaurava	kaurava
કૌરવો	kaurava	kauravs
કૌશલ	bacarıq	efficiency
કૌશલ્ય	bacarıqlar	skilled
ક્યા	hansı	where
ક્યાં	ya da	where, which
ક્યાંક	bir yerdə	somewhere
ક્યાંય	heç bir yerdə	somewhere
ક્યારે	nə vaxt	when
ક્યારેક	bəzən	sometime
ક્યારેય	heç vaxt	never
ક્યોટો	kyoto	kyoto
ક્રમ	sifariş verin	deed
ક્રમની	sifarişdə	numbered
ક્રમનું	çeşidlənmişdir	numbered
ક્રમનો	sifarişdə	of the number/rank
ક્રમમાં	sifarişdə	in rank
ક્રમશઃ	müvafiq olaraq	respectively
ક્રમાંક	yox.	number
ક્રમે	sıralanır	number
ક્રાંતિ	i̇nqilab	revolution
ક્રાંતિકારી	i̇nqilabçı	revolutionary
ક્રિઓલ	kreol	kiraole
ક્રિકેટ	kriket	cricket
ક્રિકેટના	kriketdən	of the cricket
ક્રિકેટની	kriket	of the cricket
ક્રિકેટનો	kriket	of the cricket
ક્રિકેટમાં	kriketdə	in cricket
ક્રિકેટર્સ	cricketer	cricketers
ક્રિઝ	yaratmaq	kreez
ક્રિયા	fəaliyyət	action
ક્રિયાની	fəaliyyət	action
ક્રિયાપદ	fe&#39;l	verb
ક્રિયાપદો	verblər	verb
ક્રિયાપ્રતિક્રિયા	qarşılıqlı əlaqə	action-reaction
ક્રિસ	chris	chris
ક્રિસમસ	milad	x mas / christmas
ક્રિસ્ટોફર	kristofer	christopher
ક્રૂર	zalım	strict
ક્રોધ	qəzəb	anger
ક્રોધિત	qəzəbli	angry
ક્રોસ	xaç	cross
ક્લબ	klub	club
ક્લાઉડ	bulud	cloud
ક્લાયમેટ	i̇qlim	climate
ક્લાસિકલ	klassik	classical
ક્લિક	vurun	click
ક્લિપ	klip	clip
ક્લોઝ	yaxın	close
ક્વાઇપર	kuiper	kuiper
ક્વોન્ટમ	kvant	quantum
ક્વોલિટી	keyfiyyətlidir	quality
ક્ષકિરણો	radiasiya	rediation
ક્ષણ	an	moment
ક્ષતિગ્રસ્ત	zədələnmiş	distorted,
ક્ષત્રિય	kşatriya	kshatriya
ક્ષત્રિયો	kshatriyas	kshatriyas
ક્ષમતા	tutum	capacity
ક્ષમતાને	tutum	capacity
ક્ષમા	əfv	forgiveness
ક્ષીણ	çürüdü	diminished
ક્ષેત્ર	sahə	field
ક્ષેત્રના	sahədən	of the field
ક્ષેત્રની	sahədən	area
ક્ષેત્રને	sahə	sphere / sector / zone / region
ક્ષેત્રનો	sahədən	areas
ક્ષેત્રફળ	sahə	area of a place
ક્ષેત્રમાં	sahəsində	in limitation,
ક્ષેત્રે	sahəsində	territory
ક્ષેત્રો	sahələr	fields
ક્ષેત્રોં	sahələr	regions [hindi word]
ક્ષેત્રોમાં	sahələr	in the fields of
ખંડ	otaq	plates of the earth
ખંડન	təkzib	refutation
ખંડના	qitənin	of division
ખંડની	qitənin	chamber
ખંડમાં	otaqda	section, part of
ખંડિત	parçalanmış	broken
ખંડીય	kontinental	continental
ખંડો	qitələr	continents
ખંભાતના	xambhat	of khambhat, name of city in gujarat.
ખગોળ	astronomiya	study of earth
ખગોળશાસ્ત્ર	astronomiya	astronomy,
ખગોળશાસ્ત્રીય	astronomik	astronomer
ખગોળીય	astronomik	astronomical
ખડક	qaya	reef
ખડકાળ	qaya	rocky
ખડકો	daşlar	rock
ખતમ	bitirdi	finished
ખતરનાક	təhlükəli	dangerous, horrible
ખનિજ	mineral	mineral
ખબર	bilin	news
ખભા	çiyinlər	shoulder
ખરડો	bill	bills / notice
ખરા	doğru	true
ખરાબ	pis	bad / waste
ખરી	doğru	shed
ખરીદી	alış-veriş	purchase
ખરેખર	həqiqətən	in reality
ખર્ચ	xərclər	expenses,
ખર્ચના	qiymeti	of expenses
ખર્ચાળ	bahalı	costlier
ખર્ચે	qiymetde razilasmaq olar	at the expense of
ખલીફા	xəlifə	khalifa, chief of arab
ખલેલ	kəsilmə	disturbance
ખવાય	yeyin	being eaten
ખસેડવામાં	daşındı	in transfer
ખાંડવી	xandvi	khandvi
ખાઈ	xəndək	trench
ખાડી	bəy	part of river penetrated by the sea at tide
ખાણીપીણી	yemək-içmək	food
ખાતર	kompost	fertilizer
ખાતરી	əlbətdə	sure
ખાતા	hesab	account
ખાતે	at	at post
ખાતેથી	dən	from
ખાતેના	at	of account
ખાતેની	at	stationed at
ખાતો	hesablar	eating,(in this case) swing
ખાત્રી	əlbətdə	information
ખાદી	xadi	khadi [hand woven cotton cloth]
ખાદ્ય	yemək	eatable
ખાન	xan	surname
ખાનગી	şəxsi	private
ખાનની	xanın	khan's
ખાનને	xan	to khan
ખાનપુર	xanpur	khanpur
ખાને	xanə	khan
ખાય	yeyin	eat
ખારી	salin	"name of place ""khari"""
ખાલી	boş	empty
ખાવા	yemək	to eat, for meal,
ખાવામાં	yeyin	in eating
ખાવું	yemək	to eat
ખાસ	xüsusi	certain / pecular / special
ખાસિયત	xüsusiyyət	characteristic
ખિતાબ	başlıqlar	titel
ખીચડી	maş	pie
ખીણ	vadisi	trench
ખુદ	özüm	self
ખુદા	allah	lord of muslims
ખુબ	həddindən artıq çox	lots of
ખુબજ	çox	too much
ખુલાસો	açıqlama	grant/sum up
ખુલે	açır	open
ખુલ્લા	açıq	open
ખુલ્લી	açıq	open
ખુલ્લુ	açıq	open
ખુલ્લો	açıq	open
ખુશ	xoşbəxt	pleased
ખુશી	xoşbəxtlik	joy
ખૂણે	küncdə	corner
ખૂણેખૂણો	künclər	everywhere
ખૂબ	həddindən artıq çox	very
ખૂબજ	bol	too much
ખેંચવા	uzan	pull
ખેંચી	çəkin	pulled back
ખેંચે	çəkir	pulls
ખેડા	kheda	city name
ખેડુત	fermer	farmer
ખેડૂત	fermer	farmer
ખેતરમાં	fermada	farm
ખેતી	fermerçilik	farming
ખેલ	i̇dman	play
ખેલાડી	oyunçu	player
ખેલાડીઓ	oyunçular	players
ખેવના	xevna	wish
ખોજ	axtarış	search
ખોટા	səhv	wrong
ખોટી	səhv	faulty, wrong
ખોટું	səhv	wrong
ખોડિયાર	xodiyar	khodiyar
ખોડીયાર	xodiyar	khodiyar
ખોદકામ	qazıntı	digging work
ખોરાક	yemək	food
ખોળામાં	çuxurda	in lap
ખોળે	açır	lap of
ખ્યાતનામ	məşhurlar	famous
ખ્યાતિ	şöhrət	repute
ખ્યાલ	konsepsiya	idea
ખ્રિસ્તી	xristian	christian,
ખ્રિસ્તીઓ	xristianlar	christians
ગંગા	gəncə	ganga / ganges
ગંગાધર	gangadhar	gangadhar
ગંગાના	qanqlardan	of ganga / ganges
ગંગાની	şəbəkələr	of ganga
ગંગાને	qanqlara	ganges
ગંગામાં	qanqlarda	at ganga
ગંભીર	ciddi	serious
ગઇ	getdi	become
ગઈ	getdi	gone
ગએ	getdi	go
ગઝલ	qəzəl	ghazal
ગઢ	qala	fort
ગઢડા	gadha	gadhada
ગઢવી	gadhvi	gadhavi
ગણ	hesablanıb	set
ગણતંત્ર	respublika	republic
ગણતરી	hesablama	calculation
ગણતરીઓ	hesablamalar	calculations
ગણતરીની	hesablanıb	counting
ગણતરીમાં	hesablamalarda	counting
ગણતા	saymaq	considered
ગણત્રી	hesablama	calculation
ગણના	hesablama	countation
ગણપતિ	ganapati	ganpati
ગણરાજ્ય	respublika	republic
ગણવામાં	nəzərə alınıb	in counting
ગણા	qatlanın	number of times
ગણાતા	sayılıb	considered
ગણાતી	sayılıb	considered
ગણાતો	sayılıb	counted
ગણાય	saymaq	consider
ગણાવી	nəzərə alınıb	can be counted as
ગણાવે	sayğaclar	considered
ગણિત	riyaziyyat	mathematics
ગણિતજ્ઞ	riyaziyyatçı	mathematician
ગણિતના	riyaziyyat	maths
ગણિતની	riyaziyyatdan	maths
ગણિતને	riyaziyyat	maths
ગણિતનો	riyaziyyat	of mathematics
ગણિતમાં	riyaziyyatda	in mathematics
ગણિતશાસ્ત્રી	riyaziyyatçı	mathematician
ગણી	qatlanmışdır	counting
ગણે	sayğaclar	count
ગણેશ	ganesha	hindu god ganesha, elephant headed god,
ગણો	qatlanın	times
ગણ્યા	sayılıb	considered
ગત	sonuncu	past
ગતિ	sürət	motion
ગતિએ	sürətlə	momentum
ગતિના	hərəkət	of the speed
ગતિને	sürət	to the speed
ગતિમાં	hərəkətdə	motion
ગતિવિધિઓ	fəaliyyətlər	activities
ગતિશીલ	dinamik	dynamically
ગદ્ય	nəsr	prose
ગમત	əyləncəli	game
ગમતું	bəyəndim	like
ગમે	nə olursa olsun	likes
ગયાં	getdi	became
ગયાના	guyana	gayana
ગયા૤	getdi	gone [hindi word]
ગયુ	getdi	to be
ગયું	getdi	gone
ગયેલ	getdi	gone
ગયેલા	getdi	gone
ગયેલી	getdi	gone
ગયો	getdi	become
ગરબા	garba	garba
ગરમ	i̇sti	hot
ગરમી	i̇stilik	heat
ગરમીના	i̇stidən	of heat
ગરમીની	i̇stilik	heat's
ગરવા	yıxılmaq	honorable
ગરવી	qürur	great
ગરીબ	yazıq	poor
ગરીબી	yoxsulluq	poverty
ગરીબો	yoxsul	poors
ગર્ભ	döl	core
ગર્ભમાં	bətnində	venter
ગર્વ	qürur duyur	pride
ગલી	xiyaban	narrow street
ગવર્નર	vali	governor
ગવાય	oxuyun	sung
ગહન	dərin	deep/detailed
ગાઁધીજી	gandhiji	gandhiji
ગાંધારી	qandhari	gandhari
ગાંધી	qandi	gandhi
ગાંધીએ	qandi	gandhiji
ગાંધીજી	gandhiji	gandhiji
ગાંધીજીએ	gandhiji	gandhiji
ગાંધીજીના	gandhiji	gandhiji's
ગાંધીજીની	gandhiji	gandhiji's
ગાંધીજીનું	gandhiji	of gandhiji
ગાંધીજીને	gandhiji	to gandhiji
ગાંધીજીનો	gandhiji	of gandhiji
ગાંધીનગર	qandinagar	gandhinagar
ગાંધીના	qandinin	gandhi's
ગાંધીની	qandinin	gandhi's
ગાંધીનું	qandinin	of gandhi / gandhian
ગાંધીને	qandi	name
ગાંધીનો	qandinin	gandhi's
ગાંધીવાદી	qandhian	o the gandhiji
ગાઇડ	bələdçi	gide
ગાઢ	sıx	close [relations]
ગાણિતિક	riyazi	mathematical
ગાદી	yastıq	throne
ગાદીએ	divanda	became chief
ગામ	kənd	village
ગામડે	kənddə	at village
ગામના	kəndin	village
ગામનાં	kəndin	of the villages
ગામની	kəndin	village's
ગામમાં	kənddə	villiage
ગામે	kənddə	villages
ગામો	kəndlər	villages
ગાય	guy	cow
ગાયક	müğənni	singer
ગાયકવાડ	gaekwad	gaikwad
ગાયત્રી	gayatri	gayatri
ગાયબ	yoxa çıxdı	vanish
ગાયો	i̇nəklər	cows
ગાર્ડન	bağça	garden
ગાળા	dövr	period
ગાળાના	müddət	duration
ગાળાની	müddət	term
ગાળામાં	dövrdə	duration
