$	dollarni tashkil etadi	dollarsign
experimentele	eksperimental	experimental
experimenten	tajribalar	experiments
expliciet	ravshan	explicitly
explosie	portlash	explosion
explosieve	portlovchi	explosive
export	eksport	export
exportproducten	eksport mahsulotlari	exportproducts
expressionisme	ekspressionizm	expressionism
expressionistische	ekspressionist	expressionistic
externe	tashqi	external
extra	qo&#39;shimcha	extra
extreem	haddan tashqari	extreme
extreme	haddan tashqari	extreme
eyes	ko&#39;zlar	eyes
eén	a	one
f	f	f
fa	fa	fa
fabriek	zavod	factory
fabrieken	fabrikalar	factories
fabrikant	ishlab chiqaruvchi	manufacturer
fabrikanten	ishlab chiqaruvchilar	producers
face	yuzi	face
facebook	facebook	facebook
faciliteiten	imkoniyatlar	facilities
facto	fakto	facto
factor	omil	factor
factoren	omillar	factors
factory	zavod	factory
faculteit	fakulteti	faculty
fagocyt	fagotsit	fagocyct
failliet	bankrot	failure
faillissement	bankrotlik	failure
fair	adolatli	jaarmarkt/ eerlijk
fame	shon-sharaf	fame
familie	oila	family
familieleden	oila a&#39;zolari	relatives
families	oilalar	families
family	oila	family
fan	fanat	fan
fans	muxlislar	fans
fantasie	xayol	fantasy
farao	fir&#39;avn	farao
fascisme	fashizm	fascism
fascisten	fashistlar	fascists
fascistische	fashist	fascist
fase	faza	phase
fasen	bosqichlar	phases
fases	bosqichlar	phases
fatale	halokatli	fatal
fauna	fauna	fauna
favoriete	sevimli	favourite
favorite	sevimli	favoriet
fbi	fbi	federal bureau of investigation
fc	fc	fc
februari	fevral	february
federaal	federal	federal
federal	federal	federal
federale	federal	federal
federatie	federatsiyasi	federation
federer	federator	federer
feel	his qilmoq	feel
feest	partiya	party
feestdag	ta&#39;til	feast
feestdagen	bayramlar	holidays
feesten	nishonlamoq	celebrations
feit	haqiqat	fact
feite	aslini olib qaraganda	in fact
feitelijk	aslini olib qaraganda	in fact
feitelijke	haqiqiy	objective
feiten	faktlar	facts
fel	qizg&#39;in	fierce
felix	fe&#39;l	felix
felle	shafqatsiz	fierce
female	ayol	female
feniks	feniks	phenix
fenomeen	hodisa	phenomenon
feodale	feodal	feudal
ferdinand	ferdinand	ferdinand
ferrari	ferrari	ferrari
festival	festival	festival
festivals	festivallar	festivals
feyenoord	feyenoord	feyenoord
fictieve	xayoliy	fictive
fiction	fantastika	fiction
fiets	velosiped	bicycle
fietsen	velosipedlar	bicycle
fietsers	velosipedchilar	cyclists
fifa	ellikta	fifa
figuren	raqamlar	figures
figuur	shakl	figure
fijn	yaxshi	fine
filipijnen	filippinliklar	phillipines
filipijnse	filipino	filipinjse
filips	philips	filips
film	film	movie
filmacteur	kino aktyori	film actor
filmen	filmga tushirish	filming
filmfestival	kinofestival	film festival
filmindustrie	kino sanoati	movie industry
filmografie	filmografiya	filmography
filmpje	film	movie
filmpjes	filmlar	movies
filmreeks	filmlar seriyasi	film series
films	filmlar	films
filosofen	faylasuflar	philosophers
filosofie	falsafa	philosophy
filosofisch	falsafiy	philosophical
filosofische	falsafiy	philosophical
filosoof	faylasuf	philosopher
final	yakuniy	final
finale	yakuniy	final
finales	final	finals
financieel	moliyaviy	financial
financieren	moliya	finance
financiering	moliyalashtirish	financing transaction
financiële	moliyaviy	financial
financiën	moliyaviy	finance
finland	finlyandiya	finland
finse	fincha	finnish
fire	olov	fire
firma	qattiq	firm
first	birinchi	first
fiscale	moliyaviy	fiscal
fischer	baliqchi	fischer (proper noun - surname)
five	beshta	five
fles	shisha	bottle
flevoland	flevoland	flevoland
flink	katta	solid
flinke	katta	significant
flora	flora	flora
florence	florensiya	florence
floyd	floyd	floyd
fm	fm	frequency modulation
focus	diqqat	focus
foetus	homila	fetus
folklore	folklor	folklore
fonds	fond	fund
fontsizes	fontsizatsiya qiladi	fontsizes
foolscap	tentaklik	foolscap
football	futbol	football
for	uchun	for
force	kuch	force
ford	ford	ford
foreman	usta	foreman
formaat	format	size
formaten	formatlari	sizes
formatie	hosil bo&#39;lishi	formation
formeel	rasmiy	formal
formele	rasmiy	formal
formule	formula	formula
formules	formulalar	formulas
fors	katta	substantially
fort	qal&#39;a	fort
forten	qal&#39;alar	fortresses
fortuyn	fortuyn	fortuyn
forum	forum	forum
fossiele	qazilma	fossil
fossielen	qoldiqlari	fossils
foto	fotosurat	picture
fotografie	fotografiya	photography
fotos	fotosuratlar	pictures
foundation	poydevor	foundation
fout	noto&#39;g&#39;ri	fault
fouten	yoriqlar	faults
fox	tulki	fox
fr	fr	fr
fractie	kasr	fraction
france	fransuz	france
francesco	fransuz	francesco
francis	frank	francis
francisco	fransisko	francisco
franco	ozod	franco
frank	ochiqchasiga	franc
franken	frank	franks
frankfurt	frankfurt	frankfurt
frankische	ochiqchasiga	frankish
frankrijk	frantsiya	france
frans	fransuz	frenche
franse	fransuzcha	french
fransman	fransuz	frenchman
franstalig	fransuz	french
franstalige	frantsuz tilida gaplashadigan	french-speaking
franstaligen	frantsuzcha ma&#39;ruzachilar	french speaking
franz	frantsuz	franz
françois	fransuzcha	francois
frazier	muzqaymoq	frazier
fred	fred	fred
freddie	freddi	freeddie
frederik	frederik	frederik
free	ozod	free
frequent	tez-tez	frequently
frequentie	chastotasi	frequention
frequenties	chastotalar	frequencies
freud	erkin	freud
frida	frida	frida
friedrich	fridrix	friedrich
friends	do&#39;stlar	vrienden
fries	friziyalik	fries
friese	friz	frisian
friesland	friziya	friesland
friezen	frizlar	friezes
frits	fritsalar	frits
fritz	fritz	fritz
from	dan	from
front	old tomon	front
fronten	jabhalar	fronts
fruit	meva	fruit
frusciante	tetiklashtiradi	frusciante
ft	ft	met
full	to&#39;la	full
functie	funktsiyasi	function
functies	vazifalari	functions
functioneert	vazifalari	functionary
functionele	funktsional	functional
functioneren	amalga oshiring	function
fundamenteel	tubdan	fundamental
fundamentele	fundamental	fundamental
fungeerde	ishladi	functioned
fungeert	harakat qiladi	functions
fungeren	harakat qilmoq	function
funk	funk	funk
fusie	birlashish	merger
future	kelajak	future
fysiek	jismoniy	fysical
fysieke	jismoniy	physical
fysiologische	fiziologik	physiological
fysische	jismoniy	fysical
g	g	g
gaal	gal	gaal
gaan	bormoq	go
gaande	davom etayapdi	ranging
gaandeweg	yo&#39;l yoqalab	along the way
gaat	ketadi	turns (1st sentence), is (3rd sentence), assumes (6th sentence)
gaf	berdi	gave
gaga	gaga	gaga
gaius	gayus	gaius
gal	gal	gall
galerij	galereya	gallery
galilei	galilei	galileans
galileo	galileo	galileo
gallery	galereya	gallery
gallia	gallia	gallia
gallische	galliy	gallic
game	o&#39;yin	game
games	o&#39;yinlar	games
gandhi	gandi	gandhi
ganesha	ganesha	ganesha
gang	yo&#39;lak	going
gangbare	umumiy	usual
ganzenveer	tirnoq qalam	goose quill
garantie	kafolat	guarantee
garde	mo&#39;ylovi	garde
garden	bog &#39;	garden
garros	garros	garros
gary	gari	gary
gas	gaz	gas
gaskamers	gaz kameralari	gas chambres
gaspedaal	gaz pedali	accelerator  pedal
gassen	gazlar	gasses
gasten	tashrif buyuruvchilar	guests
gastheer	mezbon	host
gastrol	mehmon roli	hosting role
gat	teshik	hole
gate	darvoza	gate
gaten	teshiklari	holes
gates	darvozalar	gates
gaudí	gaudí	gaudi
gauw	yaqinda	soon
gave	sovg&#39;a	gift
gaven	sovg&#39;alar	gifts
gazastrook	gazeta tasmasi	gaza strip
geaardheid	yo&#39;naltirish	orientation
geaccepteerd	qabul qilindi	accepted
geaccepteerde	qabul qilindi	accepted
geacht	deb hisoblashadi	expected
geallieerde	ittifoqdosh	allied
geallieerden	ittifoqchilari	allied
gear	tishli	gear
gearresteerd	hibsga olingan	arrested
geassocieerd	bog&#39;liq	associated
geavanceerde	ilg&#39;or	advanced
gebaseerd	asoslangan	based
gebaseerde	asoslangan	based
gebed	ibodat	prayer
gebergte	tog &#39;tizmasi	mountains
gebergten	tog &#39;tizmalari	mountains
gebeten	tishladi	bitten
gebeurd	sodir bo&#39;ldi	happened
gebeurde	sodir bo&#39;ldi	happened
gebeuren	sodir bo&#39;lmoq	happen
gebeurtenis	voqea	event
gebeurtenissen	voqealar	events
gebied	maydoni	area
gebieden	joylar	territories
gebit	tishlar	teeth
gebleken	chiqdi	shown
gebleven	qoldi	remained
geblokkeerd	bloklangan	blocked
geboden	buyurdi	provided
geboekt	bron qilingan	booked
gebogen	egilgan	curved
gebonden	bog&#39;liq	bound
geboorte	tug&#39;ilish	birth
geboortecijfer	tug&#39;ilish darajasi	birth rate
geboortedatum	tug&#39;ilgan sana	date of birth
geboortehuis	tug&#39;ilish uyi	place of birth
geboorteplaats	tug&#39;ilgan joy	place of birth
geboren	tug&#39;ilgan	born
gebouw	bino	building
gebouwd	qurilgan	builded
gebouwde	qurilgan	builded
gebouwen	binolar	buildings
gebracht	olib keldi	brought
gebrek	etishmasligi	lack
gebroeders	aka-uka	brothers
gebroken	singan	broken
gebrouwen	pishirilgan	brewed
gebruik	foydalanish	use
gebruikelijk	odatiy	usual
gebruikelijke	odatiy	usual
gebruiken	foydalanish	to use
gebruiker	foydalanuvchi	user
gebruikers	foydalanuvchilar	users
gebruikgemaakt	foydalanilgan	use
gebruikmaken	foydalanish	use
gebruikt	ishlatilgan	used
gebruikte	ishlatilgan	used
gebruikten	ishlatilgan	used
gecombineerd	kombinatsiyalangan	combined
gecombineerde	kombinatsiyalangan	combined
gecompenseerd	kompensatsiya qilingan	compensated
gecomponeerd	iborat	composed
geconcentreerd	kontsentrlangan	concentrated
geconfronteerd	yuzma-yuz	confronted
gecontroleerd	tekshirildi	controlled
gecreëerd	yaratilgan	created
gedaald	kamaygan	decreased
gedaan	bajarildi	done
gedacht	o&#39;yladi	thought
gedachte	o&#39;yladi	thought
gedachtegoed	g&#39;oyalar	thought
gedachten	fikrlar	thoughts
gedateerd	sana bilan	dated back
gedeeld	birgalikda	shared
gedeelte	qismi	portion
gedeeltelijk	qisman	partly
gedeeltelijke	qisman	partly
gedeelten	qismlari	portions
gedefinieerd	belgilangan	defined
gedeputeerde	deputat	gedeputeerde
gedetailleerde	batafsil	detailed
gedicht	she&#39;r	poem
gedichten	she&#39;rlar	poems
gedomesticeerde	uy sharoitida	domesticated
gedomineerd	hukmronlik qildi	dominated
gedood	o&#39;ldirilgan	slain
gedraaid	aylantirildi	turned
gedrag	xulq	behaviour
gedragen	o&#39;zini tutish	behave
gedragingen	xulq-atvor	behaviors
gedreven	boshqariladi	driven
gedronken	mast	have drunk
gedrukt	bosilgan	print
gedrukte	bosilgan	printed
gedurende	davomida	during
geel	sariq	yello
geen	yo&#39;q	no
geert	geert	geert
geest	ruhi	spirit
geestelijk	aqliy	mental
geestelijke	ma&#39;naviy	spiritual
geestelijken	ruhoniylar	clergymen
geestelijkheid	ruhoniylar	geestelijkhied
geesten	arvohlar	spirits
gefinancierd	moliyalashtirilgan	financed
geformuleerd	shakllantirish	formulated
gegaan	ketdi	gone
gegeten	yedi	eaten
gegeven	berilgan	given
gegevens	ma&#39;lumotlar	data
gegraven	qazilgan	digged
gegroeid	yetishtirilgan	grown
gehaald	erishildi	brought into (2nd and 6th sentence), taken off (11th sentence)
gehad	edi	had
gehalte	daraja	content
gehandicapten	nogiron	disabled
gehanteerd	qo&#39;lda	used
geheel	butun	whole
geheim	sir	secret
geheime	sir	secret
geheimzinnige	sirli	mysterious
gehele	butun	entire
geheten	chaqirdi	named
geheugen	xotira	memory
geheven	undirilgan	levied
geholpen	yordam berdi	helped
gehoor	eshitish	respond to
gehoord	eshitildi	heard
gehouden	saqlandi	held
gehuisvest	uylangan	accommodated
gek	aqldan ozgan	crazy
gekeken	qaradi	looked
gekend	ma&#39;lum	known
gekenmerkt	xarakterlanadi	characterised
gekleed	kiyingan	clothed
gekleurd	rangli	painted
gekleurde	rangli	colored
gekocht	sotib olingan	bought
gekomen	keling	come
gekoppeld	bog&#39;langan	linked
gekozen	tanlangan	chosen
gekregen	bor	obtained
gekroond	toj	crowned
gekweekt	yetishtirilgan	cultured
geladen	yuklangan	loaded
gelaten	chapga	launched
geld	pul	money
gelden	murojaat qiling	count
gelder	gelder	gelder - proper noun - surname
gelderland	gelderland	gelderland
geldig	yaroqli	valid
geldt	amal qiladi	counts
gele	sariq	yellow
geleden	oldin	suffered
geleedpotigen	artropodlar	athropods
geleerd	o&#39;rgangan	learned
geleerde	olim	academic
geleerden	olimlar	scolars
gelegd	yotqizilgan	placed
gelegen	joylashgan	situated
gelegenheden	holatlar	opportunities
gelegenheid	imkoniyat	opportunity
geleid	led	led
geleide	hidoyat	guided
geleidelijk	asta-sekin	gradually
geleidelijke	bosqichma-bosqich	gradual
geleverd	yetkazib berildi	delivered
gelezen	o&#39;qing	read
geliefd	sevdi	popular
geliefde	oshiq	loved
gelijk	teng	equal
gelijke	teng	equal
gelijkenis	masal	resemblacne
gelijkheid	tenglik	equality
gelijknamige	eponim	of the same name
gelijktijdig	bir vaqtning o&#39;zida	simultaneous
gelijkwaardig	ekvivalent	even
geloof	imon	belief
geloofde	ishondi	believed
geloofden	ishondi	believed
gelooft	ishonadi	believes
geloven	ishonmoq	believe
gelovigen	mo&#39;minlar	believers
geluid	ovoz	sound
geluiden	tovushlar	sounds
geluk	omad	happiness
gelukkig	xursand	happy
gelukt	muvaffaqiyatga erishdi	accomplished
gemaakt	qilingan	made
gemaakte	qilingan	made
gemakkelijk	oson	easily
gemakkelijker	sekinroq	easier
gemalen	maydalangan	ground (to grind)
gematigd	mo&#39;&#39;tadil	temperate
gematigde	mo&#39;&#39;tadil	moderate
gemeen	anglatadi	in common
gemeenschap	hamjamiyat	community
gemeenschappelijk	umumiy	communal
gemeenschappelijke	umumiy	common
gemeenschappen	jamoalar	communities
gemeente	shaharcha	municipality
gemeentelijk	munitsipal	municipal
gemeentelijke	munitsipal	municipal
gemeentemuseum	shahar muzeyi	municipal museum
gemeenten	munitsipalitetlar	communes
gemeenteraad	mahalliy kengash	city council
gemeenteraadsverkiezingen	munitsipal saylovlar	municipal elections
gemeld	xabar qildi	reported
gemenebest	hamdo&#39;stlik	commonwealth
gemengd	aralashgan	mixed
gemengde	aralashgan	mixed
gemeten	o&#39;lchanadi	measured
gemiddeld	o&#39;rtacha	average
gemiddelde	o&#39;rtacha	average
gen	gen	gene
genaamd	chaqirdi	named
genade	inoyat	mercy
geneeskunde	dori	medicine
geneesmiddel	dori	medicine
genegeerd	e&#39;tiborsiz qoldirildi	ignored
genen	genlar	genes
generaal	umumiy	general
general	umumiy	general
generatie	avlod	generation
generaties	avlodlar	generations
generation	avlod	generation
genereren	hosil qilmoq	generate
genesis	ibtido	genesis
genetisch	genetik jihatdan	genetically
genetische	genetik	genetic
genezen	davolash uchun	cure
genezing	davolaydi	cure
genie	daho	genius
geniet	zavqlaning	enjoys
genieten	bahramand bo&#39;lmoq	enjoy
genocide	genotsid	genocide
genoeg	yetarli	enough
genoemd	eslatib o&#39;tilgan	called
genoemde	deb nomlangan	mentioned
genomen	olingan	taken
genomineerd	nomzod	nominated
genoodzaakt	zarur	forced
genoom	genom	genome
genoomtype	genom turi	genome type
genoot	zavqlandi	delight
genootschap	jamiyat	academy
genot	zavq	enjoy
genoteerd	qayd etdi	logged
genre	janr	genre
genres	janrlari	genres
gent	gent	gent
gentse	gent	ghent
genua	jenoa	genua
genève	jeneva	geneva
geografie	geografiya	geography
geografisch	geografik jihatdan	estimated
geografische	geografik	geographical
geologie	geologiya	geology
geologisch	geologik	geological
geologische	geologik	geolical
geopenbaard	oshkor bo&#39;ldi	reveal
geopend	ochildi	open / opened
georg	georg	georg (sjors)
georganiseerd	uyushgan	organised
georganiseerde	uyushgan	organized
georges	georges	georges
georgia	gruziya	georgia
georgië	gruziya	georgie - proper noun - country
georiënteerde	yo&#39;naltirilgan	orientated
gepaard	juftlangan	paired / coupled
geplaatst	joylashtirilgan	placed
gepland	rejalashtirilgan	planned
geplande	rejalashtirilgan	scheduled
gepleegd	qilingan	committed
gepresenteerd	taqdim etdi	presented
geprezen	maqtadi	admired
geprobeerd	harakat qildi	tried
geproduceerd	ishlab chiqarilgan	produced
geproduceerde	ishlab chiqarilgan	produced
gepubliceerd	nashr etildi	published
geraakt	urdi	hit
gerangschikt	tartibga solingan	ranked
gerard	gerard	gerard
gerealiseerd	amalga oshdi	realised
gerecht	piyola	dish
gerechten	idishlar	dish
gerechtshof	adliya sudi	court
gered	saqlandi	saved
gereden	boshqariladi	driven
gereed	tayyor	ready
gereformeerde	isloh qilingan	calvinist
geregeerd	hukmronlik qildi	governed
geregeld	muntazam ravishda	regularly
geregisseerd	yo&#39;naltirilgan	directed
geregistreerd	ro&#39;yxatga olingan	registered
gerekend	hisoblangan	counted
gerelateerd	bog&#39;liq	related
gerelateerde	bog&#39;liq	related
gericht	yo&#39;naltirilgan	focused
gerichte	maqsadli	oriented
gering	ahamiyatsiz	small
geringe	ahamiyatsiz	low
germaanse	nemischa	german
germanen	nemislar	germans
geroepen	chaqirdi	called
gerrit	gerrit	gerry
gerst	arpa	barley
gerucht	mish-mish	rumour
geruchten	mish-mishlar	rumors
geruime	ancha	some
geschapen	yaratilgan	created
geschat	taxmin qilingan	estimated
gescheiden	ajrashgan	separated
geschiedenis	tarixi	history
geschiedschrijving	tarixshunoslik	historiography
geschiedt	sodir bo&#39;ladi	happens
geschikt	mos	suitable
geschikte	mos	adequate
geschilderd	bo&#39;yalgan	painted
geschonken	ehson qildi	been given / poured
geschoten	otish	shot
geschoven	itarib yubordi	pushed
geschreven	yozilgan	written
gescoord	gol urdi	scored
gesigneerd	imzolangan	signed
gesitueerd	joylashgan	situated
geslaagd	omadli	successful
geslaagde	omadli	successful
geslacht	jinsi	butchered
geslachten	jinsi	sexes
geslachtsdelen	jinsiy a&#39;zolar	genitals
geslachtsgemeenschap	jinsiy aloqa	intercourse
geslachtsorganen	jinsiy a&#39;zolar	genitals
geslagen	kaltaklangan	defeated
gesloopt	o&#39;ralgan	demolished
gesloten	yopiq	closed
gespannen	tarang	tensed
gespecialiseerd	ixtisoslashgan	specialised
gespecialiseerde	ixtisoslashgan	specialised
gespeculeerd	spekulyatsiya qilingan	speculated
gespeeld	o&#39;ynadi	played
gesplitst	split	seperated
gesprek	suhbat	conversation
gesprekken	suhbatlar	conversations
gesproken	aytilgan	spoken
gestaag	doimiy ravishda	steadily
gestaan	turdi	assisted
gestart	boshlandi	started
gesteente	qoya	rock
gestegen	oshdi	rised
gesteld	deb so&#39;radi	made
gestelde	deb so&#39;radi	set
gestemd	ovoz berdi	voted
gesteund	qo&#39;llab-quvvatlanadi	supported
gesticht	asos solingan	founded
gestimuleerd	rag&#39;batlantiriladi	roused
gestoken	pichoqladi	stabbed
gestolen	o&#39;g&#39;irlangan	stolen
gestopt	to&#39;xtadi	ceased
gestorven	vafot etdi	died
gestreden	jang qildi	fought
gesuggereerd	taklif qildi	suggested
get	olish	get
getal	raqam	number
getallen	raqamlar	figures
getekend	imzolangan	signed
getest	sinovdan o&#39;tkazildi	tested
getiteld	nomli	titled
getoond	ko&#39;rsatilgan	shown
getracht	urinish	attempted
getransporteerd	tashiladi	transported
getroffen	ta&#39;sir ko&#39;rsatdi	affected
getrokken	chizilgan	moved to
getrouwd	uylangan	married
getuige	guvoh	witness
getuigen	guvohlar	witnesses
geuit	ifoda etdi	expressed
geur	hid	scent
geuren	hidlaydi	scents
geuzen	tilanchilar	beggar
gevaar	xavf	danger
gevaarlijk	xavfli	dangerous
gevaarlijke	xavfli	dangerous
geval	quti	case
gevallen	holatlar	cases
gevangen	ushlandi	captured
gevangene	mahbus	prisoner
gevangenen	mahbuslar	prisoners
gevangengenomen	ushlandi	taken prisoner
gevangenis	qamoqxona	prison
gevangenisstraf	qamoq	jail time/ detention
gevangenschap	asirga olish	imprisonment
gevaren	tahdidlar	hazards
gevarieerd	turlicha	varied
gevecht	jang	the fighting
gevechten	janjallar	fights
geven	bermoq	give
gevestigd	joylashgan	set
gevestigde	tashkil etilgan	established
gevierd	nishonlandi	celebrated
gevoed	boqilgan	fed
gevoel	tuyg&#39;u	feeling
gevoelens	tuyg&#39;ular	feelings
gevoelig	sezgir	sensitive
gevoelige	sezgir	sensitive
gevoeligheid	sezgirlik	sensitivity
gevoerd	astarlangan	conducted
gevolg	natija	consequence
gevolgd	ergashdi	followed
gevolge	natijada	result
gevolgen	effektlari	effects
gevonden	topdi	found
gevormd	hosil bo&#39;lgan	formed
gevormde	hosil bo&#39;lgan	formed
gevraagd	deb so&#39;radi	was asked
gevuld	to&#39;ldirilgan	filled
gewaardeerd	taqdirlandi	rated
gewapend	qurollangan	armed
gewapende	qurollangan	armed
gewassen	ekinlar	crops
geweest	bo&#39;lgan	been
geweigerd	rad qildi	refused
geweld	zo&#39;ravonlik	violence
gewelddadige	zo&#39;ravon	violent
gewend	odatlangan	used to
gewenst	orzu qilingan	desirable
gewenste	istalgan	desired
gewerkt	ishlagan	worked
gewest	viloyati	province
gewesten	mintaqalar	districts
geweten	vijdon	conscience
gewezen	ishora	pointed
gewicht	vazn	weight
gewijd	bag&#39;ishlangan	devoted
gewijzigd	o&#39;zgartirildi	changed
gewond	jarohatlangan	injured
gewone	oddiy	ordinary
gewonnen	yutuq	won
gewoon	shunchaki	ordinairy
gewoonlijk	odatda	usually
gewoonte	odat	habit
geworden	bo&#39;lmoq	become
gewricht	qo&#39;shma	joint
gewrichten	bo&#39;g&#39;inlar	joints
gezag	hokimiyat	the order
gezamenlijk	birgalikda	joint
gezamenlijke	qo&#39;shma	joint
gezegd	dedi	said
gezelschap	partiya	company
gezet	qo&#39;yish	placed
gezeten	o&#39;tirgan	been
gezicht	yuzi	face
gezichten	yuzlar	faces
gezien	ko&#39;rilgan	seen
gezin	oila	family
gezinnen	oilalar	families
gezocht	qidirildi	sought
gezond	sog&#39;lom	healthy
gezonde	sog&#39;lom	healthy
gezondheid	sog&#39;liq	health
gezondheidszorg	sog&#39;liqni saqlash	health care
gezongen	kuyladi	sang
gezorgd	g&#39;amxo&#39;rlik qilingan	resulted
geëxecuteerd	qatl qilindi	executed
geëxploiteerd	boshqariladi	exploited
geïdentificeerd	aniqlandi	identified
geïndustrialiseerde	sanoatlashgan	industrialized
geïnfecteerd	kasallangan	infected
geïnspireerd	ilhomlangan	inspired
geïnstalleerd	o&#39;rnatilgan	installed
geïntegreerd	o&#39;rnatilgan	integrated
geïnteresseerd	qiziqadi	interested
geïnterpreteerd	talqin qildi	interpreted
geïntroduceerd	tanishtirdi	introduced
geïsoleerd	izolyatsiya qilingan	isolated
geïsoleerde	izolyatsiya qilingan	isolated
ghana	gana	ghana
gibbs	gibbs	gibbs
gids	qo&#39;llanma	guide
gif	zahar	venom
giftanden	fanglar	poison fangs
giftig	zaharli	toxic
giftige	zaharli	poisonous
gigantische	ulkan	gigantic
gij	sen	you
gilbert	gilbert	gilbert
gilmour	jilmur	gilmour
ging	ketdi	went
gingen	borar edilar	went
giorgio	giorgio	giorgio
giovanni	govanni	giovanni
girl	qiz	girl
girls	qizlar	meisjes
gisting	fermentatsiya	fermentation
gitaar	gitara	guitar
gitaren	gitaralar	guitars
gitarist	gitarist	guitarist
gizeh	giza	gizeh
gladde	silliq	smooth
glas	shisha	glass
glasgow	glazgoda	glasgow
glazen	ko&#39;zoynaklar	glass / glasses
gletsjers	muzliklar	glacier
global	global	global
gloeilamp	lampochka	bulb
gloeilampen	lampochka	glow lamps
gloria	gliya	gloria
glucose	glyukoza	glucose
go	boring	go
goal	maqsad	goal
god	xudo	god
goddelijke	ilohiy	divine
goden	xudolar	gods
godheid	xudo	deity
godin	ma&#39;buda	godess
godinnen	ma&#39;buda	goddesses
gods	xudolar	god's
godsdienst	din	religion
godsdiensten	dinlar	religions
godsdienstige	diniy	religious
godsdienstvrijheid	diniy erkinlik	freedom of religion
goed	yaxshi	good - 1st sentence, well - 2nd and 3rd sentence.
goede	yaxshi	good
goederen	tovarlar	goods
goedgekeurd	tasdiqlangan	approved
goedkeuren	tasdiqlash	approval
goedkeuring	tasdiqlash	approval
goedkoop	arzon	cheap
goedkope	arzon	cheap
goedkoper	arzonroq	cheaper
goes	ketadi	goed
gogh	gog	gogh
going	ketayotgan	going
gold	oltin	was
golden	oltin	golden
golf	golf	wave
golflengte	to&#39;lqin uzunligi	wavelength
golven	to&#39;lqinlar	golves,
gone	ketdi	gone
google	google	google (proper noun)
gooien	otish	throwing
gorbatsjov	gorbachev	gorbachev
gordon	gordon	gordon
gossip	g&#39;iybat	gossip
got	bor	got
gotiek	gotika	gothic
gotische	gothic	gothic
goud	oltin	golden
gouda	gouda	gouda
gouden	oltin	golden
gouverneur	hokim	governor
gouverneurgeneraal	general-gubernator	governor-general
gouverneurs	hokimlar	governors
graad	daraja	degree
graaf	hisoblash	count
graafschap	okrugi	county
graafschappen	okruglari	counties
graag	mamnuniyat bilan	willingly
graan	don	grain
grace	inoyat	grace
gracht	kanal	canal
grachten	kanallar	canals
graden	daraja	degrees
graf	qabr	grave
graffiti	graffiti	graffiti
grafiek	sxemasi	grafic
grafische	grafik	grafic
grammatica	grammatika	grammar
grammy	grammiya	grammy
gran	don	gran
granada	granada	granada
grand	katta	grand
grande	grande	grande
grant	grant	grant - proper noun - surname
gras	o&#39;t	grass
grassen	o&#39;tlar	grasses
gratis	ozod	free
graven	qazish	dig
gray	kulrang	gray
great	ajoyib	great
greater	katta	greater
greatest	eng katta	beste
green	yashil rangda	green
greep	tutmoq	grip
grens	chegara	border
grensgebied	chegara maydoni	borderarea
grenst	chegaralari	borders
grenzen	chegaralari	borders
gretchen	gretchen	gretchen
gridlijn	panjara chizig&#39;i	grid line
grieken	yunonlar	greeks
griekenland	gretsiya	greece
grieks	yunon	greek
griekse	grekcha	greek
griep	gripp	flu
grijpen	tortmoq	grab
grijs	kulrang	grey
grijze	kulrang	gray
groei	o&#39;sishi	growth
groeide	o&#39;sdi	grew
groeiden	o&#39;sdi	grew
groeien	o&#39;smoq	grow
groeiende	o&#39;sib borayotgan	growing
groeit	o&#39;sadi	increases
groen	yashil rangda	green
groene	yashil rangda	green
groenland	grenlandiya	greenland
groenlinks	yashil chap	groenlinks
groenten	sabzavotlar	vegetables
groep	guruh	group
groepen	guruhlari	groups
groepering	guruh	group
groeperingen	guruhlarga ajratish	groups
groepsfase	guruh bosqichi	groupfase
grofweg	qariyb	rudely
grond	zamin	ground
gronden	asoslar	grounds
grondgebied	hududi	territory
grondig	puxta	thoroughly
grondlegger	asoschisi	founder
grondslag	asos	foundation
grondstoffen	xom ashyolar	ground stiffen
grondwet	konstitutsiya	constitution
groningen	groningen	groningen
groninger	maydalagich	groningen
groot	katta	large
grootbrittannië	britaniya	great britain
groothertog	buyuk gertsog	groothertog
grootmachten	super kuchlar	superpowers
grootmeester	buvisi	maestro
grootmoeder	buvisi	grandmother
groots	katta	great
grootschalige	keng ko&#39;lamli	large scale
grootse	katta	biggest
grootst	eng katta	most
grootste	eng katta	biggest
grootte	hajmi	size
grootvader	bobosi	grandfather
grot	g&#39;or	cave
grote	ajoyib	large
grotendeels	ko&#39;p qismi uchun	mainly
groter	baland bo&#39;yli	larger
grotere	kattaroq	bigger
grotten	g&#39;orlar	caves
grove	yalpi	gross
gruzielement	horcrux	horcrux
gta	gta	gta
gti	gti	gti
gtst	arpa	gtst
guatemala	gvatemala	guatemala
guevara	gevara	guevara
guggenheim	guggenxaym	guggenheim
guido	hidoyat	guido
guild	gildiya	guild
gulden	gildiyachi	guilder
guns	qurol	guns
gunste	iltifot	favor
gunstig	qulay	favourable
gunstige	qulay	favourable
gustav	gustav	gustav
gustave	gustave	gustave
guus	guus	guus
guy	yigit	guy (proper noun - first name)
guyana	yigitcha	guyana
gyatso	gyatso	gyatso
gymnasium	gimnaziya	gymnasium
güell	güell	guell
h	h	h
haag	to&#39;siq	hague
haagse	gaaga	haagse - proper noun
