$	dollar təşkil edib	american dollar symbol
கட்டமைப்பை	quruluşu	configuration
கட்டம்	grid	box
கட்டற்ற	pulsuz	a free
கட்டளை	əmr	order
கட்டாய	məcburi	strictly
கட்டாயமாக	məcburi	compulsarily
கட்டாயம்	məcburi	important
கட்டி	şiş	tumor
கட்டிகள்	şişlər	tumors
கட்டிட	bina	building
கட்டிடக்	memarlıq	building
கட்டிடக்கலைஞர்கள்	memar	engineers
கட்டிடக்கலையின்	memarlıq	architecture
கட்டிடக்கலையில்	memarlıqda	architecture
கட்டிடக்கலையும்	memarlıq	architect
கட்டிடங்களின்	i̇nşası	building
கட்டிடங்களில்	binalarda	buildings
கட்டிடங்களும்	binalar	also buildings
கட்டிடங்களை	binalar	building
கட்டிடங்கள்	binalar	building
கட்டிடத்தின்	bina	in building
கட்டிடம்	bina	building
கட்டினார்	və tikilib	constructed by
கட்டிய	qurulub	constructed by
கட்டுக்குள்	komandir	under control
கட்டுப்படுத்த	nəzarət	control
கட்டுப்படுத்தவும்	nəzarət olunur	restrict
கட்டுப்படுத்தி	nəzarətçi	controller
கட்டுப்படுத்துகிறது	nəzarət	to be controlled
கட்டுப்படுத்தும்	nəzarət	to control
கட்டுப்பட்டு	qadağan olunmuşdur	bounded
கட்டுப்பாடு	tənzimləmə	control
கட்டுப்பாடுகள்	məhdudiyyətlər	rules
கட்டுப்பாட்டின்	nəzarət	under control
கட்டுப்பாட்டில்	nəzarət altında	under control
கட்டுப்பாட்டு	tənzimləmə	under control
கட்டுப்பாட்டுக்குள்	nəzarət	under control
கட்டுப்பாட்டை	nəzarət	principles
கட்டுமான	tikinti	structural
கட்டுமானம்	memarlıq	construction
கட்டும்	bina	building
கட்டுரை	məqalə	research papers
கட்டுரைகளின்	məqalələr	scholarly work
கட்டுரைகளில்	məqalələr	feuilleton
கட்டுரைகளை	məqalələr	compositions
கட்டுரைகள்	məqalələr	essays
கட்டுரைத்	məqalə	article
கட்டுரையில்	məqalə	in article
கட்டுரையை	məqalə	in this article
கணக்கான	onlu	countable
கணக்கிட	hesablayın	to calculate
கணக்கிடப்படுகிறது	hesablanıb	calculated
கணக்கியல்	mühasibat uçotu	mathematics
கணக்கில்	sayğaclar	account
கணக்கு	mühasibat uçotu	maths
கணக்கெடுப்பின்படி	sorğu	as per the census
கணக்கெடுப்பு	sorğu	accounting
கணபதி	ganapati	lord ganesha
கணவன்	ər	husband
கணவர்	ər	husband
கணவாய்	keçmək	canal
கணிக்க	qiymətləndirmələr	calculare
கணிக்கப்படுகிறது	təxmini	anterstant
கணிக்கப்பட்ட	təxmini	calculated
கணிக்கும்	proqnozlaşdırma	to measure
கணிசமான	əhəmiyyətli	sizeable
கணித	riyaziyyat	mathematics
கணிதக்	riyazi	mathematics
கணிதத்தின்	riyaziyyatdan	mathamates
கணிதத்தில்	riyaziyyatda	maths
கணிதம்	riyaziyyat	maths
கணினிகளில்	kompüterlər	computers
கணினிகளை	kompüterlər	computers
கணினிகள்	kompüterlər	computer
கணினிப்	kompüter	computer
கணினியில்	kompüter	computer
கணிப்பு	proqnozlaşdırma	calculation
கணிப்பொறி	kompüter	computer
கணுக்காலி	artropod	a sect of animals
கணையம்	mədəaltı vəzi	gall bladder
கண்	göz	eye
கண்கள்	gözlər	eyes
கண்காட்சி	sərgi	exhibition
கண்காட்சியாக	sərgi	exhibition
கண்காணிக்கும்	i̇zləmə	to supervise
கண்காணித்தல்	monitorinq	monitoring
கண்காணிப்பு	i̇zləmə	supervision
கண்ட	kanda	saw
கண்டங்களின்	qitələr	continents
கண்டங்களில்	qitələr	in the contiments
கண்டங்கள்	qitələr	continents
கண்டத்தின்	qitə	continent's
கண்டத்தில்	qitədə	in the continet
கண்டனம்	qınandı	condemned
கண்டனர்	tapıldı	had seen
கண்டமாகும்	goatr	goitre
கண்டம்	qitə	continent
கண்டறிதல்	aşkarlama	invention
கண்டறிந்து	müəyyənləşdirin	identified
கண்டறிந்துள்ளனர்	detektorlar	found
கண்டறிய	tapın	search
கண்டார்	tapıldı	seen
கண்டி	kəndi	kandi a town in sri lanka
கண்டிப்பாக	qətiyyən	by all means
கண்டு	bax	to see
கண்டுகொண்டேன்	tapıldı	found
கண்டுபிடிக்கப்பட்ட	kəşf etdi	found
கண்டுபிடிக்கப்பட்டது	kəşf etdi	findout
கண்டுபிடித்த	tapıldı	invented
கண்டுபிடித்தார்	kəşf etdi	found
கண்டுபிடித்து	tapmaq	to discover
கண்டுபிடிப்பு	kəşf	invention
கண்டுபிடிப்புகள்	kəşflər	invention
கண்ணகி	kannagi	kannagi
கண்ணகியின்	kannaginin	kannagi
கண்ணகியை	kannagi	kanagi's
கண்ணதாசன்	kannadəsən	kannadasan
கண்ணன்	kannan	kannan
கண்ணம்மா	kannamma	dear
கண்ணா	xanna	kanna
கண்ணாடி	şüşə	mirror
கண்ணில்	s	in the eyes
கண்ணீர்	göz yaşları	tears
கண்ணுக்குப்	göz	tiny particles
கதவு	qapı	door
கதாநாயகனாக	qurğuşun	hero
கதிரவனின்	günəş qurmaq	sun
கதிரவன்	sol	sun
கதிரியக்க	radioaktiv	radiation
கதிர்	ray	radiation
கதிர்களை	radiasiya	rays
கதிர்கள்	şüalar	rays
கதிர்த்திருப்பம்	katirttiruppam	solstice
கதிர்வீச்சு	radiasiya	radiation
கதை	hekayə	story
கதைகளில்	hekayələrdə	in stories
கதைகளை	hekayələr	stories
கதைகள்	hekayələr	stories
கதையில்	hekayə	in the stories
கத்தோலிக்க	katolik	catholics in chrisitian religion
கத்தோலிக்கத்	katolik	catholic
கந்தகம்	kükürd	magnet
கன	ağırdır	heavy
கனடா	kanada	canada
கனடாவின்	kanada	canada
கனடிய	kanada	canadia
கனரக	ağırdır	heavy works
கனவளவு	həcmi	volume
கனவு	xəyal	dream
கனவுகள்	xəyallar	dreams
கனிம	qeyri-üzvi	chemical
கனிமொழி	kanimozhi	kanimozhi a name
கன்னட	kannada	of kannada
கன்னடம்	kannada	kannda
கன்னி	qız	virgin
கன்னியாகுமரி	kanyakumari	kanyakumari
கன்று	dana	young ones of an elephant are called baby elephant or calf.
கபிலர்	kapilar	kabilar
கப்பம்	tarif	tax
கப்பற்படை	donanma	naval force
கப்பலின்	gəmilər	in the ship
கப்பலில்	göndərmə	ship
கப்பல்	gəmi	ship
கப்பல்களின்	gəmilərin	ships'
கப்பல்களும்	gəmilər	ship
கப்பல்களை	gəmilər	ships
கப்பல்கள்	gəmilər	ships
கப்பி	pulley	pulley
கமல்ஹாசன்	kamal	kamal hassan
கமிட்டி	komitə	committee
கம்பன்	kamban	kambar
கம்பர்	qəmbar	kamban
கம்பி	tel	wire
கம்பியில்லா	korduz	wireless
கம்போடிய	kamboca	kampodia
கம்போடியா	kamboca	cambodia
கம்போடியாவின்	kamboca	combodia
கம்யூனிச	kommunist	communism
கம்யூனிஸ்ட்	kommunist	communist
கயானா	guyana	gayana
கரடிகள்	ayılar	tear
கரம்சந்த்	karamchand	karamchand
கராங்கைடீ	karankaiti	carangidae a fish family
கரிகாலன்	karikala	karikalan
கரிம	üzvi	organic
கரியமில	karbon	carbon di oxide
கரீபியன்	karib	carribean
கரு	döl	sperm
கருக்கலைப்பு	abort	abortion
கருணாநிதி	karunanidhi	karunanithi
கருணை	xeyirxahlıq	mercy
கருத	nəzərə alınıb	thought
கருதப்	nəzərə alınıb	to plan
கருதப்படுகின்றது	nəzərə alınıb	assumed
கருதப்படுகின்றன	nəzərə alınıb	thought
கருதப்படுகிறது	nəzərə alınıb	considered
கருதப்படுகிறார்	nəzərə alınıb	known
கருதப்படும்	nəzərə alınıb	considered
கருதப்படுவது	nəzərə alınmaq üçün	thought
கருதப்பட்ட	tərtib edilir	think of
கருதப்பட்டு	nəzərə alınıb	considered
கருதலாம்	hesab edilə bilər	say
கருதி	nəzərə alaraq	considering
கருதினர்	nəzərə alınıb	thought
கருதினார்	nəzərə alınıb	considered
கருதினார்கள்	nəzərə alınıb	thinking
கருதிய	nəzərə alınıb	thought
கருதுகின்றனர்	düşünün	assumed
கருதுகோள்	fərziyyə	assumption
கருதும்	hesab edir	to have that
கருதுவது	fərz etmək	to think about
கருத்தடை	sterilizasiya	abortion
கருத்தரிப்பு	hamiləlik	pregnancy
கருத்தாகும்	təklif	opinion
கருத்தியல்	nəzəri	matter
கருத்தில்	nəzərə alaraq	in view of
கருத்து	şərh	opinion
கருத்துகளை	şərhlər	comment
கருத்துக்களை	rəylər	opinion
கருத்துக்களைக்	şərhlər	take the opinion
கருத்துக்களையும்	şərhlər	all the points
கருத்துக்கள்	rəylər	opinions
கருத்துப்படி	görə	opinion
கருத்தும்	rəylər	thought
கருத்துரு	konseptual	concept
கருத்துருக்கள்	anlayışlar	conceptions
கருத்தை	fikir	opinion
கருத்தோட்டம்	anlayış	intellectual things
கருநாடக	karnataka	karunadaka
கருப்பு	qara	black
கருப்பை	uterus	uterus
கரும்பு	şəkər	sugarcane
கரும்புலிகள்	qara pələng	black tigers
கருவறை	sanctum	specific part
கருவிகளில்	vasitələrdə	instrument
கருவிகளை	alətlər	instruments
கருவிகள்	aksesuarlar	machines
கருவை	döllər	egg
கரூர்	karur	karur
கரை	sahil	sea or river bank
கரையில்	sahil	shore
கரையை	sahil	shore's
கரையோரப்	sahil	coastal
கரோலினா	karolina	carolina
கர்நாடக	karnataka	carnatic music
கர்நாடகத்தில்	karnatakada	in karnataka
கர்நாடகம்	karnataka	karnataka
கர்ம	karma	karma
கறுப்பின	qara	the black
கறுப்பு	qara	black
கற்க	öyrən	to study
கற்கள்	daşlar	stone
கற்கும்	öyrənənlər	to learn
கற்பனை	təsəvvür edin	imaginations
கற்பனைக்	uydurma	imaginary
கற்றல்	öyrənmək	learning
கற்றார்	öyrənilib	learner
கற்று	öyrən	to learn
கலக்கிறது	qarışır	mixed
கலக்கும்	qarışıqlıq	mixed
கலங்கரை	mayak	essay
கலசம்	kaset	kalasam
கலந்த	qarışıq	mixed
கலந்து	qarışdırın	discuse
கலன்	vedrə	cells
கலப்பின	hibrid	mixed
கலப்பு	qarışdırın	mixed
கலப்புப்	qarışıq	mixed
கலம்	hüceyrə	cell
கலவை	tərkibi	mixure
கலாசார	mədəniyyət	cultural
கலாச்சார	mədəni	culture
கலாச்சாரத்தின்	mədəniyyətin	for culture
கலாச்சாரத்தில்	mədəniyyətdə	culture
கலாச்சாரம்	mədəniyyət	cultures
கலி	qali	a period of destruction
கலிபோர்னியா	kaliforniya	california
கலை	i̇ncəsənət	art
கலைகளை	i̇façılıq sənəti	arts
கலைகள்	i̇ncəsənət	arts
கலைக்	i̇ncəsənət	arts
கலைக்களஞ்சியங்கள்	ensiklopediyalar	wikipedia
கலைச்சொற்கள்	lüğət	cultural terms
கலைஞர்	rəssam	artist
கலைஞர்கள்	rəssamlar	actors
கலைப்	i̇ncəsənət	cultures
கலையாகும்	hung	art
கலையின்	sənət	art
கலையில்	sənətdə	arts
கல்	daş	stone
கல்கத்தா	kalkutta	calcutta
கல்கத்தாவின்	kalkutta	kalkatha
கல்கி	kalki	janarlisum
கல்யாண	kalyana	marriage or wedding
கல்யாணம்	ailəlidir	marriage
கல்லறை	qəbiristanlıq	death place
கல்லீரல்	qaraciyər	lever
கல்லூரி	kollec	college
கல்லூரிகள்	kollejlər	colleges
கல்லூரியின்	kollec	college's
கல்லூரியில்	kollecdə	in college
கல்வி	təhsil	education
கல்வியிலும்	və təhsil	in the education also
கல்வியும்	təhsil	education
கல்வியை	təhsil	education
கல்வெட்டு	yazı	sculpture
கல்வெட்டுகளில்	yazılar	inscription
கல்வெட்டுகள்	yazılar	inscriptions
கல்வெட்டுக்களில்	yazılarda	inscription
கல்வெட்டுக்கள்	yazılar	stone carvings
களங்களின்	domenlər	for the fields
களங்கள்	domenlər	domains
களஞ்சியம்	repozitoriya	wikidpedia
களப்பிரர்	kalabhra	a type of caste
களமாக	sahədə	a place for
களம்	buğalar	field
களின்	s	have that
களிலும்	erkən	in the years
களை	alaq	weast
கள்ளர்	oğrular	kallar a community in tamilnadu
கழகத்தின்	liqa	club
கழகத்தில்	korporasiya	party
கழகத்தை	liqa	a party
கழகம்	korporasiya	institute
கழித்தல்	minuslar	subtraction
கழித்து	daha sonra	after
கழிவு	tullantılar	waste
கழிவுகள்	tullantılar	wastages
கழிவுநீர்	kanalizasiya	ditch water
கழுகு	qartal	eagle
கழுத்து	boyun	neck
கழுத்துப்பட்டை	yaxası	cervical
கவச	zirehli	protective structure
கவனத்தில்	qeyd	make note of
கவனத்தை	diqqət	consentrat
கவனமாக	diqqətlə	carefully
கவனம்	diqqəti yönəldin	consentrate
கவனிக்க	xəbərdarlıq	observe
கவனித்து	qayğı	care
கவனிப்பு	qayğı	attentions
கவரும்	tutmaq	attractor
கவர்ச்சி	zərif	attraction
கவர்ந்து	çəngəl	attracted
கவலை	narahat	anxiety
கவிஞர்	şair	poet
கவிஞர்கள்	şairlər	poets
கவிதை	şeir	poem
கவிதைகளை	şeir	poem
கவிதைகள்	şeirlər	poems
கவிராயர்	kavirayar	poet
கவுண்டர்	sayğac	gounder
கஸ்தூரி	müşk	musk
கா	ga	kaa
காக்க	yadda saxla	save
காக்கும்	müdafiə etmək	protect
காங்கிரசு	konqres	congress
காங்கிரஸ்	konqres	congress
காங்கோ	konqo	gango
காச	vərəm	tuberculosis
காசநோய்	vərəm	tuberculosis
காசி	kashi	kasi a religious place in northern india
காசுக்கட்டி	kacukkatti	coin bar
காஞ்சி	kanji	kangipuram
காஞ்சிபுரம்	kanchipuram	kancheepuram
காடு	meşə	forest
காடுகளில்	təbiətdə	forest
காடுகளை	meşələr	forests
காடுகள்	meşəçilik	forests
காட்	götürdüm	god
காட்சிப்	bax	seen
காட்சியகம்	qalereya	television
காட்ட	göstərin	to show
காட்டப்பட்டுள்ளது	göstərilib	shown in that
காட்டி	göstərici	shown
காட்டினார்	göstərdi	was
காட்டிலும்	daha çox	in the forest
காட்டில்	meşədə	in the forest
காட்டு	göstərin	forest
காட்டுகின்றது	göstərir	seen
காட்டுகின்றன	göstərin	showing
காட்டுகிறது	göstərir	showing
காட்டும்	göstərir	shown
காட்டுவது	göstərin	showing
காட்மியம்	kadmiyum	katmiyam
காண	bax	find out
காணக்கூடிய	müşahidə olunur	observable
காணப்படலாம்	tapıldı	may be seen
காணப்படவில்லை	tapılmadı	not seen
காணப்படுகின்றது	orada	find out
காணப்படுகின்றன	tapıldı	is seen
காணப்படுகிறது	tapıldı	known
காணப்பட்ட	tapıldı	seen
காணப்பட்டன	tapıldı	seen
காணலாம்	bax	can see
காணவும்	tapın	to see
காணாமல்	i̇tkin	missing
காணுதல்	baxış	findout
காணும்	görmək	seen
காண்க	bax	see
காண்டம்	prezervativ	part
காண்பது	görüldü	seen
காண்பிக்கப்படும்	göstərilib	shown
காண்போம்	edək	lookup
காதலி	qız yoldaşı	lover
காதல்	sevgi	love
காது	qulaq	ear
காதை	qulaq	story
காந்த	maqnetikdir	magnet
காந்தப்	maqnetikdir	magnetic
காந்தளூர்ச்	kantalurc	kanthalur
காந்தி	qandi	gandhi
காந்திக்கு	qandi	to gandhiji
காந்தியடிகளின்	qandinin	gandhi's
காந்தியின்	qandinin	gandhian
காந்தியும்	qandi	gandhi
கான்	kahn	kan
கான்செர்	xərçəng	cancer
காப்பாற்ற	yadda saxla	to rescue
காப்பியங்களில்	epik	epics
காப்பியங்கள்	i̇dillər	epic
காப்பீடு	sığorta	insurance
காப்பு	i̇zolyasiya	backup
காப்புரிமை	patentlər	patent right
காம	şəhvət	kama
காமத்தை	şəhvət	sex related
காமன்வெல்த்	birlik	commonwealth
காமம்	şəhvət	lust
காமராசர்	kamaraj	kamarajar  former chief of tamilnadu state
காமராசு	kamaracu	kamarasu
காமிக்	prikol	comics
காயம்	yaralanma	injury
காய்	kay	vegetable
காய்ச்சல்	qrip	fever
காரணங்களால்	səbəbləri	reasons
காரணங்களுக்காக	səbəblərə görə	for reasons
காரணங்களை	səbəbləri	for the reason of
காரணங்கள்	səbəbləri	reasons
காரணத்தால்	çünki	because
காரணத்தினால்	çünki	reason
காரணத்திற்காக	səbəb	for reason
காரணமாக	səbəbiylə	reason
காரணமாகக்	səbəb	reason
காரணமாகலாம்	səbəb	as per reason
காரணமாகவும்	səbəb	due to
காரணமாகவே	təşəkkür edirəm	reason
காரணமாகிறது	faktorinq	is the reason
காரணமாகும்	səbəb	reasons
காரணமாய்	səbəb	reason
காரணி	faktor	is a factor
காரணிகளாக	amillər	factors of
காரணிகள்	amillər	reasonings
காரணியாக	faktor	factor
காரைக்கால்	qaraikal	karaikal
கார்சினோமா	karsinoma	carcinoma
கார்த்திகை	noyabr	tamil month
கார்த்திக்	karthik	karthick
கார்பன்	karbon	carbon
கார்ல்	karl	carl
காற்றின்	külək	air
காற்றில்	havada	in air
காற்று	hava	wind
காற்றை	külək	air
கால	müddət	period
காலகட்ட	dövr	during that stage
காலகட்டங்களில்	dövrlərdə	different periods
காலகட்டத்தில்	dövrdə	stage
காலகட்டம்	dövri	time period
காலக்	vaxt	time
காலக்கட்டத்தில்	dövr ərzində	during that period
காலக்கோடு	i̇ş qrafiki	line
காலங்கள்	əsrlər	periods
காலத்தால்	dövrə görə	period
காலத்தின்	vaxt	time
காலத்திய	vaxt	time
காலத்திலிருந்து	vaxtından	from that place
காலத்திலும்	vaxt	period
காலத்து	dövr	old age
காலத்துக்கு	dövr üçün	during that period
காலத்துக்குக்	vaxt	years by years
காலத்துக்குப்	vaxt	period
காலத்தை	vaxt	age
காலத்தைக்	vaxt	period
காலத்தைச்	müasir	time
காலத்தையும்	vaxt	period
காலநிலை	i̇qlim	time line
காலனி	koloniya	colony
காலப்	vaxt	periods
காலப்பகுதி	dövr	period
காலப்பகுதியில்	dövrdə	during that period
காலப்போக்கில்	vaxtında	in due course of time
காலமாக	vaxt	for a long time
காலமாகவே	vaxt	for a long time
காலமாகும்	yenidənqurma	period
காலமான	usher	age
காலமும்	mülkiyyət	period and the
காலமே	vaxt	duration
காலம்	müddəti	period
காலவெளி	məkan	a time gap
காலை	səhər	morning
காலையில்	səhər	in the morning
கால்	ayaq	quarter
கால்களில்	bacaklarda	legs
கால்கள்	ayaqları	legs
கால்நடை	mal-qara	veterinary
கால்பந்தின்	futbol	food-ball
கால்பந்து	futbol	foot ball
கால்வாய்	kanal	canal
காளான்	göbələk	fungus
காவற்துறை	polis	police department
காவலர்கள்	mühafizəçilər	gaurds
காவல்	qəyyumluq	security
காவல்துறை	polis	police department
காவி	zəfəran	saffron
காவிய	epik	epical literature
காவியம்	şeir	kaviam
காவிரி	cəvahirat	cauvery
காவிரியின்	kaveri	in the river cauvery
காவிரியுடன்	cauvery ilə	with cauvery
காஷ்மீர்	kəşmir	kashmir
கி	g	christ
கிங்	kral	king
கிசாவின்	giza	kisa
கிடக்கின்றன	edirsiniz	having that
கிடைக்க	mövcuddur	want
கிடைக்கக்கூடிய	mövcudluq	available
கிடைக்கப்	mövcuddur	there
கிடைக்கப்பெறும்	mövcuddur	obtained
கிடைக்கின்றது	mövcuddur	obtained
கிடைக்கின்றன	mövcuddur	is available
கிடைக்கிறது	mövcuddur	obtained
கிடைக்கும்	mövcuddur	will get
கிடைத்தது	tapıldı	received
கிடைத்துள்ளன	orada	have been found
கிடைப்பருமை	qıtlıg	mass
கிடையாது	orada	no problems
கிட்டத்தட்ட	təxminən	nearly
கினி	qvineya	guinea
கினி-பிசாவு	qvineya-bisau	republic of guinea bissau
கிபி	e.ə.	b.c (before christ)
கிமர்	khmer	kimar
கிமீ	km	km
கிமு	e.ə.	bc
கிமுல்	kimul	b.c
கிம்ப்	kimball	kimp
கியூபா	kuba	cuban
கிரக	planetar	planet
கிரகங்களில்	planetlər	planet
கிரகம்	planet	planet
கிரந்த	qrant	granth
கிரனாதா	qranada	granada
கிராண்ட்	böyük	granite
கிராம	kənd	village
கிராமங்கள்	kəndlər	villages
கிராமம்	kənd	village
கிரிக்கெட்	kriket	cricket
கிரீன்	yaşıl	green
கிரீஸ்	yunanıstan	greece
கிருத்துவ	xristian	christian
கிருப்டான்	kripton	krypton
கிருமி	germ	gems
கிருஷ்ண	krişna	krishna
கிருஷ்ணன்	krişnan	krishnan,
கிருஷ்ணமூர்த்தி	krişnamurthy	krishnamurthy
கிருஷ்ணா	krişna	krishna
கிரேக்க	yunanıstan	greek
கிரேக்கக்	yunan	greek
கிரேக்கச்	yunan	greek
கிரேக்கத்	yunanıstan	of greek
கிரேக்கம்	yunan	greek
கிரேக்கர்கள்	yunanlar	greks
கிரேட்	əla	great
கிறித்தவ	evangelist	christian
கிறித்தவம்	xristianlıq	christians
கிறித்தவர்	xristian	christians
கிறித்தவர்கள்	xristianlar	christians
கிறித்து	mənzi̇l	chiristian
கிறிஸ்டோபர்	kristofer	christoper
கிறிஸ்தவ	xristian	christian
கிறிஸ்தவம்	xristianlıq	christianity
கிறிஸ்தவர்கள்	xristianlar	christians
கிறிஸ்து	məsih	christ
கிறிஸ்துமஸ்	milad	christmas
கிறிஸ்துவ	xristian	christian
கிலோ	kiloqram	kilo gram
கிளப்	klub	club
கிளர்ச்சி	üsyançı	revolution
கிளாஸ்	claus	glass
கிளி	tutuquşu	parrot
கிளிநொச்சி	kilinochchi	kilinochi
கிளை	filial	tributaries
கிளைகள்	filiallar	branches
கிழக்கிந்தியக்	şərq	east indian
கிழக்கிலும்	şərq	east
கிழக்கில்	şərq	in east
கிழக்கு	şərq	east
கிழக்குக்	şərq	east
கிழக்குத்	şərq	east
கிழக்குப்	şərq	east
கிழக்கே	şərq	east
கிழங்கு	çuğundur	pottato
கிழார்	qilar	kilar
கீட்டோடொன்டைடீ	kittotontaiti	it is the family of fish
கீதம்	himni	anthem
கீதை	gita	holy book of hindu
கீரை	i̇spanaq	spinach
கீல்வாதம்	osteoartrit	gout
கீழுள்ள	altında	below
கீழே	aşağı	down
கீழேயே	altında	in bottom side
கீழைச்	sonra	name
கீழ்	altında	below
கீழ்காணும்	növbəti	following
கீழ்க்கணக்கு	geriyə	it is an ancient poet of tamil nadu
கீழ்நிலை	aşağı axın	lower grade
கீழ்வருமாறு	dod	below
குகை	mağara	cave
குங்குமம்	vermilion	kungumam
குஜராத்	gujarat	it's place in india
குஜராத்தி	gujarati	gujarathi
குடகு	kodagu	goorg
குடா	körfəz	bay
குடிகள்	sakinlər	circles
குடிசார்	mülki	civilians
குடிநீர்	i̇çməli su	drinking water
குடிமக்களின்	vətəndaşlar	citison
குடிமக்கள்	vətəndaşlar	citizens
குடியரசாக	respublika	rupublic
குடியரசு	dövlətlər	republic
குடியரசுக்	respublikaçı	republic
குடியரசுத்	prezident	republic
குடியியல்	mülki	immigrants
குடியிருப்புகள்	mənzillər	residence
குடியிருப்புக்கள்	qəsəbələr	houses
குடியுரிமை	vətəndaşlıq	nationality
குடியேறினர்	məskunlaşdı	migrated
குடியேற்ற	i̇mmiqrasiya	domacaracy
குடியேற்றங்கள்	qəsəbələr	settlement
குடியேற்றம்	i̇mmiqrasiya	imigration
குடியேற்றவாசிகள்	i̇mmiqrantlar	imigrants
குடியேற்றவாத	i̇mmiqrasiya	relating to emigration
குடும்ப	ailə	family
குடும்பத்தின்	ailənin	in the family
குடும்பத்தில்	ailədə	family
குடும்பத்தைச்	ailə	family of
குடும்பப்	ailə	family
குடும்பம்	ailə	family
குட்டி	küp	kutty , a name in tamil parlance
குட்டுவன்	kuttuvan	duke
குணங்கள்	xüsusiyyətlər	characteristics
குணம்	sağal	characters
குண்டலகேசி	kuntalakeci	gundalakesy
குண்டு	güveç	bomb
குண்டுகள்	qabıqlar	bombs
குதிரை	at	horse
குதிரைகள்	atlar	horses
குத்து	vurmaq	a vertical metal stand
குநோம்	gənc	knome
குனூ	gnu	gnu
குன்றி	boylandı	failure
குமரன்	gənc adam	kumaran
குமரி	kumari	kumari, a district in tamilnadu
குமார்	qumar	kumar
கும்பகோணத்தில்	kumbakonam	in kumbakonam
கும்பகோணம்	kumbakonam	kumbakanam - name of a place
குயிபேர்	kuiper	quebare
குரங்கு	meymun	monkey
குரல்	səs	voice
குரு	guru	monk
குருதி	qan	blood
குருதியின்	qan	through blood
குருதியில்	qan içində	in blood
குருந்தம்	korundum	kuruntham
குரோ-மாகுநன்	cro-makunan	kuro maugunan
குர்ஆன்	quran	quran
குறள்	reuters	kural
குறி	i̇şarələyin	mark
குறிக்க	i̇şarələyin	mention
குறிக்கப்	baxın	categorised
குறிக்கப்படுகிறது	i̇şarələmə	represents
குறிக்கப்படும்	denetlenib	marking
குறிக்கின்றன	i̇şarələyin	represent
குறிக்கிறது	dayanır	conditions
குறிக்கும்	i̇şarələmə	refers
குறித்த	the	note
குறித்தது	qeyd	pointed
குறித்து	the	of
குறித்தும்	the	denoting
குறிபிட்ட	xüsusi	specific
குறிப்பது	etibarlılıq	mention
குறிப்பாக	xüsusilə	in particular
குறிப்பிட	zikr et	particular
குறிப்பிடத்	əhəmiyyətli dərəcədə	mentionable
குறிப்பிடத்தகுந்த	görkəmli	importantly
குறிப்பிடத்தக்க	görkəmli	particular
குறிப்பிடத்தக்கது	diqqətəlayiqdir	notable
குறிப்பிடத்தக்கவை	görkəmli	significant
குறிப்பிடப்	sitat gətirilib	to mention
குறிப்பிடப்படுகிறது	i̇stinad olunur	mentioned
குறிப்பிடப்படும்	müəyyən olunmuşdur	indicated
குறிப்பிடப்படுவது	i̇stinadlar	point out
குறிப்பிடப்பட்ட	müəyyən olunmuşdur	indicated
குறிப்பிடப்பட்டுள்ளது	qeyd edildi	note
குறிப்பிடுகின்றன	göstərin	point out
குறிப்பிடுகின்றார்	dövlətlər	is noted
குறிப்பிடுகிறது	göstərir	note
குறிப்பிடுகிறார்	nitqlər	notes
குறிப்பிடுவது	dəqiqləşdirir	notes
குறிப்பிட்ட	xüsusi	specific
குறிப்பிட்டார்	qeyd olunur	he mentioned
குறிப்பிட்டு	qeyd edir	mentioned
குறிப்பிட்டுள்ளார்	qeyd edildi	mentioned
குறிப்பில்	xüsusilə,	in the mentions
குறிப்பு	qeyd	notes
குறிப்புகளும்	qeydlər	notes
குறிப்புகளை	i̇stinadlar	hints
குறிப்புகள்	göstərişlər	notes
குறிப்புக்கள்	qeydlər	hints
குறியாக்கத்	şifrələmə	encryption
குறியாக்கம்	şifrələmə	formulated
குறியீடாக	simvolik olaraq	symbol
குறியீடு	kod	symbol
குறியீடுகளை	kodlar	points
குறியீடுகள்	kodlar	symbols
குறியீட்டு	i̇ndeks	simple
குறியீட்டை	kod	marker
குறில்	xaçda	short sound letters
குறுக்கு	xaç	cross section
குறுக்கே	üzərində	across
குறுநில	kiçik sahibdir	small scale
குறுந்தொகை	kuruntogai	poem
குறை	aşağı	sortage
குறைகள்	qüsurları	suggesstion
குறைகிறது	azalır	decreases
குறைக்க	aşağı	reduce
குறைக்கிறது	azalır	reducing
குறைக்கும்	azaltmaq	decrease
குறைதல்	düşük	reduction
குறைத்து	düşdü	lessen
குறைந்த	aşağı	lowered
குறைந்தது	ən azı	decrees
குறைந்தபட்சம்	ən azı	minimum
குறைந்து	azalma	lowering
குறைபாடு	çatışmazlıq	deficiency
குறைபாடுகள்	qüsurları	mistakes
குறையும்	azalır	lowers
குறைவாக	aşağı	lower
குறைவாகவே	məhduddur	lower
குறைவான	daha az	lower
குறைவானதாகும்	aşağı	little
குறைவு	azaltmaq	lesser
குற்ற	cinayət	criminal
குற்றங்கள்	cinayət	wrong activities
குற்றம்	cinayət	crime
குற்றவியல்	cinayət	criminal
குல	atalar	trust
குலம்	qəbilə	sect
குலோத்துங்க	kulothunga	kulothungan
குலோத்துங்கன்	kulottunga	kulothungan a king name
குளத்தில்	gölet	pond
குளம்	hovuz	pond
குளிர்கால	qış	winter
குளிர்காலத்தில்	qışda	winter
