$ tỉ	$ miliardo	$ billion
cộ	veicolare	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	radici	origin
cộng	comunità	to add (v.)
cột	pilastro	pole
cớ	scusa	excuse
cờ	scacchi	flag
cỡ	dimensione	size
cợt	divertimento	"(term should be ""đùa cợt"") to trifle (v.)"
cục	reparto	department
cụm	grappolo	cluster
cụp	spazzato	down
cụt	pinguino	"(should be ""xương cụt"") the tailbone or coccyx"
củ	tuberi	a bulb, a botanical term
của	di	of
củi	legna da ardere	firewood
củng	aumento	reinforce
cứ	se stessi	any
cức	bloccare non autenticato	"(term should be ""cức Đê"") a character in chinese history"
cứng	difficile	hard
cứngi	cungi	cungi
cừ	emorroidi	nacre
cừu	agnello	sheep
cửa	la porta	door
cửu	moltiplicazione	nine
cữ	confinamento	abstinence
cữu	eterno	nine
cự	fuoco	against
cựa	segale cornuta	retreat
cực	polo	extreme
cựu	ex	former
d	d	d.
da	pelle	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	duro	persistent
daily	quotidiano	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	dalat	da lat
dampier	dampier	(proper noun) dampier, a last name
dan	dan	dan
dancing	danza	dancing
danger	pericolo	danger
danh	nome	list
daniel	daniel	daniel
dante	dante	dante
dao	coltello	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	data	date
dau	dau	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	decano	a name
degree	laurea	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demetra	(proper noun) demeter, the greek goddess of the harvest
den	tana	den
dennis	dennis	dennis
department	reparto	departmen
derek	derek	derek
des	des	des
descartes	cartesio	descartes
design	disegno	thiet ke
deuterium	deuterio	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	cella	move
diana	diana	(proper noun) diana, as in diana ross
die	morire	german
diego	diego	diego
dien	dien	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	sede centrale	official residence or palace
dionysus	dioniso	dionysus, as in the greek god
discovery	scoperta	discovery
discussion	discussione	discussion
disneyland	disneyland	disneyland
division	divisione	division
divoire	divoire	d'lvoire
diêm	fiammiferi	diem vuong
diên	diên	"(term should be ""kinh diên"") canon (n.)"
diềm	lambrequin	matches
diều	aquilone	kite
diểu	farsa	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	marcia	parade
diệc	airone	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	globale	face to face
diệt	rimozione	to kill or destroy (v.)
diệu	magia	effective (adj.)
djibouti	gibuti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	da	because of
doanh	affari	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	bambola	(proper noun) dolly, as in singer dolly parton
dome	cupola	nha
dominican	domenicano	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	danubio	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	minacciato	threat
dp	dp	dp
dracula	dracula	dracula
draft	bozza	draft
drake	drake	(proper noun) drake
driver	autista	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	viaggiatori	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	silente	dumbledore
dung	capacità	portrait
durham	durham	durham
dursley	dursley	dursley
duy	solo	only
duyên	costa	coastal
duyện	yanzhou	fellatio
duyệt	approvazione	browser
duơng	riconoscente	ocean
duẩn	duan	duan
duật	duat	duat
duệ	discendente	descendants (n.)
duỗi	estensore	stretch
dwight	dwight	dwight
dà	dà	gradually
dài	lungo	to lengthen, as in time
dàn	orchestra	to arrange
dàng	facile	dang
dành	riservata	for
dào	dào	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	spesso	thick
dái	dai	"penis (n.), although some may use the term to mean ""testicles"""
dám	oso farlo	dare
dán	incollare	stick
dáng	forma	appearance
dát	intarsiato	inlay
dâm	sesso	lustful (adj.)
dân	persone	people
dâng	dedicate	dedicate
dây	cordone	nerve
dã	natura	chronicle
dãi	permissività	band
dãn	dilatazione	extend
dãy	fila	a row (n.)
dè	stai attento	tight
défense	défense	defense
dép	cinturini	slipper
dê	capra	goat
dì	zia	aunt
dìu	diu	to lead by the hand (v.)
dính	appiccicoso	stick
dò	sonda	(with word tham) to survey
dòm	un espresso	snoop
dòng	corrente	"(term should be ""dòng họ"") family (n.)"
dó	poonah	a type of plant used to make paper in vietnam (n.)
dông	temporale	a storm (n.)
dõi	abbonarsi	monitor
dù	sebbene	though
dùi	maglio	awl
dùng	uso	use
dăm	schiacciato	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	certo	why
dĩa	disco	dish
dũng	coraggio	courage
dơ	impuro	dirty
dơi	pipistrelli	bat
dư	residuo	remnant
dưa	meloni	melons
dưng	improvvisamente	suddently
dương	positivo	penis
dường	sembra	seem
dưỡng	allattamento	feed
dược	farmaceutico	having to do with medicine (adj.)
dượng	zio	uncle
dạ	sì	night
dại	pazzo	stupid or idiotic (adj.)
dạn	audace	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	forma	tyoe
dạo	a piedi	vending
dạt	lavato	to drift
dạy	insegnare	teach
dải	striscia	range
dấm	aceto	vinegar
dấp	battito	shape
dấu	il segno	signal
dấy	salire	to raise (v.)
dần	gradualmente	people
dầu	olio	oil
dẫm	battistrada	step on
dẫn	guida	to lead
dẫu	anche se	though
dận	montata	to step on
dậu	gallo	rooster
dậy	alzati	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	guida	lead
dằn	zavorra	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	interminabile	dằng dai= long/endless
dẳng	interminabile	persist
dặm	miglio	mile
dặn	comandato	to advise (v.)
dặt	riservata	conservative
dẹp	a tutto campo	pacify
dẹt	piatto	flat
dẻ	castagne	chestnut
dẻo	plastificante	flexible
dế	grilli	cricket
dền	amaranto	beetroot
dể	facile	easy
dễ	facile	easy
dệt	tessitura	textile
dị	orrore	simple
dịch	tradurre	semen
dịp	occasioni	occasion
dịu	lenire	ease
dọa	minacciato	to threaten or scare (v.)
dọc	verticale	along
dỏm	dom	witty
dốc	collina	slope
dối	falso	lie
dốt	cocciuto	stupid or ignorant (adj.)
dồi	salsiccia	"(term should be ""trau dồi"") improve (v.)"
dồn	le spalle al muro	accrue
dỗ	coassiale	dirty
dời	spostamento	leave
dở	cattivo	incomplete
dỡ	scarico	remove
dụ	per esempio	example
dục	fitness	sexuality
dụng	la sua	use
dứa	ananas	pineapple
dứt	fine	to cease
dừa	noce di cocco	coconut (n.)
dừng	arresto	to cease
dữ	dati	"(term should be ""giận dữ"") anger (n.)"
dự	proiettata	attend
dựa	basato	base on
dực	uno basato	dực, as in lê tương dực
dỹ	dy	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	bordo	edge
edinburgh	edimburgo	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	editore	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	see	eea
efron	efron	efron, as in zac efron
egypt	egitto	egypt
eid	eid	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elba	(proper noun) the elbe river
electronic	elettronico	electronic
eliane	eliane	(proper noun) eliane
elip	ellisse	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	ellisse	ellipse
em	bambini	younger sibling
email	e-mail	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emiro	emir
emmy	emmy	emmy
en	it	erica reef
energy	energia	energy
engels	engels	engels
england	inghilterra	(proper noun) england, as in new england
eniac	eniac	eniac
entente	intesa	entente
entropy	entropia	entropy
enzym	enzimi	enzymes
eo	vita	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	essenziale	essential
ethernet	ethernet	ethernet
ethiopia	etiopia	(proper noun) ethiopia
euclid	euclide	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	europa	europe
european	europeo	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	ogni	every
exgay	exgay	exgay
explorer	esploratore	explorer
extensive	esteso	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	fatto	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	lineamenti	features
federer	federer	federer
feet	piedi	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	fidel	fidel
field	campo	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	finitura	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	pesce	fish
fishbed	fishbed	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	fiammingo	fleming
flight	volo	flight
foch	foch	(proper noun) foch
focus	fuoco	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	cibo	food
football	calcio	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	guado	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	forcelle	forks
foundation	fondazione	foundation
fox	volpe	fox
fpt	ftp	a company name in vietnam
fracsin	fracsin	a function
franc	franco	franc
france	francia	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	franco	frank
frankfurt	francoforte	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	fifa	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gam	gam
gambia	gambia	gambia
gamow	gamow	a name
gan	fegato	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	ghisa	cast iron
ganh	contesa	to be jealous
gao	gao	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gallia	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	gay	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	pil	gdp
geisha	geisha	geisha
gen	gene	gene
gene	gene	(proper noun) gene, an english first name
genesis	genesi	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	tedesco	german
germany	germania	germany
gerrard	gerrard	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	wherry	canoe
ghen	geloso	to be jealous (v.)
ghi	record	write
ghim	perno	pin
ghé	i visitatori	visit
ghép	unirsi	fit
ghê	posti a sedere	disgust
ghì	premuto	tighten
ghẻ	coperto di croste	scabies (n.)
ghế	sede	chair
ghề	ruvido	scabby
ghềnh	rapide	waterfall (n.)
gia	famiglia	date
giai	il periodo	period
giam	prigione	imprison
gian	tempo	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibilterra	(proper noun) gibraltar
gichin	gichin	gichin
gieo	scrofa	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	vermi	worm
giuse	joseph	giuse
giuộc	genere	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	vecchio	old (adj.)
giàn	impalcatura	"(term should be ""giàn hoa"") a trellis girder"
giành	won	secure
giàu	ricco	rich or wealthy (adj.)
giày	scarpa	a shoe
giá	prezzo	estimate
giám	direttore	"(term should be ""giám sát"") to supervise (v.)"
gián	scarafaggi	"(term should be ""gián tiếp"") indirectly"
giây	secondi	seconds
giã	addio	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	rilassante	stretch
gièm	stereotipi	"(should be ""gièm pha"") to backstab"
giêhôva	geova	jehovah
giêng	gennaio	january
giêsu	giêsu	jesus
giêxu	gesù	jesus
giò	involtini primavera	leg
giòi	vermi	maggot (n.)
giòn	croccante	crunchy or crispy (adj.)
gió	vento	wind
gióng	culm	align
giúp	aiuto	help
giũa	limatura	sharpen
giơ	marmellata	raise
giương	teso	posture
giường	letto	bed
giả	falso	fake (adj.)
giải	soluzioni	solution
giảm	diminuzione	decrease
giản	semplificata	"(term should be ""giản dị"") simple (adj.)"
giấc	sognare	giấc ngủ= the sleep
giấm	aceto	drabble
giấu	nascondere	hide
giấy	carta	paper
giầu	ricco	rich
giận	arrabbiato	angry
giằng	rinforzo	pull
giặc	il nemico	enemy
giặt	lavaggio	to wash (n.)
giếng	il pozzo	well
giết	uccidere	kill
giềng	vicinato	"(term should be ""láng giềng"") neighboring"
giễu	ridicolo	ridicule
giọng	accento	tone
giọt	cadere	drop
giỏ	cesti	basket
giỏi	buono	good
giồng	tumuli	mound
giỗ	anniversario della morte	anniversaries of deaths
giới	mondo	gender
giờ	l&#39;ora	bao giờ=ever
giở	sollevato	to open or unfold (v.)
giỡn	scherzoso	joke
giục	expedite	urge
giữ	aspetta	hold
giữa	tra	between
gladys	gladys	gladys
glazer	smaltatore	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glucosio	glucose
gmail	gmail	gmail
gnp	pil	gnp
go	go	"(term should be ""gay go"") tense"
goes	va	goes
goku	goku	goku
golden	d&#39;oro	golden
gom	consolidamento	to gather (v.)
google	google	google
gorbachev	gorbaciov	gorbachev
gorbachyov	gorbaciov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	incornare	gore
gorky	gorky	gorky, as in gorky park
gothic	gotico	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	granito	granite
greek	greco	(proper noun) greek
greenland	groenlandia	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	grenadines	grenadines
gross	lordo	gross
grumman	grumman	(proper noun) grumman
gruzia	georgia	gruzia
gryffindor	grifondoro	gryffindor
gs	gs	prof.
gsts	professore	professor- phd
gu	gu	gu
guam	guam	guam
guard	guardia	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guinea	guinea
guinness	guinness	(proper noun) guinness
guitar	chitarra	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	golfo	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	pollo	chicken
gài	infilare	to fasten (v.)
gào	urlato	"(term should be ""thét gào"") to cry out (v.)"
gác	al piano di sopra	guard
gái	ragazza	girl
gán	addetto	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	fardello	hold
gáy	nuca	crow
gân	tendine	tendon
gây	causa	make
gãy	fratture	break
gì	cosa	what
gìn	preservare	preserve
gò	collina	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	vedova	widowed
góc	angolo	angle
gói	pacchetto	goi
góp	contribuito	to contribute
gót	tacchi	heels
gõ	colpi	type
göbbels	gobbels	gobbels, as in joseph gobbels
găm	pugnale	poniard
găng	guanti	gloves
gũi	amichevole	close
gươm	spada	sword
gương	specchio	mirror
gạc	garza	johnson south reef
gạo	riso	rice
gạt	derubato	to cheat or trick (v.)
gả	sposato	marry
gảy	pausa	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	gam	brocade
gấp	urgente	times, as in many times
gấu	l&#39;orso	a bear (n.)
gần	vicino	near
gầy	magro	thin
gẫy	fratture	break
gập	pieghevole	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	bastone	stick
gắm	gam	send
gắn	applicare	mount
gắng	a	try
gắt	rovente	intense
gặm	rosicchiare	rodent
gặp	soddisfare	meet
gặt	raccogliere	harvest
gỉ	inossidabile	rust
gọi	chiamata	call
gọn	breve	neat (adj.)
gọng	bordato	gong
gọt	tagliuzzare	cut
gỏi	insalata	a vietnamese salad
gốc	genitore	origin (n.)
gối	cuscino	"(should be ""qùy gối"") to kneel"
gốm	ceramiche	pottery
gồm	compresi	include
gồng	gong	carry
gỗ	legno	wood
gội	shampoo	shampoo
gộp	lordo	aggregate
gớm	nauseate	tremendous
gờ	ripiano	edge
gởi	send	send
gỡ	disinstallazione	meet
gợi	sollecito	to evoke (v.)
gục	giù	"(term should be ""đánh gục"") crush, as in battle"
gừng	zenzero	ginger
gửi	messaggi	send
ha	ah	hectare
habana	habana	(proper noun) habana
habsburg	asburgo	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	due	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	alogeno	halogen (n.)
ham	godere	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	grotta	cave
hangul	hangul	hangul
hanh	portico	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	deprezzamento	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	ardito	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	arpista	harper
harpercollins	harpercollins	hapercollins
harrier	saccheggiatore	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	venditore ambulante	hawker
hawking	hawking	(proper noun) hawking, as in physicist stephen hawking
hay	o	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	eh	he, a korean name
health	salute	health
heath	brughiera	heath
hee	ih	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	elio	helium
hematocrit	ematocrito	hematocrit
hemoglobin	emoglobina	hemoglobin
hen	asma	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	suino	dolphin
her	il suo	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	ercole	hercules
hermann	hermann	hermann
hermes	ermete	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	esiodo	hesiod
hestia	hestia	hestia
hi	ciao	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	idrogeno	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalayan	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	indù	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	hitchcock	hitchcock
hitler	hitler	hitler
hitter	hitter	hitter
hitters	battitori	hitters
hiên	veranda	(proper noun) hiên, a vietnamese first name
hiđrô	idrogeno	hydrogen
hiếm	raro	rare
hiến	dare	devote
hiếp	stupro	rape
hiếu	pietà filiale	pious
hiềm	hiem	grudge
hiền	mite	sage
hiểm	assicurazione	dangerous
hiểu	capire	learn
hiện	presentarsi	"(term should be ""thực hiện"") to accomplish"
hiệp	unito	united
hiệu	contrassegno	effective
hlv	hlv	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	fiore	flower
hoan	festival	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	olocausto	holocause
holocen	olocene	holocen
holt	boschetto	holt, an english last name
hom	talee	a cutting
homer	omero	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	calabrone	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	tuy nhien	however
hoà	condizionata	peace
hoài	nostalgico	always (adv.)
hoàn	pieno	"(term should be ""hoàn toàn"") completely"
hoàng	regina	royal (adj.)
hoành	diaframma	rife
hoá	merce	"(term should be ""văn hoá"") culture (n.)"
hoán	commutativa	refined (adj.)
hoãn	rinviare	delay
hoạ	pittore	disaster (tham hoa)
hoại	settico	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	attività	work
hoả	fuoco	of
hoảng	depressione	panic-stricken (adj.)
hoặc	o	or
hp	cv	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	unno	(proper noun) hun
hungary	ungheria	hungary
hunt	caccia	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	comandante	a common vietnamese first name
huynh	genitori	older brother
huyền	getto	huyền thoại= legend
huyễn	illusorio	huyen
huyện	distretti	district
huyệt	punti di agopuntura	lair
huân	ordine	"(term should be ""huân chương"") medal (n.)"
huê	l&#39;aumento	"a less common vietnamese word for ""flower"""
huấn	formazione	"(term should be ""huận luyện"") to train (v.)"
huế	colore	hue
huệ	favorito	favour
huống	caso	situation
huỳnh	fluorescente	sulfur
huỷ	cancellazione	destroy
hydra	idra	hydra, a monster in greek mythology
hydro	idrogeno	hydrogen
hyperion	hyperion	hyperion
hà	galassia	"(term should be ""hà nội"") the capital of vietnam"
hài	commedia	corpse
hàm	mascella	"(term should be ""bao hàm"") to imply (v.)"
hàng	fila	row
hào	trincea	depreciation
hách	prepotente	glorious
hái	raccogliere	picking
hán	siccità	china
háo	spettatori	eager
hát	cantare	song
hâm	ventilatore	"(term should be ""hâm mộ"") to admire (v.)"
hân	contento	le ngoc han
hãi	paura	to be scared (v.)
hãn	orda	to sweat (v.)
hãng	azienda	a company (n.)
hãnh	orgoglioso	proud
hè	estate	summer
hé	incrinato	reveal
héo	dissolvenza	dried-out
hét	urlo	shout
hên	hên	luck
hí	teatro	game
hít	respirare	act of kissing (hon hit)
hò	incontri	date
hòa	aria	republic
hòe	hoe	hoe
hòm	bara	box
hòn	isolotto	island
hòng	tentare	in order to
hóc	hoc	a corner (n.)
hót	canto	to chirp or sing (v.)
hô	corallo	respiration
hôi	fallo	stink
hôm	giovedi	day (n.)
hôn	bacio	propose
hông	anca	hip
hù	spaventare	threaten
hùng	eroe	hero
húc	incornare	huc
húng	basilico	"(should be ""húng láng"") water mint"
hút	assorbire	to suck (v.)
hăng	furia	enthusiasm
hđbt	hđbt	hdbt
hđh	os	system software
hũ	vaso	jar
hơi	vapore	slightly
hơn	più	more or less
hư	corrotto	fictional
hưu	pensioni	huu
hương	incenso	smell
hước	umorismo	humor
hướng	direzione	trend
hường	huong	huong
hưởng	premiato	influence
hạ	inferiore	lower
hạc	gru	crane
hạch	ganglio	ganglion
hại	dannoso	harm
hạng	classe	rank
hạnh	felicità	happy
hạo	hao	hao
hạp	giglio bulbo	hap
hạt	contea	seed
hải	dogana	two
hảo	perfetto	perfect
hấn	aggressione	aggressive gesture
hất	cappello	toss
hấu	anguria	"(term should be ""dưa hấu"") watermelon"
hầm	fossa	ham
hầu	quasi	most
hận	odio	hatred
hậu	tempo	anus
hắc	scuro	black
hắn	suo	he (n.)
hắt	in alto	reject
hằng	costante	every
hặc	hac	to criticize (v.)
hẹ	erba cipollina	chinese chives
hẹp	restringere	narrow
hẻm	gola	alley (n.)
hẻo	natura	outback
hến	cozze	mussel
hết	su	most
hề	pagliaccio	"(term should be ""không hề"") never"
hễ	tutti	whenever
hệ	contatti	relation
hệt	identicamente	exactly
hỉ	colpo	happy
hịch	hich	a proclamation
họ	essi	they (n.)
họa	vernice	picture
họach	ritaglio	"(term should be ""quy hoạch"") a project (n.)"
học	imparare	study (v.)
họng	gola	throat
họp	incontri	meet
hỏa	fuoco	fire
hỏng	fail	corruption
hố	fossa	hole
hốc	nicchie	cavity
hồ	lago	ho
hồi	tempo	muslim
hồn	anima	soul
hổ	tigre	tiger
hổi	hoi	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	spalancato	hole
hỗ	supporto	"(should be ""hỗ trợ"") to support or assist"
hỗn	misto	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	montaggio	society
hộp	scatola	box
hới	hoi	hoi
hớn	hon	"(term should be ""hớn hở"") radiant (adj.)"
hờn	hon	hatred
hở	aperto	reveal
hỡi	o	dear
hợi	urgente	pig (n.)
hợp	caso	appropriate
hợpquận	hopquan	general district
hụt	deficit	loss
hủi	lebbra	reject
hủy	cancellazione	to erase or destroy
hứa	promessa	promise
hử	margine	hu
hửu	possessori	"(term should be ""sở hửu"") to own (v.)"
hữu	proprietà	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
