$ tỉ	$ พันล้าน	$ billion
dối	เท็จ	lie
dốt	pigheaded	stupid or ignorant (adj.)
dồi	ไส้กรอก	"(term should be ""trau dồi"") improve (v.)"
dồn	มุม	accrue
dỗ	เย้ายวนใจ	dirty
dời	การกำจัด	leave
dở	ไม่ดี	incomplete
dỡ	การปลดปล่อย	remove
dụ	ตัวอย่างเช่น	example
dục	การออกกำลังกาย	sexuality
dụng	ของมัน	use
dứa	สับปะรด	pineapple
dứt	ปลาย	to cease
dừa	มะพร้าว	coconut (n.)
dừng	หยุด	to cease
dữ	ข้อมูล	"(term should be ""giận dữ"") anger (n.)"
dự	ที่คาดการณ์ไว้	attend
dựa	ตาม	base on
dực	อย่างใดอย่างหนึ่งตาม	dực, as in lê tương dực
dỹ	dy	dy
e	อี	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	เอ็ดการ์	edgar, as in author edgar allan poe (n.)
edge	ขอบ	edge
edinburgh	เอดินเบอระ	(proper noun) edinburgh, as in edinburgh, scotland
edison	เอดิสัน	edison
editor	บรรณาธิการ	editor
edmond	เอดมันด์	edmond
edo	เอโดะ	edo
edward	เอ็ดเวิร์ด	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	อียิปต์	egypt
eid	eid	(proper noun) eid
eiffel	หอไอเฟล	eiffel
einstein	einstein	einstein
eisenhower	ไอเซนฮาว	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	เกาะในทะเลเมดิเตอร์เรเนียน	(proper noun) the elbe river
electronic	อิเล็กทรอนิกส์	electronic
eliane	eliane	(proper noun) eliane
elip	วงรี	ellipse
elizabeth	ลิซาเบ ธ	elizabeth
ellen	เอลเลน	ellen
ellis	เอลลิส	a name
elton	เอลตัน	(proper noun) elton, as in elton john
elvis	เอลวิส	elvis
elíp	วงรี	ellipse
em	เด็ก	younger sibling
email	อีเมล	email
emily	เอมิลี่	(proper noun) emily, as in emily dickinson
emir	เจ้าชายอาหรับ	emir
emmy	เอ็มมี่	emmy
en	en	erica reef
energy	พลังงาน	energy
engels	engels	engels
england	อังกฤษ	(proper noun) england, as in new england
eniac	eniac	eniac
entente	ความเข้าใจกันดีระหว่างประเทศ	entente
entropy	เอนโทรปี	entropy
enzym	เอนไซม์	enzymes
eo	เอว	eo, as in the film captain eo
ep	ep	a name
erich	ริช	erich
erik	เอริค	erik, as in erik moller
eris	eris	eris
eritrea	เอริเทรี	eritrea
ernest	เออร์เนส	(proper noun) ernest
eros	ที่อยู่	eros, greek god of love
erwin	เออร์วิน	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	สำคัญ	essential
ethernet	อีเธอร์เน็ต	ethernet
ethiopia	สาธารณรัฐเอธิโอเปีย	(proper noun) ethiopia
euclid	euclid	euclid
eugene	ยูจีน	eugene
eugène	eugène	(proper noun) eugène
euler	ออยเลอร์	euler
euro	ยูโร	euro, as in the european currency
eurofighter	ยูโรไฟท์เตอร์	eurofighter
europe	ยุโรป	europe
european	ชาวยุโรป	(proper adjective) european
eva	eva	eva
everton	เอฟเวอร์ตัน	everton
every	ทุกๆ	every
exgay	exgay	exgay
explorer	สำรวจ	explorer
extensive	กว้างขวาง	extensive
fabio	ฟาบิโอ	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	ความจริง	fact
facto	อันที่จริง	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	แฟร์เรลล์	farrell
faso	นาฟาโซ	faso
fbi	เอฟบีไอ	fbi
fca	fca	fca
fdi	fdi	fdi
features	คุณสมบัติ	features
federer	เฟเดอเรอ	federer
feet	ฟุต	feet
felipe	felipe	felipe
felis	แมว	(proper noun) felis
felix	เฟลิกซ์	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	เฟอร์ดินานด์	ferdinand
ferguson	เฟอร์กูสัน	ferguson
fernando	เฟอร์นันโด	fernando
ferrari	เฟอร์รารี	ferrari
fiat	คำพิพากษา	fiat
fidel	ฟิเดล	fidel
field	สนาม	field
fifa	ฟีฟ่า	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	ฟิจิ	fiji
finish	เสร็จสิ้น	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	ฟิชเชอร์	fischer, as in louis fischer
fish	ปลา	fish
fishbed	fishbed	fishbed
fitzgerald	ฟิตซ์เจอรัลด์	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	ฟลานเดิส	fleming
flight	เที่ยวบิน	flight
foch	foch	(proper noun) foch
focus	โฟกัส	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	ฟอก	fokker
food	อาหาร	food
football	ฟุตบอล	bong da
forbes	ฟอร์บ	(proper noun) forbes, as in the magazine
ford	ลุย	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	ส้อม	forks
foundation	มูลนิธิ	foundation
fox	จิ้งจอก	fox
fpt	ftp	a company name in vietnam
fracsin	fracsin	a function
franc	ฟรังก์	franc
france	ฝรั่งเศส	france
frances	ฟรานเซส	frances
francis	ฟรานซิส	francis, as in francis xavier
francisco	ฟรานซิส	francisco
franco	ฝรั่งเศส	franco
frank	ตรงไปตรงมา	frank
frankfurt	แฟรงค์เฟิร์ต	(proper noun) frankfurt
franklin	แฟรงคลิน	franklin
franz	ฟรานซ์	(proper noun) franz, as in franz ritter
freud	ฟรอยด์	(proper noun) freud, as in sigmund freud
friedman	ฟรีดแมน	friedman
fu	ฟู	fu
fujiko	ฟูจิโกะ	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	ฟุกุโอกะ	fukuoka
funimation	funimation	(proper noun) funimation
funk	คนขี้ขลาด	funk
futsal	ฟุตซอล	futsal
fx	fx	fx
ga	ga	station
gabon	ประเทศกาบอง	gabon
gabriel	กาเบรียล	gabriel
gabriella	กาเบรียล	gabriella
gagarin	กาการิน	gagarin
gaia	gaia	gaia
gaillard	เกลลาร์	gaillard
galilei	galilei	galilei
galileo	กาลิเลโอ	galileo, the astronomer
gam	เกม	gam
gambia	แกมเบีย	gambia
gamow	gamow	a name
gan	ตับ	liver
gandhi	คานธี	gandhi, as in mahatma gandhi
gang	เหล็กหล่อ	cast iron
ganh	การต่อสู้	to be jealous
gao	gao	strictly
gareth	แกเร็ ธ	a name
garrett	การ์เร็ต	garrett
gary	แกรี่	gary
gascon	แคนเน่	(proper noun) gascon, a dialect of france
gatt	แกตต์	gatt
gaule	ประเทศฝรั่งเศสโบราณ	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	เกย์	tense
gaza	ฉนวนกาซา	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	จีดีพี	gdp
geisha	เกอิชา	geisha
gen	ยีน	gene
gene	ยีน	(proper noun) gene, an english first name
genesis	แหล่งกำเนิด	(proper noun) genesis
georg	เฟรดริก	(proper noun) georg
george	จอร์จ	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ร็อคกี้	ger
gerais	gerais	(proper noun) gerais
gerhard	แกร์ฮาร์ด	gerhard
german	เยอรมัน	german
germany	ประเทศเยอรมัน	germany
gerrard	เจอร์ราร์ด	gerrard, a last name
ghana	กานา	(proper noun) the african country of ghana
ghe	wherry	canoe
ghen	อิจฉา	to be jealous (v.)
ghi	บันทึก	write
ghim	หมุด	pin
ghé	คนที่เข้ามา	visit
ghép	ร่วม	fit
ghê	ที่นั่ง	disgust
ghì	กด	tighten
ghẻ	เป็นขี้เรื้อน	scabies (n.)
ghế	ที่นั่ง	chair
ghề	หยาบ	scabby
ghềnh	น้ำเชี่ยว	waterfall (n.)
gia	ครอบครัว	date
giai	งวด	period
giam	คุก	imprison
gian	เวลา	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	ยิบรอลตา	(proper noun) gibraltar
gichin	gichin	gichin
gieo	หว่าน	sow
gifu	กิฟุ	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	giới	world
giuliani	จูเลียนี	giuliani
giun	พยาธิ	worm
giuse	โจเซฟ	giuse
giuộc	ตระกูล	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	กิซ่า	giza
già	เก่า	old (adj.)
giàn	นั่งร้าน	"(term should be ""giàn hoa"") a trellis girder"
giành	วอน	secure
giàu	ร่ำรวย	rich or wealthy (adj.)
giày	รองเท้า	a shoe
giá	ราคา	estimate
giám	ผู้อำนวยการ	"(term should be ""giám sát"") to supervise (v.)"
gián	แมลงสาบ	"(term should be ""gián tiếp"") indirectly"
giây	วินาที	seconds
giã	ลาก่อน	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	ผ่อนคลาย	stretch
gièm	เวส	"(should be ""gièm pha"") to backstab"
giêhôva	พระยะโฮวา	jehovah
giêng	มกราคม	january
giêsu	giêsu	jesus
giêxu	พระเยซู	jesus
giò	ปอเปี๊ยะ	leg
giòi	หนอน	maggot (n.)
giòn	กรุบ	crunchy or crispy (adj.)
gió	ลม	wind
gióng	ลำต้น	align
giúp	ช่วยเหลือ	help
giũa	การจัดเก็บ	sharpen
giơ	แยม	raise
giương	ยืด	posture
giường	เตียง	bed
giả	เท็จ	fake (adj.)
giải	การแก้ปัญหา	solution
giảm	ลดลง	decrease
giản	แบบย่อ	"(term should be ""giản dị"") simple (adj.)"
giấc	ฝัน	giấc ngủ= the sleep
giấm	น้ำส้มสายชู	drabble
giấu	ซ่อน	hide
giấy	กระดาษ	paper
giầu	รวย	rich
giận	โกรธ	angry
giằng	ค้ำยัน	pull
giặc	ศัตรู	enemy
giặt	ล้าง	to wash (n.)
giếng	ดี	well
giết	ฆ่า	kill
giềng	เพื่อนบ้าน	"(term should be ""láng giềng"") neighboring"
giễu	เยาะเย้ย	ridicule
giọng	สำเนียง	tone
giọt	หล่น	drop
giỏ	ตะกร้า	basket
giỏi	ดี	good
giồng	กอง	mound
giỗ	ครบรอบความตาย	anniversaries of deaths
giới	โลก	gender
giờ	ชั่วโมง	bao giờ=ever
giở	ยก	to open or unfold (v.)
giỡn	ขำขัน	joke
giục	expedite	urge
giữ	ยึดมั่นใน	hold
giữa	ระหว่าง	between
gladys	เกลดิส	gladys
glazer	เกลเซอร์	glazer
glonass	glonass	glonass
gloria	กลอเรีย	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	กลูโคส	glucose
gmail	gmail	gmail
gnp	ผลิตภัณฑ์มวลรวมประชาชาติ	gnp
go	การเดินทาง	"(term should be ""gay go"") tense"
goes	ไป	goes
goku	คุ	goku
golden	ทอง	golden
gom	การรวบรวม	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachev	gorbachev, as in former soviet president mikhail gorbachev
gordon	กอร์ดอน	gordon, as in gordon brown
gore	ขวิด	gore
gorky	กอร์กี	gorky, as in gorky park
gothic	สไตล์โกธิค	gothic
gottfried	กอทท์ฟรี	gottfried
grabeel	grabeel	grabeel, a last name
graham	ทำจากแป้งที่ยังไม่ได้ร่อน	graham
granada	กรานาดา	granada
granit	หินแกรนิต	granite
greek	กรีก	(proper noun) greek
greenland	เกาะกรีนแลนด์	greenland
greenson	greenson	(proper noun) greenson
greenwich	กรีนวิช	(proper noun) greenwich
greg	เกร็ก	greg
grenada	เกรเนดา	grenada
grenadines	เกรนาดีน	grenadines
gross	ทั้งหมด	gross
grumman	grumman	(proper noun) grumman
gruzia	จอร์เจีย	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	ศาสตราจารย์	professor- phd
gu	gu	gu
guam	กวม	guam
guard	ยาม	guard
guatemala	กัวเตมาลา	guatemala
gui	กุย	gui
guinea	ประเทศกินี	guinea
guinness	กินเนสส์	(proper noun) guinness
guitar	กีตาร์	guitar
gujarat	รัฐคุชราต	gujarat
gulag	ป่าช้า	gulag
gulf	อ่าว	gulf
gullit	gullit	(proper noun) gullit
gundam	กันดั้ม	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	กุสตาฟ	gustave
gutenberg	กูเทนเบิร์ก	gutenberg
guyana	กายอานา	guyana; proper noun
gà	ไก่	chicken
gài	เหน็บ	to fasten (v.)
gào	กรีดร้อง	"(term should be ""thét gào"") to cry out (v.)"
gác	ชั้นบน	guard
gái	สาว	girl
gán	ที่ได้รับมอบหมาย	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	ภาระ	hold
gáy	ต้นคอ	crow
gân	เส้นเอ็น	tendon
gây	สาเหตุ	make
gãy	กระดูกหัก	break
gì	สิ่งที่	what
gìn	อนุรักษ์	preserve
gò	เนินเขา	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	แม่หม้าย	widowed
góc	มุม	angle
gói	บรรจุภัณฑ์	goi
góp	มีส่วนร่วม	to contribute
gót	ส้นรองเท้า	heels
gõ	การเคาะ	type
göbbels	gobbels	gobbels, as in joseph gobbels
găm	กริช	poniard
găng	ถุงมือ	gloves
gũi	เป็นมิตร	close
gươm	ดาบ	sword
gương	กระจก	mirror
gạc	ผ้ากอซ	johnson south reef
gạo	ข้าว	rice
gạt	ฉีกออก	to cheat or trick (v.)
gả	แต่งงาน	marry
gảy	หยุด	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	เกม	brocade
gấp	โดยด่วน	times, as in many times
gấu	หมี	a bear (n.)
gần	ใกล้	near
gầy	ผอม	thin
gẫy	กระดูกหัก	break
gập	พับได้	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	ติด	stick
gắm	gam	send
gắn	ใช้	mount
gắng	ไปยัง	try
gắt	เปรี้ยง	intense
gặm	แทะ	rodent
gặp	พบ	meet
gặt	เก็บเกี่ยว	harvest
gỉ	สแตนเลส	rust
gọi	โทรศัพท์	call
gọn	สั้น	neat (adj.)
gọng	ซึ่งได้ปกคลุมไปด้วยเปลือก	gong
gọt	ลดลง	cut
gỏi	สลัด	a vietnamese salad
gốc	ผู้ปกครอง	origin (n.)
gối	รอง	"(should be ""qùy gối"") to kneel"
gốm	เครื่องดินเผา	pottery
gồm	รวมทั้ง	include
gồng	ฆ้อง	carry
gỗ	เนื้อไม้	wood
gội	แชมพูสระผม	shampoo
gộp	ทั้งหมด	aggregate
gớm	ทำให้ไม่สบาย	tremendous
gờ	หิ้ง	edge
gởi	ส่ง	send
gỡ	ถอนการติดตั้ง	meet
gợi	รวดเร็ว	to evoke (v.)
gục	ลง	"(term should be ""đánh gục"") crush, as in battle"
gừng	ขิง	ginger
gửi	โพสต์	send
ha	ฮ้า	hectare
habana	บานา	(proper noun) habana
habsburg	เบิร์กส์	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	ฮาห์น	hahn
hai	สอง	two (adj.)
hal	ห้องโถง	hal
halle	halle	(proper noun) halle
halogen	ธาตุโลหะ	halogen (n.)
ham	เพลิดเพลิน	desire
hamilton	แฮมิลตัน	(proper noun) hamilton
han	ฮัน	han
hang	ถ้ำ	cave
hangul	อังกูล	hangul
hanh	อาเขต	hanh
hanja	อังจา	(proper noun) hanja, a type of chinese script
hansen	แฮนเซน	hasnen
hao	การเสื่อมราคา	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	แฮรัลด์	harald
hardy	บึกบึน	hardy
harlem	ฮาร์เล็ม	harlem
harlow	ฮาร์โลว์	harlow
harold	แฮโรลด์	(proper noun) harold
harper	ฮาร์เปอร์	harper
harpercollins	harpercollins	hapercollins
harrier	สุนัขล่ากระต่าย	harrier, as in harrier jump jet
harris	แฮร์ริส	harris
harry	ก่อกวน	harry
harvard	ฮาร์วาร์	(proper noun) harvard, the name of a college
harvey	ฮาร์วีย์	harvey
havana	ฮาวานา	(proper noun) havana, cuba
havilland	ฮาวิลแลนด์	havilland
hawker	หาบเร่	hawker
hawking	เร่	(proper noun) hawking, as in physicist stephen hawking
hay	หรือ	or
hb	hb	hb
hbv	ไวรัสตับอักเสบบี	hbv
hcl	hcl	hcl
hd	hd	activity
he	หึ	he, a korean name
health	สุขภาพ	health
heath	เฮลธ์	heath
hee	ฮี	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	เฮอัน	heian
heinrich	เฮ็น	heinrich
helen	เฮเลน	helen
helena	helena	helena
heli	ฮีเลียม	helium
hematocrit	ฮี	hematocrit
hemoglobin	เฮโมโกลบิน	hemoglobin
hen	โรคหอบหืด	asthma
henry	เฮนรี่	(proper noun) henry, as in henry kissinger
heo	สุกร	dolphin
her	เธอ	her
herbert	เฮอร์เบิร์	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	แฮร์มันน์	hermann
hermes	hermes	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	เฮเซียด	hesiod
hestia	เฮสเทีย	hestia
hi	สวัสดี	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	ฮิกแคม	(proper noun) hickam
hicks	ฮิกส์	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	ฮิเดโยชิ	(proper noun) hideyoshi
hidro	ไฮโดรเจน	hydrogen
hillsborough	hillsborough	hillsborough
hilton	โรงแรมฮิลตัน	hilton
himalaya	เกี่ยวกับภูเขาหิมาลัย	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	เบอร์ก	(proper noun) hindenburg
hindi	ภาษาฮินดี	hindi
hindu	ฮินดู	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	ฮิรางานะ	hiragana
hiroshi	ฮิโรชิ	hiroshi
hiroshima	ฮิโรชิมา	(proper noun) hiroshima, the japanese city
hitchcock	ฮิตช์ค็อก	hitchcock
hitler	ฮิตเลอร์	hitler
hitter	ตี	hitter
hitters	น่าเกรงขาม	hitters
hiên	ระเบียง	(proper noun) hiên, a vietnamese first name
hiđrô	ไฮโดรเจน	hydrogen
hiếm	หายาก	rare
hiến	ให้	devote
hiếp	ข่มขืน	rape
hiếu	ลูกกตัญญู	pious
hiềm	hiem	grudge
hiền	อ่อนโยน	sage
hiểm	ประกันภัย	dangerous
hiểu	เข้าใจ	learn
hiện	ปรากฏตัวขึ้น	"(term should be ""thực hiện"") to accomplish"
hiệp	ปึกแผ่น	united
hiệu	เครื่องหมาย	effective
hlv	hlv	trainer
hms	ร.ล.	hms
hmông	ชาวม้ง	hmong
hn	hn	hn
hoa	ดอกไม้	flower
hoan	งานเทศกาล	welcome
hogwarts	ฮอกวอต	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	ฮอยอัน	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	โฮล์มส์	a name
holocaust	ความหายนะ	holocause
holocen	โฮโลซีน	holocen
holt	โฮลท์	holt, an english last name
hom	ตัด	a cutting
homer	โฮเมอร์	(proper noun) homer, the authorof the iliad and the odyssey
hon	ที่รัก	"(term should be ""hòn"") rock (n.)"
honduras	ฮอนดูรัส	honduras
hong	hong	hong
honolulu	โฮโนลูลู	honolulu
honshū	honshū	honshu
hopkins	ฮอปกินส์	(proper noun) hopkins
hornet	แตน	hornet
hotspur	ฮอตสเปอร์	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	ฮาวเวิร์ด	(proper noun) howard
however	tuy nhiên	however
hoà	ปรับอากาศ	peace
hoài	เกี่ยวกับความคิดถึง	always (adv.)
hoàn	เต็ม	"(term should be ""hoàn toàn"") completely"
hoàng	พระราชินี	royal (adj.)
hoành	กะบังลม	rife
hoá	สินค้า	"(term should be ""văn hoá"") culture (n.)"
hoán	สับเปลี่ยน	refined (adj.)
hoãn	เพื่อเลื่อน	delay
hoạ	จิตรกร	disaster (tham hoa)
hoại	มีพิษ	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	กิจกรรม	work
hoả	ไฟไหม้	of
hoảng	ที่ลุ่ม	panic-stricken (adj.)
hoặc	หรือ	or
hp	แรงม้า	hp
hq	hq	hq
hudgens	ฮัดเจนส์	(proper noun) hudgens
hudson	ฮัดสัน	hudson
huey	ฮิวอี้	huey
hughes	ฮิวจ์ส	hughes
hugo	ฮิวโก้	(proper noun) hugo
hume	ฮูม	hume, as in david hume
hun	ฮั่น	(proper noun) hun
hungary	ฮังการี	hungary
hunt	ล่า	hunt
hurley	เฮอร์ลีย์	(proper noun) hurley, as in chad hurley
hussein	ฮุสเซน	hussein
husserl	husserl	huserl
huston	ฮัส	huston
hutech	hutech	hutech
huy	ผู้บังคับบัญชา	a common vietnamese first name
huynh	พ่อแม่	older brother
huyền	เครื่องบินไอพ่น	huyền thoại= legend
huyễn	เหลวไหล	huyen
huyện	หัวเมือง	district
huyệt	จุดฝังเข็ม	lair
huân	สั่งซื้อ	"(term should be ""huân chương"") medal (n.)"
huê	การเพิ่มขึ้นของ	"a less common vietnamese word for ""flower"""
huấn	การอบรม	"(term should be ""huận luyện"") to train (v.)"
huế	สี	hue
huệ	ได้รับการสนับสนุน	favour
huống	กรณี	situation
huỳnh	เรือง	sulfur
huỷ	การยกเลิก	destroy
hydra	ไฮดรา	hydra, a monster in greek mythology
hydro	ไฮโดรเจน	hydrogen
hyperion	ไฮเปอร์	hyperion
hà	นภสินธุ์	"(term should be ""hà nội"") the capital of vietnam"
hài	ความขบขัน	corpse
hàm	กราม	"(term should be ""bao hàm"") to imply (v.)"
hàng	แถว	row
hào	สลัก	depreciation
hách	เอาแต่ใจ	glorious
hái	เลือก	picking
hán	ภัยแล้ง	china
háo	ผู้ชม	eager
hát	ร้องเพลง	song
hâm	แฟน	"(term should be ""hâm mộ"") to admire (v.)"
hân	ยินดี	le ngoc han
hãi	ความกลัว	to be scared (v.)
hãn	ฝูงชน	to sweat (v.)
hãng	บริษัท	a company (n.)
hãnh	ภูมิใจ	proud
hè	ฤดูร้อน	summer
hé	แตกขึ้น	reveal
héo	จางหาย	dried-out
hét	เสียงร้อง	shout
hên	ไก่	luck
hí	โรงละคร	game
hít	หายใจ	act of kissing (hon hit)
hò	การนัดหมาย	date
hòa	อากาศ	republic
hòe	จอบ	hoe
hòm	โลง	box
hòn	เกาะเล็กมาก	island
hòng	พยายาม	in order to
hóc	hoc	a corner (n.)
hót	การร้องเพลง	to chirp or sing (v.)
hô	ปะการัง	respiration
hôi	เหม็น	stink
hôm	วันพฤหัสบดี	day (n.)
hôn	จุ๊บ	propose
hông	สะโพก	hip
hù	ทำให้ตกใจ	threaten
hùng	พระเอก	hero
húc	ขวิด	huc
húng	โหระพา	"(should be ""húng láng"") water mint"
hút	ซึมซับ	to suck (v.)
hăng	อาละวาด	enthusiasm
hđbt	hđbt	hdbt
hđh	ระบบปฏิบัติการ	system software
hũ	โถ	jar
hơi	ไอน้ำ	slightly
hơn	ขึ้น	more or less
hư	ทุจริต	fictional
hưu	เงินบำนาญ	huu
hương	ธูป	smell
hước	อารมณ์ขัน	humor
hướng	ทิศทาง	trend
hường	huong	huong
hưởng	ที่ได้รับรางวัล	influence
hạ	ลดลง	lower
hạc	รถเครน	crane
hạch	ปมประสาท	ganglion
hại	เป็นอันตราย	harm
hạng	ชั้น	rank
hạnh	ความสุข	happy
hạo	hao	hao
hạp	หลอดดอกลิลลี่	hap
hạt	เขต	seed
hải	ศุลกากร	two
hảo	สมบูรณ์	perfect
hấn	การรุกราน	aggressive gesture
hất	หมวก	toss
hấu	แตงโม	"(term should be ""dưa hấu"") watermelon"
hầm	หลุม	ham
hầu	เกือบจะ	most
hận	ความเกลียดชัง	hatred
hậu	สภาพอากาศ	anus
hắc	มืด	black
hắn	ของเขา	he (n.)
hắt	เหนือศีรษะ	reject
hằng	คงที่	every
hặc	hac	to criticize (v.)
hẹ	ใบไม้กระเทียม	chinese chives
hẹp	แคบ	narrow
hẻm	หุบ	alley (n.)
hẻo	ธรรมชาติ	outback
hến	หอยแมลงภู่	mussel
hết	มากกว่า	most
hề	ตุ๊ย	"(term should be ""không hề"") never"
hễ	ทุกคน	whenever
hệ	รายชื่อผู้ติดต่อ	relation
hệt	อย่างเดียวกัน	exactly
hỉ	ระเบิด	happy
hịch	hich	a proclamation
họ	พวกเขา	they (n.)
họa	ทาสี	picture
họach	การปลูกพืช	"(term should be ""quy hoạch"") a project (n.)"
học	เรียน	study (v.)
họng	ลำคอ	throat
họp	การประชุม	meet
hỏa	ไฟไหม้	fire
hỏng	ล้มเหลว	corruption
hố	หลุม	hole
hốc	ซอก	cavity
hồ	ทะเลสาป	ho
hồi	เวลา	muslim
hồn	จิตวิญญาณ	soul
hổ	เสือ	tiger
hổi	ฮอยอัน	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	เหวอะ	hole
hỗ	สนับสนุน	"(should be ""hỗ trợ"") to support or assist"
hỗn	ผสม	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	การชุมนุม	society
hộp	กล่อง	box
hới	ฮอยอัน	hoi
hớn	แจ่ว	"(term should be ""hớn hở"") radiant (adj.)"
hờn	hờn	hatred
hở	เปิด	reveal
hỡi	o	dear
hợi	การกด	pig (n.)
hợp	กรณี	appropriate
hợpquận	hopquan	general district
hụt	การขาดดุล	loss
hủi	โรคเรื้อน	reject
hủy	การยกเลิก	to erase or destroy
hứa	คำมั่นสัญญา	promise
hử	ขอบ	hu
hửu	ครอบครอง	"(term should be ""sở hửu"") to own (v.)"
hữu	คุณสมบัติ	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	เอียน	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	ไอบีเรีย	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ไอซี	ic
icc	icc	icc
iceland	ประเทศไอซ์แลนด์	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	อิกอร์	igor
iii	iii	third
ilene	ไอลีน	ilence
illusion	ภาพมายา	illusion
ilyich	ilyich	ilyich
im	im	still
imam	อิหม่าม	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	จิตวิทยา	(proper noun) immanuel, as in immanuel kant
impact	ส่งผลกระทบ	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	ชาวอินเดีย	indian
indiana	อินดีแอนา	indiana
indochina	อินโดจีน	indochina
indonesia	อินโดนีเซีย	indonesia
indrapura	indrapura	(proper noun) indrapura
info	ข้อมูล	info
innsbruck	อินส์บรุ	innsbruck
insulin	อินซูลิน	insulin
int	int	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	องค์การตำรวจสากล	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	อินุ	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	ไอออน	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	อิหร่าน	the nation of iran
iraq	อิรัก	iraq
ireland	ไอร์แลนด์	ireland
irgun	เออร์	irgun
irony	การประชด	irony
irving	เออร์วิง	(proper noun) irving
isaac	ไอแซก	isaac
isla	isla	isla
islam	ศาสนาอิสลาม	islam
islamabad	อิสลามาบัด	(proper noun) islamabad
israeli	ชาวอิสราเอล	israeli
istanbul	อิสตันบูล	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	อิท	itsukushima
itu	itu	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	ช่องเสียบ	jack
jackie	แจ๊คกี้	(proper noun) jackie chan
jackson	แจ็คสัน	(proper noun) jackson, as in michael jackson
