$ tỉ	milliarden dollar	$ billion
cọp	tiger	tiger
cỏ	gras	plant
cố	versuche es	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	tasse	cereal
cối	mörtel	mortar
cốm	nuggets	grilled rice
cống	tribut	dedicate
cồn	alkoholisch	i
cồng	gong	gong
cổng	das tor	gate
cỗ	deck	engine
cỗi	stur	barren
cộ	fahrzeug	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	alt	origin
cộng	plus	to add (v.)
cột	spalte	pole
cớ	entschuldigung	excuse
cờ	flagge	flag
cỡ	größe	size
cợt	scherz	"(term should be ""đùa cợt"") to trifle (v.)"
cục	abteilung	department
cụm	cluster	cluster
cụp	amputiert	down
cụt	amputiert	"(should be ""xương cụt"") the tailbone or coccyx"
củ	knollen	a bulb, a botanical term
của	von	of
củi	brennholz	firewood
củng	auch	reinforce
cứ	auf	any
cức	gurren	"(term should be ""cức Đê"") a character in chinese history"
cứng	schwer	hard
cứngi	hardi	cungi
cừ	stapel	nacre
cừu	schafe	sheep
cửa	die tür	door
cửu	multiplizieren	nine
cữ	cu	abstinence
cữu	sarg	nine
cự	entfernung	against
cựa	sporen	retreat
cực	extrem	extreme
cựu	ehemalige	former
d	d	d.
da	haut	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	zäh	persistent
daily	täglich	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	dalat	da lat
dampier	feuchter	(proper noun) dampier, a last name
dan	dan	dan
dancing	tanzen	dancing
danger	gefahr	danger
danh	name	list
daniel	daniel	daniel
dante	dante	dante
dao	messer	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	datum	date
dau	kopfschmerzen	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	dekan	a name
degree	abschluss	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	den	den
dennis	dennis	dennis
department	abteilung	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	design	thiet ke
deuterium	deuterium	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	sterben	german
diego	diego	diego
dien	verrückt	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	palast	official residence or palace
dionysus	dionysos	dionysus, as in the greek god
discovery	entdeckung	discovery
discussion	diskussion	discussion
disneyland	disneyland	disneyland
division	teilung	division
divoire	divoire	d'lvoire
diêm	streichhölzer	diem vuong
diên	verrückt	"(term should be ""kinh diên"") canon (n.)"
diềm	volants	matches
diều	drachen	kite
diểu	drachen	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	märz	parade
diệc	reiher	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	gesicht	face to face
diệt	töten	to kill or destroy (v.)
diệu	magie	effective (adj.)
djibouti	dschibuti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	von	because of
doanh	gelenk	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	dolly	(proper noun) dolly, as in singer dolly parton
dome	kuppel	nha
dominican	dominikaner	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	bedrohlich	threat
dp	dp	dp
dracula	dracula	dracula
draft	entwurf	draft
drake	drake	(proper noun) drake
driver	fahrer	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	mist	portrait
durham	durham	durham
dursley	dursley	dursley
duy	nur	only
duyên	prädestiniert	coastal
duyện	streben	fellatio
duyệt	durchsuchen	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	nachkommen	descendants (n.)
duỗi	begradigen	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	lang	to lengthen, as in time
dàn	inszenierung	to arrange
dàng	einfach	dang
dành	ausgegeben	for
dào	reichlich vorhanden	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	dick	thick
dái	pissen	"penis (n.), although some may use the term to mean ""testicles"""
dám	wage es zu	dare
dán	einfügen	stick
dáng	form	appearance
dát	eingelegt	inlay
dâm	unzüchtig	lustful (adj.)
dân	menschen	people
dâng	angebot	dedicate
dây	draht	nerve
dã	wild	chronicle
dãi	freizügig	band
dãn	erweitert	extend
dãy	sequenz	a row (n.)
dè	sei vorsichtig	tight
défense	verteidigung	defense
dép	sandalen	slipper
dê	ziege	goat
dì	tante	aunt
dìu	dìu	to lead by the hand (v.)
dính	klebrig	stick
dò	suche	(with word tham) to survey
dòm	schau	snoop
dòng	linie	"(term should be ""dòng họ"") family (n.)"
dó	das	a type of plant used to make paper in vietnam (n.)
dông	gewitter	a storm (n.)
dõi	verfolgen	monitor
dù	obwohl	though
dùi	puncher	awl
dùng	gebraucht	use
dăm	späne	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	natürlich	why
dĩa	gabeln	dish
dũng	tapfer	courage
dơ	schmutzig	dirty
dơi	fledermäuse	bat
dư	überschuss	remnant
dưa	melone	melons
dưng	hör auf	suddently
dương	positiv	penis
dường	scheinen	seem
dưỡng	krankenpflege	feed
dược	apotheke	having to do with medicine (adj.)
dượng	onkel	uncle
dạ	ja	night
dại	dumm	stupid or idiotic (adj.)
dạn	furchtlos	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	format	tyoe
dạo	spazieren gehen	vending
dạt	abgewaschen	to drift
dạy	lehren	teach
dải	streifen	range
dấm	essig	vinegar
dấp	stolpern	shape
dấu	das zeichen	signal
dấy	erregend	to raise (v.)
dần	allmählich	people
dầu	öl	oil
dẫm	stampfen	step on
dẫn	führen	to lead
dẫu	obwohl	though
dận	tante	to step on
dậu	hahn	rooster
dậy	steh auf	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	führen	lead
dằn	ballast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	hartnäckig	dằng dai= long/endless
dẳng	hartnäckig	persist
dặm	meilen	mile
dặn	bestellt	to advise (v.)
dặt	bestellen	conservative
dẹp	platt	pacify
dẹt	flach	flat
dẻ	kastanien	chestnut
dẻo	plastizität	flexible
dế	grillen	cricket
dền	amaranth	beetroot
dể	einfach	easy
dễ	einfach	easy
dệt	weben	textile
dị	singularität	simple
dịch	übersetzen	semen
dịp	anlass	occasion
dịu	sanft	ease
dọa	bedrohlich	to threaten or scare (v.)
dọc	vertikal	along
dỏm	witzig	witty
dốc	hang	slope
dối	lügen	lie
dốt	unwissend	stupid or ignorant (adj.)
dồi	reichlich vorhanden	"(term should be ""trau dồi"") improve (v.)"
dồn	in die enge getrieben	accrue
dỗ	koax	dirty
dời	bewegen	leave
dở	schlecht	incomplete
dỡ	entladen	remove
dụ	zum beispiel	example
dục	sex	sexuality
dụng	verwenden	use
dứa	ananas	pineapple
dứt	beendet	to cease
dừa	kokosnuss	coconut (n.)
dừng	hör auf	to cease
dữ	daten	"(term should be ""giận dữ"") anger (n.)"
dự	projiziert	attend
dựa	basiert	base on
dực	männlich	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	kante	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	herausgeber	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	ägypten	egypt
eid	eid	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektronisch	electronic
eliane	eliane	(proper noun) eliane
elip	ellipse	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	ellipse	ellipse
em	du	younger sibling
email	e-mail	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmy	emmy
en	en	erica reef
energy	energie	energy
engels	engel	engels
england	england	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	entropie	entropy
enzym	enzym	enzymes
eo	taille	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	wesentlich	essential
ethernet	ethernet	ethernet
ethiopia	äthiopien	(proper noun) ethiopia
euclid	euklid	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	europa	europe
european	europäisch	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	jeder	every
exgay	exgay	exgay
explorer	entdecker	explorer
extensive	umfangreich	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	tatsache	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	funktionen	features
federer	föderer	federer
feet	füße	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	fidel	fidel
field	feld	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fidschi	fiji
finish	beenden	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	fisch	fish
fishbed	fischbett	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	flämisch	fleming
flight	flug	flight
foch	foch	(proper noun) foch
focus	fokus	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	essen	food
football	fußball	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	ford	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	gabeln	forks
foundation	stiftung	foundation
fox	fuchs	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	franken	franc
france	frankreich	france
frances	frankreich	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	frank	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	funk	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gramm	gam
gambia	gambia	gambia
gamow	gamow	a name
gan	leber	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	bande	cast iron
ganh	eifersüchtig	to be jealous
gao	gao	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	schwul	tense
gaza	gaza	gaza
gdańsk	danzig	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	geisha	geisha
gen	gene	gene
gene	gen.	(proper noun) gene, an english first name
genesis	entstehung	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	deutsch	german
germany	deutschland	germany
gerrard	gerrard	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	boot	canoe
ghen	eifersüchtig	to be jealous (v.)
ghi	schreibe	write
ghim	stifte	pin
ghé	hör auf	visit
ghép	transplantat	fit
ghê	ekelhaft	disgust
ghì	ghì	tighten
ghẻ	krätze	scabies (n.)
ghế	sitz	chair
ghề	stromschnellen	scabby
ghềnh	stromschnellen	waterfall (n.)
gia	gia	date
giai	bühne	period
giam	festgenommen	imprison
gian	raum	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	säen	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	würmer	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	gizeh	giza
già	alt	old (adj.)
giàn	fachwerk	"(term should be ""giàn hoa"") a trellis girder"
giành	gewonnen	secure
giàu	reich	rich or wealthy (adj.)
giày	schuhe	a shoe
giá	preis	estimate
giám	regisseur	"(term should be ""giám sát"") to supervise (v.)"
gián	kakerlaken	"(term should be ""gián tiếp"") indirectly"
giây	sekunden	seconds
giã	stampfen	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	dehnen	stretch
gièm	kritiker	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jesus	jesus
giêxu	nexus	jesus
giò	frühlingsrollen	leg
giòi	maden	maggot (n.)
giòn	knusprig	crunchy or crispy (adj.)
gió	wind	wind
gióng	wie	align
giúp	hilfe	help
giũa	datei	sharpen
giơ	jammen	raise
giương	abfackeln	posture
giường	bett	bed
giả	fälschung	fake (adj.)
giải	preis	solution
giảm	reduzieren	decrease
giản	vereinfacht	"(term should be ""giản dị"") simple (adj.)"
giấc	schlafen	giấc ngủ= the sleep
giấm	essig	drabble
giấu	verstecken	hide
giấy	papier	paper
giầu	reich	rich
giận	wütend	angry
giằng	aussteifung	pull
giặc	feind	enemy
giặt	waschen	to wash (n.)
giếng	der brunnen	well
giết	töten	kill
giềng	nachbar	"(term should be ""láng giềng"") neighboring"
giễu	lächerlich machen	ridicule
giọng	akzent	tone
giọt	tropfen	drop
giỏ	korb	basket
giỏi	gut	good
giồng	giong	mound
giỗ	todestag	anniversaries of deaths
giới	geschlecht	gender
giờ	die stunde	bao giờ=ever
giở	blinken	to open or unfold (v.)
giỡn	scherz	joke
giục	gedrängt	urge
giữ	warte	hold
giữa	zwischen	between
gladys	gladys	gladys
glazer	glaser	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glukose	glucose
gmail	google mail	gmail
gnp	gnp	gnp
go	geh	"(term should be ""gay go"") tense"
goes	geht	goes
goku	goku	goku
golden	golden	golden
gom	sammeln	to gather (v.)
google	google	google
gorbachev	gorbatschow	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	gore	gore
gorky	gorky	gorky, as in gorky park
gothic	gotisch	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	granit	granite
greek	griechisch	(proper noun) greek
greenland	grönland	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	grenadinen	grenadines
gross	brutto	gross
grumman	grumman	(proper noun) grumman
gruzia	georgia	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	gu	gu
guam	guam	guam
guard	wache	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guinea	guinea
guinness	guinness	(proper noun) guinness
guitar	gitarre	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	golf	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	huhn	chicken
gài	verstauen	to fasten (v.)
gào	schrie	"(term should be ""thét gào"") to cry out (v.)"
gác	wache	guard
gái	mädchen	girl
gán	zuweisen	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	belastung	hold
gáy	nacken	crow
gân	sehne	tendon
gây	ursache	make
gãy	kaputt	break
gì	was	what
gìn	bewahren	preserve
gò	hügel	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	witwe	widowed
góc	ecke	angle
gói	paket	goi
góp	ratenzahlung	to contribute
gót	ferse	heels
gõ	typ	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	horten	poniard
găng	handschuhe	gloves
gũi	schließen	close
gươm	schwert	sword
gương	spiegel	mirror
gạc	gaze	johnson south reef
gạo	reis	rice
gạt	abgezockt	to cheat or trick (v.)
gả	ehe	marry
gảy	gezupft	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brokat	brocade
gấp	beeilen sie sich	times, as in many times
gấu	der bär	a bear (n.)
gần	in der nähe	near
gầy	dünn	thin
gẫy	kaputt	break
gập	falten	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	stöcke	stick
gắm	furz	send
gắn	montiert	mount
gắng	versuche es	try
gắt	hart	intense
gặm	nagen	rodent
gặp	treffen	meet
gặt	ernten	harvest
gỉ	rostig	rust
gọi	anrufen	call
gọn	ordentlich	neat (adj.)
gọng	umrandet	gong
gọt	schälchen	cut
gỏi	salat	a vietnamese salad
gốc	wurzel	origin (n.)
gối	kissen	"(should be ""qùy gối"") to kneel"
gốm	keramik	pottery
gồm	einschließen	include
gồng	gong	carry
gỗ	holz	wood
gội	shampoo	shampoo
gộp	gepoolt	aggregate
gớm	schrecklich	tremendous
gờ	leiste	edge
gởi	senden	send
gỡ	entladen	meet
gợi	suggestiv	to evoke (v.)
gục	zusammengebrochen	"(term should be ""đánh gục"") crush, as in battle"
gừng	ingwer	ginger
gửi	gesendet	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	zwei	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogen	halogen (n.)
ham	schinken	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	höhle	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	winterhart	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	harrier	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havanna	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	straßenhändler	hawker
hawking	falken	(proper noun) hawking, as in physicist stephen hawking
hay	gut	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	er	he, a korean name
health	gesundheit	health
heath	heide	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	helium	helium
hematocrit	hämatokrit	hematocrit
hemoglobin	hämoglobin	hemoglobin
hen	henne	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	schwein	dolphin
her	sie	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	herkules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	ihrs	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestia	hestia
hi	hallo	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	wasserstoff	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindu	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	anhalter	hitchcock
hitler	hitler	hitler
hitter	schlagmann	hitter
hitters	schläger	hitters
hiên	veranda	(proper noun) hiên, a vietnamese first name
hiđrô	wasserstoff	hydrogen
hiếm	selten	rare
hiến	spenden	devote
hiếp	vergewaltigung	rape
hiếu	kindliche frömmigkeit	pious
hiềm	krank	grudge
hiền	salbei	sage
hiểm	gefährlich	dangerous
hiểu	verstehen	learn
hiện	auftauchen	"(term should be ""thực hiện"") to accomplish"
hiệp	halb	united
hiệu	wirkung	effective
hlv	trainer	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	blume	flower
hoan	festival	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holocaust	holocause
holocen	holozän	holocen
holt	holt	holt, an english last name
hom	stecklinge	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	hornisse	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	jedoch	however
hoà	krawatte	peace
hoài	nostalgisch	always (adv.)
hoàn	vollständig	"(term should be ""hoàn toàn"") completely"
hoàng	königlich	royal (adj.)
hoành	membran	rife
hoá	chemie	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	verschieben	delay
hoạ	malen	disaster (tham hoa)
hoại	brandwunde	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	feuer	of
hoảng	panik	panic-stricken (adj.)
hoặc	oder	or
hp	hp	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	ungarn	hungary
hunt	jagen	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	houston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	bruder	older brother
huyền	mystisch	huyền thoại= legend
huyễn	illusorisch	huyen
huyện	bezirk	district
huyệt	akupunkturpunkte	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	farbton	"a less common vietnamese word for ""flower"""
huấn	ausbildung	"(term should be ""huận luyện"") to train (v.)"
huế	farbton	hue
huệ	farbton	favour
huống	fall	situation
huỳnh	schwefel	sulfur
huỷ	abbrechen	destroy
hydra	hydra	hydra, a monster in greek mythology
hydro	wasserstoff	hydrogen
hyperion	hyperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	komödie	corpse
hàm	funktion	"(term should be ""bao hàm"") to imply (v.)"
hàng	waren	row
hào	wassergraben	depreciation
hách	anmaßend	glorious
hái	pflücken	picking
hán	dürre	china
háo	eifrig	eager
hát	singen	song
hâm	verrückt	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	angst	to be scared (v.)
hãn	khan	to sweat (v.)
hãng	fest	a company (n.)
hãnh	stolz	proud
hè	sommer	summer
hé	geknackt	reveal
héo	welken	dried-out
hét	schrie	shout
hên	glück	luck
hí	ne	game
hít	einatmen	act of kissing (hon hit)
hò	dating	date
hòa	krawatte	republic
hòe	scheiße	hoe
hòm	arche	box
hòn	insel	island
hòng	gut	in order to
hóc	hóc	a corner (n.)
hót	singen	to chirp or sing (v.)
hô	ho	respiration
hôi	foul	stink
hôm	tag	day (n.)
hôn	kuss	propose
hông	hüften	hip
hù	erschrecken	threaten
hùng	helden	hero
húc	stoßen	huc
húng	basilikum	"(should be ""húng láng"") water mint"
hút	rauchen	to suck (v.)
hăng	scharf	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	gläser	jar
hơi	leicht	slightly
hơn	mehr	more or less
hư	ungezogen	fictional
hưu	im ruhestand	huu
hương	weihrauch	smell
hước	humorvoll	humor
hướng	richtung	trend
hường	huong	huong
hưởng	genießen	influence
hạ	niedriger	lower
hạc	kran	crane
hạch	ganglion	ganglion
hại	schaden	harm
hạng	rang	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	perlen	seed
hải	zoll	two
hảo	perfekt	perfect
hấn	han	aggressive gesture
hất	schleudern	toss
hấu	wassermelone	"(term should be ""dưa hấu"") watermelon"
hầm	eintopf	ham
hầu	fast	most
hận	hass	hatred
hậu	hau	anus
hắc	schwarz	black
hắn	ihn	he (n.)
hắt	niesen	reject
hằng	konstant	every
hặc	hặc	to criticize (v.)
hẹ	schalotten	chinese chives
hẹp	schmal	narrow
hẻm	gasse	alley (n.)
hẻo	abgelegen	outback
hến	muscheln	mussel
hết	vorbei	most
hề	clown	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	system	relation
hệt	identisch	exactly
hỉ	hei	happy
hịch	thud	a proclamation
họ	sie	they (n.)
họa	kunst	picture
họach	planen	"(term should be ""quy hoạch"") a project (n.)"
học	lernen	study (v.)
họng	hals	throat
họp	treffen	meet
hỏa	feuer	fire
hỏng	kaputt	corruption
hố	grube	hole
hốc	nischen	cavity
hồ	see	ho
hồi	anis	muslim
hồn	seele	soul
hổ	tiger	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	klaffend	hole
hỗ	unterstützung	"(should be ""hỗ trợ"") to support or assist"
hỗn	gemischt	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	montage	society
hộp	box	box
hới	offen	hoi
hớn	schrie	"(term should be ""hớn hở"") radiant (adj.)"
hờn	mürrisch	hatred
hở	offen	reveal
hỡi	oi	dear
hợi	schwein	pig (n.)
hợp	geeignet	appropriate
hợpquận	zustimmung	general district
hụt	verpasst	loss
