aajo	smešno	hospitality
ojúlùmọ̀	poznanici	acquaintance
ojútáyé	viskoznost	public
ojúìwé	stranicu	page
okeere	prekomorski	distant
okhotsk	okhotsk	okhotsk
oko	polje	farm
okunkun	tama	darkness
okunrin	čovjek	male person
olodiajodojuko	jedan drugog	facing wall
olohun	vlasnici	god
olojukanna	odmah	same surface
olokunkun	slušalice	popular
ololugbe	gubitnik	occupants
olopon	uzvišen	a local game
olora	debeo	fertile
oloselukan	zdravo	one political
oloye	genijalno	chief
oluda	tvorac	creator
oludase	proizvođač	separatist
olukoitan	instruktor	the writer
olukowe	autor	writer
olumojuto	pohlepan	overseer
oluparapo	kombinacija	joint
olusoju	čuvar	ambassador
oluwakiri	istraživanje	explorer
olympus	olimpus	olympus
olódùmarè	svemogući	almighty god
olóyè	vladar	chief
olóṣèlú	političar	politics
olùbátan	ovaj kontakt	relative
olùdarí	lider	director
olùkópa	saradnik	participant
olùkó	instruktor	teacher
olùkọ́	učitelj	teacher
omi	voda	water
omiadalu	poplava	mixture
onialjebra	onialjebra	of algebra
onibugbe	stanar	population
onigbeja	konstruktivno	allied
onigbowo	sponzora	sponsor
onigunfenfe	pasivan	large angle
onilanaibagbepo	kondom	constitutional
onilile	vlasnici kuća	solid
oninawo	dužnik	financial
onipin	racionalno	even
onisayensi	tehničar	scientific
onisowo	trgovac	trader
oniyewumeji	binarni	two-chamber
oniyijulo	fenomenalno	highest honour
onje	dijeta	food
onka	kalkulator	counter
onígbàgbó	stari covjek	believer
oníkólóbó	uvredljiv	onikolobo (place)
onílẹ̀	dole	land owners; citizens (omo onile)
oníná	vatra	electronic
onítumò	prevodilac	meaning
onítèbọmi	kršteni	baptist
onítòhùn	računovođa	that person
oníwòsàn	iscelitelju	doctor
oníyanjù	animirani	persevere
ooni	krokodila	ooni (king)
ootọ́	istinito	truth
opec	opec	opec
opposite	suprotno	odi
ori	glava	top
oriire	čestitke	success
oriki	orijentalni	name of endearment
orileede	nacija	country
orileedeajoba	imperijalizam	monarchic country
orilejoba	vlada	seat of government, kingdom
orileominira	toplina	republic
orinìyìn	pjesma	songs of praise
orisirisi	raznolikost	various
orisun	izvor	source
orisa	porijeklo	god
oritameta	u sredini	crossway
orudnun	godišnja	mispelled...should orundun, century
oruko	imenica	name
oríilè	nacionalna	land
oríilẹ̀	članak	land
oríkì	poezija	family name
orílèèdè	nacija	country
orílẹ̀	nacija	continent
orílẹ́	veče	nation
orísiirísi	razne	various
orísìí	raznolikost	type
orísìírísi	različite vrste	various
orúko	polje	name
oscar	oscar	oscar
oseluarailu	civilni	political unit
otherwise	inače	ibaje
otutu	mnogi	coldness
oun	on	it
owojagidijagan	teroristi	upheaval
oúnjẹ	hrana	food
odún	godine	year
ojó	kišno je	day
okùnrín	smeh	man
olórun	bože	god
olósìn	vjerski	rearing
odun	godišnje	year
olorun	bože	god
omonìyàn	ljudska bića	human beings
opolo	mnogi	brain
ose	ose	week
oyé	svijet	harmattan
ofò	dobro jutro	nothingness
opolo	mnogi	brain
paa	ugasiti	back
paapaa	posebno	especially
padá	pod	go back
palauan	palauan	palauan
panaˈma	panaˈma	panama
panyanan	the_space	spanish
papa	tata	specifically
parapọ̀	mješavina	join
paripari	kraj	finally
pele	šarmantan	hello
penh	penh	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	biser	with
phillipines	filipini	phillipines
pinsi	opadajući	divided
pinsoto	pinoto	separated
pinu	odlučna	decide
pipo	mnogo	plenty
pipolongo	oglas	publicise
piposi	mnogo	multiplication
platos	platos	plato's
plánẹ́tì	vodovod	planet
po	po	share
pojulo	najviši	larger
polandi	poljski	poland
polaroid	polaroid	polaroid
population	stanovništva	ero
portonovo	portonovo	porto novo
portuguese	portugalski	portuguese
press	pritisnite	press
produced	proizvedeno	yo
protokolu	protocolu	protocol
proton	protoni	kemika alaropo
providence	proviđenje	providence
príncipe	príncipe	principe
pupa	crveno	red
px|kùránì	px | kernel	koran or quran; the px  does not belong
pàmò	tačnije	pamo (town)
pàràkòyí	odmah	parakoyi
pààlà	granica	signalised
pàápàá	posebno	especially
pásíà	podrum	persia
pátáporongodo	apsolutno	entire
pè	zvani	that
pèhìndà	sperma	turned back
pèlu	zajedno sa	with
pèlúpèlú	takođe	in addition
pèsè	pod uvjetom	provide
pé	da	that
péré	samo	only
péé	da	that
pípa	klanja	order
pípèsè	odredba	providing
pípẹ́	dugo	long
pòwe	poslovice	to say a proverb or wise saying
pò	saviti	join
púpo	previse	much
púpò	radije	a lot
quran	kur&#39;an	quran
ra	kupiti	self
race	trka	ere
rajya	nada	rajya
ramadan	ramadan	ramadan
rank	čin	ipo
reggae	reggae	reggae
repeats	ponavlja	tunso
repetejulo	najosjetljivija	most of all
rere	dobro	success
research	istraživanja	agbeyewo
richard	richard	richard
right|thumb|px|aworan	desno | palac | px | slika	picture
rinle	novo	emphasise
riresile	diktafon	humbled, lowered
riro	mašta	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	misli	thought
robinson	robinson	robinson
roboto	površine	round
rogbodiyan	nered	riot
rokirika	pregledavanje	publicise
roko	mob	farm work
roma	romi	roma
rome	hrom	rome
ronald	ronald	ronald
rorùn	lako	easy
rossii	rossii	rossii
rural	seoski	igberiko
ryan	ryan	ryan
ráhàn	pojavile	complain
ránmú	brini	grumble
république	république	republic
ré	c	his/her
rìn	hodati	should be orin, song or music
ròyìn	izvijestili	give account
rẹ	ona	it
saarc	ukloniti	saarc
saaree	superiorni	after death
saarland	na podu	saarland
safari	safari	safari
saffana	safir	savannah
safiwe	poređenje	describe
safta	poredati	safta
saheli	praktičnost	sahel
sakyamuni	sljedeći	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	život	explained
sambia	mladost	zambia
samioro	na raspolaganju	signal
santa	santa	santa
say	reći	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	more	odo
seat	sjedište	itedo
segbese	po mogućstvu	take steps
seidamo	jasno	identify
semolara	astma	accustom
semudaju	naravno	assure
senegal	senegal	senegal
sense	smisla	sensi
seville	seville	seville
sewadi	pretraživanje	investigate
sharon	sharon	sharon
sibesibe	još	further more
sihamoni	struktura	sihamoni
sile	iza	previously
silè	kapi	on the ground
sinai	grijeh	sinai
sinsin	religija	unshakably
sioux	sioux	sioux
sise	kuvanje	works
sisodagba	odrastati	came of age
sisopo	povezivanje	joined
sisupapoerekusu	pljuvanje	neighbouring islands
sisupo	množiti	concentrated
slovo	slovo	slovo
so	ljubav	turned
sohun	da	something
solomon	salomon	solomon
soon	uskoro	lai'pe
sopin	kraj	ended
so	tako	tells
spectacular	spektakularno	damanran
stella	stella	stella
structures	građevine	igbekale
suez	suez	suez
sugbo	ali ne	but
sugbọ́n	racionalno	but, however
sun	sunce	sleep
suny	suny	suny
swahili	svahili	swahili
symmetry	simetrija	ogbooga
sàbúrí	iznad svega	saburi
sàmì	znak	signalize
sàn	bolje	flow
sàngó	banda	sango (god of thunder)
sàì	dobro	un
sápadè	ovaj dan	run to
sáàpàdé	sponzorstvo	saapade
sáààrin	između	between
são	novi	sao
sèle	krađa	down
ségun	plakati	conquered
sénégal	sperma	senegal
séyìn	nazad	back
séyìn	nazad	at the back of
sìbẹ̀	još	there
sìni	kozice	likewise
síbèsíbè	ipak	further more
síbú	na zemlju	ocean
sílẹ̀	iznevjeriti	drop
síse	posla	doing
síso	još	spoken
síso	još	saying
síta	napolju	outing
síwon	njih	to them
síwájú	dalje	comes before
síí	ovdje	on it
sòrò	ispiranje mozga	talk
sójà	vojnik	soldier
sóko	biljka	to the farm
sùgbón	naprotiv	but
sọ	reći	lose
si	svakako	to
síse	struktura	performing
sùgbón	naprotiv	but
se	oni to rade	do
sepò	napokon	cooperation
sisé	vježbati	work
sááju	malo	before
sísa	s .ía	to be
sísè	prevod	step
tabi	ili	or
tabili	stola	table
tabora	izbegavanje	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	ograničenja	valiant
talaka	siromašan	poor
talika	siromaštvo	the poor
tara	devet	wholly
tata	filter	wildly
taínos	taínos	tainos
technology	tehnologija	tekinoloji
tedo	upoznavanje	stay
teksas	texas	texas
tele	praćenje	before
temptation	tražeći	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	the the	does no directly translate
they	oni	won
those	one	awon
thumb|left|upright|nelson	palac | levo | uspravno | nelson	apa osi naro
tira	napeto	quranic verse
tirana	tirana	tirana
tirè	njegov	own
titu	pucati	cold (if it's a person's name, it is tutu)
tiwọn	njihove	theirs
to	do	it
toje	retko	that is
tokasi	istaknuo	pointing to
tokyo	tokyo	tokyo
tolerejulo	tolerirati	most profitable
tolórítelémù	holokaust	all manners of people
tomé	paradajz	tome
tooto	stvarno	true
tori	tori	because
torun	brineta	heavenly
toseluaralu	političkih	political
tounsejanu	tragičan	control
traduite	traduit	traduite
translated	prevedeno	tunmo
tumosi	znači	means
tuntun	novo	new
tàsí	bez	or
tàwon	njih	theirs
táawà	klanjati se	we
tèlé	praćenje	before
tètè	brzo	quickly
tèlé	odmah	follow
tèsíwájú	da napreduju	progress
té	t	follow
télè	od	before
té	t	shamed
títi	zatvoreno	till
títèlé	pratiti	following
títío	dok	until
tíátà	ulaznice	theater
tíórì	gume	that is seen
tò	set	enough
tóbi	veliko	big
tódárajùlọ	najbolji	most beautiful
tókù	počivaj	others
tówùú	bilo koji iznos	whatever
tó	tó	taught
tóka	citirano	pointed
tú	izliti	untie
túmò	šljiva	means
túnse	preurediti	restructured
tẹ̀ǹbẹ̀	onda	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	zavjera	bitterness
ucb	ucb	ucb
umueri	deca	umueri
unifasiti	univerzitet	university
unla	da	great
urasílì	uracil	uracil
uribe	aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	put	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	pobednik	victor
videos	videozapisi	fidio
vihara	vihara	vihara
villa	vila	villa
viruses	virusa	awon eran
visit	poseta	ibewo
vz	vz	vz
waa	to je	ours
waju	lice	future
wari	miris	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	duhovitost	witkin
wiwari	otkriće	discovered
województwo	cheworddztwo	wojewodztwo
wole	prijaviti se	into
woo	woo	look
wo	ovdje	enter
wo	ovdje	look
won	njih	they
wura	zlato	gold
wyoming	wyoming	wyoming
wàásù	propovijedati	preach
wì	oprati	that
wípè	jasnoća	that
wòfún	pogled	convenient
wònyí	ovo su	these
wón	njih	they
wúnrèn	vježbati	small amount
wọn	njih	they
wọ̀nyí	ove	these
xd	xd	xd
xiv	xiv	xiv
yafran	abeceda	yafran
yakubu	yakub	yakubu
yan	odaberite	choose
yanjú	riješiti	solve
yanturu	dosta	abundant
yaoundé	yaoundé	yaounde
yewo	poboljšanje	examine
ye	da	suitable
ye	da	should
yindinyindin	nikad ne prestani	brightly
yio	će	will
yiowu	to će	any
yipada	okreni se	change
yiyafunnilo	erozije	borrow
yoo	volja	will
yori	led	result
york	york	york
yorúbà	jogurt	yoruba
yo	yo	remove
yànan	zaprepašćenje	scattered
yàtò	postaviti	other than
yára	požuri	quickly
yèwò	pogledaj	examine
yée	pusti ih	eplained to
yì	idi	this
yìí	ovo	this
yí	okreni se	this
yíyípadà	promjena	changed
yíì	ti ces	this
yíò	to će	it will
yẹ̀ẹ́	znate	check
yọ	ukloniti	bring out
zanzibar centralsouth	zanzibar centralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	daleko	bce
àbe	babuna	under
àbámẹ́ta	četvrtak	saturday
àbáyo	prijedlog	breakthrough
àbìkú	besmrtnost	'born to die' child
àbọ̀	polovina	result
àdámò	privatnost	earmark
àdátá	suprotno	adata
àdáátán	ekskluzivno	adaatan
àdóolóró	ulje	bomb
àgbàjọ	starac	assembly
àgbàrá	poplava	power
àgbáríjọ	organizacija	combination
àgbékà	apstraktno	suitable
àgbéyèwò	pregled	examination
àgbìgbò	susjedstvo	a type of bird
àgbùdo	dvorište	corn
àgọ́	šator	ago
àifète	svrhu	unable to keep quiet
àjo	putovanje	board
àjákọ	odvojeno	ajako
àjọṣepọ̀	socijalni	union
àkosílè	apstrakcija	written
àkosílè	teza	written account
àkàrà	kolači	bean pudding
àká	police	store
àkójopò	grupa	collection
àkókó	vrijeme	previous
àlàkalè	ciljevi	breakdown, explanation of actions
àlàyé	informacija	explanation
àlàáfíà	mir	peace
àlááfià	analogija	wellbeing
àlè	kopile	mistress, concubine, (side booty)
àlèpò	gore	joined together
àlébù	mrlja	ills
àmérìkà	natprirodno	america
àmì	potpiši	sign
àmúlò	praktičan	synonyms
àmúsorò	psihologija	resources
ànfàní	prilika	opportunity
àpapọ̀	kao cjelina	federal
àpeere	primjer	example
àrígbámú	uznemirujući	assistant
àrùn	bolest	disease
àrẹ	predsednika	president
àse	gozba	authority
àsàjemátèe	zora	cunning
àsèyìn	poslije	at the end
àsìkò	vreme	time
àsótélè	produžetak	prophecy
àsọdọ̀kan	jedinstvo	unitary
àsekúdórógbó	kora	do or die
àsà	običaj	habit, culture, norm
àtijo	zastario	olden days
àtìpó	stranac	sojourn
àtòrìnká	okolo	urinating while walking
àtúnse	uredi	modification
àtúnse	uredi	renovate, fix
àtẹnudẹ́nu	oralni	oral
àwon	teorije	they
àwón	novac	the
àwón	novac	the
àwùjo	društvu	community
ààtò	ritual	suitability
ààyè	živ	space
àárín	u sredini	middle
àáyá	sperma	seconds
àìkó	nedostatak	unlearned
àìní	željeti	lack
àìròtélè	neočekivano	unthought of
àìsí	odsustvo	lack
án	t	it
áwon	blud	those
èbà	komarci	cassava flour food
èbúté	luka	shore
èdá	kreacija	creature
èdè	jezik	language
èdè	jezik	language
èfòn	napeto	efon
èhìn	sljedeći	outskirt
èka	ogranak	branch
èkejì	drugi	second
èlò	posuđe	tool
ènìkan	nešto	someone
èràn	bolest	virus
èrò	misli	thoughts
èsó	džamija	modesty
èsúrú	mravi	yam (indigenous to west africa)
ète	svrhu	plan
èyì	dostojanstvo	this
èka	efekat	branch
èro	misli	machine
èrí	dokaz	witness
èsìn	religija	religion
èwù	košulja	clothe
èpón	mnogo	modifier
ìbarà	vrućica	ibara (town)
ìbánisòrò	vezu	dialogue
ìbáraeni	kočija	to themselves
ìbílè	pravo rođenja	local
ìbílè	pravo rođenja	local
ìdàgbà	zrelost	grow
ìdàpapọ̀	konsolidacija	union
ìdàrúdàpò	haos	misunderstanding
ìdá	dezerterstvo	division
ìdìmú	uznemiravanje	branch, part
ìdíisin	uzrok	idi-isin
ìdíwòn	tvoj razlog	criteria
ìdó	ubod	ido (a person's name)
ìfara	mučenje	self
ìfojúìtànìgbesiayé	životna istorija	biography
ìfáàrà	sveštenik	introduction
ìgbonnìbí jé	to je katastrofa	igbonnibi
ìgbà	vreme	when
ìgbàgbé	zaboravan	forgetfulness
ìgbá	krila	time
ìgbáraga	snage	pride
ìgbéraga	ponos	pride
ìgbésí	život	life
ìgbò	ram	igbo people
ìhun	gvožđe	things
ìjo	ples	church
ìjo	crkvu	church
ìjoba	vlada	government
ìjora	mrziti	resemblance
ìjìnlè	misterija	comprehensive
ìjìnlè	misterija	mysterious
ìjò	vođa	consent
ìjọba	vlada	government
ìkejì	drugi	second
ìkànna	isto	ikanna (town)
ìkèrèkú	zagušenja	ikereku
ìkéde	deklaracija	advert
ìkìjà	izazov	ikija
ìkìlò	zloupotreba	warning
ìkínin	šesti	greetings
ìkẹrin	četvrti	fourth
ìkọpa	učešće	ikopa
ìlera	zdravlja	health
ìlo	poziv	use
ìlà	obris	border
ìlànàn	iluzija	procedure
ìlàorùn	modrice	east
ìlàìnàró	ugnjetavanja	vertical
ìlè	podmićivanje	land
ìlé	dom	land
ìmò	zmija	knowledge
ìmò	munje	knowledge
ìmóbìdo	pravo rođenja	imobido
ìmú	nosa	knowledge
ìmúnilérú	zloupotrebe	slavery
ìmúsára	ojačati	contagious
ìnagije	pobjeda	alias
ìnáwó	izdaci	expenditure
ìpolongo	oglašavanje	advertisement
ìpìlẹ̀núkléù	enkripcija	base
ìpìnlè	početak	foundation
ìpínrò	stavove	economize
ìrànlọ́wọ́	pomoć	help
ìrànàna	pomoć	path-clearing
ìràwọ̀	zvijezde	s
ìrí	iskustvo	sight
ìròkò	misao	iroko
ìròyìn	vijesti	news
ìròyìnwiki	vijesti	wikinews
ìròrùn	iluzija	peaceful
ìró	zvuk	sound
ìrúbo	kolaps	sacrifice
ìsawo	proricanje	divinity-practice
ìse	akcija	behaviour
ìsinsìnyí	sad	modern
ìsirò	proračun	adding
ìsomó	pridruziti se	attachment
ìsàlè	zalazak sunca	down town
ìsèlè	proizvodnja	happening
ìsìn	religija	worship
ìsòrò	meditacija	speech
ìsòrí	pododjela	chapter
ìsú	debljina	lump
ìsọ	prodavnice	stall
ìse	akcija	work
ìsègbèfábo	marljivost	female support
ìsèdá	kreacija	creation
ìsèjoba	vlada	government
ìsílé	dom	house opening
ìsòro	poteškoća	problem
ìse	akcija	action
ìta	napolju	outside
ìtaeko	radionica	outskirts of eko
ìtan	istorija	story
ìtokò	lonac	story
ìtàn	istorija	history
ìtànkálé	poplave	spread
ìtèsíwájú	napredak	progress
ìtójú	briga	treatment
ìtóju	zbrka	treatment
ìtójú	izraza lica	treatment
ìtóka	da se tuku	dictionary
ìtúmò	prevod	meaning
ìtúpalè	prevod	exposition
ìwe	poređenje	book
ìwo	rogovi	horn
ìwàásù	propovijedanje	sermon
ìwéré	brošura	iwere (town)
ìwò	sveukupno	set
ìwòran	vizija	viewing
ìwúlò	korisno	usefulness
ìya	patnja	mother
ìyapa	razdvajanje	divorce
ìyàwó	mlada	wife
ìyípadà	konverzija	transformation
ìṣèlú	politika	politics
ìṣẹ́kù	podsjetnik	broken
ìṣọ̣̀tẹ̣̀	rak	rebellion
òde	napolju	society
òdeojú	bezličan	surface
òdo	mladost	zero
òdìkejì	drugi	opposite
òféàrán	slika	a town name
ògbójú	nadležni	brave
ògiri	zid	wall
ògo	slava	glory
ògun	lijek	medicine
ògúndìpẹ̀	praškasti	ogundipe
òjo	izgleda kao	ojo
òjísé	doktor	servant
òkèògbún	hiljadu	oke-ogbun
òkòòkan	jedan po jedan	each
òkú	leševi	corpse
òkúta	kamen	stone
òle	domaćica	lazy
òmiràn	čarobnica	other
òmùàrán	slika	omu-aran (town)
òní	danas	today
òotó	istina	true
òpópóònà	cesta	highway
òranyàn	obavezno	a must
òrìsà	idoli	god
òrí	poglavlje	top
òrò	mozak	word
òsán	podne	afternoon
òsèlú	političar	politics
òsèré	sportista	player
òwù	platno	owu
òṣèlú	politika	politician
òjògbón	kišno vrijeme	learned person
òkan	jedan	heart
òkòòkan	jedan po jedan	each
òpòlopò	mnogi	many
òré	igra	friend
òfò	sljedeći	sorrowful
òpòlopo	mnogi	lot of
òré	igra	friend
òrò	misli	word
òsà	zlatne ribice	lagoon
òwó	novac	hand
òrò	misli	word
òròàjòmó	jutra	part of speech
ó	to	that
óníse	on je dizajner	stricken
ósírísì	pljuvačka	diverse
ósékú	on je mrtav	die suddenly
ó	da	word
ôdún	godina	year
únṣẹlẹ̀	potres	formed
şe	učiniti	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	bolest	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	otvaranje	work
ṣàkóbá	štetno	incriminate
ẹdo	šala	edo
ẹlẹ́bùn	poklon	award winner
ẹlẹ́sìn	vjerski	religionist
ẹnìkan	jedna osoba	someone
ẹsẹ	stopala	verse
ẹtì	jetra	friday
ẹ̀kaawon	podnesci	branch of
ẹ̀kabrítánì	stric	part of britain
ẹ̀kajuly	maja	chapter july
ẹ̀kaoṣù	trnovit	month
ẹ̀kasístẹ̀mù	subjektivni	sistemu=system
ẹ̀kẹ́ta	treći	third, the third
ẹ̀kọ́	obrazovanja	teachings
ẹ̀ni	szo	person
ẹ̀rọ	mašina	machine
ẹ̀wẹ̀	s druge strane	leaf
ọbàkàn	polubrat	step-sister
ọdún	godine	year
ọlọ́mọ	deca	members
ọlọ́run	bog	god
ọmú	sisaš	breast
ọmọ	dijete	c
ọn	to	him
ọpọ́lọpọ́	smokve	many
ọ̀dọ́	mladost	youth
ọ̀gbìn	biljka	seedlings
ọ̀nà	način	ways
ọ̀pòlòpò	akcija	various
ọ̀rọ̀	razgovarati	word
ọ̀sẹ	sedmicu	week
