$	usd	dollars
главното	galvenais	main
главоболие	galvassāpes	headache
глагол	darbības vārds	verb
глаголица	glagolitic	glagolitic alphabet
глаголицата	glagolitic alfabēts	glagolitic
глад	izsalkums	famine
глас	balss	vote
гласа	balss	voice
гласи	skan	states
гласни	patskaņi	aloud
гласове	balsis	votes
гласуване	balsošana	vote
гласът	balss	voice
гледа	skatīties	see
гледка	skats	view
гледна	paskatījos	view
глина	māls	clay
глинени	māls	clay
глобалното	globālais	global
глобус	zemeslode	globe
глория	glorija	gloria
глуон	gluon	gluons (phisics)
глутницата	iepakojums	pack
глюкагон	glikagons	gluacon
глюкоза	glikoze	glucose
глюкозата	glikoze	glucose
гмт	gmt	tdc
гнездо	ligzda	nest
гну	mežonīgais	wildebeest
го	viņu	him
говор	runa	speech
говорен	runāts	spoken
говорени	runāts	spoken
говори	runā	speeches
говорят	runā	spoken
гог	gogs	gogh
год	gadā	year
година	gadā	year
годината	gads	year
години	gados	years
годините	gados	years
годишен	gada	year
годишна	gada	annual
годишната	gada	the annual
годишни	gada	yearly
годишнината	gadadiena	anniversary
годишните	viengadīgie	annual
годишния	gada	annual
годишният	gada	the annual
годишно	gadā	yearly
годишното	gada	year
гол	mērķis	goal
гола	kails	naked
големи	lieli	large
големина	izmērs	size
големината	izmērs	dimension
големите	lielie	large
големия	lielais	large
големият	lielais	the big
голмайстор	vārtu guvējs	scorer
голо	kails	naked
голове	mērķus	goals
голф	golfs	golf
голям	lieli	large
голяма	liels	large
голямата	lielais	most
голямо	lieliski	big
голямото	lielais	big
гонения	vajāšanas	persecution
гора	mežs	forest
гордън	gordons	gordon
горен	augšējā	upper
горене	dedzināšana	combustion
горещ	karsts	hot
гореща	karsts	hot
горещи	karsts	hot
горещо	karsts	hot
гори	dedzināšana	woods
гориво	degviela	fuel
горивото	degviela	fuel
горите	meži	forestry
горки	slaidi	gorky
горна	augšējā	upper
горната	augšējā	upper
горните	augšējais	upper
горния	augšējā	upper
горно	virs	upper
горното	augšējais	above
горски	mežs	forest
господ	kungs	god
господар	meistars	master
господне	kungs	lord
господство	kundzība	domination
гост	viesi	guest
гости	viesi	guests
гостите	viesi	guests
готви	pavārs	cook
готика	gotu	gothic
готов	gatavs	ready
готови	gatavs	ready
гоце	gotu	goce
гр	pilsēta	town of
гравитационно	gravitācijas	graviotational
гравитация	smagums	gravitation
гравитацията	smagums	the gravity
град	pilsēta	city
града	pilsēta	city
гради	grad	building
градина	dārzs	garden
градината	dārzs	garden
градини	dārzi	gardens
градове	pilsētas	cities
градовете	pilsētas	hail
градска	pilsētas	city
градската	pilsētas	urban
градски	pilsētas	urban
градските	pilsētas	city
градския	pilsētas	city
градският	pilsēta	city
градско	pilsētas	urban
градското	pilsētas	urban
градче	pilsēta	town
градът	pilsēta	city
граждани	pilsoņiem	citizens
гражданин	pilsonis	citizen
гражданите	pilsoņiem	citizens
гражданска	civilā	civil
гражданската	civilā	civil
граждански	civilā	civil
гражданските	civilā	civil
гражданско	civilā	civil
гражданство	pilsonība	citizenship
граматика	gramatika	grammer
грами	grami	grammy
гранада	granāta	gramada
гранит	granīts	granite
граница	robeža	border
границата	robeža	the border
граници	robežas	borders
границите	robežas	borders
граничи	robežas	borders
гранули	granulas	granules
граф	skaita	count
графит	grafīts	graphite
грей	pelēks	grey
грешка	kļūda	error
грешката	kļūda	error
грешки	kļūdas	mistakes
григор	grigor	grigor
грижи	aprūpi	care
гризачи	grauzēji	rodents
грим	meikaps	makeup
грип	gripa	flu
гроб	kapu	grave
гроба	kapu	grave
гробница	kapenes	tomb
гробницата	kaps	tomb
гробници	kapenes	tombs
гробът	kapu	grave
грозде	vīnogas	grape
грубо	rupji	roughly
грузинци	gruzīni	georgian
грузия	gruzijā	georgia
група	grupa	group
групата	grupa	the group
групи	grupas	groups
групирани	sagrupēti	grouped
групировка	grupēšana	group
групите	grupas	the groups
групова	grupa	group
гръбначни	mugurkaulnieki	vertebrate
гръбначните	mugurkaulnieki	vertebrates
гръбначния	skriemeļa	spinal
гръцка	grieķu	greek
гръцката	grieķu	greek
гръцките	grieķu	greek
гръцкия	grieķu	greek
гръцкият	grieķu	greek
гръцко	grieķu	greek
гръцкото	grieķu	greek
грях	grēks	sin
губернатор	gubernators	governor
губи	zaudē	lost
губят	zaudēt	lose
гурко	gurko	gurko
густав	bieza	gustav
гъби	sēnes	marshmallows
гъбите	sēnes	mushrooms
гърба	atpakaļ	back
гърдите	krūtīs	chest
гърло	rīkle	throat
гърци	grieķi	greek
гърците	grieķi	greeks
гърция	grieķija	greece
гъста	blīvs	thick
гъсти	blīvs	thick
гъсто	blīvs	gastaut
гъстота	blīvums	densely
гъстотата	blīvums	density
да	jā	to
даби	dabi	daby
дава	dod	gives
дават	dot	give
давид	dāvids	david
даде	dot	give
даден	dots	given
дадена	dots	a
дадени	dots	given
дадено	dots	given
даже	pat	even
дал	deva	given
дала	deva	given
далеч	tālu prom	away
далечни	tālu	away
далечния	tālais	far
дали	vai	if
далмация	dalmācija	dalmatia
далчев	dalčevs	dalchev
дамян	damyan	damian
дамянов	damianovs	damyanov
дан	nodevu	tick
данай	dots	danais
даниел	daniels	daniel
дания	dānija	denmark
данни	dati	statistics
данните	dati	data
данс	dejot	dance
данте	dante	dante
данък	nodoklis	tax
данъка	nodoklis	tax
данъци	nodokļi	taxes
данъците	nodokļi	taxes
данъчен	nodoklis	tax
дар	dāvana	gift
дарвин	dārziņš	darwin
дарения	ziedojumi	gifts
дарий	darius	darius
дарява	ziedo	donates
дата	datums	date
датата	datums	date
дати	datumi	dates
датира	datumi	dates
датират	datums	date
датиращи	iepazīšanās	dating
датски	dāņu	danish
даугавпилс	daugavpils	daugavpils
два	divi	twice
двадесет	divdesmit	twenty
двама	divi	two
двамата	gan	both
дванадесет	divpadsmit	twelve
дванадесетте	divpadsmit	twelve
двата	gan	both
две	divi	two
двете	gan	two
двигател	dzinējs	engine
двигатели	dzinēji	engines
двигателя	dzinējs	engine
движат	kustēties	move
движение	kustība	movement
движението	kustība	movement
движения	kustība	movements
движенията	kustības	movement
движи	kustas	move
двойка	pāris	pair
двойката	pāris	couple
двойки	pāriem	couples
двойна	dubultā	double
двойно	dubultā	double
двор	pagalms	yard
двора	pagalms	the backyard
дворец	pils	palace
двореца	pils	palace
дворецът	pils	castel
дворци	pilis	palaces
де	kur	de
дебати	debates	debates
дебелина	biezums	thinkness
дебелината	biezums	thickness
дебелото	resnais	large
дебелянов	debelyanov	debelanov
дебют	debija	debyut
дебютира	debitē	debut
дева	jaunava	virgo
девет	deviņi	nine
девойки	meitenes	girls
дейв	dave	dave
дейвид	dāvids	david (name)
дейност	aktivitāte	activity
дейности	aktivitātes	activities
дейността	aktivitāte	activity
действа	akti	act
действат	tēlot	operate, function
действащи	darbojas	active
действие	darbība	effect
действието	darbība	action
действително	patiešām	indeed
действителност	realitāte	reality
действия	darbības	actions
действията	darbības	actions
дейци	aktieri	makers
декарт	atdalīt	descartes
декември	decembris	december
декларация	deklarācija	declaration
деклинация	deklinācija	decline
дел	del	del
дела	lietām	cases
делене	dalīšana	division
деление	dalīšana	division
дели	deli	divided
дело	lietu	case
делото	lieta	case
делта	delta	delta
делтата	delta	delta
делфи	delphi	delphoi
делфини	delfīni	dolphines
делфините	delfīni	the dolphins
делчев	delchev	delchev
делът	daļa	share
делят	dalīties	divided
деметра	demeters	demetra
демографски	demogrāfisks	demographic
демократическата	demokrātisks	democratic
демократична	demokrātisks	democratic
демократичните	demokrātisks	democratic
демократично	demokrātiski	democratic
демокрация	demokrātija	democracy
демокрацията	demokrātija	democracy
демонстрация	demonstrācija	demonstration
демонстрира	demonstrē	demonstrate
ден	dienā	day
деноминации	nominālvērtības	denominations
денудация	atdalīšana	denudation / erosion
деня	dienas	day
денят	diena	day
деп	dep	depp
департамент	nodaļa	department
депресия	depresija	depresion
депутат	mp	member of the parliament
депутати	vietnieki	members of parliament
депутатите	vietnieki	deputies
десен	taisnība	right
десет	desmit	ten
десетилетие	desmitgadē	decade
десетилетието	desmitgadē	decade
десетилетия	gadu desmitiem	decades
десетки	desmitiem	tens
десетте	desmit	ten
десния	taisnība	right
деспот	despots	despot
дестилация	destilācija	destillation
дестинация	galapunkts	destination
детайли	detaļas	details
дете	bērns	child
детето	bērns	child
детска	bērni	children's
детски	bērnu	childish
детство	bērnība	childhood
детството	bērnība	childhood
дефекти	defekti	defects
дефинира	definē	defined
дефиниция	definīcija	definition
деца	bērni	children
децата	bērni	the kids
дж	j	j. (initial)
джак	domkrats	jack
джаки	domkrati	jackie
джаксън	džeksons	jackson
джамии	mošejas	mosques
джамия	mošeja	dzhamie
джамията	mošeja	mosque
джеймс	džeimss	james
джеймстаун	jamestown	jamestown
джейсън	džeisons	jason
джеки	džekijs	dzeki
джексън	džeksons	jackson
джо	džo	joe
джовани	džovanni	giovanni
джоли	džolija	jolie
джон	džons	john
джони	džonijs	johny
джонсън	džonsons	johnson
джордж	george	george
джоузеф	jāzeps	joseph
джуджета	rūķīši	dwarfs
дзен	dienas	zen
ди	di	di
диабет	diabēts	diabetes
диагноза	diagnoze	diagnosis
диагностика	diagnostika	diagnosis
диагностициране	diagnoze	diagnosis
диалект	dialekts	dialect
диалекти	dialekti	dialects
диалози	dialogi	dialogues
диамант	dimants	dinamite
диаманта	dimants	diamond
диаманти	dimanti	diamonds
диамантите	dimanti	the diamonds
диамантът	dimants	diamond
диаметър	diametrs	diameter
диаметърът	diametrs	diameter
диана	diāna	diana
дива	dīva	wild
дивата	savvaļas	wild
диви	savvaļas	wild
дивизии	dalīšana	divisions
дивизия	dalīšana	division
диего	diego	diego
диета	diēta	diet
дизайн	dizains	design
дизартрия	dizartrija	disarthria
дийп	dziļi	deep
диктатор	diktators	dictator
диктатура	diktatūra	dictatorship
димитров	dimitrovs	dimitrov
димитрова	dimitrova	dimitrova
димитровград	dimitrovgrada	dimitrovgrad
димитровден	dimitrovden	dimitri
димитър	dimērs	dimitar
димов	smēķēt	dimov
димчо	dimcho	dimcho
динамо	dinamo	dinamo
династии	dinastija	dynasties
династия	dinastija	dynasty
династията	dinastija	the dynasty
диодор	diode	diodorus
диоклециан	diocletian	diocletian
диоксид	dioksīds	dioxide
диомед	diomed	diomedes
дионис	dionīss	dionysus
дипломатически	diplomātiski	diplomatic
дипломация	diplomātija	diplomacy
директен	tieša	direct
директно	tieši	direct
директор	režisors	director
дирекция	direktorāts	directorate
диск	disks	disc
диска	disks	disc
дискове	diski	disks
дискография	diskogrāfija	discography
дискриминация	diskriminācija	discrimination
дискусии	diskusijas	discussions
дисциплина	disciplīna	discipline
дисциплини	disciplīnas	disciplines
дишане	elpošana	breathing
дишането	elpošana	breathing
длъжност	pozīcija	duty
длъжността	pozīcija	post
дн	dienas	modern day
дневник	dienasgrāmata	journal
дневници	dienasgrāmatas	diaries
дневно	katru dienu	a day
днепър	dņepra	dnieper
днес	šodien	today
днешен	šodien	present
днешна	šodien	today
днешната	šodienas	todays
днешни	šodienas	today's
днешните	šodienas	today
днешния	šodienas	today
днешно	šodien	this days
днешното	šodienas	today
дни	dienas	days
дните	dienas	days
днк	dna	dna
до	uz	to
добавя	piebilst	added
добавяне	pievienojot	added
добавят	pievienot	add
добив	ieguve	production
добива	ražas	yield
добиват	ekstrakts	gain
добивът	raža	production
добитък	liellopi	livestock
доближава	tuvojas	close
добра	labi	good
добре	labi	well, good
добри	labi	dobri
добрите	labie	the good
добрич	labi	dobrich
добро	labi	good
доброволно	labprātīgi	voluntary
доброволци	brīvprātīgie	volunteers
доброто	labais	good
добруджа	dobruja	dobrudzha
добър	labi	good
доведе	svinu	lead
довежда	ved	leads
довеждат	svinu	bring
довела	vadīja	leaded
довели	vadīja	lead to
довело	vadīja	led
доверие	uzticēties	confidence
доган	dogans	dogan
догма	dogma	dogma
договор	līgumu	agreement
договора	līgumu	agreement
договори	līgumi	contracts
договорите	līgumi	agreements
договорът	līgums	agreement
доза	deva	dose
дози	devas	doses
дойде	atnāca	come
докаже	pierādīs	prove
доказано	pierādīts	shown
доказателства	pierādījumi	evidence
доказателство	pierādījums	proof
доказва	pierāda	proves
доказват	pierādīt	prove
докато	kamēr	as long as
доклад	ziņot	report
доколкото	ciktāl	as far as
доктор	ārsts	doctor
доктрина	doktrīna	doctrine
доктрината	doktrīna	the doctrine
документ	dokumentu	document
документи	dokumenti	documents
документите	dokumenti	documents
долара	dolāru	dollars
долен	zemāks	lower
долина	ieleja	valey
долината	ieleja	valley
долини	ielejas	valleys
долините	ielejas	valleys
долна	apakšā	lower
долната	apakša	lower
долни	zemāks	lower
долния	apakša	lower
долно	apakšā	down
долното	apakša	lower
дом	māja	home
дома	mājās	home
домакин	vadītājs	host
домакинството	mājsaimniecību	household
домашната	mājasdarbs	home's
домашни	mājās gatavots	home
домашните	mājasdarbs	home
доминира	dominē	dominates
домове	mājas	homes
домовете	mājas	homes
дон	don	don
донася	nes	brings
донасят	atnest	bring
донякъде	zināmā mērā	somewhat
допреди	pirms	until
допринася	dod ieguldījumu	contributes
допринасят	dot ieguldījumu	contribute
допуска	atzīst	allowed
допускат	atļaut	allow
допълнение	papildinājums	addition
допълнителен	papildu	further
допълнителна	papildu	additional
допълнителни	papildu	additional
дори	pat	even
досега	tik tālu	so far
досегашните	iepriekšējie	former
доста	diezgan daudz	enough
доставки	piegāde	supplies
достатъчно	pietiekami	enough
достига	sasniegt	achieves
достигайки	sasniedzot	reaching
достигат	sasniegt	reach
достигнал	sasniedza	reached
достигнали	sasniedza	reached
достигнат	sasniedza	reach
достигне	sasniedz	reach
достоевски	dostojevskis	dostoevsky
достъп	piekļuvi	access
достъпа	piekļuvi	access
достъпни	pieejams	available
дотогава	līdz tam	until
доход	ienākumi	income
доходи	ienākumi	income
дошли	atnāca	welcome
дпс	dps	dps
др	utt.	other
дракон	pūķis	dragon
дракула	drakula	dracula
драма	drāma	drama
драматичен	dramatisks	drama
драматург	dramaturgs	playwright
драстично	krasi	drastically
дребни	mazs	small
древен	senais	ancient
древна	senais	ancient
древната	senie	ancient
древни	senais	ancient
древните	senie cilvēki	ancient
древния	senie	ancient
древният	senie	ancient
древно	senais	ancient
древногръцката	sengrieķu	ancient greek
древногръцки	senie grieķi	greek
древност	senatne	antiquity
древността	senatne	antiquity
древното	senie	ancient
дрехи	drēbes	clothes
дринов	drinovs	drinov
дроб	frakcija	liver
дробове	plaušas	lungs
друг	cits	other
друга	cits	other
другаде	citur	elsewhere
другата	otrs	the other
други	citi	other
другите	citi	other
другия	otrs	other
другият	otrs	the other
друго	kaut kas cits	other
другото	otrs	other
дружба	draudzība	friendship
дружества	kompānijas	associations
дружество	uzņēmums	company
дружеството	kompānija	company
дружина	sieva	group
дубай	dubaija	dubai
дубровник	dubrovniki	dubrovnik
дует	pūš	duet
дуло	muca	dulo
дума	vārdu	word
думата	vārds	word
думи	vārdi	words
думите	vārdi	the words
дунав	donava	danube
дунава	donava	danube
дунавска	donava	danube
дунавската	donava	danube
дупка	caurums	hole
дупки	caurumi	holes
дупница	caurums	dupnitsa
дух	gars	spirit
духа	gars	spirit
духове	gari	ghosts
духовен	garīgais	spiritual
духовенство	garīdznieki	clergy
духовна	garīgais	spiritual
духовни	garīgais	spiritual
духовно	garīgi	spiritually
душа	dvēsele	soul
душата	dvēsele	soul
души	dvēseles	souls
дъб	ozols	oak
дъга	varavīksne	tribine
дъги	varavīksnes	arc
дъжд	lietus	rain
дъждове	līst	rains
дъждовни	lietains	rain
дълбока	dziļi	deep
дълбоки	dziļi	deep
дълбоките	dziļi	the deep
дълбоко	dziļi	deeply
дълбочина	dziļums	depth
дълг	parāds	debt
дълга	ilgi	long
дългата	garais	long
дълги	ilgi	long
дългите	garie	long
дълго	ilgi	long
дългове	parādi	debts
дължат	pienāk	owe
дължи	parādā	ows
дължина	garums	length
дължината	garums	the length
дълъг	ilgi	long
дъно	apakšā	bottom
дънов	apakšā	deunov
дъното	apakša	bottom
дървен	koka	wooden
дървена	koka	wooden
дървени	koka	wood
дървесина	koksne	ancient
дървесни	kokains	tree
дървета	koki	trees
дърветата	koki	trees
дърво	koksne	tree
държава	valsts	country
държавата	valsts	state
държавен	valsts	state
държави	valstīm	states
държавите	valstīm	states
държавна	valsts	state
държавната	valsts	state
държавни	valsts	state
държавните	valsts	state
държавния	valsts	state
държавният	valsts	state
държавно	valsts	state
държавност	valstiskums	state
държавното	valsts	state
държат	turēt	hold
държи	turēt	holds
дъф	duff	duff
дъщери	meitas	daughters
дъщеря	meita	daughter
дъщерята	meita	daughter
дьо	de	dao
дявола	velns	devil
дядо	vectēvs	grandpa
дякон	diakons	deacon
дял	nosaukums	given
дялове	starpsienas	titles
дясна	taisnība	right
дясната	labā puse	right
дясно	taisnība	right
дясното	labā puse	rigth
е	ir	is
ева	eva	eva
евангелие	evaņģēlijs	gospel
евентуално	iespējams	eventually
еверест	everest	everest
евксиноград	euksinograda	evksinograd
евлия	evliya	evliya
еволюция	evolūcija	evolution
еволюцията	evolūcija	evolution
евразия	eirāzija	eurasia
евреи	ebreji	jews
евреите	ebreji	the jews
еврейска	ebreju	jewish
еврейската	ebreju	jewish
еврейски	ebreju valodā	jewish
еврейския	ebreju	jewish
евро	eiro	euro
еврозоната	eiro zona	eurozone
европа	eiropa	europe
европейска	eiropietis	european
европейската	eiropietis	the european
европейски	eiropietis	european
европейските	eiropietis	the european
европейския	eiropietis	european
европейският	eiropietis	european
европейско	eiropietis	european
европейското	eiropietis	european
европейци	eiropieši	european
европейците	eiropieši	the europeans
европий	eiropas	europe
еврото	eiro	the euro
евтимий	eimonija	evtimiy
евфемизми	eifēmismi	euphemism
евфемизъм	eifēmisms	euphemism
егейска	egejas jūra	aegean
егейско	egejas jūra	aegean
египет	ēģipte	egypt
египетската	ēģiptiešu	egyptian
египетски	ēģiptiešu	egyptian
египетските	ēģiptiešu	egypt's
египтяни	ēģiptieši	egyptians
египтяните	ēģiptieši	egyptians
едва	tik tikko	just
еди	ēst	eddie
един	viens	one
единадесет	vienpadsmit	eleven
единен	vienoti	one
единица	vienība	unit
единицата	vienība	unit
единици	vienības	units
единиците	vienības	units
единични	viens	single
единия	viens	one
единият	viens	one
единна	formas tērps	single
единно	vienveidīgi	single
единствен	vienīgais	the only
единствена	vienīgais	only
единствената	vienīgais	the sole
единствените	vienīgie	the only
единствения	vienīgais	only
единственият	vienīgais	only
единствено	tikai	entirely
единственото	vienīgā lieta	the only
единство	vienotība	unity
единството	vienotība	unity
една	viens	one
еднаква	tas pats	same
еднакви	tas pats	equal
еднакво	vienādi	even
еднакъв	tas pats	even
едната	viens	the one
едни	daži	some
едно	viens	one
едновременно	vienlaicīgi	simultaneously
едноименната	ar tādu pašu vārdu	eponymous
едноименния	ar tādu pašu vārdu	also caled
едното	viens	one
едрата	lieli	heavy
едри	lieli	large
едрите	lieli	large
едуард	edvards	edward
едър	lieli	large
ежегодно	gadā	annually
ежедневието	ikdiena	everyday
ежедневно	katru dienu	daily
езера	ezeri	lakes
езерата	ezeri	lakes
езеро	ezers	lake
езерото	ezers	lake
език	valoda	language
езикова	lingvistiski	language
езикови	lingvistiski	language
езиково	valodiski	language
езикът	valoda	the language
езици	valodās	languages
езиците	valodās	languages
езически	pagānu	pagan
екатерина	katrīna	catherine
еквадор	ekvadora	equador
екватора	ekvatora	equator
екваториалните	ekvatoriālais	equatorial
еквивалент	ekvivalents	equivalent
екзарх	exarch	exarch
екзархия	exarchate	exarchate
екзекутиран	izpildīts	executed
екземпляри	kopijas	specimens
екзистенциализма	eksistenciālisms	existentialism
екип	komanda	team
екипа	komanda	team
екипажа	apkalpe	the crew
еклиптиката	ekliptika	ecliptic
екологични	vide	environmental
екология	ekoloģija	ecology
екосистема	ekosistēma	ecosystem
екран	ekrāns	screen
екскаватор	ekskavators	excavator
експанзия	paplašināšana	expansion
експедиции	ekspedīcijas	expeditions
експедиция	ekspedīcija	expedition
експедицията	ekspedīcija	expedition
експерименти	eksperimenti	experiments
експерти	eksperti	experts
експлоатация	operācija	exploitation
експлоатацията	operācija	exploatation
експозиция	ekspozīcija	exposure
експозицията	iedarbība	the exposition
експонати	eksponāti	exhibits
екстази	ekstāze	ecstasy
ел	el	el
елада	nāc uz	hellas
елвис	elvis	elvis
електрическа	elektriskā	electric
електрически	elektriskā	electic
електрическите	elektriskā	electrical
електрическия	elektriskā	electric
електрическият	elektriskā	electrical
електричество	elektrība	electricity
електричеството	elektrība	electricity
електроенергия	elektrība	electricity
електрон	elektrons	electron
електрона	elektrons	electron
електронен	elektroniska	electronic
електрони	elektroni	electrons
електроника	elektronika	electronics
електроните	elektroni	electrons
електронна	elektroniska	electronic
електронната	elektronisko	electronic
електронни	elektroniska	electronic
електротехника	elektrotehnika	electrical
електрохимия	elektroķīmija	electrochemistry
елемента	elements	elements
елементи	elementi	elements
елементите	elementi	elements
елен	briedis	deer
елена	helēna	elena
елизабет	elizabete	elizabeth
елин	елин	elin
елисавета	елисавета	elisaveta
елит	elite	elite
емануил	emanuels	emanuel
еманципация	emancipācija	emancipation
емблема	emblēma	emblem
емблемата	emblēma	logo
ембриона	embrijs	embryo
ембрионалното	embrija	embryonal
емигранти	emigranti	immigrants
емиграция	emigrācija	emigration
емил	emils	emil
емилия	emīlija	emilia
емилиян	emīlija	emilian
еминем	eminem	eminem
емирства	emirāti	emirates
енгелс	enģeļi	engels
еней	еней	aeneas
енергия	enerģija	energy
енергията	enerģija	energy
ензим	ferments	enzyme
ензима	ferments	the enzyme
ензими	fermenti	enzymes
ензимите	fermenti	enzymes
енциклопедия	enciklopēdija	encyclopedia
епархия	diecēze	eparchy
епизод	epizode	episode
епизоди	epizodes	episodes
епилепсия	epilepsija	epilepsy
епир	epiruss	epirus
епископ	bīskaps	bishop
епистаксис	deguna asiņošana	epitaksis
епитафия	epitāfija	epitaph
епоха	laikmets	age
епохата	laikmets	age
епохи	laikmets	ages
ера	laikmets	era
ерекцията	erekcija	the erection
еридан	eridan	eridan
ерик	ēriks	eric
ернесто	ernesto	ernesto
ернст	ernst	ernst
ес	es	eu
есен	rudens	autumn
есента	rudens	autumn
естествен	dabiski	natural
естествена	dabiski	natural
естествената	dabiskā	natural
естествени	dabiski	natural
естествените	dabiski	natural
естествения	dabiskā	natural
естественият	dabiskā	the natural
естествено	protams	naturally
естество	daba	nature
естония	igaunija	estonia
етаж	grīda	floor
етажи	grīdas	floors
етанол	etanols	ethanol
етап	skatuve	stage
етапа	skatuve	stages
етапи	posmi	stages
етика	ētika	ethics
етимология	etimoloģija	etymology
етимологията	etimoloģija	etymology
етиология	etioloģija	etiology
етиопия	etiopija	ethiopia
етническа	etniskā	ethnic
етническата	etniskā	ethnical
етнически	etniskā	ethnic
етническите	etniskā	ethnic
етническо	etniskā	ethnic
етнография	etnogrāfija	ethnography
етнографски	etnogrāfiskā	ethnographic
етнос	etniskā piederība	etnicity
ето	šeit	here is
еукариотите	eikarioti	eucariotes
ефект	efekts	effect
ефекти	efektus	efects
ефективна	efektīvs	effective
ефективно	efektīvi	effective
ефективност	efektivitāte	efficiency
ефективността	efektivitāte	efficiency
ефектите	efektus	the effects
ефектът	efekts	efect
ефенди	effendi	effendi
ефрат	eifrāts	euphrates
ечемик	mieži	barley
еякулация	ejakulācija	ejaculation
ж	g	c (citizens)
жан	jean	jean
жанейро	janeiro	janeiro
жанр	žanrs	genre
жанрове	žanri	genres
жеков	жеков	zhekov
желае	vēlmes	wish
желание	vēlme	desire
желанието	vēlme	desire
желаят	viņi grib	wish
железни	dzelzs	steel
железница	dzelzceļš	railway
железопътен	dzelzceļš	ralway
железопътна	dzelzceļš	railway
железопътната	dzelzceļš	railway
железопътни	dzelzceļš	railways
желко	žēl gan	zhelko
желязна	dzelzs	iron
желязната	dzelzs	the iron
желязо	dzelzs	iron
желязото	dzelzs	iron
жена	sieviete	woman
жената	sieviete	woman
женева	ženēva	geneva
женен	precējies	married
жени	sievietes	women
жените	sievietes	the women
женска	sieviete	female
женската	sieviete	female
женски	sieviete	female
женските	mātītes	females
жеравоподобни	celtnis līdzīgs	gruifomes
жертва	upuris	victim
жертви	upuri	victims
жертвите	upuri	victims
жестоко	nežēlīgi	cruel
жив	dzīvs	alive
жива	dzīvs	live
живак	dzīvsudrabs	mercury
живее	dzīvo	life
живеели	dzīvoja	lived
живеещи	dzīvo	living
живели	dzīvoja	lived
живеят	tiešraide	live
живи	dzīvs	live
живите	dzīvs	living
живков	живков	zhivkov
живкова	живкова	zivkova
живо	tiešraide	live
живопис	glezna	painting
живописни	gleznains	scenic
живописта	glezna	the art of painting
живот	dzīvi	life
живота	dzīves	life
животински	dzīvnieks	animal
животинския	dzīvnieks	animal
животни	dzīvnieki	animals
животните	dzīvnieki	animals
животно	dzīvnieks	animal
животновъдство	lopkopību	livestock breeding
животновъдството	lopkopību	livestock breeding
животното	dzīvnieks	animal
животът	dzīvi	the life
живял	dzīvoja	lived
жизнен	vitāli svarīgs	vital
жизнено	vitāli svarīgs	life
жилища	mājoklis	housing
жилищни	dzīvojamo	residential
жители	iedzīvotāji	residents
жителите	iedzīvotāji	residents
жк	жк	jk
жлеза	dziedzeris	gland
жлези	dziedzeri	glands
жорж	džordžs	pompidou
жп	dzelzceļš	railway
жрец	priesteris	priest
журналист	žurnālists	journalist
журналистика	žurnālistika	jurnalisam
жълта	dzeltenā krāsā	yellow
жълто	dzeltenā krāsā	yellow
за	priekš	for
забавя	palēninās	slows
забавяне	kavēšanās	delay
забавят	lēnāk	delay
забележителна	ievērojams	remarkable
забележителни	ievērojams	notable
забележително	ievērojams	remarkably
забележителност	orientieris	landmark
забележителности	orientieri	sights
забелязва	paziņojumi	notices
заболяване	slimība	illness
заболяването	slimība	illness
заболявания	slimības	diseases
забрана	aizliegums	ban
забраната	aizliegums	ban
забранена	aizliegts	forbidden
забранени	aizliegts	prohibited
забранено	aizliegts	forbidden
забранява	aizliedz	prohibits
заваряване	metināšana	weld
заведения	iestādes	facilities
завет	derība	covenant
завзема	pārņem	seized
завземат	pārņemt	conquer
завива	pagriežas	wrap
завинаги	mūžīgi	forever
зависи	atkarīgs	depends
зависима	atkarīgs	dependent
зависими	atkarīgs	dependent
зависимост	atkarība	dependency
зависимостта	atkarība	dependence
зависят	atkarīgs	depend
завладее	pārņems	capture
завладява	iekaro	take over
завладяване	iekarošana	conquest
завладяването	iekarošana	conquest
завладяват	iekarot	conquer
завладян	iekaroja	conquered
завладяна	iekaroja	conquered
завод	rūpnīca	plant
заводи	rūpnīcas	plants
завоевания	iekarojumi	conquest
завоюва	iekaro	won
завръща	atgriežas	ends
завръщане	atgriezties	return
завръщането	atgriešanās	return
завърне	atgriezties	return
завъртане	rotācija	rotation
завършва	beidzas	ends
завършване	pabeigšana	completion
завършването	pabeigšana	completion
завършват	pabeigts	ends
завършен	pabeigts	completed
завършена	pabeigts	completed
завърши	pabeigts	finished
завършил	beidzis	complete
загива	mirst	dies
загиват	pazust	die
загинали	nomira	died
загиналите	miris	fallen
заглавие	nosaukums	title
заглавието	nosaukums	the title
заговезни	zagovezni	shrove sunday
заговор	sazvērestība	conspiracy
заговора	sazvērestība	plot
загора	iedegums	zagora
загуба	zaudējums	loss
загубата	zaudējums	loss
загубва	zaudē	loose
загуби	zaudējumi	losts
зад	aizmugurē	behind
задача	uzdevums	problem
задачата	uzdevums	task
задачи	uzdevumi	tasks
заден	aizmugurē	back
задната	aizmugurē	the back
задължение	pienākums	duty
задължения	saistības	obligations
задълженията	saistības	obligations
задължително	obligāts	necessarily
задържа	tur	retain
задържане	aizturēšana	retention
задържат	aizturēt	retain
заедно	kopā	together
заема	aizdevums	occupy
заемат	okupēt	occupy
заеме	aizņemties	take
заеми	aizdevumi	loans
заемки	aizņēmumi	borrowings
зает	aizņemts	taken
