aajo	হাস্যকর	hospitality
lábé	ওজন	under
láfún	প্রদত্ত	cassava food
láimo	ছাড়া	unknown
láké	অট্ট	in ake
lámọ́di	ভাগ্য	lamodi
lápá	অংশ	from
lára	আহত	part of
lárúbáwá	প্রাকৃতিক	arabic
láì	ছাড়া	without
láíláí	না	old
lèe	করতে পারা	can
lèyìn	পরে	after
lédè	ভাষায়	language
léebá	প্রসঙ্গক্রমে	catch up with it
lérìnín	তুষার	erin=laughter; the prefix 'l' is possesive
lérò	কারণ	thought
léyin	পরে	after
léyìn	পরে	after
lérú	দাসত্ব	enslave
lílo	শোষণ	using
lísa	ত্বরণ	a chieftaincy title
lítésò	যন্ত্রণাদায়ক	literature
lóde	বাহিরে	modern
lópez	nipez	lopez
lópó	বিধবা	widow
lórì	আশ্রয়	on the head
lóríba	উপর	subdue
lóti	অনেক	have
lóòótò	হ্যাঁ	truly
lóòótọ́	প্রকৃতপক্ষে	truly
ló	ló	to
lónà	পথে	in a way
lórò	আগামীকাল	become wealthy
lọndọnu	লণ্ডন	london
lọ́dọọdún	সালিয়ানা	yearly
lọ́jà	বাজারে	in the market
maapu	মানচিত্র	map
madeira	beira	madeira
mahatma	মহাত্মা	mahatma
makedonia	ম্যাসাডোনিয়া	macedonia
malabo	মধু	malabo
malay	অধিকৃত	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	মাল্যাশিয়া	malaysia
mali	দিন	mali
mango	আম	mango
manˈdeːla	mandelala	mandela
marcellus	মার্সেলাস	marcellus
march	মার্চ	march
marku	এইবার	mark
mars	মঙ্গল	mars
maryland	মেরিল্যান্ড	maryland
maseru	সন্দেহ	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	গাণিতিক	mathematics
max	সর্বোচ্চ	max
maya	না	maya
mbabane	নেতিবাচক	mbabane
means	মানে	ona (way)
mediteraneani	ভূমধ্য	mediterranean
mefeefa	&#39;পৃষ্ঠা পরিবর্তনের	all six
mejidinlogbon	আটাশ	twenty eight
mejila	বার	twelve
meksiko	মক্সিকো	mexico
melo	কতগুলো	some
member	সদস্য	ara
mercosur	mercosur	mercosur
merin	চার	four
methodologies	পদ্ধতি	anaoniruuru
metropoli	metropoli	metropolis
meucci	মিউচি	meucci
mewar	mewar	mewar
mexico	মেক্সিকো	mexico
michelle	মিশেল	michelle
micronesia	মাইক্রোনেশিয়া	micronesia
miiràn	উপশম করা	another
mimoy	mimoy	mimoy
mimuwa	আঁটসাঁট	import
minnesota	মিনেসোটা	minnesota
minority	নাবালকত্ব	awon ara kekere
mohandas	মোহনদাস	mohandas
mokaleladota	নিবিড়	51, (mokanleladota)
mokanlelogbon	বত্রিশ	thirty-one
mombasa	mombasa	mombasa
monrovia	মনরোভিয়া	monrovia
morgan	morgan	morgan
morogoro	মোটরগাড়ি	morogoro
mozambique	মোজাম্বিক	mozambique
mozilla	মোজিলা	mozilla
mtn	mtn	mtn
mtwara	আবার চয়ন করুন	mtwara
mughal	আয়তন	mughal
mulẹ̀	স্থাপন করা	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	কিছু মনে করবেন না	testament
mère	অঙ্কন	significant
méjèèjì	উভয়	the two
mérindíláàdóta	পঞ্চান্ন	forty-six
méte	পাঁচ	lip
mérìndínlógún	ষোল	sixteen
mérìnlélógójì	চুয়াল্লিশ	44
méta	তিন	three
métèètà	কাঠমিস্ত্রি	the three
méwàá	দশ	ten
ménu	তুমি কি মনে কর	verbally contribute; complete phrase= me nu ba
mímọ́	পবিত্র	holy
míràn	অন্য	other
míìrán	অন্য	other
mííràn	অন্য	other
mò	জ্ঞান	know
mókólà	আঠা	mokola
móra	আরোগ্য	with themselves
mó	m	with
múlẹ̀	ধরে রাখো	select land (farmland)
mẹ́fà	ছয়	6
mẹ́rkúríù	ইঁদুরটি	mercury
mẹ́ta	তিন	3
mẹ́talọ́kan	ত্রিত্ব	trinity
namibia	আসা	namibia
nathaniel	নাথানিয়েল	nathaniel
nato	ন্যাটো	nato
nawojulo	বিরক্তিকর	highest-spending
nawó	আপনার টাকা পেতে	point finger
ncnc	ncnc	ncnc
nebraska	নেব্রাস্কা	nebraska
nefimu	nephim	nefimu
neptune	নেপচুনের	neptune
nevis	নেভিস	nevis
ngbero	পরিকল্পিত	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	সেখানে	there
nibere	গোড়ার দিকে	earlier
nigbakan	কখনও কখনও	at one time
nigbà	তারপর	when
nijẹr	নাইকি	niger
nilè	এখানে	remaining
nisinyi	এখন	at present
nitoriidieyi	এর জন্য	because of this
nitoripe	কারণ	because
nitosi	নিকটবর্তী	nearby
niwaju	এগিয়ে	in front of
niyato	প্রভেদ করা	unlike
niye	যথেষ্ট	in number
niyi	এটা এখানে	these
nkan	জিনিস	things
nkàn	ক্যান্সার	something
nnaji	চাচা	nnaji
nobel	নোবেল	nobel
nombamewa	গুণকারক	decimal
nombáméjì	প্রথম দুইটা	two-number
novo	নভো	novo
nri	খাদ্য	nri
nse	নকশা	acting
nso	কাছাকাছি	saying
nsolaboraro	নিরাপত্তা	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	বিন্দু	indicates
nu	পরিষ্কার	in
nukleotidi	নিউক্লিওটাইড	nucleotides
nukleotidipupo	নিউক্লিওটাইড	cell
numeri	অসাড় অবস্থা	numbers
nwa	বাচ্চা	drill
nàìjíríà	নাইজেরিয়ায়	nigeria
náwo	ব্যয়	spend money
náà	অত্যধিক	that
nì	পর্বত	is
nìnú	দুঃখিত	in
nìyí	এই হল	this is
ní	আছে	on
níbè	সেখানে	there
níbè	সেখানে	there
nífẹ̀ẹ́	ভালবাসতে	love
nígbàtí	কখন	when
nílè	নিচে	on the ground
nílùú	শহরে	in the town
nílẹ̀	মাটিতে	in the land
nínlá	মহান	large
nínu	সুযোগ	in
níní	আছে	having
nípà	অন্তত	by
nítorípé	কারণ	because
nítumò	অর্থ	meaningful
nítòsí	নিকটবর্তী	nearby
nítòótó	ঠিক	truly
nítòótọ́	প্রকৃতপক্ষে	in truth, truthfully
níwájú	এগিয়ে	in front
níyanjú	সুনিশ্চিত	solved
nǹkan	জিনিস	things
nso	শীঘ্রই আসছে	say
oba	ওবামা	king
obairanderan	চাচাত ভাই	hereditary
obere	ছোট	started
obínibí	শ্লীলতা	inborn
ododo	ন্যায়পরায়ণতা	righteousness
ofin	আইন	law
ogbè	অঞ্চল	a divinity
ogun	যুদ্ধ	war
ogunlogo	ভিড়	hundreds
ojo	মত চেহারা	day
ojojumo	দৈনন্দিন	daily
ojoru	উত্তাপ	wednesday
ojukokoro	লালসা	covetousness
ojuoorun	সূর্যাস্ত	atmosphere
ojuse	দায়িত্ব	responsibility
ojùkòsì	বৃষ্টিপাতের পরিমাণ	ojukosi
ojùkòtúu	বৃষ্টিপাতের পরিমাণ	ojukotuu
ojúlùmọ̀	পরিচিতদের	acquaintance
ojútáyé	সান্দ্রতা	public
ojúìwé	পৃষ্ঠা	page
okeere	বিদেশী	distant
okhotsk	okhotsk	okhotsk
oko	ক্ষেত্র	farm
okunkun	অন্ধকার	darkness
okunrin	মানুষটি	male person
olodiajodojuko	একে অপরকে	facing wall
olohun	মালিকদের	god
olojukanna	অবিলম্বে	same surface
olokunkun	হেডফোন	popular
ololugbe	অভাগা	occupants
olopon	উদ্ধত	a local game
olora	চর্বি	fertile
oloselukan	হ্যালো	one political
oloye	প্রতিভা	chief
oluda	স্রষ্টা	creator
oludase	উত্পাদক	separatist
olukoitan	উপাধ্যায়	the writer
olukowe	লেখক	writer
olumojuto	লোভী	overseer
oluparapo	সমাহার	joint
olusoju	পাহারা	ambassador
oluwakiri	অন্বেষণ	explorer
olympus	স্বর্গ	olympus
olódùmarè	সর্বশক্তিমান	almighty god
olóyè	শাসক	chief
olóṣèlú	রাজনীতিজ্ঞ	politics
olùbátan	এই যোগাযোগ	relative
olùdarí	নেতা	director
olùkópa	অংশদাতা	participant
olùkó	উপাধ্যায়	teacher
olùkọ́	শিক্ষক	teacher
omi	পানি	water
omiadalu	বন্যা	mixture
onialjebra	onialjebra	of algebra
onibugbe	প্রজা	population
onigbeja	গঠনমূলক	allied
onigbowo	একটি স্পনসর	sponsor
onigunfenfe	নিষ্ক্রিয়	large angle
onilanaibagbepo	কনডম	constitutional
onilile	বাসগৃহমালিকদের	solid
oninawo	অধমর্ণ	financial
onipin	যুক্তিসঙ্গত	even
onisayensi	যন্ত্রবিৎ	scientific
onisowo	ব্যবসায়ী	trader
oniyewumeji	বাইনারি	two-chamber
oniyijulo	অসাধারণ	highest honour
onje	খাদ্য	food
onka	গণক	counter
onígbàgbó	বৃদ্ধ লোক	believer
oníkólóbó	অবমাননাকর	onikolobo (place)
onílẹ̀	নিচে	land owners; citizens (omo onile)
oníná	আগুন	electronic
onítumò	অনুবাদক	meaning
onítèbọmi	বাপ্তিস্ম গ্রহণ	baptist
onítòhùn	হিসাবরক্ষক	that person
oníwòsàn	প্রতিষেধক	doctor
oníyanjù	অ্যানিমেটেড	persevere
ooni	কুম্ভীর	ooni (king)
ootọ́	সত্য	truth
opec	ওপেক	opec
opposite	বিপরীত	odi
ori	মাথা	top
oriire	অভিনন্দন	success
oriki	পূর্বদেশীয়	name of endearment
orileede	জাতি	country
orileedeajoba	সাম্রাজ্যবাদ	monarchic country
orilejoba	সরকার	seat of government, kingdom
orileominira	উত্তাপ	republic
orinìyìn	একটি গান	songs of praise
orisirisi	বৈচিত্র্য	various
orisun	উৎস	source
orisa	উৎপত্তি	god
oritameta	মাঝখানে	crossway
orudnun	বার্ষিক	mispelled...should orundun, century
oruko	বিশেষ্য	name
oríilè	জাতীয়	land
oríilẹ̀	প্রবন্ধ	land
oríkì	কবিতা	family name
orílèèdè	জাতি	country
orílẹ̀	জাতি	continent
orílẹ́	সন্ধ্যা	nation
orísiirísi	বিভিন্ন	various
orísìí	বৈচিত্র্য	type
orísìírísi	বিভিন্ন ধরনের	various
orúko	ক্ষেত্র	name
oscar	অস্কার	oscar
oseluarailu	অসামরিক	political unit
otherwise	অন্যভাবে	ibaje
otutu	অনেক	coldness
oun	তিনি	it
owojagidijagan	সন্ত্রাসীদের	upheaval
oúnjẹ	খাদ্য	food
odún	বছর	year
ojó	ইটা	day
okùnrín	হাসি	man
olórun	সৃষ্টিকর্তা	god
olósìn	ধার্মিক	rearing
odun	বাত্সরিক	year
olorun	সৃষ্টিকর্তা	god
omonìyàn	মানুষ	human beings
opolo	অনেক	brain
ose	ose	week
oyé	বিশ্ব	harmattan
ofò	সুপ্রভাত	nothingness
opolo	অনেক	brain
paa	বন্ধ কর	back
paapaa	বিশেষত	especially
padá	শুঁটি	go back
palauan	পালায়ুয়ান	palauan
panaˈma	পানামা	panama
panyanan	the_space	spanish
papa	বাবা	specifically
parapọ̀	মিশ্রণ	join
paripari	শেষ	finally
pele	কমনীয়	hello
penh	পেন	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	মুক্তা	with
phillipines	phillipines	phillipines
pinsi	পড়ন্ত	divided
pinsoto	pinoto	separated
pinu	নির্ধারিত	decide
pipo	অনেক	plenty
pipolongo	বিজ্ঞাপন	publicise
piposi	অনেক	multiplication
platos	platos	plato's
plánẹ́tì	নদীর গভীরতানির্ণয়	planet
po	po	share
pojulo	সর্বোচ্চ	larger
polandi	পালিশ	poland
polaroid	পোলারয়েড	polaroid
population	জনসংখ্যা	ero
portonovo	portonovo	porto novo
portuguese	পর্তুগীজ	portuguese
press	প্রেস	press
produced	উত্পাদিত	yo
protokolu	protocolu	protocol
proton	প্রোটন	kemika alaropo
providence	দূরদর্শিতা	providence
príncipe	প্রিন্সিপি	principe
pupa	লাল	red
px|kùránì	px |	koran or quran; the px  does not belong
pàmò	বিশেষভাবে	pamo (town)
pàràkòyí	অবিলম্বে	parakoyi
pààlà	একটি সীমানা	signalised
pàápàá	বিশেষত	especially
pásíà	ভিত্তিটি	persia
pátáporongodo	একেবারে	entire
pè	নামক	that
pèhìndà	বীর্য	turned back
pèlu	সাথে	with
pèlúpèlú	যেমন	in addition
pèsè	প্রদত্ত	provide
pé	যে	that
péré	কেবল	only
péé	যে	that
pípa	বধ	order
pípèsè	বিধান	providing
pípẹ́	দীর্ঘ	long
pòwe	নীতিবাক্যমূলক গ্রন্থবিশেষ	to say a proverb or wise saying
pò	ভাঁজ	join
púpo	অনেক বেশি	much
púpò	বরং	a lot
quran	কুরআন	quran
ra	কেনা	self
race	জাতি	ere
rajya	আশা	rajya
ramadan	রমজান	ramadan
rank	মর্যাদাক্রম	ipo
reggae	রেগা	reggae
repeats	পুনরাবৃত্তি	tunso
repetejulo	সবচেয়ে সংবেদনশীল	most of all
rere	ভাল	success
research	গবেষণা	agbeyewo
richard	রিচার্ড	richard
right|thumb|px|aworan	ডান | থাম্ব | পিক্স | চিত্র	picture
rinle	সদ্য	emphasise
riresile	রেকর্ডার	humbled, lowered
riro	কল্পনা	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	মনে	thought
robinson	রবিনসন	robinson
roboto	পৃষ্ঠতলের	round
rogbodiyan	দাঙ্গা	riot
rokirika	ব্রাউজিং	publicise
roko	ভিড়	farm work
roma	রোমা	roma
rome	ক্রৌমিয়াম	rome
ronald	রোনাল্ড	ronald
rorùn	সহজ	easy
rossii	rossii	rossii
rural	গ্রামীণ	igberiko
ryan	রায়ান	ryan
ráhàn	হাজির	complain
ránmú	চিন্তা করবেন না	grumble
république	république	republic
ré	গ	his/her
rìn	হাঁটা	should be orin, song or music
ròyìn	রিপোর্ট	give account
rẹ	তার	it
saarc	অপসারণ	saarc
saaree	উচ্চতর	after death
saarland	তলায়	saarland
safari	আফ্রিকায় শিকার অভিযান	safari
saffana	নীলকান্তমণি	savannah
safiwe	তুলনা	describe
safta	সারিবদ্ধ	safta
saheli	সুবিধা	sahel
sakyamuni	পরবর্তী	sakyamuni
sakyas	sakyas	sakyas
salem	সালেম	salem
salàyé	জীবন	explained
sambia	যৌবন	zambia
samioro	সহজলভ্য	signal
santa	সান্তা	santa
say	বলে	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	সমুদ্র	odo
seat	আসন	itedo
segbese	সম্ভবত	take steps
seidamo	স্পষ্ট	identify
semolara	এজমা	accustom
semudaju	অবশ্যই	assure
senegal	সেনেগাল	senegal
sense	ইন্দ্রিয়	sensi
seville	seville	seville
sewadi	অনুসন্ধান	investigate
sharon	শ্যারন	sharon
sibesibe	এখনো	further more
sihamoni	গঠন	sihamoni
sile	পিছনে	previously
silè	ড্রপ	on the ground
sinai	পাপ	sinai
sinsin	ধর্ম	unshakably
sioux	sioux	sioux
sise	রান্না করা	works
sisodagba	ক্রমবর্ধমান	came of age
sisopo	লিঙ্ক	joined
sisupapoerekusu	নিষ্ঠীবন-নিক্ষেপ	neighbouring islands
sisupo	সংখ্যাবৃদ্ধি	concentrated
slovo	slovo	slovo
so	ভালবাসা	turned
sohun	হ্যাঁ	something
solomon	সলোমন	solomon
soon	শীঘ্রই	lai'pe
sopin	শেষ	ended
so	সুতরাং	tells
spectacular	দর্শনীয়	damanran
stella	স্টেলা	stella
structures	কাঠামো	igbekale
suez	সুয়েজ	suez
sugbo	কিন্তু না	but
sugbọ́n	যুক্তিসঙ্গত	but, however
sun	সূর্য	sleep
suny	suny	suny
swahili	সোয়াহিলি	swahili
symmetry	প্রতিসাম্য	ogbooga
sàbúrí	সর্বোপরি	saburi
sàmì	একটি চিহ্ন	signalize
sàn	আরও ভাল	flow
sàngó	দল	sango (god of thunder)
sàì	আমরা হব	un
sápadè	আজ	run to
sáàpàdé	জামিনদার	saapade
sáààrin	মাঝে	between
são	নতুন একটি	sao
sèle	চুরি	down
ségun	কাদতে	conquered
sénégal	বীর্য	senegal
séyìn	পেছনে	back
séyìn	পেছনে	at the back of
sìbẹ̀	এখনো	there
sìni	চিংড়ি	likewise
síbèsíbè	তবু	further more
síbú	মাটিতে	ocean
sílẹ̀	হতাশ করা	drop
síse	কাজ	doing
síso	এখনো	spoken
síso	এখনো	saying
síta	বাহিরে	outing
síwon	তাহাদিগকে	to them
síwájú	অগ্রগামী	comes before
síí	এখানে	on it
sòrò	মগজ-ধোলাই	talk
sójà	সৈনিক	soldier
sóko	উদ্ভিদ	to the farm
sùgbón	বিপরীতে	but
sọ	বলে	lose
si	অবশ্যই	to
síse	গঠন	performing
sùgbón	বিপরীতে	but
se	তারা করে	do
sepò	পরিশেষে	cooperation
sisé	কাজ করা	work
sááju	এক মিনিট সময় নিন	before
sísa	s .ía	to be
sísè	অনুবাদ	step
tabi	অথবা	or
tabili	টেবিল	table
tabora	পরিহার	tabora
taino	dino	taino
tainos	taínos	tainos
takuntakun	সীমাবদ্ধতার	valiant
talaka	দরিদ্র	poor
talika	দারিদ্র্য	the poor
tara	নয়	wholly
tata	ছাঁকনি	wildly
taínos	taínos	tainos
technology	প্রযুক্তি	tekinoloji
tedo	ডেটিং	stay
teksas	টেক্সাস	texas
tele	অনুসরণ	before
temptation	চাইছেন	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	দ্য	does no directly translate
they	তারা	won
those	সেগুলো	awon
thumb|left|upright|nelson	থাম্ব | বাম | খাড়া | নেলসন	apa osi naro
tira	ক্রিয়ার কাল	quranic verse
tirana	তিরানা	tirana
tirè	তার	own
titu	অঙ্কুর	cold (if it's a person's name, it is tutu)
tiwọn	তাহাদেরই	theirs
to	প্রতি	it
toje	বিরল	that is
tokasi	চিহ্নিত করা	pointing to
tokyo	টোকিও	tokyo
tolerejulo	সহ্য	most profitable
tolórítelémù	ব্যাপক হত্যাকাণ্ড	all manners of people
tomé	টমেটো	tome
tooto	সত্যিই	true
tori	টোরি	because
torun	শ্যামাঙ্গিনী	heavenly
toseluaralu	রাজনৈতিক	political
tounsejanu	মৃতু্যঘটিত	control
traduite	traduite	traduite
translated	অনূদিত	tunmo
tumosi	মানে	means
tuntun	নতুন	new
tàsí	ছাড়া	or
tàwon	তাহাদিগকে	theirs
táawà	মাথা নত করতে	we
tèlé	অনুসরণ	before
tètè	দ্রুত	quickly
tèlé	অবিলম্বে	follow
tèsíwájú	উন্নতির জন্য	progress
té	টি	follow
télè	দ্বারা	before
té	t	shamed
títi	বদ্ধ	till
títèlé	অনুসরণ করা	following
títío	পর্যন্ত	until
tíátà	টিকেট	theater
tíórì	টায়ার	that is seen
tò	সেট	enough
tóbi	বড়	big
tódárajùlọ	সেরা	most beautiful
tókù	বিশ্রাম	others
tówùú	যে কোন পরিমান	whatever
tó	tó	taught
tóka	উদাহৃত	pointed
tú	ঢেলে	untie
túmò	বরই	means
túnse	পুনরায় সাজান	restructured
tẹ̀ǹbẹ̀	তারপর	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	চক্রান্ত	bitterness
ucb	ইউসিবি	ucb
umueri	শিশু	umueri
unifasiti	বিশ্ববিদ্যালয়	university
unla	হ্যাঁ	great
urasílì	uracil	uracil
uribe	আভা	uribe
usps	usps	usps
utah	উটাহ	utah
utc	ইউটিসি	utc
uzbek	রাস্তা	uzbek
venezuela	ভেনেজুয়েলা	venezuela
vermont	ভারমন্ট	vermont
victor	বিজেতা	victor
videos	ভিডিও	fidio
vihara	বিহার	vihara
villa	উদ্যানবাটি	villa
viruses	ভাইরাস	awon eran
visit	দর্শন	ibewo
vz	vz	vz
waa	এইটা	ours
waju	মুখ	future
wari	গন্ধ	once existing
westminster	ওয়েস্টমিনস্টার	westminster
wisconsin	উইসকনসিন	wisconsin
witkin	witkin	witkin
wiwari	আবিষ্কার	discovered
województwo	cheworddztwo	wojewodztwo
wole	সাইন ইন করুন	into
woo	পাণিপ্রার্থনা করা	look
wo	এখানে	enter
wo	এখানে	look
won	তাহাদিগকে	they
wura	স্বর্ণ	gold
wyoming	ইয়মিং	wyoming
wàásù	গাহা	preach
wì	ধুয়ে ফেলুন	that
wípè	নির্মলতা	that
wòfún	এক পলক দেখা	convenient
wònyí	এইগুলো	these
wón	তাহাদিগকে	they
wúnrèn	কাজ করা	small amount
wọn	তাহাদিগকে	they
wọ̀nyí	এইগুলো	these
xd	xd	xd
xiv	চতুর্দশ	xiv
yafran	বর্ণমালা	yafran
yakubu	ইয়াকুব	yakubu
yan	নির্বাচন করা	choose
yanjú	সমাধান	solve
yanturu	প্রচুর	abundant
yaoundé	এওনডে	yaounde
yewo	উন্নতি	examine
ye	হাঁ	suitable
ye	হাঁ	should
yindinyindin	কখনো থেমো না	brightly
yio	হইবে	will
yiowu	এটা হবে	any
yipada	ঘুরিয়ে	change
yiyafunnilo	ক্ষয়	borrow
yoo	ইচ্ছাশক্তি	will
yori	এলইডি	result
york	ইয়র্ক	york
yorúbà	দই	yoruba
yo	yo	remove
yànan	আশ্চর্য	scattered
yàtò	সেট আপ	other than
yára	তারাতারি কর	quickly
yèwò	বর্ণন	examine
yée	তাদেরকে করতে দাও	eplained to
yì	যাওয়া	this
yìí	এই	this
yí	ঘুরিয়ে	this
yíyípadà	পরিবর্তন	changed
yíì	তুমি করবে	this
yíò	এটা হবে	it will
yẹ̀ẹ́	কেমন লাগলো	check
yọ	অপসারণ	bring out
zanzibar centralsouth	জানজিবার সেন্ট্রালসাউথ	zanzibar centralsouth
zdna	zdna	z-dna
zou	মালভূমি	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	দূরে	bce
àbe	বানরজাতীয় প্রাণিবিশেষ	under
àbámẹ́ta	বৃহস্পতিবার	saturday
àbáyo	পরামর্শ	breakthrough
àbìkú	অমরত্ব	'born to die' child
àbọ̀	অর্ধেক	result
àdámò	গোপনীয়তা	earmark
àdátá	বিপরীত	adata
àdáátán	একচেটিয়া	adaatan
àdóolóró	তেল	bomb
àgbàjọ	বৃদ্ধ লোকটি	assembly
àgbàrá	বন্যা	power
àgbáríjọ	সংগঠন	combination
àgbékà	বিমূর্ত	suitable
àgbéyèwò	পুনঃমূল্যায়ন	examination
àgbìgbò	আশপাশ	a type of bird
àgbùdo	গজ	corn
àgọ́	তাঁবু	ago
àifète	উদ্দেশ্য	unable to keep quiet
àjo	ভ্রমণ	board
àjákọ	পৃথক্	ajako
àjọṣepọ̀	সামাজিক	union
àkosílè	বিমূর্তন	written
àkosílè	গবেষণামূলক প্রবন্ধ	written account
àkàrà	কেক	bean pudding
àká	তাক	store
àkójopò	গ্রুপ	collection
àkókó	সময়	previous
àlàkalè	গোল	breakdown, explanation of actions
àlàyé	তথ্য	explanation
àlàáfíà	শান্তি	peace
àlááfià	উপমা	wellbeing
àlè	জারজ	mistress, concubine, (side booty)
àlèpò	উপরে	joined together
àlébù	কলঙ্ক	ills
àmérìkà	অতিপ্রাকৃত	america
àmì	চিহ্ন	sign
àmúlò	ব্যবহারিক	synonyms
àmúsorò	মনোবিজ্ঞান	resources
ànfàní	সুযোগ	opportunity
àpapọ̀	সার্বিকভাবে	federal
àpeere	উদাহরণ	example
àrígbámú	ধকল	assistant
àrùn	রোগ	disease
àrẹ	সভাপতি	president
àse	পরব	authority
àsàjemátèe	ভোর	cunning
àsèyìn	ভবিষ্যৎ ফল	at the end
àsìkò	সময়	time
àsótélè	প্রসার	prophecy
àsọdọ̀kan	ঐক্য	unitary
àsekúdórógbó	বাকল	do or die
àsà	প্রথা	habit, culture, norm
àtijo	অপ্রচলিত	olden days
àtìpó	ভিনগ্রহবাসী	sojourn
àtòrìnká	প্রায় কাছাকাছি	urinating while walking
àtúnse	সম্পাদন করা	modification
àtúnse	সম্পাদন করা	renovate, fix
àtẹnudẹ́nu	মৌখিক	oral
àwon	তত্ত্ব	they
àwón	টাকা	the
àwón	টাকা	the
àwùjo	সমাজ	community
ààtò	অনুষ্ঠান	suitability
ààyè	জীবিত	space
àárín	মাঝখানে	middle
àáyá	বীর্য	seconds
àìkó	স্বল্পতা	unlearned
àìní	প্রয়োজন	lack
àìròtélè	অপ্রত্যাশিত	unthought of
àìsí	অনুপস্থিতি	lack
án	টি	it
áwon	ব্যভিচার	those
èbà	মশা	cassava flour food
èbúté	বন্দর	shore
èdá	সৃষ্টি	creature
èdè	ভাষা	language
èdè	ভাষা	language
èfòn	ক্রিয়ার কাল	efon
èhìn	পরবর্তী	outskirt
èka	শাখা	branch
èkejì	অন্যটি	second
èlò	পাত্রে	tool
ènìkan	কিছু	someone
èràn	রোগ	virus
èrò	চিন্তা	thoughts
èsó	মসজিদ	modesty
èsúrú	বীজে পিঁপড়ে না ধরতে	yam (indigenous to west africa)
ète	উদ্দেশ্য	plan
èyì	সম্মান	this
èka	প্রভাব	branch
èro	চিন্তা	machine
èrí	প্রমান	witness
èsìn	ধর্ম	religion
èwù	শার্ট	clothe
èpón	অনেক	modifier
ìbarà	জ্বর	ibara (town)
ìbánisòrò	সংযোগ	dialogue
ìbáraeni	বহন	to themselves
ìbílè	জন্মাধিকার	local
ìbílè	জন্মাধিকার	local
ìdàgbà	সাবালকত্ব	grow
ìdàpapọ̀	একত্রীকরণের	union
ìdàrúdàpò	বিশৃঙ্খলা	misunderstanding
ìdá	ছলনা	division
ìdìmú	ঝামেলা	branch, part
ìdíisin	কারণ	idi-isin
ìdíwòn	আপনার কারণ	criteria
ìdó	দংশন	ido (a person's name)
ìfara	যন্ত্রণা	self
ìfojúìtànìgbesiayé	জীবনী	biography
ìfáàrà	একটি পুরোহিত	introduction
ìgbonnìbí jé	এটা একটা দূর্যোগ	igbonnibi
ìgbà	সময়	when
ìgbàgbé	ভুলো	forgetfulness
ìgbá	ডানা	time
ìgbáraga	শক্তি	pride
ìgbéraga	গর্ব	pride
ìgbésí	জীবন	life
ìgbò	র্যাম	igbo people
ìhun	লোহা	things
ìjo	নাচতে	church
ìjo	গির্জা	church
ìjoba	সরকার	government
ìjora	ঘৃণা	resemblance
ìjìnlè	রহস্য	comprehensive
ìjìnlè	রহস্য	mysterious
ìjò	নেতা	consent
ìjọba	সরকার	government
ìkejì	অন্যটি	second
ìkànna	একই	ikanna (town)
ìkèrèkú	পূর্ণতা	ikereku
ìkéde	ঘোষণা	advert
ìkìjà	একটি চ্যালেঞ্জ	ikija
ìkìlò	অপব্যবহার	warning
ìkínin	ষষ্ঠ	greetings
ìkẹrin	চতুর্থ	fourth
ìkọpa	অংশগ্রহণ	ikopa
ìlera	স্বাস্থ্য	health
ìlo	কল	use
ìlà	রূপরেখা	border
ìlànàn	বিভ্রম	procedure
ìlàorùn	চূর্ণ	east
ìlàìnàró	নিপীড়ন	vertical
ìlè	উত্কোচ গ্রহণ	land
ìlé	বাড়ি	land
ìmò	সাপ	knowledge
ìmò	বজ্র	knowledge
ìmóbìdo	জন্মগত অধিকার	imobido
ìmú	নাক	knowledge
ìmúnilérú	নির্যাতনের	slavery
ìmúsára	আরও শক্তিশালী করতে	contagious
ìnagije	বিজয়	alias
ìnáwó	ব্যয়	expenditure
ìpolongo	বিজ্ঞাপন	advertisement
ìpìlẹ̀núkléù	জোড়া লাগানো	base
ìpìnlè	শুরুতে	foundation
ìpínrò	অনুচ্ছেদ	economize
ìrànlọ́wọ́	সাহায্যের	help
ìrànàna	সাহায্যের	path-clearing
ìràwọ̀	তারাগুলো	s
ìrí	অভিজ্ঞতা	sight
ìròkò	চিন্তার	iroko
ìròyìn	খবর	news
ìròyìnwiki	খবর	wikinews
ìròrùn	বিভ্রম	peaceful
ìró	শব্দ	sound
ìrúbo	পতন	sacrifice
ìsawo	ভবিষ্যৎ কথন	divinity-practice
ìse	কর্ম	behaviour
ìsinsìnyí	এখন	modern
ìsirò	হিসাব	adding
ìsomó	যোগদান করতে	attachment
ìsàlè	সূর্যাস্ত	down town
ìsèlè	উৎপাদন	happening
ìsìn	ধর্ম	worship
ìsòrò	ধ্যান	speech
ìsòrí	মহকুমা	chapter
