$ tỉ	billion பில்லியன்	$ billion
dày	அடர்த்தியான	thick
dái	சிறுநீர் கழித்தல்	"penis (n.), although some may use the term to mean ""testicles"""
dám	தைரியம்	dare
dán	ஒட்டவும்	stick
dáng	வடிவம்	appearance
dát	பொறிக்கப்பட்டுள்ளது	inlay
dâm	மோசமான	lustful (adj.)
dân	மக்கள்	people
dâng	சலுகை	dedicate
dây	தண்டு	nerve
dã	காட்டு	chronicle
dãi	அனுமதி	band
dãn	விரி	extend
dãy	சரகம்	a row (n.)
dè	கவனமாக இரு	tight
défense	பாதுகாப்பு	defense
dép	செருப்பு	slipper
dê	வெள்ளாடு	goat
dì	அத்தை	aunt
dìu	dìu	to lead by the hand (v.)
dính	ஒட்டும்	stick
dò	தேடல்	(with word tham) to survey
dòm	பாருங்கள்	snoop
dòng	தற்போதைய	"(term should be ""dòng họ"") family (n.)"
dó	அந்த	a type of plant used to make paper in vietnam (n.)
dông	இடியுடன் கூடிய மழை	a storm (n.)
dõi	டிராக்	monitor
dù	என்றாலும்	though
dùi	பஞ்சர்	awl
dùng	பயன்பாடு	use
dăm	சவரன்	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	நிச்சயமாக	why
dĩa	தட்டு	dish
dũng	வீரம்	courage
dơ	அழுக்கு	dirty
dơi	வெளவால்கள்	bat
dư	மீதமுள்ள	remnant
dưa	முலாம்பழம்களும்	melons
dưng	நிறுத்து	suddently
dương	நேர்மறை	penis
dường	தெரிகிறது	seem
dưỡng	நர்சிங்	feed
dược	மருந்தகம்	having to do with medicine (adj.)
dượng	மாமா	uncle
dạ	ஆம்	night
dại	முட்டாள்	stupid or idiotic (adj.)
dạn	அச்சமற்ற	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	வடிவம்	tyoe
dạo	உலா	vending
dạt	கழுவப்பட்டது	to drift
dạy	கற்பித்தல்	teach
dải	ஆடை அவிழ்ப்பு	range
dấm	வினிகர்	vinegar
dấp	தடுமாறும்	shape
dấu	அடையாளம்	signal
dấy	தூண்டுகிறது	to raise (v.)
dần	படிப்படியாக	people
dầu	எண்ணெய்	oil
dẫm	ஸ்டாம்ப்	step on
dẫn	வழிகாட்டி	to lead
dẫu	என்றாலும்	though
dận	அத்தை	to step on
dậu	சேவல்	rooster
dậy	எழு	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	வழி நடத்து	lead
dằn	நிலைப்படுத்தும்	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	தொடர்ந்து	dằng dai= long/endless
dẳng	தொடர்ந்து	persist
dặm	மைல்	mile
dặn	உத்தரவிட்டது	to advise (v.)
dặt	ஆர்டர்	conservative
dẹp	பிளாட் அவுட்	pacify
dẹt	தட்டையானது	flat
dẻ	கஷ்கொட்டை	chestnut
dẻo	பிளாஸ்டிசிட்டி	flexible
dế	கிரிக்கெட்டுகள்	cricket
dền	அமராந்த்	beetroot
dể	சுலபம்	easy
dễ	சுலபம்	easy
dệt	நெசவு	textile
dị	ஒருமைப்பாடு	simple
dịch	மொழிபெயர்	semen
dịp	விழாவில்	occasion
dịu	மெல்லோ	ease
dọa	அச்சுறுத்தும்	to threaten or scare (v.)
dọc	செங்குத்து	along
dỏm	அறிவாற்ற்ல்	witty
dốc	சாய்வு	slope
dối	பொய்	lie
dốt	அறியாமை	stupid or ignorant (adj.)
dồi	ஏராளமாக	"(term should be ""trau dồi"") improve (v.)"
dồn	மூலையில்	accrue
dỗ	coax	dirty
dời	நகர்வு	leave
dở	மோசமான	incomplete
dỡ	இறக்குதல்	remove
dụ	உதாரணத்திற்கு	example
dục	செக்ஸ்	sexuality
dụng	பயன்பாடு	use
dứa	அன்னாசி	pineapple
dứt	நிறுத்து	to cease
dừa	தேங்காய்	coconut (n.)
dừng	நிறுத்து	to cease
dữ	தகவல்கள்	"(term should be ""giận dữ"") anger (n.)"
dự	திட்டமிடப்பட்டுள்ளது	attend
dựa	அடிப்படையிலானது	base on
dực	ஆண்	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	காதுகள்	earles
eaton	ஈட்டன்	eaton
ebro	ஈப்ரோ	a name
ecmascript	எக்மாஸ்கிரிப்ட்	ecmascript
ecw	ecw	ecw
edda	எட்டா	(proper noun) edda
edgar	எட்கர்	edgar, as in author edgar allan poe (n.)
edge	விளிம்பு	edge
edinburgh	எடின்பர்க்	(proper noun) edinburgh, as in edinburgh, scotland
edison	எடிசன்	edison
editor	ஆசிரியர்	editor
edmond	எட்மண்ட்	edmond
edo	எடோ	edo
edward	எட்வர்ட்	edward
edwin	எட்வின்	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	எகிப்து	egypt
eid	eid	(proper noun) eid
eiffel	ஈபிள்	eiffel
einstein	ஐன்ஸ்டீன்	einstein
eisenhower	ஐசனோவர்	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	மின்னணு	electronic
eliane	எலியன்	(proper noun) eliane
elip	நீள்வட்டம்	ellipse
elizabeth	எலிசபெத்	elizabeth
ellen	எல்லன்	ellen
ellis	நீள்வட்டம்	a name
elton	எல்டன்	(proper noun) elton, as in elton john
elvis	எல்விஸ்	elvis
elíp	நீள்வட்டம்	ellipse
em	நீங்கள்	younger sibling
email	மின்னஞ்சல்	email
emily	எமிலி	(proper noun) emily, as in emily dickinson
emir	அமீர்	emir
emmy	எம்மி	emmy
en	en	erica reef
energy	ஆற்றல்	energy
engels	engels	engels
england	இங்கிலாந்து	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	என்ட்ரோபி	entropy
enzym	நொதி	enzymes
eo	இடுப்பு	eo, as in the film captain eo
ep	ep	a name
erich	எரிச்	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	எரித்திரியா	eritrea
ernest	ernest	(proper noun) ernest
eros	ஈரோஸ்	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	அவசியம்	essential
ethernet	ஈத்தர்நெட்	ethernet
ethiopia	எத்தியோப்பியா	(proper noun) ethiopia
euclid	யூக்லிட்	euclid
eugene	யூஜின்	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	யூரோ	euro, as in the european currency
eurofighter	யூரோஃபைட்டர்	eurofighter
europe	யூரோப்	europe
european	ஐரோப்பிய	(proper adjective) european
eva	ஈவா	eva
everton	everton	everton
every	ஒவ்வொன்றும்	every
exgay	exgay	exgay
explorer	ஆய்வுப்பணி	explorer
extensive	விரிவான	extensive
fabio	ஃபேபியோ	(proper noun) fabio
facebook	முகநூல்	(proper noun) facebook
fact	உண்மை	fact
facto	உண்மையில்	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	அன்னிய நேரடி முதலீடு	fdi
features	அம்சங்கள்	features
federer	கூட்டாளர்	federer
feet	அடி	feet
felipe	ஃபெலிப்	felipe
felis	ஃபெலிஸ்	(proper noun) felis
felix	ஃபெலிக்ஸ்	(proper noun) felix, as in felix klein
ferb	ஃபெர்ப்	ferb
ferdinand	ஃபெர்டினாண்ட்	ferdinand
ferguson	ஃபெர்குசன்	ferguson
fernando	பெர்னாண்டோ	fernando
ferrari	ஃபெராரி	ferrari
fiat	ஃபியட்	fiat
fidel	பிடல்	fidel
field	புலம்	field
fifa	ஃபிஃபா	fifa
fifpro	ஃபிஃப்ரோ	fifpro
figo	figo	figo
fiji	ஃபிஜி	fiji
finish	பூச்சு	finish
firefox	பயர்பாக்ஸ்	(proper noun) mozilla firefox
fischer	பிஷ்ஷர்	fischer, as in louis fischer
fish	மீன்	fish
fishbed	மீன் படுக்கை	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	பிளேமிங்	fleming
flight	விமானம்	flight
foch	foch	(proper noun) foch
focus	கவனம்	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	உணவு	food
football	கால்பந்து	bong da
forbes	ஃபோர்ப்ஸ்	(proper noun) forbes, as in the magazine
ford	ஃபோர்ட்	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	முட்கரண்டி	forks
foundation	அடித்தளம்	foundation
fox	நரி	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	பிராங்க்	franc
france	பிரான்ஸ்	france
frances	பிரான்சிஸ்	frances
francis	பிரான்சிஸ்	francis, as in francis xavier
francisco	பிரான்சிஸ்கோ	francisco
franco	பிராங்கோ	franco
frank	வெளிப்படையான	frank
frankfurt	பிராங்க்ஃபர்ட்	(proper noun) frankfurt
franklin	பிராங்க்ளின்	franklin
franz	ஃப்ரான்ஸ்	(proper noun) franz, as in franz ritter
freud	பிராய்ட்	(proper noun) freud, as in sigmund freud
friedman	ப்ரைட்மேன்	friedman
fu	ஃபூ	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	புஜிமோடோ	fujimoto
fukuoka	fukuoka	fukuoka
funimation	வேடிக்கை	(proper noun) funimation
funk	ஃபங்க்	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	காபோன்	gabon
gabriel	கேப்ரியல்	gabriel
gabriella	கேப்ரியெல்லா	gabriella
gagarin	காகரின்	gagarin
gaia	கியா	gaia
gaillard	கெயிலார்ட்	gaillard
galilei	கலிலீ	galilei
galileo	கலிலியோ	galileo, the astronomer
gam	கிராம்	gam
gambia	காம்பியா	gambia
gamow	காமோ	a name
gan	கல்லீரல்	liver
gandhi	காந்தி	gandhi, as in mahatma gandhi
gang	கும்பல்	cast iron
ganh	பொறாமை	to be jealous
gao	அரிசி	strictly
gareth	கரேத்	a name
garrett	காரெட்	garrett
gary	கேரி	gary
gascon	கேஸ்கான்	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	க au ல்	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	கே	tense
gaza	காசா	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	கெய்ஷா	geisha
gen	மரபணுக்கள்	gene
gene	மரபணு	(proper noun) gene, an english first name
genesis	தோற்றம்	(proper noun) genesis
georg	ஜார்ஜ்	(proper noun) georg
george	ஜார்ஜ்	george
georges	ஜார்ஜ்கள்	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ஜெர்	ger
gerais	gerais	(proper noun) gerais
gerhard	ஜெர்ஹார்ட்	gerhard
german	ஜெர்மன்	german
germany	ஜெர்மனி	germany
gerrard	ஜெரார்ட்	gerrard, a last name
ghana	கானா	(proper noun) the african country of ghana
ghe	படகு	canoe
ghen	பொறாமை	to be jealous (v.)
ghi	எழுத	write
ghim	முள்	pin
ghé	நிறுத்து	visit
ghép	ஒட்டு	fit
ghê	திகில்	disgust
ghì	ghì	tighten
ghẻ	சிரங்கு	scabies (n.)
ghế	நாற்காலி	chair
ghề	ரேபிட்கள்	scabby
ghềnh	ரேபிட்கள்	waterfall (n.)
gia	கியா	date
giai	நிலை	period
giam	சிறையில்	imprison
gian	இடம்	"(term should be ""thời gian"") time (n.)"
giang	ஜியாங்	syphilis
gibraltar	ஜிப்ரால்டர்	(proper noun) gibraltar
gichin	கிச்சின்	gichin
gieo	விதைக்க	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ஜின்ஜான்	ginzan
gio	ஜியோ	wind
gioi	ஜியோய்	world
giuliani	கியுலியானி	giuliani
giun	புழுக்கள்	worm
giuse	கியூஸ்	giuse
giuộc	கியோக்	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	கிசா	giza
già	பழையது	old (adj.)
giàn	டிரஸ்	"(term should be ""giàn hoa"") a trellis girder"
giành	ஆவலுடன்	secure
giàu	பணக்கார	rich or wealthy (adj.)
giày	காலணிகள்	a shoe
giá	விலை	estimate
giám	இயக்குனர்	"(term should be ""giám sát"") to supervise (v.)"
gián	கரப்பான் பூச்சிகள்	"(term should be ""gián tiếp"") indirectly"
giây	விநாடிகள்	seconds
giã	துடிக்கிறது	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	நீட்சி	stretch
gièm	எதிர்ப்பாளர்கள்	"(should be ""gièm pha"") to backstab"
giêhôva	கிவா	jehovah
giêng	ஜியோங்	january
giêsu	கிறிஸ்தவ சமயத்தை தோற்றுவித்தவர்	jesus
giêxu	நெக்ஸஸ்	jesus
giò	வசந்த ரோல்ஸ்	leg
giòi	maggots	maggot (n.)
giòn	முறுமுறுப்பான	crunchy or crispy (adj.)
gió	காற்று	wind
gióng	போன்ற	align
giúp	உதவி	help
giũa	கோப்பு	sharpen
giơ	நெரிசல்	raise
giương	வெடித்துள்ளது	posture
giường	படுக்கை	bed
giả	போலி	fake (adj.)
giải	தீர்வு	solution
giảm	குறைப்பு	decrease
giản	எளிமைப்படுத்தப்பட்டது	"(term should be ""giản dị"") simple (adj.)"
giấc	தூங்கு	giấc ngủ= the sleep
giấm	வினிகர்	drabble
giấu	மறை	hide
giấy	காகிதம்	paper
giầu	பணக்கார	rich
giận	கோபம்	angry
giằng	பிரேசிங்	pull
giặc	எதிரி	enemy
giặt	கழுவுதல்	to wash (n.)
giếng	நன்றாக	well
giết	கொல்ல	kill
giềng	அண்டை	"(term should be ""láng giềng"") neighboring"
giễu	ஏளனம்	ridicule
giọng	தொனி	tone
giọt	கைவிட	drop
giỏ	கூடை	basket
giỏi	நன்று	good
giồng	ஜியோங்	mound
giỗ	இறப்பு ஆண்டு	anniversaries of deaths
giới	பாலினம்	gender
giờ	மணி	bao giờ=ever
giở	ஃபிளாஷ்	to open or unfold (v.)
giỡn	நகைச்சுவை	joke
giục	வலியுறுத்தப்பட்டது	urge
giữ	பிடி	hold
giữa	இடையில்	between
gladys	கிளாடிஸ்	gladys
glazer	கிளாசர்	glazer
glonass	glonass	glonass
gloria	குளோரியா	gloria
gloster	குளோஸ்டர்	(proper noun) gloster, as in gloster meteor
glucose	குளுக்கோஸ்	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	போ	"(term should be ""gay go"") tense"
goes	செல்கிறது	goes
goku	goku	goku
golden	தங்கம்	golden
gom	திரட்டுதல்	to gather (v.)
google	கூகிள்	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	கார்டன்	gordon, as in gordon brown
gore	கோர்	gore
gorky	gorky	gorky, as in gorky park
gothic	கோதிக்	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	கிரஹாம்	graham
granada	granada	granada
granit	கிரானைட்	granite
greek	கிரேக்கம்	(proper noun) greek
greenland	கிரீன்லாந்து	greenland
greenson	க்ரீன்சன்	(proper noun) greenson
greenwich	கிரீன்விச்	(proper noun) greenwich
greg	கிரெக்	greg
grenada	கிரெனடா	grenada
grenadines	கிரெனடைன்கள்	grenadines
gross	மொத்த	gross
grumman	grumman	(proper noun) grumman
gruzia	ஜார்ஜியா	gruzia
gryffindor	gryffindor	gryffindor
gs	ஜி.எஸ்	prof.
gsts	gsts	professor- phd
gu	உடை	gu
guam	குவாம்	guam
guard	காவலர்	guard
guatemala	குவாத்தமாலா	guatemala
gui	குய்	gui
guinea	கினியா	guinea
guinness	கின்னஸ்	(proper noun) guinness
guitar	கிட்டார்	guitar
gujarat	குஜராத்	gujarat
gulag	குலாக்	gulag
gulf	வளைகுடா	gulf
gullit	gullit	(proper noun) gullit
gundam	குண்டம்	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	குஸ்டாவ்	gustave
gutenberg	குட்டன்பெர்க்	gutenberg
guyana	guyana	guyana; proper noun
gà	கோழி	chicken
gài	டக்	to fasten (v.)
gào	கத்தினான்	"(term should be ""thét gào"") to cry out (v.)"
gác	காவலர்	guard
gái	பெண்	girl
gán	ஒதுக்க	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	எடுத்துச் செல்லுங்கள்	hold
gáy	nape	crow
gân	நெருக்கமான	tendon
gây	காரணம்	make
gãy	உடைந்த	break
gì	என்ன	what
gìn	பாதுகாக்க	preserve
gò	மலை	"(term should be ""gò má"") cheekbone (n.)"
gòn	gn	gon
góa	விதவை	widowed
góc	மூலையில்	angle
gói	தொகுப்பு	goi
góp	தவணை	to contribute
gót	குதிகால்	heels
gõ	வகை	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	பதுக்கல்	poniard
găng	கையுறைகள்	gloves
gũi	நெருக்கமான	close
gươm	வாள்	sword
gương	கண்ணாடி	mirror
gạc	துணி	johnson south reef
gạo	அரிசி	rice
gạt	அகற்றி	to cheat or trick (v.)
gả	திருமணம்	marry
gảy	உடைக்க	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	கேக்	gac
gấm	ப்ரோகேட்	brocade
gấp	அவசரம்	times, as in many times
gấu	கரடி	a bear (n.)
gần	அருகில்	near
gầy	மெல்லிய	thin
gẫy	உடைந்த	break
gập	மடி	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	குச்சி	stick
gắm	குசு	send
gắn	ஏற்றப்பட்டது	mount
gắng	முயற்சிக்கிறது	try
gắt	கடுமையாக	intense
gặm	gnaw	rodent
gặp	சந்திக்க	meet
gặt	அறுவடைக்கு	harvest
gỉ	துருப்பிடித்தது	rust
gọi	அழைப்பு	call
gọn	சுத்தமாக	neat (adj.)
gọng	விளிம்பு	gong
gọt	தலாம்	cut
gỏi	சாலட்	a vietnamese salad
gốc	தோற்றம்	origin (n.)
gối	தலையணை	"(should be ""qùy gối"") to kneel"
gốm	பீங்கான்	pottery
gồm	உட்பட	include
gồng	காங்	carry
gỗ	மரம்	wood
gội	ஷாம்பு	shampoo
gộp	ஒன்றிணைத்தல்	aggregate
gớm	அருவருப்பான	tremendous
gờ	ledge	edge
gởi	அனுப்புக	send
gỡ	இறக்கு	meet
gợi	பரிந்துரைக்கும்	to evoke (v.)
gục	கீழ்	"(term should be ""đánh gục"") crush, as in battle"
gừng	இஞ்சி	ginger
gửi	அனுப்ப	send
ha	ஹெக்டேர்	hectare
habana	ஹபனா	(proper noun) habana
habsburg	ஹாப்ஸ்பர்க்	(proper noun) habsburg
haeberle	ஹேபர்லே	haeberle
hahn	ஹான்	hahn
hai	இரண்டு	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	ஆலசன்	halogen (n.)
ham	ஹாம்	desire
hamilton	ஹாமில்டன்	(proper noun) hamilton
han	ஹான்	han
hang	குகை	cave
hangul	ஹங்குல்	hangul
hanh	ஹான்	hanh
hanja	ஹஞ்சா	(proper noun) hanja, a type of chinese script
hansen	ஹேன்சன்	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	ஹரால்ட்	harald
hardy	ஹார்டி	hardy
harlem	ஹார்லெம்	harlem
harlow	ஹார்லோ	harlow
harold	ஹரோல்ட்	(proper noun) harold
harper	ஹார்பர்	harper
harpercollins	ஹார்பர்காலின்ஸ்	hapercollins
harrier	தடை	harrier, as in harrier jump jet
harris	ஹாரிஸ்	harris
harry	ஹாரி	harry
harvard	ஹார்வர்ட்	(proper noun) harvard, the name of a college
harvey	ஹார்வி	harvey
havana	ஹவானா	(proper noun) havana, cuba
havilland	ஹவில்லேண்ட்	havilland
hawker	ஹாக்கர்	hawker
hawking	ஹாக்கிங்	(proper noun) hawking, as in physicist stephen hawking
hay	நல்ல	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	அவர்	he, a korean name
health	ஆரோக்கியம்	health
heath	ஹீத்	heath
hee	ஹீ	hee
hegel	ஹெகல்	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	ஹியான்	heian
heinrich	ஹென்ரிச்	heinrich
helen	ஹெலன்	helen
helena	ஹெலினா	helena
heli	கதிர்வளி	helium
hematocrit	ஹீமாடோக்ரிட்	hematocrit
hemoglobin	ஹீமோகுளோபின்	hemoglobin
hen	கோழி	asthma
henry	ஹென்றி	(proper noun) henry, as in henry kissinger
heo	பழையது	dolphin
her	அவள்	her
herbert	ஹெர்பர்ட்	herbert, as in herbert schandler
hercegovina	ஹெர்சகோவினா	hercegovina
hercules	ஹெர்குலஸ்	hercules
hermann	ஹெர்மன்	hermann
hermes	ஹெர்ம்ஸ்	hermes
hersh	ஹெர்ஷ்	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	ஹெஸ்டியா	hestia
hi	வணக்கம்	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	ஹிக்ஸ்	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	ஹைட்ரஜன்	hydrogen
hillsborough	ஹில்ஸ்பரோ	hillsborough
hilton	ஹில்டன்	hilton
himalaya	இமயமலை	(proper noun) himalaya
hinata	ஹினாட்டா	hinata
hindenburg	ஹிண்டன்பர்க்	(proper noun) hindenburg
hindi	இந்தி	hindi
hindu	இந்து	hindu, as in the hindu religion
hinh	ஹின்	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	ஹிரகனா	hiragana
hiroshi	ஹிரோஷி	hiroshi
hiroshima	ஹிரோஷிமா	(proper noun) hiroshima, the japanese city
hitchcock	ஹிட்ச்காக்	hitchcock
hitler	ஹிட்லர்	hitler
hitter	ஹிட்டர்	hitter
hitters	ஹிட்டர்கள்	hitters
hiên	தாழ்வாரம்	(proper noun) hiên, a vietnamese first name
hiđrô	ஹைட்ரஜன்	hydrogen
hiếm	அரிதானது	rare
hiến	கொடுங்கள்	devote
hiếp	கற்பழிப்பு	rape
hiếu	கடுமையான பக்தி	pious
hiềm	நோய்வாய்ப்பட்டது	grudge
hiền	முனிவர்	sage
hiểm	ஆபத்தானது	dangerous
hiểu	புரிந்து	learn
hiện	காண்பிக்கப்படும்	"(term should be ""thực hiện"") to accomplish"
hiệp	பாதி	united
hiệu	விளைவு	effective
hlv	பயிற்சியாளர்	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	பூ	flower
hoan	திருவிழா	welcome
hogwarts	ஹாக்வார்ட்ஸ்	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	ஹோய்	rare
hokage	ஹோகேஜ்	hokage
hokusai	hokusai	hokusai
holmes	ஹோம்ஸ்	a name
holocaust	ஹோலோகாஸ்ட்	holocause
holocen	ஹோலோசீன்	holocen
holt	ஹோல்ட்	holt, an english last name
hom	வெட்டல்	a cutting
homer	ஹோமர்	(proper noun) homer, the authorof the iliad and the odyssey
hon	க .ரவ	"(term should be ""hòn"") rock (n.)"
honduras	ஹோண்டுராஸ்	honduras
hong	ஹாங்	hong
honolulu	ஹொனலுலு	honolulu
honshū	honshū	honshu
hopkins	ஹாப்கின்ஸ்	(proper noun) hopkins
hornet	ஹார்னெட்	hornet
hotspur	ஹாட்ஸ்பூர்	(proper noun) hotspur, as in tottenham hotspur
houston	ஹூஸ்டன்	(proper noun) houston, as in whitney houston
howard	ஹோவர்ட்	(proper noun) howard
however	எனினும்	however
hoà	கட்டு	peace
hoài	ஏக்கம்	always (adv.)
hoàn	முழுமை	"(term should be ""hoàn toàn"") completely"
hoàng	ராஜா	royal (adj.)
hoành	உதரவிதானம்	rife
hoá	வேதியியல்	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	அவர்கள் சாப்பிடுகிறார்கள்	delay
hoạ	பெயிண்ட்	disaster (tham hoa)
hoại	கேங்க்ரீன்	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	ஹெண்டாய்	work
hoả	தீ	of
hoảng	பீதி	panic-stricken (adj.)
hoặc	அல்லது	or
hp	hp	hp
hq	hq	hq
hudgens	ஹட்ஜன்ஸ்	(proper noun) hudgens
hudson	ஹட்சன்	hudson
huey	ஹூய்	huey
hughes	ஹக்ஸ்	hughes
hugo	ஹ்யூகோ	(proper noun) hugo
hume	ஹியூம்	hume, as in david hume
hun	ஹன்	(proper noun) hun
hungary	பசி	hungary
hunt	வேட்டை	hunt
hurley	ஹர்லி	(proper noun) hurley, as in chad hurley
hussein	ஹுசைன்	hussein
husserl	ஹுஸெர்ல்	huserl
huston	ஹஸ்டன்	huston
hutech	ஹுடெக்	hutech
huy	ஹுய்	a common vietnamese first name
huynh	சகோதரன்	older brother
huyền	விசித்திரமான	huyền thoại= legend
huyễn	மாயை	huyen
huyện	மாவட்டம்	district
huyệt	குத்தூசி மருத்துவம் புள்ளிகள்	lair
huân	ஹுவான்	"(term should be ""huân chương"") medal (n.)"
huê	சாயல்	"a less common vietnamese word for ""flower"""
huấn	பயிற்சி	"(term should be ""huận luyện"") to train (v.)"
huế	சாயல்	hue
huệ	சாயல்	favour
huống	வழக்கு	situation
huỳnh	கந்தகம்	sulfur
huỷ	ரத்துசெய்	destroy
hydra	ஹைட்ரா	hydra, a monster in greek mythology
hydro	ஹைட்ரஜன்	hydrogen
hyperion	ஹைபரியன்	hyperion
hà	ஹெக்டேர்	"(term should be ""hà nội"") the capital of vietnam"
hài	நகைச்சுவை	corpse
hàm	தாடை	"(term should be ""bao hàm"") to imply (v.)"
hàng	வரிசை	row
hào	அகழி	depreciation
hách	தாங்குதல்	glorious
hái	தேர்ந்தெடு	picking
hán	வறட்சி	china
háo	ஆவலுடன்	eager
hát	பாட	song
hâm	பைத்தியம்	"(term should be ""hâm mộ"") to admire (v.)"
hân	ஹான்	le ngoc han
hãi	பயமாக இருக்கிறது	to be scared (v.)
hãn	கான்	to sweat (v.)
hãng	நிறுவனம்	a company (n.)
hãnh	பெருமை	proud
hè	கோடை	summer
hé	விரிசல்	reveal
héo	கவிழ்ந்துவிடும்	dried-out
hét	கூச்சலிடுங்கள்	shout
hên	அதிர்ஷ்டசாலி	luck
hí	ne	game
hít	சுவாசிக்கவும்	act of kissing (hon hit)
hò	டேட்டிங்	date
hòa	கட்டு	republic
hòe	மலம்	hoe
hòm	பேழை	box
hòn	தீவு	island
hòng	நன்றாக	in order to
hóc	hóc	a corner (n.)
hót	பாட	to chirp or sing (v.)
hô	ஹோ	respiration
hôi	தவறான	stink
hôm	நாள்	day (n.)
hôn	முத்தம்	propose
hông	இடுப்பு	hip
hù	பயம்	threaten
hùng	ஹீரோக்கள்	hero
húc	கோர்	huc
húng	உத்வேகம்	"(should be ""húng láng"") water mint"
hút	புகைத்தல்	to suck (v.)
hăng	கடுமையான	enthusiasm
hđbt	hđbt	hdbt
hđh	hh	system software
hũ	ஜாடிகளை	jar
hơi	கொஞ்சம்	slightly
hơn	விட	more or less
hư	மோசமான	fictional
hưu	ஓய்வு பெற்றவர்	huu
hương	தூப	smell
hước	நகைச்சுவையான	humor
hướng	திசையில்	trend
hường	ஹுவாங்	huong
hưởng	மகிழுங்கள்	influence
hạ	கோடை	lower
hạc	ஃபிளமிங்கோக்கள்	crane
hạch	கேங்க்லியன்	ganglion
hại	தீங்கு	harm
hạng	வர்க்கம்	rank
hạnh	ஹன்	happy
hạo	ஹாவோ	hao
hạp	ஹாப்	hap
hạt	விதை	seed
hải	சுங்க	two
hảo	சரியானது	perfect
hấn	ஹான்	aggressive gesture
hất	எறிதல்	toss
hấu	தர்பூசணி	"(term should be ""dưa hấu"") watermelon"
hầm	சுரங்கம்	ham
hầu	கிட்டத்தட்ட	most
hận	வெறுப்பு	hatred
hậu	ராணி	anus
hắc	கருப்பு	black
hắn	அவரை	he (n.)
hắt	தும்மல்	reject
hằng	மாறிலி	every
hặc	hặc	to criticize (v.)
hẹ	ஆழமற்ற	chinese chives
hẹp	குறுகிய	narrow
hẻm	சந்து	alley (n.)
