$	dollarni tashkil etadi	a sign of doller
કોમ	jamiyat	.com
કોમનવેલ્થ	hamdo&#39;stlik	commonwealth
કોમના	com	of the caste
કોમર્શિયલ	tijorat	commercial
કોમિક	komiks	comic
કોમી	kommunal	communal
કોમેડી	komediya	comedy
કોમ્પ્યુટર	kompyuter	computer
કોમ્પ્યુટરની	kompyuterdan	of the computer
કોમ્પ્યુટરને	kompyuterga	to computer
કોમ્પ્યુટરો	kompyuterlar	computers
કોમ્પ્યુટર્સ	kompyuterlar	computers
કોમ્યુનિકેશન	aloqa	communication
કોમ્યુનિકેશન્સ	aloqa	communications
કોયા	koya	koya
કોર	asosiy	core
કોરિયા	koreya	korea
કોર્ટ	sud	court
કોર્ટમાં	sudda	in the court
કોર્ટે	sud	court
કોર્પોરેટ	korporativ	corporate
કોર્પોરેશન	korporatsiya	corporation
કોર્પોરેશનો	korporatsiyalar	corporation
કોર્સ	albatta	course
કોલ	qo&#39;ng&#39;iroq	coal
કોલંબિયા	kolumbiya	columbia
કોલકાતા	kolkata	kolkata
કોલકાતામાં	kolkata-da	in kolkata
કોલસો	ko&#39;mir	coal
કોલેજ	kollej	collage,
કોલેજમાં	kollejda	in collage
કોલેજો	kollejlar	colleges
કોલોસીયમ	kolizey	colosseum
કોલોસીયમના	kolizeydan	collosium, name of place
કોલોસીયમની	kolizeydan	of the colloseum
કોલોસીયમને	kolizeyga	colleseum's
કોલોસીયમમાં	kolizeyda	colloseum
કોશ	hujayra	name
કોશિશ	harakat qilib ko&#39;ring	try
કોષ	hujayralar	glossary
કોષ્ટક	jadval	table
કોસ્ટ	narxi	cost
કૌટુંબિક	oila	related to family
કૌભાંડ	qalloblik	scandal
કૌરવ	kaurava	kaurava
કૌરવો	kaurava	kauravs
કૌશલ	ko&#39;nikma	efficiency
કૌશલ્ય	ko&#39;nikmalar	skilled
ક્યા	qaysi	where
ક્યાં	yoki	where, which
ક્યાંક	biror joyda	somewhere
ક્યાંય	hech qayerda	somewhere
ક્યારે	qachon	when
ક્યારેક	ba&#39;zan	sometime
ક્યારેય	hech qachon	never
ક્યોટો	kioto	kyoto
ક્રમ	buyurtma	deed
ક્રમની	tartibda	numbered
ક્રમનું	saralangan	numbered
ક્રમનો	tartibda	of the number/rank
ક્રમમાં	tartibda	in rank
ક્રમશઃ	mos ravishda	respectively
ક્રમાંક	yo&#39;q.	number
ક્રમે	saralash	number
ક્રાંતિ	inqilob	revolution
ક્રાંતિકારી	inqilobiy	revolutionary
ક્રિઓલ	kreol	kiraole
ક્રિકેટ	kriket	cricket
ક્રિકેટના	kriket haqida	of the cricket
ક્રિકેટની	kriket	of the cricket
ક્રિકેટનો	kriket	of the cricket
ક્રિકેટમાં	kriketda	in cricket
ક્રિકેટર્સ	kriketchilar	cricketers
ક્રિઝ	qichishish	kreez
ક્રિયા	harakat	action
ક્રિયાની	harakat	action
ક્રિયાપદ	fe&#39;l	verb
ક્રિયાપદો	fe&#39;llar	verb
ક્રિયાપ્રતિક્રિયા	o&#39;zaro aloqalar	action-reaction
ક્રિસ	kris	chris
ક્રિસમસ	rojdestvo	x mas / christmas
ક્રિસ્ટોફર	kristofer	christopher
ક્રૂર	shafqatsiz	strict
ક્રોધ	jahl	anger
ક્રોધિત	badjahl	angry
ક્રોસ	kesib o&#39;tish	cross
ક્લબ	klub	club
ક્લાઉડ	bulut	cloud
ક્લાયમેટ	iqlimi	climate
ક્લાસિકલ	klassik	classical
ક્લિક	bosing	click
ક્લિપ	klip	clip
ક્લોઝ	yopish	close
ક્વાઇપર	kuiper	kuiper
ક્વોન્ટમ	kvant	quantum
ક્વોલિટી	sifat	quality
ક્ષકિરણો	radiatsiya	rediation
ક્ષણ	moment	moment
ક્ષતિગ્રસ્ત	buzuq	distorted,
ક્ષત્રિય	kshatriya	kshatriya
ક્ષત્રિયો	kshatriyas	kshatriyas
ક્ષમતા	imkoniyatlar	capacity
ક્ષમતાને	imkoniyatlar	capacity
ક્ષમા	kechirim	forgiveness
ક્ષીણ	chirib ketgan	diminished
ક્ષેત્ર	maydon	field
ક્ષેત્રના	maydonning	of the field
ક્ષેત્રની	maydonning	area
ક્ષેત્રને	maydon	sphere / sector / zone / region
ક્ષેત્રનો	maydonning	areas
ક્ષેત્રફળ	maydon	area of a place
ક્ષેત્રમાં	dalada	in limitation,
ક્ષેત્રે	dalada	territory
ક્ષેત્રો	maydonlar	fields
ક્ષેત્રોં	maydonlar	regions [hindi word]
ક્ષેત્રોમાં	maydonlar	in the fields of
ખંડ	xona	plates of the earth
ખંડન	rad etish	refutation
ખંડના	qit&#39;aning	of division
ખંડની	qit&#39;aning	chamber
ખંડમાં	xonada	section, part of
ખંડિત	parchalangan	broken
ખંડીય	kontinental	continental
ખંડો	qit&#39;alar	continents
ખંભાતના	xambhat	of khambhat, name of city in gujarat.
ખગોળ	astronomiya	study of earth
ખગોળશાસ્ત્ર	astronomiya	astronomy,
ખગોળશાસ્ત્રીય	astronomik	astronomer
ખગોળીય	astronomik	astronomical
ખડક	rok	reef
ખડકાળ	qoyali	rocky
ખડકો	tog&#39;lar	rock
ખતમ	tugadi	finished
ખતરનાક	xavfli	dangerous, horrible
ખનિજ	mineral	mineral
ખબર	biling	news
ખભા	yelkalar	shoulder
ખરડો	hisob	bills / notice
ખરા	rost	true
ખરાબ	yomon	bad / waste
ખરી	rost	shed
ખરીદી	xarid qilish	purchase
ખરેખર	haqiqatan ham	in reality
ખર્ચ	xarajatlar	expenses,
ખર્ચના	narxi	of expenses
ખર્ચાળ	qimmat	costlier
ખર્ચે	narxiga qarab	at the expense of
ખલીફા	xalifa	khalifa, chief of arab
ખલેલ	buzilish	disturbance
ખવાય	ovqatlaning	being eaten
ખસેડવામાં	ko&#39;chib	in transfer
ખાંડવી	xandvi	khandvi
ખાઈ	xandaq	trench
ખાડી	ko&#39;rfaz	part of river penetrated by the sea at tide
ખાણીપીણી	ovqatlanish va ichish	food
ખાતર	kompost	fertilizer
ખાતરી	albatta	sure
ખાતા	hisob	account
ખાતે	da	at post
ખાતેથી	qayerdan	from
ખાતેના	da	of account
ખાતેની	da	stationed at
ખાતો	hisoblar	eating,(in this case) swing
ખાત્રી	albatta	information
ખાદી	xadi	khadi [hand woven cotton cloth]
ખાદ્ય	ovqat	eatable
ખાન	xon	surname
ખાનગી	xususiy	private
ખાનની	xonning	khan's
ખાનને	xon	to khan
ખાનપુર	xanpur	khanpur
ખાને	xon	khan
ખાય	yemoq	eat
ખારી	sho&#39;r	"name of place ""khari"""
ખાલી	bo&#39;sh	empty
ખાવા	yemoq	to eat, for meal,
ખાવામાં	ovqatlaning	in eating
ખાવું	yemoq	to eat
ખાસ	maxsus	certain / pecular / special
ખાસિયત	xususiyat	characteristic
ખિતાબ	sarlavhalar	titel
ખીચડી	mash	pie
ખીણ	vodiy	trench
ખુદ	o&#39;zim	self
ખુદા	xudo	lord of muslims
ખુબ	juda ko&#39;p	lots of
ખુબજ	juda	too much
ખુલાસો	oshkor qilish	grant/sum up
ખુલે	ochadi	open
ખુલ્લા	ochiq	open
ખુલ્લી	ochiq	open
ખુલ્લુ	ochiq	open
ખુલ્લો	ochiq	open
ખુશ	baxtli	pleased
ખુશી	baxt	joy
ખૂણે	burchakda	corner
ખૂણેખૂણો	burchaklar	everywhere
ખૂબ	juda ko&#39;p	very
ખૂબજ	mo&#39;l-ko&#39;l	too much
ખેંચવા	stretch	pull
ખેંચી	torting	pulled back
ખેંચે	chizadi	pulls
ખેડા	xeda	city name
ખેડુત	fermer	farmer
ખેડૂત	fermer	farmer
ખેતરમાં	fermada	farm
ખેતી	dehqonchilik	farming
ખેલ	sport	play
ખેલાડી	pleyer	player
ખેલાડીઓ	aktyorlar	players
ખેવના	khevna	wish
ખોજ	qidirmoq	search
ખોટા	noto&#39;g&#39;ri	wrong
ખોટી	noto&#39;g&#39;ri	faulty, wrong
ખોટું	noto&#39;g&#39;ri	wrong
ખોડિયાર	xodiyor	khodiyar
ખોડીયાર	xodiyor	khodiyar
ખોદકામ	qazish	digging work
ખોરાક	ovqat	food
ખોળામાં	teshikda	in lap
ખોળે	ochadi	lap of
ખ્યાતનામ	mashhurlar	famous
ખ્યાતિ	shon-sharaf	repute
ખ્યાલ	kontseptsiya	idea
ખ્રિસ્તી	xristian	christian,
ખ્રિસ્તીઓ	xristianlar	christians
ગંગા	ganga	ganga / ganges
ગંગાધર	gangadhar	gangadhar
ગંગાના	ganglardan	of ganga / ganges
ગંગાની	ganglar	of ganga
ગંગાને	ganglarga	ganges
ગંગામાં	ganglarda	at ganga
ગંભીર	jiddiy	serious
ગઇ	gone	become
ગઈ	gone	gone
ગએ	gone	go
ગઝલ	g&#39;azal	ghazal
ગઢ	qal&#39;a	fort
ગઢડા	gadha	gadhada
ગઢવી	gadvi	gadhavi
ગણ	hisoblangan	set
ગણતંત્ર	respublika	republic
ગણતરી	hisoblash	calculation
ગણતરીઓ	hisob-kitoblar	calculations
ગણતરીની	hisoblangan	counting
ગણતરીમાં	hisob-kitoblarda	counting
ગણતા	hisoblash	considered
ગણત્રી	hisoblash	calculation
ગણના	hisoblash	countation
ગણપતિ	ganapati	ganpati
ગણરાજ્ય	respublika	republic
ગણવામાં	ko&#39;rib chiqilgan	in counting
ગણા	katlamoq	number of times
ગણાતા	hisoblandi	considered
ગણાતી	hisoblandi	considered
ગણાતો	hisoblandi	counted
ગણાય	hisoblash	consider
ગણાવી	ko&#39;rib chiqilgan	can be counted as
ગણાવે	hisoblar	considered
ગણિત	matematika	mathematics
ગણિતજ્ઞ	matematik	mathematician
ગણિતના	matematika	maths
ગણિતની	matematikadan	maths
ગણિતને	matematika	maths
ગણિતનો	matematika	of mathematics
ગણિતમાં	matematikada	in mathematics
ગણિતશાસ્ત્રી	matematik	mathematician
ગણી	katlangan	counting
ગણે	hisoblar	count
ગણેશ	ganesha	hindu god ganesha, elephant headed god,
ગણો	katlamoq	times
ગણ્યા	hisoblandi	considered
ગત	oxiri	past
ગતિ	tezlik	motion
ગતિએ	tezlikda	momentum
ગતિના	harakat	of the speed
ગતિને	tezlik	to the speed
ગતિમાં	harakatda	motion
ગતિવિધિઓ	faoliyatlar	activities
ગતિશીલ	dinamik	dynamically
ગદ્ય	nasr	prose
ગમત	quvnoq	game
ગમતું	yoqdi	like
ગમે	nima bo&#39;lsa ham	likes
ગયાં	gone	became
ગયાના	gayana	gayana
ગયા૤	gone	gone [hindi word]
ગયુ	gone	to be
ગયું	gone	gone
ગયેલ	gone	gone
ગયેલા	gone	gone
ગયેલી	gone	gone
ગયો	gone	become
ગરબા	garba	garba
ગરમ	issiq	hot
ગરમી	issiqlik	heat
ગરમીના	issiqlik	of heat
ગરમીની	issiqlik	heat's
ગરવા	yiqilish	honorable
ગરવી	mag&#39;rurlik	great
ગરીબ	bechora	poor
ગરીબી	qashshoqlik	poverty
ગરીબો	bechora	poors
ગર્ભ	homila	core
ગર્ભમાં	bachadonda	venter
ગર્વ	g&#39;ururlaning	pride
ગલી	xiyobon	narrow street
ગવર્નર	gubernator	governor
ગવાય	qo&#39;shiq ayt	sung
ગહન	chuqur	deep/detailed
ગાઁધીજી	gandhiji	gandhiji
ગાંધારી	gandxari	gandhari
ગાંધી	gandi	gandhi
ગાંધીએ	gandi	gandhiji
ગાંધીજી	gandhiji	gandhiji
ગાંધીજીએ	gandhiji	gandhiji
ગાંધીજીના	gandhiji	gandhiji's
ગાંધીજીની	gandhiji	gandhiji's
ગાંધીજીનું	gandhijidan	of gandhiji
ગાંધીજીને	gandhiji	to gandhiji
ગાંધીજીનો	gandhiji	of gandhiji
ગાંધીનગર	gandinagar	gandhinagar
ગાંધીના	gandi	gandhi's
ગાંધીની	gandi	gandhi's
ગાંધીનું	gandi	of gandhi / gandhian
ગાંધીને	gandi	name
ગાંધીનો	gandi	gandhi's
ગાંધીવાદી	gandxian	o the gandhiji
ગાઇડ	qo&#39;llanma	gide
ગાઢ	zich	close [relations]
ગાણિતિક	matematik	mathematical
ગાદી	yostiqsimon	throne
ગાદીએ	divanda	became chief
ગામ	qishloq	village
ગામડે	qishloqda	at village
ગામના	qishloqning	village
ગામનાં	qishloqning	of the villages
ગામની	qishloqning	village's
ગામમાં	qishloqda	villiage
ગામે	qishloqda	villages
ગામો	qishloqlar	villages
ગાય	gay	cow
ગાયક	ashulachi	singer
ગાયકવાડ	gaekwad	gaikwad
ગાયત્રી	gayatri	gayatri
ગાયબ	ko&#39;zdan yo&#39;qoldi	vanish
ગાયો	sigirlar	cows
ગાર્ડન	bog &#39;	garden
ગાળા	davr	period
ગાળાના	muddati	duration
ગાળાની	muddati	term
ગાળામાં	davrda	duration
ગાળો	yon	span
ગાવામાં	qo&#39;shiq aytdi	sing / sang / sung
ગિરનાર	girnar	girnar
ગિરનારનાં	girnar	girnar's
ગિરનારની	girnar	of girnar, girnar's
ગિરનારનું	girnar	of girnar
ગિરનારને	girnar	girnar
ગિરનારમાં	girnarda	in girnar
ગિરનારી	girnari	girnari
ગિરા	gira	gira, name of the river in gujarat
ગીચ	olomon	dense / conjested
ગીચતા	zichlik	density
ગીઝાના	giza	of giza
ગીત	qo `shiq	song
ગીતમાં	qo&#39;shiqda	in song
ગીતા	gita	gita
ગીતાના	gitadan	gita's
ગીતાનો	gitadan	gita's
ગીતો	qo&#39;shiq so&#39;zlari	songs
ગીર	gir	"tourist place ""gir"""
ગુંડાલકેનાલ	gundalkanal	gundal canal
ગુગલ	google	google
ગુજરાત	gujarat	gujarat state
ગુજરાતના	gujarat	of gujarat
ગુજરાતનાં	gujarat	of the gujarat
ગુજરાતની	gujarat	of gujarat
ગુજરાતનું	gujarat	gujarat state
ગુજરાતનો	gujarat	gujarat's
ગુજરાતમાં	gujaratda	in gujarat
ગુજરાતી	gujarati	gujarati
ગુજરાતીઓ	gujaratlar	gujaratis
ગુજરાતીમાં	gujarat tilida	in gujarati
ગુજરાતે	gujarat	by gujarat
ગુજવિકિને	gujwiki	to gujwiki
ગુડ	yaxshi	good
ગુણ	belgilar	marks,
ગુણધર્મો	xususiyatlari	quality perspiration
ગુણવત્તા	sifat	excellence
ગુણવત્તાના	sifat	of the quality
ગુણવત્તાની	sifat bo&#39;yicha	of quality
ગુણો	ballar	quality
ગુણોત્તર	nisbati	ratio
ગુનાઓ	jinoyatlar	crimes
ગુનેગાર	jinoyatchi	convict
ગુપ્ત	maxfiy	hidden, secret
ગુફા	g&#39;or	cave
ગુફાઓ	g&#39;orlar	caves
ગુમાવી	yo&#39;qotilgan	to loss
ગુમાવ્યા	yo&#39;qotilgan	lossed
ગુરુ	yupiter	master
ગુરુત્વાકર્ષણ	gravitatsiya	gravitation
ગુરુદેવ	gurudev	gurudev [in hindi]
ગુરુવાર	payshanba	thursday
ગુરૂ	yupiter	teacher, guru
ગુરૂત્વાકર્ષણ	gravitatsiya	gravitation
ગુરૂની	yupiter	jupiter's
ગુલાબ	atirgullar	rose
ગુલામ	qul	servant or slave
ગૂગલ	google	google
ગૂગલે	google	by google
ગૂઢ	sirli	complecated/difficult
ગૃહ	uy	home
ગૃહસ્થ	uy egasi	gentleman
ગેટ	qabul qiling	gate
ગેટવે	darvoza	gateway
ગેટ્સ	darvozalar	gates
ગેટ્સે	darvozalar	by gates
ગેમ	o&#39;yin	game
ગેમિંગ	o&#39;yin	gaming
ગેમ્સ	o&#39;yinlar	games
ગેરકાયદેસર	noqonuniy	illegal
ગેરહાજરીમાં	yo&#39;qligida	in absent
ગેલેરી	galereya	gallery
ગેસ	gaz	gas
ગેસના	gaz	of gas
ગોંડલ	gondal	gondal
ગોઆ	goa	"name tourisam place ""goa"""
ગોઆન	goan	goa
ગોઠવણ	moslashish	adjustment
ગોઠવણી	konfiguratsiya	arrangement / formation
ગોઠવવામાં	konfiguratsiya qilingan	setting
ગોઠવાય	tayyorlangan	arranges
ગોડ	xudo	god
ગોડસે	godse	godse
ગોદમાં	qochoqda	in the lap of
ગોદાવરી	godavari	"rive name ""the godavari"""
ગોધરા	godhra	godhra(name of railway station)
ગોપનીયતા	maxfiylik	secrecy / privacy
ગોપાલ	gopal	gopal
ગોરખનાથ	goraxnat	gorakhnath
ગોરા	oq rang	white
ગોરાઓનાં	oqlardan	foreigner's
ગોલ્ડન	oltin	golden
ગોલ્ફ	golf	golf
ગોળ	dumaloq	round
ગોળા	sferalar	sphere shaped
ગોળાઓ	sferalar	balls
ગોળાકાર	dumaloq	round
ગોળાર્ધમાં	yarim sharda	hemisphere
ગોળી	otish	bullet
ગોવા	goa	goa
ગોવાના	goa	of goa
ગોવાની	goa	goa's
ગોવાનું	goa	goa's
ગોવાનો	goa	goa
ગોવામાં	goa shahrida	in state of goa
ગોવિંદ	govind	govind name
ગોસેવા	goseva	caring of cow
ગોસ્વામી	gosvami	goswami
ગોહિલ	gohil	gohil
ગૌડીય	gaudiya	gaudiya, name of the hindu religion follower
ગૌણ	ikkilamchi	auxiliary
ગૌતમ	gautam	gautam
ગૌરવ	mag&#39;rurlik	pride
ગૌરવપૂર્ણ	g&#39;ururlaning	prestigious
ગૌશાળા	gaushala	cowshed
ગ્રંથ	granth	volume / complex
ગ્રંથમાં	yozuvda	in the book
ગ્રંથમાળા	bibliografiya	book series
ગ્રંથો	matnlar	texts
ગ્રંથોના	matnlardan	of the books
ગ્રંથોમાં	matnlarda	in books
ગ્રહ	sayyora	planet
ગ્રહણ	tutilish	eclipse
ગ્રહની	sayyoradan	planet
ગ્રહો	sayyoralar	planets
ગ્રહોના	sayyoralardan	of planets
ગ્રહોની	sayyoralardan	of planets
ગ્રહોને	sayyoralarga	to the planets
ગ્રાઉન્ડ	zamin	ground
ગ્રાન્ડ	grand	grand
ગ્રાફિક	grafik	graphic
ગ્રાફિક્સ	grafika	graphics
ગ્રામ	g	gram
ગ્રામીણ	qishloq	rural
ગ્રામ્ય	qishloq	rural
ગ્રાહક	xaridor	customer
ગ્રાહકો	xaridorlar	customers
ગ્રાહકોની	xaridorlardan	of the customers
ગ્રાહકોને	xaridorlar	to customers
ગ્રીક	yunon	greek
ગ્રીકો	yunonlar	greek's
ગ્રીન	yashil	green
ગ્રીનહાઉસ	issiqxona	greenhouse
ગ્રીનહાઉસની	issiqxonadan	greenhouse's
ગ્રીસ	gretsiya	greece
ગ્રીસના	gretsiya	of greece
ગ્રુપ	guruh	group
ગ્રૂપ	guruh	group
ગ્રેગોરીયન	grigoriyalik	gregorian
ગ્રેટ	ajoyib	great
ગ્રેટર	katta	greater
ગ્લેશિયરહીમનદી	muzliklar muzligi	glacier
ગ્લોબ	globus	globe
ગ્લોબલ	global	global
ઘંટ	qo&#39;ng&#39;iroqlar	bell
ઘઉં	bug&#39;doy	wheat
ઘટક	ingredient	component
ઘટકો	tarkibi	constituents
ઘટના	hodisa	incident
ઘટનાઓ	hodisalar	incidents
ઘટનાઓની	hodisalar haqida	of the events
ઘટનાઓનું	hodisalar haqida	of events
ઘટનાઓમાં	hodisalar	in the events
ઘટનાની	tadbir haqida	of incident
ઘટનાને	tadbirga	incidence
ઘટનાનો	tadbir haqida	process
ઘટનામાં	hodisada	in the event
ઘટવા	rad etish uchun	decrease
ઘટાડવા	kamaytirish uchun	less / mearge
ઘટાડી	kamaytirildi	decreased
ઘટાડો	kamaytirish	reduction
ઘટી	yiqilish	low
ઘટીને	tushdi	decreased
ઘટે	kamayadi	decreases,
ઘટોત્કચ	ghatotkach	ghatotkach
ઘડવામાં	chegaralangan	in construction
ઘડિયાળ	soat	watch / clock
ઘડી	tayyorlangan	moments
ઘણા	ko&#39;pchilik	very
ઘણાં	juda ko&#39;p	lots of
ઘણાખરા	ko&#39;pchilik	most of
ઘણી	juda ko&#39;p	many
ઘણીબધી	juda ko&#39;p	many
ઘણીવાર	ko&#39;pincha	many times
ઘણુ	ko&#39;p	more
ઘણું	ko&#39;p	much
ઘણો	ko&#39;p	much
ઘન	qattiq	solid
ઘનતા	zichlik	density
ઘનશ્યામ	ganshyam	dhanshyam
ઘર	uy	house
ઘરની	uyning	of the house
ઘરમાં	uyda	house
ઘરે	uyda	(at) home
ઘરેલુ	mahalliy	household
ઘરેલું	mahalliy	stationed at home
ઘરો	uylar	houses
ઘવાયા	yarador	injured
ઘસી	ishqalanadi	twril
ઘાટ	mog&#39;or	pass
ઘાયલ	yarador	injured
ઘાસ	grass	grass
ઘાસના	o&#39;tdan	grass
ઘી	gee	the
ઘુમ્મટ	gumbaz	vault
ઘુમ્મટની	gumbazlardan	dome's
ઘુસી	qabul qilingan	forceful entry
ઘેડ	qo&#39;ylar	ghed
ઘેર	uy	home
ઘેરાયેલું	o&#39;ralgan	spread
ઘેરાયેલો	o&#39;ralgan	surrounded
ઘેરી	o&#39;ralgan	dark
ઘેરો	qorong&#39;i	dark
ઘોંઘાટ	shovqin	noise
ઘોડા	otlar	horses
ઘોષણા	e’lon	manifesto
ઘોષિત	deklaratsiya qilingan	declared
ચ	ch	also [sanskrit word]
ચંડીગઢ	chandigarh	chandigarh
ચંદ્ર	oy	moon
ચંદ્રક	medal	medal
ચંદ્રગુપ્ત	chandragupta	chandragupt
ચંદ્રનાં	oyning	of chandar
ચંદ્રની	oyning	of the moon
ચંદ્રને	oyga	to moon
ચકાસણી	tasdiqlash	verification
ચક્ર	tsikl	revolve
ચક્રવર્તી	chakravarti	supreme
ચક્રવાત	tsikl	tsunami
ચડવા	tepaga chiqish	to have
ચડાઈ	tepaga chiqish	invasion
ચડી	tepaga chiqish	climb
ચડીને	tepaga chiqish	climbed,
ચડે	tepaga chiqish	climbs
ચડ્યો	tepaga chiqish	climbed up
ચઢાણ	tepaga chiqish	climbings
ચતુર	aqlli	able / claver
ચતુર્થ	iv	fourth
ચન્દ્ર	oy	chandar
ચમત્કાર	mo&#39;&#39;jizalar	miracle
ચયાપચય	metabolizm	digestive system
ચરણ	qadam	feet
ચરમ	ekstremal	top
ચરિત્ર	xarakter	character
ચર્ચ	cherkov	church
ચર્ચા	munozara	discussion
ચર્ચાઓ	munozaralar	discussions
ચલચિત્ર	film	movie
ચલણ	pul birligi	currency
ચલતે	harakatda	by walk
ચલાવતા	yugurish	runner
ચલાવવા	yugurmoq	to run
ચલાવવામાં	bajarildi	run by
ચલાવી	yugur	doing
ચલાવે	yuguradi	running
ચલાવ્યું	bajarildi	ran
ચલિત	harakatlanmoqda	run
ચળવળ	harakat	activity
ચળવળના	harakat to&#39;g&#39;risida	of the movement
ચળવળની	harakat to&#39;g&#39;risida	of agitation
ચળવળને	harakat	of the movement, to the movement
ચળવળમાં	harakatda	in the agitation
ચા	choy	tea
ચાંદી	kumush	silver
ચાઇના	xitoy	china
ચાઇનીઝ	xitoy	chinese
ચાણક્ય	chanakya	"name ""chanakaya"""
ચામડી	teri	skin
ચામુંડા	chamunda	chamunda
ચાર	to&#39;rt	four
ચારણ	oyoq	rhapsody
ચારે	to&#39;rt	all four
ચાર્લ્સ	charlz	charles
ચાલ	ko&#39;chirish	trick
ચાલક	haydovchi	motive
ચાલતા	yurish	running
ચાલતી	yugurish	running
ચાલતું	yugurish	running
ચાલતો	yurish	went on
ચાલવાનું	yurish	to walk
ચાલી	yugurish	lasted for
ચાલીને	yurish	by walking
ચાલુ	davom etayotgan	current
ચાલું	davom etayotgan	current
ચાલે	yuguradi	running
ચાલ્યા	gone	went
ચાલ્યાં	gone	gone
ચાલ્યું	davom etdi	ran
ચાલ્યો	yurib ketdi	ran
ચાવલા	chawla	chawla
ચાવી	kalit	key
ચાહતા	muxlislar	loved
ચાહે	bo&#39;lmasa	whether
ચિંતન	tafakkur	thinking
ચિંતા	anksiyete	tension
ચિકિત્સા	terapiya	cure
ચિકિત્‍સા	dori	cure
ચિતાર	chitar	picture
ચિત્ર	rasm	picture
ચિત્રકાર	rassom	painter
ચિત્રણ	rasm	to draw
ચિત્રપટ	film	movie
ચિત્રો	rasmlar	pictures
ચિત્રોં	rasmlar	pictures / photos / paintings
ચિન્હ	imzo	sign,
ચિન્હો	belgilar	symbols
ચિહ્ન	belgi	symbol
ચીકણો	gummy	glace
ચીજ	thing	thing
ચીજો	narsalar	things
ચીન	xitoy	country name
ચીનના	xitoy	china's
ચીનની	xitoy	china's
ચીનમાં	xitoyda	in china
ચીની	xitoy	chinese
ચીને	xitoy	by china
ચુંટણી	saylov	election
ચુંટણીમાં	saylovda	election
ચુંટાઇ	saylandi	elected
ચુંટાઈ	saylandi	elected
ચુંટાય	saylandi	gets elected
ચુંટાયા	saylandi	elected
ચુંટાયેલા	saylandi	elected
ચુંબકીય	magnit	magnetic
ચુકાદો	hukm	judgement
ચુકી	o&#39;tkazib yuborilgan	missed
ચુક્યા	to&#39;langan	missed
ચુક્યું	o&#39;tkazib yuborilgan	missed
ચુક્યો	o&#39;tkazib yuborilgan	missed
ચુટણી	saylov	elections
ચુસ્ત	qattiq	strict
ચૂંટણી	saylov	vote
ચૂંટણીમાં	saylovda	in election
ચૂકવણી	to&#39;langan	payment
ચૂકવવામાં	to&#39;langan	paying
ચૂકેલા	o&#39;tkazib yuborilgan	done
ચૂક્યા	o&#39;tkazib yuborilgan	missed
ચૅરિટિ	xayriya	charity
ચેક	tekshirish	czech
ચેટ	suhbat	chat
ચેતવણી	ogohlantirish	warning
ચેનલ	kanal	channel
ચેનલો	kanallar	channels
ચેન્જ	o&#39;zgartirish	change
ચેન્નઈ	chennai	chennai, name of the indian metro city
ચેન્નઈમાં	chennayda	in chennai
ચેપ	infektsion	infectious
ચેપની	infektsion	of infection
ચેપી	yuqumli	lymphoma
ચેમ્પિયનશીપ	chempionat	championship
ચેમ્પીયન	chempion	champion,
ચેમ્પીયનશીપ	chempionat	championship
ચેરમેન	raisi	chair man
ચેસ	shaxmat	chess
ચૈતન્ય	ong	intelligence
ચૈત્ર	chaitra	sixth month of vikrama and first of shalivahana year
ચો	cho	square
ચોક	chovk	square
ચોકસાઈ	aniqlik	cleanliness
ચોકિમી	chokimi	square kilometers
ચોક્કસ	aniq	specific
ચોક્કસપણે	albatta	certainly
ચોખા	guruch	rice
ચોટીલા	cho‘qqilar	chotila
ચોતરફ	butun atrofda	from all side
ચોથા	to&#39;rtinchi	forth
ચોથી	to&#39;rtinchi	fourth
ચોથું	to&#39;rtinchi	forth
ચોથો	to&#39;rtinchi	fourth
ચોપરા	chopra	chopra
ચોરસ	maydon	square
ચોરી	o&#39;g&#39;irlik	stolen
ચોરીથી	o&#39;g&#39;rilikdan	thieving
ચોળ	chola	highly,
ચૌદ	o&#39;n to&#39;rt	fourteen
ચૌધરી	chaudhary	choudhary
ચૌહાણ	chauxan	chouhan
છ	olti	six
છંતા	garchi	still
છઠ્ઠા	oltinchidan	sixth
છઠ્ઠી	oltinchidan	sixth
છત	uyingizda	ceiling
છતરીઓ	soyabonlar	umbrella
છતા	garchi	in spite of
છતાં	garchi	still
છત્તીસગઢ	chxattisgarh	chhatisgad, name of state of india
છત્ર	soyabon	ceiling
છત્રપતિ	chhatrapati	chhatrapati (is the indian title of nobility most equivalent to a european emperor)
છબી	rasm	image
છબીઓ	rasmlar	images
છવાયેલો	qoplangan	spread all over
છાપ	taassurotlar	impression
છાપામાં	bosmada	in newspaper
છાયા	soya	shadow
છીએ	qarayapti	for
છું	am	am
છુટ	chegirma	permission / exemption
છુટા	chiqarilgan	left from
છૂટ	chegirma	exemption
છૂટા	chiqarilgan	terminated
છૂટો	bo&#39;shatish	generosity
છે	bu	is
છેઃ	bu:	is
છેઅને	va va	is and
છેઅન્ય	boshqa	other
છેઆ	bu	is this
છેક	qanchalik uzoq	uttermost
છેકે	anavi	it means
છેકેટલાક	biroz	are there. some
છેજે	anavi	are which
છેજેમ	sifatida	is like
છેજોકે	ammo	are there, still,
છેજ્યારે	qachon	when
છેડા	tugaydi	ends
છેડે	ohirida	at end / end point
